PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34273134","Structure, function and connectivity fingerprints of the frontal eye field versus the inferior frontal junction: A comprehensive comparison","Bedini M, Baldauf D.","Eur J Neurosci. 2021 Jul 17. doi: 10.1111/ejn.15393. Online ahead of print.","Bedini M","Eur J Neurosci","2021","2021/07/17","","","10.1111/ejn.15393"
"34271158","Functional networks in non-human primate spinal cord and the effects of injury","Sengupta A, Mishra A, Wang F, Li M, Yang PF, Chen LM, Gore JC.","Neuroimage. 2021 Jul 14;240:118391. doi: 10.1016/j.neuroimage.2021.118391. Online ahead of print.","Sengupta A","Neuroimage","2021","2021/07/16","","","10.1016/j.neuroimage.2021.118391"
"33878384","Mapping functional gradients of the striatal circuit using simultaneous microelectric stimulation and ultrahigh-field fMRI in non-human primates","Han MJ, Park CU, Kang S, Kim B, Nikolaidis A, Milham MP, Hong SJ, Kim SG, Baeg E.","Neuroimage. 2021 Aug 1;236:118077. doi: 10.1016/j.neuroimage.2021.118077. Epub 2021 Apr 18.","Han MJ","Neuroimage","2021","2021/04/20","","","10.1016/j.neuroimage.2021.118077"
"33794355","Combining brain perturbation and neuroimaging in non-human primates","Klink PC, Aubry JF, Ferrera VP, Fox AS, Froudist-Walsh S, Jarraya B, Konofagou EE, Krauzlis RJ, Messinger A, Mitchell AS, Ortiz-Rios M, Oya H, Roberts AC, Roe AW, Rushworth MFS, Sallet J, Schmid MC, Schroeder CE, Tasserie J, Tsao DY, Uhrig L, Vanduffel W, Wilke M, Kagan I, Petkov CI.","Neuroimage. 2021 Jul 15;235:118017. doi: 10.1016/j.neuroimage.2021.118017. Epub 2021 Mar 29.","Klink PC","Neuroimage","2021","2021/04/01","","","10.1016/j.neuroimage.2021.118017"
"33460838","Bidirectional and state-dependent modulation of brain activity by transcranial focused ultrasound in non-human primates","Yang PF, Phipps MA, Jonathan S, Newton AT, Byun N, Gore JC, Grissom WA, Caskey CF, Chen LM.","Brain Stimul. 2021 Mar-Apr;14(2):261-272. doi: 10.1016/j.brs.2021.01.006. Epub 2021 Jan 15.","Yang PF","Brain Stimul","2021","2021/01/18","PMC7988301","NIHMS1663531","10.1016/j.brs.2021.01.006"
"33301937","Functional imaging of the brainstem during visually-guided motor control reveals visuomotor regions in the pons and midbrain","Chu WT, Mitchell T, Foote KD, Coombes SA, Vaillancourt DE.","Neuroimage. 2021 Feb 1;226:117627. doi: 10.1016/j.neuroimage.2020.117627. Epub 2020 Dec 8.","Chu WT","Neuroimage","2021","2020/12/10","PMC8335153","NIHMS1726624","10.1016/j.neuroimage.2020.117627"
"33137476","The role of MRI in applying the 3Rs to non-human primate neuroscience","Prescott MJ, Poirier C.","Neuroimage. 2021 Jan 15;225:117521. doi: 10.1016/j.neuroimage.2020.117521. Epub 2020 Nov 1.","Prescott MJ","Neuroimage","2021","2020/11/02","","","10.1016/j.neuroimage.2020.117521"
"32888082","Application of Pharmacokinetic-Pharmacodynamic Modeling to Inform Translation of In Vitro NaV1.7 Inhibition to In Vivo Pharmacological Response in Non-human Primate","Ballard JE, Pall P, Vardigan J, Zhao F, Holahan MA, Kraus R, Li Y, Henze D, Houghton A, Burgey CS, Gibson C.","Pharm Res. 2020 Sep 4;37(10):181. doi: 10.1007/s11095-020-02914-9.","Ballard JE","Pharm Res","2020","2020/09/05","PMC7473964","","10.1007/s11095-020-02914-9"
"32366956","Rapid event-related, BOLD fMRI, non-human primates (NHP): choose two out of three","Pelekanos V, Mok RM, Joly O, Ainsworth M, Kyriazis D, Kelly MG, Bell AH, Kriegeskorte N.","Sci Rep. 2020 May 4;10(1):7485. doi: 10.1038/s41598-020-64376-8.","Pelekanos V","Sci Rep","2020","2020/05/06","PMC7198564","","10.1038/s41598-020-64376-8"
"32315710","Examining fMRI time-series entropy as a marker for brain E/I balance with pharmacological neuromodulation in a non-human primate translational model","Maltbie EA, Howell LH, Sun PZ, Miller R, Gopinath KS.","Neurosci Lett. 2020 May 29;728:134984. doi: 10.1016/j.neulet.2020.134984. Epub 2020 Apr 18.","Maltbie EA","Neurosci Lett","2020","2020/04/22","PMC7266677","NIHMS1593985","10.1016/j.neulet.2020.134984"
"32298231","Primate homologs of mouse cortico-striatal circuits","Balsters JH, Zerbi V, Sallet J, Wenderoth N, Mars RB.","Elife. 2020 Apr 16;9:e53680. doi: 10.7554/eLife.53680.","Balsters JH","Elife","2020","2020/04/17","PMC7162658","","10.7554/eLife.53680"
"32275880","Evidence for Hierarchical Cognitive Control in the Human Cerebellum","D'Mello AM, Gabrieli JDE, Nee DE.","Curr Biol. 2020 May 18;30(10):1881-1892.e3. doi: 10.1016/j.cub.2020.03.028. Epub 2020 Apr 9.","D'Mello AM","Curr Biol","2020","2020/04/11","PMC7289516","NIHMS1582964","10.1016/j.cub.2020.03.028"
"32132562","Repetition enhancement to voice identities in the dog brain","Boros M, Gábor A, Szabó D, Bozsik A, Gácsi M, Szalay F, Faragó T, Andics A.","Sci Rep. 2020 Mar 4;10(1):3989. doi: 10.1038/s41598-020-60395-7.","Boros M","Sci Rep","2020","2020/03/06","PMC7055288","","10.1038/s41598-020-60395-7"
"31992744","Ultra High Field fMRI of Human Superior Colliculi Activity during Affective Visual Processing","Wang YC, Bianciardi M, Chanes L, Satpute AB.","Sci Rep. 2020 Jan 28;10(1):1331. doi: 10.1038/s41598-020-57653-z.","Wang YC","Sci Rep","2020","2020/01/30","PMC6987103","","10.1038/s41598-020-57653-z"
"31847744","Canine sense of quantity: evidence for numerical ratio-dependent activation in parietotemporal cortex","Aulet LS, Chiu VC, Prichard A, Spivak M, Lourenco SF, Berns GS.","Biol Lett. 2019 Dec;15(12):20190666. doi: 10.1098/rsbl.2019.0666. Epub 2019 Dec 18.","Aulet LS","Biol Lett","2019","2019/12/19","PMC6936025","","10.1098/rsbl.2019.0666"
"31557544","Large scale networks for human hand-object interaction: Functionally distinct roles for two premotor regions identified intraoperatively","Simone L, Fornia L, Viganò L, Sambataro F, Rossi M, Leonetti A, Puglisi G, Howells H, Bellacicca A, Bello L, Cerri G.","Neuroimage. 2020 Jan 1;204:116215. doi: 10.1016/j.neuroimage.2019.116215. Epub 2019 Sep 24.","Simone L","Neuroimage","2020","2019/09/27","","","10.1016/j.neuroimage.2019.116215"
"31509738","Organized Toe Maps in Extreme Foot Users","Dempsey-Jones H, Wesselink DB, Friedman J, Makin TR.","Cell Rep. 2019 Sep 10;28(11):2748-2756.e4. doi: 10.1016/j.celrep.2019.08.027.","Dempsey-Jones H","Cell Rep","2019","2019/09/12","PMC6899508","","10.1016/j.celrep.2019.08.027"
"31443912","Neural Substrates of Inhibitory Control Maturation in Adolescence","Constantinidis C, Luna B.","Trends Neurosci. 2019 Sep;42(9):604-616. doi: 10.1016/j.tins.2019.07.004. Epub 2019 Aug 20.","Constantinidis C","Trends Neurosci","2019","2019/08/25","PMC6721973","NIHMS1534975","10.1016/j.tins.2019.07.004"
"31036814","Anatomical and functional investigation of the marmoset default mode network","Liu C, Yen CC, Szczupak D, Ye FQ, Leopold DA, Silva AC.","Nat Commun. 2019 Apr 29;10(1):1975. doi: 10.1038/s41467-019-09813-7.","Liu C","Nat Commun","2019","2019/05/01","PMC6488610","","10.1038/s41467-019-09813-7"
"31031580","Isoflurane-Induced Burst Suppression Increases Intrinsic Functional Connectivity of the Monkey Brain","Zhang Z, Cai DC, Wang Z, Zeljic K, Wang Z, Wang Y.","Front Neurosci. 2019 Apr 11;13:296. doi: 10.3389/fnins.2019.00296. eCollection 2019.","Zhang Z","Front Neurosci","2019","2019/04/30","PMC6470287","","10.3389/fnins.2019.00296"
"30873000","Brain Map of Intrinsic Functional Flexibility in Anesthetized Monkeys and Awake Humans","Yin D, Zhang Z, Wang Z, Zeljic K, Lv Q, Cai D, Wang Y, Wang Z.","Front Neurosci. 2019 Feb 28;13:174. doi: 10.3389/fnins.2019.00174. eCollection 2019.","Yin D","Front Neurosci","2019","2019/03/16","PMC6403192","","10.3389/fnins.2019.00174"
"30419289","Intrinsic functional clustering of anterior cingulate cortex in the common marmoset","Schaeffer DJ, Gilbert KM, Ghahremani M, Gati JS, Menon RS, Everling S.","Neuroimage. 2019 Feb 1;186:301-307. doi: 10.1016/j.neuroimage.2018.11.005. Epub 2018 Nov 10.","Schaeffer DJ","Neuroimage","2019","2018/11/13","","","10.1016/j.neuroimage.2018.11.005"
"30318353","Hexadirectional Modulation of High-Frequency Electrophysiological Activity in the Human Anterior Medial Temporal Lobe Maps Visual Space","Staudigl T, Leszczynski M, Jacobs J, Sheth SA, Schroeder CE, Jensen O, Doeller CF.","Curr Biol. 2018 Oct 22;28(20):3325-3329.e4. doi: 10.1016/j.cub.2018.09.035. Epub 2018 Oct 11.","Staudigl T","Curr Biol","2018","2018/10/16","","","10.1016/j.cub.2018.09.035"
"30315909","Model testing for distinctive functional connectivity gradients with resting-state fMRI data","O'Rawe JF, Ide JS, Leung HC.","Neuroimage. 2019 Jan 15;185:102-110. doi: 10.1016/j.neuroimage.2018.10.022. Epub 2018 Oct 10.","O'Rawe JF","Neuroimage","2019","2018/10/14","","","10.1016/j.neuroimage.2018.10.022"
"30205207","Resting-state white matter-cortical connectivity in non-human primate brain","Wu TL, Wang F, Li M, Schilling KG, Gao Y, Anderson AW, Chen LM, Ding Z, Gore JC.","Neuroimage. 2019 Jan 1;184:45-55. doi: 10.1016/j.neuroimage.2018.09.021. Epub 2018 Sep 8.","Wu TL","Neuroimage","2019","2018/09/12","PMC6250128","NIHMS1506840","10.1016/j.neuroimage.2018.09.021"
"30053514","Columnar organization of mid-spectral and end-spectral hue preferences in human visual cortex","Nasr S, Tootell RBH.","Neuroimage. 2018 Nov 1;181:748-759. doi: 10.1016/j.neuroimage.2018.07.053. Epub 2018 Jul 25.","Nasr S","Neuroimage","2018","2018/07/28","PMC6263155","NIHMS1502947","10.1016/j.neuroimage.2018.07.053"
"29789605","Neuromodulation of sensory networks in monkey brain by focused ultrasound with MRI guidance and detection","Yang PF, Phipps MA, Newton AT, Chaplin V, Gore JC, Caskey CF, Chen LM.","Sci Rep. 2018 May 22;8(1):7993. doi: 10.1038/s41598-018-26287-7.","Yang PF","Sci Rep","2018","2018/05/24","PMC5964220","","10.1038/s41598-018-26287-7"
"29593518","Task-Relevant Information Modulates Primary Motor Cortex Activity Before Movement Onset","Calderon CB, Van Opstal F, Peigneux P, Verguts T, Gevers W.","Front Hum Neurosci. 2018 Mar 14;12:93. doi: 10.3389/fnhum.2018.00093. eCollection 2018.","Calderon CB","Front Hum Neurosci","2018","2018/03/30","PMC5861186","","10.3389/fnhum.2018.00093"
"29415163","Genetic Variation of a DRD2 Co-expression Network is Associated with Changes in Prefrontal Function After D2 Receptors Stimulation","Selvaggi P, Pergola G, Gelao B, Di Carlo P, Nettis MA, Amico G, Fazio L, Rampino A, Sambataro F, Blasi G, Bertolino A.","Cereb Cortex. 2019 Mar 1;29(3):1162-1173. doi: 10.1093/cercor/bhy022.","Selvaggi P","Cereb Cortex","2019","2018/02/08","","","10.1093/cercor/bhy022"
"29215031","A Mechanistic Model of Human Recall of Social Network Structure and Relationship Affect","Omodei E, Brashears ME, Arenas A.","Sci Rep. 2017 Dec 7;7(1):17133. doi: 10.1038/s41598-017-17385-z.","Omodei E","Sci Rep","2017","2017/12/08","PMC5719413","","10.1038/s41598-017-17385-z"
"28804783","Functional corticostriatal connection topographies predict goal directed behaviour in humans","Marquand AF, Haak KV, Beckmann CF.","Nat Hum Behav. 2017 Aug;1(8):0146. doi: 10.1038/s41562-017-0146. Epub 2017 Jul 24.","Marquand AF","Nat Hum Behav","2017","2017/08/15","PMC5549843","EMS73107","10.1038/s41562-017-0146"
