PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34290088","Global waves synchronize the brain's functional systems with fluctuating arousal","Raut RV, Snyder AZ, Mitra A, Yellin D, Fujii N, Malach R, Raichle ME.","Sci Adv. 2021 Jul 21;7(30):eabf2709. doi: 10.1126/sciadv.abf2709. Print 2021 Jul.","Raut RV","Sci Adv","2021","2021/07/22","PMC8294763","","10.1126/sciadv.abf2709"
"34131035","Moving a Shape behind a Slit: Partial Shape Representations in Inferior Temporal Cortex","Bognár A, Vogels R.","J Neurosci. 2021 Jul 28;41(30):6484-6501. doi: 10.1523/JNEUROSCI.0348-21.2021. Epub 2021 Jun 15.","Bognár A","J Neurosci","2021","2021/06/16","PMC8318075","","10.1523/JNEUROSCI.0348-21.2021"
"34058333","PriMa: A low-cost, modular, open hardware, and 3D-printed fMRI manipulandum","Greulich RS, Hüser T, Dörge M, Scherberger H.","Neuroimage. 2021 Sep;238:118218. doi: 10.1016/j.neuroimage.2021.118218. Epub 2021 May 29.","Greulich RS","Neuroimage","2021","2021/05/31","","","10.1016/j.neuroimage.2021.118218"
"34011626","Na(v)1.7 target modulation and efficacy can be measured in nonhuman primate assays","Kraus RL, Zhao F, Pall PS, Zhou D, Vardigan JD, Danziger A, Li Y, Daley C, Ballard JE, Clements MK, Klein RM, Holahan MA, Greshock TJ, Kim RM, Layton ME, Burgey CS, Serra J, Henze DA, Houghton AK.","Sci Transl Med. 2021 May 19;13(594):eaay1050. doi: 10.1126/scitranslmed.aay1050.","Kraus RL","Sci Transl Med","2021","2021/05/20","","","10.1126/scitranslmed.aay1050"
"33794360","The Subcortical Atlas of the Rhesus Macaque (SARM) for neuroimaging","Hartig R, Glen D, Jung B, Logothetis NK, Paxinos G, Garza-Villarreal EA, Messinger A, Evrard HC.","Neuroimage. 2021 Jul 15;235:117996. doi: 10.1016/j.neuroimage.2021.117996. Epub 2021 Mar 29.","Hartig R","Neuroimage","2021","2021/04/01","","","10.1016/j.neuroimage.2021.117996"
"33757907","Examining cross-modal fMRI adaptation for observed and executed actions in the monkey brain","Cui D, Nelissen K.","Neuroimage. 2021 Jun;233:117988. doi: 10.1016/j.neuroimage.2021.117988. Epub 2021 Mar 20.","Cui D","Neuroimage","2021","2021/03/24","","","10.1016/j.neuroimage.2021.117988"
"33667342","Electrical stimulation of the macaque ventral tegmental area drives category-selective learning without attention","Murris SR, Arsenault JT, Raman R, Vogels R, Vanduffel W.","Neuron. 2021 Apr 21;109(8):1381-1395.e7. doi: 10.1016/j.neuron.2021.02.013. Epub 2021 Mar 4.","Murris SR","Neuron","2021","2021/03/05","","","10.1016/j.neuron.2021.02.013"
"33636119","Audiovisual integration in macaque face patch neurons","Khandhadia AP, Murphy AP, Romanski LM, Bizley JK, Leopold DA.","Curr Biol. 2021 May 10;31(9):1826-1835.e3. doi: 10.1016/j.cub.2021.01.102. Epub 2021 Feb 25.","Khandhadia AP","Curr Biol","2021","2021/02/26","","","10.1016/j.cub.2021.01.102"
"33631015","Magnetic Resonance Imaging of Marmoset Monkeys","Schaeffer DJ, Liu C, Silva AC, Everling S.","ILAR J. 2021 Feb 26:ilaa029. doi: 10.1093/ilar/ilaa029. Online ahead of print.","Schaeffer DJ","ILAR J","2021","2021/02/25","","","10.1093/ilar/ilaa029"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33483324","Color Tuning of Face-Selective Neurons in Macaque Inferior Temporal Cortex","Duyck M, Chang ALY, Gruen TJ, Tello LY, Eastman S, Fuller-Deets J, Conway BR.","eNeuro. 2021 Apr 12;8(2):ENEURO.0395-20.2020. doi: 10.1523/ENEURO.0395-20.2020. Print 2021 Mar-Apr.","Duyck M","eNeuro","2021","2021/01/23","PMC8174038","","10.1523/ENEURO.0395-20.2020"
"33408410","Activation and disruption of a neural mechanism for novel choice in monkeys","Bongioanni A, Folloni D, Verhagen L, Sallet J, Klein-Flügge MC, Rushworth MFS.","Nature. 2021 Mar;591(7849):270-274. doi: 10.1038/s41586-020-03115-5. Epub 2021 Jan 6.","Bongioanni A","Nature","2021","2021/01/07","PMC7116896","EMS115990","10.1038/s41586-020-03115-5"
"33307225","Hierarchical disruption in the cortex of anesthetized monkeys as a new signature of consciousness loss","Signorelli CM, Uhrig L, Kringelbach M, Jarraya B, Deco G.","Neuroimage. 2021 Feb 15;227:117618. doi: 10.1016/j.neuroimage.2020.117618. Epub 2020 Dec 8.","Signorelli CM","Neuroimage","2021","2020/12/11","","","10.1016/j.neuroimage.2020.117618"
"33255604","Pupil Dilation during Reward Anticipation Is Correlated to Depressive Symptom Load in Patients with Major Depressive Disorder","Schneider M, Elbau IG, Nantawisarakul T, Pöhlchen D, Brückl T, BeCOME Working Group, Czisch M, Saemann PG, Lee MD, Binder EB, Spoormaker VI.","Brain Sci. 2020 Nov 25;10(12):906. doi: 10.3390/brainsci10120906.","Schneider M","Brain Sci","2020","2020/12/01","PMC7760331","","10.3390/brainsci10120906"
"33137475","The macaque brain ONPRC18 template with combined gray and white matter labelmap for multimodal neuroimaging studies of Nonhuman Primates","Weiss AR, Liu Z, Wang X, Liguore WA, Kroenke CD, McBride JL.","Neuroimage. 2021 Jan 15;225:117517. doi: 10.1016/j.neuroimage.2020.117517. Epub 2020 Nov 1.","Weiss AR","Neuroimage","2021","2020/11/02","PMC7833476","NIHMS1659147","10.1016/j.neuroimage.2020.117517"
"33122655","Shared functional connectivity between the dorso-medial and dorso-ventral streams in macaques","Greulich RS, Adam R, Everling S, Scherberger H.","Sci Rep. 2020 Oct 29;10(1):18610. doi: 10.1038/s41598-020-75219-x.","Greulich RS","Sci Rep","2020","2020/10/30","PMC7596572","","10.1038/s41598-020-75219-x"
"33112698","Whole brain mapping of somatosensory responses in awake marmosets investigated with ultra-high-field fMRI","Cléry JC, Hori Y, Schaeffer DJ, Gati JS, Pruszynski JA, Everling S.","J Neurophysiol. 2020 Dec 1;124(6):1900-1913. doi: 10.1152/jn.00480.2020. Epub 2020 Oct 28.","Cléry JC","J Neurophysiol","2020","2020/10/28","","","10.1152/jn.00480.2020"
"33075046","Adults vs. neonates: Differentiation of functional connectivity between the basolateral amygdala and occipitotemporal cortex","Hansen HA, Li J, Saygin ZM.","PLoS One. 2020 Oct 19;15(10):e0237204. doi: 10.1371/journal.pone.0237204. eCollection 2020.","Hansen HA","PLoS One","2020","2020/10/19","PMC7571669","","10.1371/journal.pone.0237204"
"32991277","A 16-Channel Dense Array for In Vivo Animal Cortical MRI/fMRI on 7T Human Scanners","Zhang X, Zhang J, Gao Y, Qian M, Qu S, Quan Z, Yu M, Chen X, Wang Y, Pan G, Adriany G, Roe AW.","IEEE Trans Biomed Eng. 2021 May;68(5):1611-1618. doi: 10.1109/TBME.2020.3027296. Epub 2021 Apr 21.","Zhang X","IEEE Trans Biomed Eng","2021","2020/09/29","","","10.1109/TBME.2020.3027296"
