PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34284336","Altered effective connectivity within an oculomotor control network in individuals with schizophrenia","Lehet M, Tso IF, Neggers SFW, Thompson IA, Yao B, Kahn RS, Thakkar KN.","Neuroimage Clin. 2021 Jul 14;31:102764. doi: 10.1016/j.nicl.2021.102764. Online ahead of print.","Lehet M","Neuroimage Clin","2021","2021/07/20","PMC8313596","","10.1016/j.nicl.2021.102764"
"34271158","Functional networks in non-human primate spinal cord and the effects of injury","Sengupta A, Mishra A, Wang F, Li M, Yang PF, Chen LM, Gore JC.","Neuroimage. 2021 Jul 14;240:118391. doi: 10.1016/j.neuroimage.2021.118391. Online ahead of print.","Sengupta A","Neuroimage","2021","2021/07/16","","","10.1016/j.neuroimage.2021.118391"
"34253629","Predicting identity-preserving object transformations across the human ventral visual stream","Mocz V, Vaziri-Pashkam M, Chun M, Xu Y.","J Neurosci. 2021 Jul 12:JN-RM-2137-20. doi: 10.1523/JNEUROSCI.2137-20.2021. Online ahead of print.","Mocz V","J Neurosci","2021","2021/07/13","","","10.1523/JNEUROSCI.2137-20.2021"
"34120262","An egocentric straight-ahead bias in primate's vision","Cottereau BR, Trotter Y, Durand JB.","Brain Struct Funct. 2021 Jun 13. doi: 10.1007/s00429-021-02314-8. Online ahead of print.","Cottereau BR","Brain Struct Funct","2021","2021/06/13","","","10.1007/s00429-021-02314-8"
"34048898","Common functional localizers to enhance NHP & cross-species neuroscience imaging research","Russ BE, Petkov CI, Kwok SC, Zhu Q, Belin P, Vanduffel W, Hamed SB.","Neuroimage. 2021 Aug 15;237:118203. doi: 10.1016/j.neuroimage.2021.118203. Epub 2021 May 25.","Russ BE","Neuroimage","2021","2021/05/28","","","10.1016/j.neuroimage.2021.118203"
"34011626","Na(v)1.7 target modulation and efficacy can be measured in nonhuman primate assays","Kraus RL, Zhao F, Pall PS, Zhou D, Vardigan JD, Danziger A, Li Y, Daley C, Ballard JE, Clements MK, Klein RM, Holahan MA, Greshock TJ, Kim RM, Layton ME, Burgey CS, Serra J, Henze DA, Houghton AK.","Sci Transl Med. 2021 May 19;13(594):eaay1050. doi: 10.1126/scitranslmed.aay1050.","Kraus RL","Sci Transl Med","2021","2021/05/20","","","10.1126/scitranslmed.aay1050"
"33945242","A thermal nociceptive patch in S2 cortex of nonhuman primates: a combined fMRI and electrophysiology study","Ye X, Yang PF, Liu Q, Dillenburger BD, Friedman RM, Chen LM.","Pain. 2021 Feb 23. doi: 10.1097/j.pain.0000000000002247. Online ahead of print.","Ye X","Pain","2021","2021/05/04","","","10.1097/j.pain.0000000000002247"
"33833228","Primate ventral striatum maintains neural representations of the value of previously rewarded objects for habitual seeking","Kang J, Kim H, Hwang SH, Han M, Lee SH, Kim HF.","Nat Commun. 2021 Apr 8;12(1):2100. doi: 10.1038/s41467-021-22335-5.","Kang J","Nat Commun","2021","2021/04/09","PMC8032767","","10.1038/s41467-021-22335-5"
"33794355","Combining brain perturbation and neuroimaging in non-human primates","Klink PC, Aubry JF, Ferrera VP, Fox AS, Froudist-Walsh S, Jarraya B, Konofagou EE, Krauzlis RJ, Messinger A, Mitchell AS, Ortiz-Rios M, Oya H, Roberts AC, Roe AW, Rushworth MFS, Sallet J, Schmid MC, Schroeder CE, Tasserie J, Tsao DY, Uhrig L, Vanduffel W, Wilke M, Kagan I, Petkov CI.","Neuroimage. 2021 Jul 15;235:118017. doi: 10.1016/j.neuroimage.2021.118017. Epub 2021 Mar 29.","Klink PC","Neuroimage","2021","2021/04/01","","","10.1016/j.neuroimage.2021.118017"
"33789916","Examining the Coding Strength of Object Identity and Nonidentity Features in Human Occipito-Temporal Cortex and Convolutional Neural Networks","Xu Y, Vaziri-Pashkam M.","J Neurosci. 2021 May 12;41(19):4234-4252. doi: 10.1523/JNEUROSCI.1993-20.2021. Epub 2021 Mar 31.","Xu Y","J Neurosci","2021","2021/04/01","PMC8143201","","10.1523/JNEUROSCI.1993-20.2021"
