PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34222873","The role of the medial prefrontal cortex in cognition, ageing and dementia","Jobson DD, Hase Y, Clarkson AN, Kalaria RN.","Brain Commun. 2021 Jun 11;3(3):fcab125. doi: 10.1093/braincomms/fcab125. eCollection 2021 Jul.","Jobson DD","Brain Commun","2021","2021/07/05","PMC8249104","","10.1093/braincomms/fcab125"
"33967711","Functional Connectivity of the Human Paraventricular Thalamic Nucleus: Insights From High Field Functional MRI","Kark SM, Birnie MT, Baram TZ, Yassa MA.","Front Integr Neurosci. 2021 Apr 21;15:662293. doi: 10.3389/fnint.2021.662293. eCollection 2021.","Kark SM","Front Integr Neurosci","2021","2021/05/10","PMC8096909","","10.3389/fnint.2021.662293"
"33560448","Resting fMRI-guided TMS results in subcortical and brain network modulation indexed by interleaved TMS/fMRI","Oathes DJ, Zimmerman JP, Duprat R, Japp SS, Scully M, Rosenberg BM, Flounders MW, Long H, Deluisi JA, Elliott M, Shandler G, Shinohara RT, Linn KA.","Exp Brain Res. 2021 Apr;239(4):1165-1178. doi: 10.1007/s00221-021-06036-5. Epub 2021 Feb 9.","Oathes DJ","Exp Brain Res","2021","2021/02/09","","","10.1007/s00221-021-06036-5"
"33511726","An 8-dipole transceive and 24-loop receive array for non-human primate head imaging at 10.5 T","Lagore RL, Moeller S, Zimmermann J, DelaBarre L, Radder J, Grant A, Ugurbil K, Yacoub E, Harel N, Adriany G.","NMR Biomed. 2021 Apr;34(4):e4472. doi: 10.1002/nbm.4472. Epub 2021 Jan 29.","Lagore RL","NMR Biomed","2021","2021/01/29","PMC8103796","NIHMS1682364","10.1002/nbm.4472"
"33460838","Bidirectional and state-dependent modulation of brain activity by transcranial focused ultrasound in non-human primates","Yang PF, Phipps MA, Jonathan S, Newton AT, Byun N, Gore JC, Grissom WA, Caskey CF, Chen LM.","Brain Stimul. 2021 Mar-Apr;14(2):261-272. doi: 10.1016/j.brs.2021.01.006. Epub 2021 Jan 15.","Yang PF","Brain Stimul","2021","2021/01/18","PMC7988301","NIHMS1663531","10.1016/j.brs.2021.01.006"
"33408615","Dynamic Interhemispheric Desynchronization in Marmosets and Humans With Disorders of the Corpus Callosum","Szczupak D, Yen CC, Liu C, Tian X, Lent R, Tovar-Moll F, Silva AC; IRC5 Consortium.","Front Neural Circuits. 2020 Dec 21;14:612595. doi: 10.3389/fncir.2020.612595. eCollection 2020.","Szczupak D","Front Neural Circuits","2020","2021/01/07","PMC7779638","","10.3389/fncir.2020.612595"
"33338613","Altered hippocampal-prefrontal functional network integrity in adult macaque monkeys with neonatal hippocampal lesions","Li CX, Li Z, Hu X, Zhang X, Bachevalier J.","Neuroimage. 2021 Feb 15;227:117645. doi: 10.1016/j.neuroimage.2020.117645. Epub 2020 Dec 15.","Li CX","Neuroimage","2021","2020/12/18","","","10.1016/j.neuroimage.2020.117645"
"32833632","A Magnetic Resonance-Guided Focused Ultrasound Neuromodulation System With a Whole Brain Coil Array for Nonhuman Primates at 3 T","Li Y, Lee J, Long X, Qiao Y, Ma T, He Q, Cao P, Zhang X, Zheng H.","IEEE Trans Med Imaging. 2020 Dec;39(12):4401-4412. doi: 10.1109/TMI.2020.3019087. Epub 2020 Nov 30.","Li Y","IEEE Trans Med Imaging","2020","2020/08/25","","","10.1109/TMI.2020.3019087"
"32822812","Hierarchical cortical gradients in somatosensory processing","Saadon-Grosman N, Arzy S, Loewenstein Y.","Neuroimage. 2020 Nov 15;222:117257. doi: 10.1016/j.neuroimage.2020.117257. Epub 2020 Aug 18.","Saadon-Grosman N","Neuroimage","2020","2020/08/22","","","10.1016/j.neuroimage.2020.117257"
"32822603","Having Infants in the Family Group Promotes Altruistic Behavior of Marmoset Monkeys","Huang J, Cheng X, Zhang S, Chang L, Li X, Liang Z, Gong N.","Curr Biol. 2020 Oct 19;30(20):4047-4055.e3. doi: 10.1016/j.cub.2020.07.045. Epub 2020 Aug 20.","Huang J","Curr Biol","2020","2020/08/22","","","10.1016/j.cub.2020.07.045"
"32514083","Transcriptional and imaging-genetic association of cortical interneurons, brain function, and schizophrenia risk","Anderson KM, Collins MA, Chin R, Ge T, Rosenberg MD, Holmes AJ.","Nat Commun. 2020 Jun 8;11(1):2889. doi: 10.1038/s41467-020-16710-x.","Anderson KM","Nat Commun","2020","2020/06/10","PMC7280213","","10.1038/s41467-020-16710-x"
"32087231","Optimization of a transmit/receive surface coil for squirrel monkey spinal cord imaging","Lu M, Wang F, Chen LM, Gore JC, Yan X.","Magn Reson Imaging. 2020 May;68:197-202. doi: 10.1016/j.mri.2020.02.011. Epub 2020 Feb 19.","Lu M","Magn Reson Imaging","2020","2020/02/23","PMC7136156","NIHMS1566825","10.1016/j.mri.2020.02.011"
"31992744","Ultra High Field fMRI of Human Superior Colliculi Activity during Affective Visual Processing","Wang YC, Bianciardi M, Chanes L, Satpute AB.","Sci Rep. 2020 Jan 28;10(1):1331. doi: 10.1038/s41598-020-57653-z.","Wang YC","Sci Rep","2020","2020/01/30","PMC6987103","","10.1038/s41598-020-57653-z"
"31904490","In vivo functional localization of the temporal monocular crescent representation in human primary visual cortex","Nasr S, LaPierre C, Vaughn CE, Witzel T, Stockmann JP, Polimeni JR.","Neuroimage. 2020 Apr 1;209:116516. doi: 10.1016/j.neuroimage.2020.116516. Epub 2020 Jan 3.","Nasr S","Neuroimage","2020","2020/01/07","PMC7056564","NIHMS1548385","10.1016/j.neuroimage.2020.116516"
"31743789","Pypreclin: An automatic pipeline for macaque functional MRI preprocessing","Tasserie J, Grigis A, Uhrig L, Dupont M, Amadon A, Jarraya B.","Neuroimage. 2020 Feb 15;207:116353. doi: 10.1016/j.neuroimage.2019.116353. Epub 2019 Nov 16.","Tasserie J","Neuroimage","2020","2019/11/20","","","10.1016/j.neuroimage.2019.116353"
"30926817","Intrinsic functional architecture of the non-human primate spinal cord derived from fMRI and electrophysiology","Wu TL, Yang PF, Wang F, Shi Z, Mishra A, Wu R, Chen LM, Gore JC.","Nat Commun. 2019 Mar 29;10(1):1416. doi: 10.1038/s41467-019-09485-3.","Wu TL","Nat Commun","2019","2019/03/31","PMC6440970","","10.1038/s41467-019-09485-3"
"30877735","Cerebellar pathology in Alzheimer's disease","Mavroudis I.","Hell J Nucl Med. 2019 Jan-Apr;22 Suppl:174-179.","Mavroudis I","Hell J Nucl Med","2019","2019/03/17","","",""
"30566918","A surface loop array for in vivo small animal MRI/fMRI on 7T human scanners","Gao Y, Wang P, Qian M, Zhao J, Xu H, Zhang X.","Phys Med Biol. 2019 Jan 24;64(3):035009. doi: 10.1088/1361-6560/aaf9e4.","Gao Y","Phys Med Biol","2019","2018/12/20","","","10.1088/1361-6560/aaf9e4"
"30009124","Developing Repetitive Transcranial Magnetic Stimulation (rTMS) as a Treatment Tool for Cocaine Use Disorder: a Series of Six Translational Studies","Hanlon CA, Kearney-Ramos T, Dowdle LT, Hamilton S, DeVries W, Mithoefer O, Austelle C, Lench DH, Correia B, Canterberry M, Smith JP, Brady KT, George MS.","Curr Behav Neurosci Rep. 2017 Dec;4(4):341-352. doi: 10.1007/s40473-017-0135-4. Epub 2017 Oct 23.","Hanlon CA","Curr Behav Neurosci Rep","2017","2018/07/17","PMC6039979","NIHMS943591","10.1007/s40473-017-0135-4"
"29852280","Concentric radiofrequency arrays to increase the statistical power of resting-state maps in monkeys","Gilbert KM, Schaeffer DJ, Zeman P, Diedrichsen J, Everling S, Martinez-Trujillo JC, Pruszynski JA, Menon RS.","Neuroimage. 2018 Sep;178:287-294. doi: 10.1016/j.neuroimage.2018.05.057. Epub 2018 May 28.","Gilbert KM","Neuroimage","2018","2018/06/01","","","10.1016/j.neuroimage.2018.05.057"
"29789605","Neuromodulation of sensory networks in monkey brain by focused ultrasound with MRI guidance and detection","Yang PF, Phipps MA, Newton AT, Chaplin V, Gore JC, Caskey CF, Chen LM.","Sci Rep. 2018 May 22;8(1):7993. doi: 10.1038/s41598-018-26287-7.","Yang PF","Sci Rep","2018","2018/05/24","PMC5964220","","10.1038/s41598-018-26287-7"
"29679734","Cortical networks for encoding near and far space in the non-human primate","Cléry J, Guipponi O, Odouard S, Wardak C, Ben Hamed S.","Neuroimage. 2018 Aug 1;176:164-178. doi: 10.1016/j.neuroimage.2018.04.036. Epub 2018 Apr 19.","Cléry J","Neuroimage","2018","2018/04/22","","","10.1016/j.neuroimage.2018.04.036"
"29476765","Neural responses to visually observed social interactions","Walbrin J, Downing P, Koldewyn K.","Neuropsychologia. 2018 Apr;112:31-39. doi: 10.1016/j.neuropsychologia.2018.02.023. Epub 2018 Feb 22.","Walbrin J","Neuropsychologia","2018","2018/02/25","PMC5899757","","10.1016/j.neuropsychologia.2018.02.023"
"29415163","Genetic Variation of a DRD2 Co-expression Network is Associated with Changes in Prefrontal Function After D2 Receptors Stimulation","Selvaggi P, Pergola G, Gelao B, Di Carlo P, Nettis MA, Amico G, Fazio L, Rampino A, Sambataro F, Blasi G, Bertolino A.","Cereb Cortex. 2019 Mar 1;29(3):1162-1173. doi: 10.1093/cercor/bhy022.","Selvaggi P","Cereb Cortex","2019","2018/02/08","","","10.1093/cercor/bhy022"
"29285809","Investigation of the BOLD and CBV fMRI responses to somatosensory stimulation in awake marmosets (Callithrix jacchus)","Hirano Y, Yen CC, Liu JV, Mackel JB, Merkle H, Nascimento GC, Stefanovic B, Silva AC.","NMR Biomed. 2018 Mar;31(3):10.1002/nbm.3864. doi: 10.1002/nbm.3864. Epub 2017 Dec 29.","Hirano Y","NMR Biomed","2018","2017/12/30","PMC5841465","NIHMS939537","10.1002/nbm.3864"
"29055725","Evaluation of prolonged administration of isoflurane on cerebral blood flow and default mode network in macaque monkeys anesthetized with different maintenance doses","Li CX, Zhang X.","Neurosci Lett. 2018 Jan 1;662:402-408. doi: 10.1016/j.neulet.2017.10.034. Epub 2017 Oct 18.","Li CX","Neurosci Lett","2018","2017/10/23","PMC5722273","NIHMS919129","10.1016/j.neulet.2017.10.034"
"28466257","Cortical Representation of Pain and Touch: Evidence from Combined Functional Neuroimaging and Electrophysiology in Non-human Primates","Chen LM.","Neurosci Bull. 2018 Feb;34(1):165-177. doi: 10.1007/s12264-017-0133-2. Epub 2017 May 2.","Chen LM","Neurosci Bull","2018","2017/05/04","PMC5799120","","10.1007/s12264-017-0133-2"
"28457575","Objective analysis of the topological organization of the human cortical visual connectome suggests three visual pathways","Haak KV, Beckmann CF.","Cortex. 2018 Jan;98:73-83. doi: 10.1016/j.cortex.2017.03.020. Epub 2017 Apr 7.","Haak KV","Cortex","2018","2017/05/02","PMC5780302","","10.1016/j.cortex.2017.03.020"
"28389654","In vivo evidence of functional and anatomical stripe-based subdivisions in human V2 and V3","Dumoulin SO, Harvey BM, Fracasso A, Zuiderbaan W, Luijten PR, Wandell BA, Petridou N.","Sci Rep. 2017 Apr 7;7(1):733. doi: 10.1038/s41598-017-00634-6.","Dumoulin SO","Sci Rep","2017","2017/04/09","PMC5428808","","10.1038/s41598-017-00634-6"
