PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34222873","The role of the medial prefrontal cortex in cognition, ageing and dementia","Jobson DD, Hase Y, Clarkson AN, Kalaria RN.","Brain Commun. 2021 Jun 11;3(3):fcab125. doi: 10.1093/braincomms/fcab125. eCollection 2021 Jul.","Jobson DD","Brain Commun","2021","2021/07/05","PMC8249104","","10.1093/braincomms/fcab125"
"33511726","An 8-dipole transceive and 24-loop receive array for non-human primate head imaging at 10.5 T","Lagore RL, Moeller S, Zimmermann J, DelaBarre L, Radder J, Grant A, Ugurbil K, Yacoub E, Harel N, Adriany G.","NMR Biomed. 2021 Apr;34(4):e4472. doi: 10.1002/nbm.4472. Epub 2021 Jan 29.","Lagore RL","NMR Biomed","2021","2021/01/29","PMC8103796","NIHMS1682364","10.1002/nbm.4472"
"33460838","Bidirectional and state-dependent modulation of brain activity by transcranial focused ultrasound in non-human primates","Yang PF, Phipps MA, Jonathan S, Newton AT, Byun N, Gore JC, Grissom WA, Caskey CF, Chen LM.","Brain Stimul. 2021 Mar-Apr;14(2):261-272. doi: 10.1016/j.brs.2021.01.006. Epub 2021 Jan 15.","Yang PF","Brain Stimul","2021","2021/01/18","PMC7988301","NIHMS1663531","10.1016/j.brs.2021.01.006"
"33408615","Dynamic Interhemispheric Desynchronization in Marmosets and Humans With Disorders of the Corpus Callosum","Szczupak D, Yen CC, Liu C, Tian X, Lent R, Tovar-Moll F, Silva AC; IRC5 Consortium.","Front Neural Circuits. 2020 Dec 21;14:612595. doi: 10.3389/fncir.2020.612595. eCollection 2020.","Szczupak D","Front Neural Circuits","2020","2021/01/07","PMC7779638","","10.3389/fncir.2020.612595"
"32822812","Hierarchical cortical gradients in somatosensory processing","Saadon-Grosman N, Arzy S, Loewenstein Y.","Neuroimage. 2020 Nov 15;222:117257. doi: 10.1016/j.neuroimage.2020.117257. Epub 2020 Aug 18.","Saadon-Grosman N","Neuroimage","2020","2020/08/22","","","10.1016/j.neuroimage.2020.117257"
"32514083","Transcriptional and imaging-genetic association of cortical interneurons, brain function, and schizophrenia risk","Anderson KM, Collins MA, Chin R, Ge T, Rosenberg MD, Holmes AJ.","Nat Commun. 2020 Jun 8;11(1):2889. doi: 10.1038/s41467-020-16710-x.","Anderson KM","Nat Commun","2020","2020/06/10","PMC7280213","","10.1038/s41467-020-16710-x"
"32087231","Optimization of a transmit/receive surface coil for squirrel monkey spinal cord imaging","Lu M, Wang F, Chen LM, Gore JC, Yan X.","Magn Reson Imaging. 2020 May;68:197-202. doi: 10.1016/j.mri.2020.02.011. Epub 2020 Feb 19.","Lu M","Magn Reson Imaging","2020","2020/02/23","PMC7136156","NIHMS1566825","10.1016/j.mri.2020.02.011"
"31992744","Ultra High Field fMRI of Human Superior Colliculi Activity during Affective Visual Processing","Wang YC, Bianciardi M, Chanes L, Satpute AB.","Sci Rep. 2020 Jan 28;10(1):1331. doi: 10.1038/s41598-020-57653-z.","Wang YC","Sci Rep","2020","2020/01/30","PMC6987103","","10.1038/s41598-020-57653-z"
"31904490","In vivo functional localization of the temporal monocular crescent representation in human primary visual cortex","Nasr S, LaPierre C, Vaughn CE, Witzel T, Stockmann JP, Polimeni JR.","Neuroimage. 2020 Apr 1;209:116516. doi: 10.1016/j.neuroimage.2020.116516. Epub 2020 Jan 3.","Nasr S","Neuroimage","2020","2020/01/07","PMC7056564","NIHMS1548385","10.1016/j.neuroimage.2020.116516"
"30877735","Cerebellar pathology in Alzheimer's disease","Mavroudis I.","Hell J Nucl Med. 2019 Jan-Apr;22 Suppl:174-179.","Mavroudis I","Hell J Nucl Med","2019","2019/03/17","","",""
"29789605","Neuromodulation of sensory networks in monkey brain by focused ultrasound with MRI guidance and detection","Yang PF, Phipps MA, Newton AT, Chaplin V, Gore JC, Caskey CF, Chen LM.","Sci Rep. 2018 May 22;8(1):7993. doi: 10.1038/s41598-018-26287-7.","Yang PF","Sci Rep","2018","2018/05/24","PMC5964220","","10.1038/s41598-018-26287-7"
"29415163","Genetic Variation of a DRD2 Co-expression Network is Associated with Changes in Prefrontal Function After D2 Receptors Stimulation","Selvaggi P, Pergola G, Gelao B, Di Carlo P, Nettis MA, Amico G, Fazio L, Rampino A, Sambataro F, Blasi G, Bertolino A.","Cereb Cortex. 2019 Mar 1;29(3):1162-1173. doi: 10.1093/cercor/bhy022.","Selvaggi P","Cereb Cortex","2019","2018/02/08","","","10.1093/cercor/bhy022"
"28466257","Cortical Representation of Pain and Touch: Evidence from Combined Functional Neuroimaging and Electrophysiology in Non-human Primates","Chen LM.","Neurosci Bull. 2018 Feb;34(1):165-177. doi: 10.1007/s12264-017-0133-2. Epub 2017 May 2.","Chen LM","Neurosci Bull","2018","2017/05/04","PMC5799120","","10.1007/s12264-017-0133-2"
"28457575","Objective analysis of the topological organization of the human cortical visual connectome suggests three visual pathways","Haak KV, Beckmann CF.","Cortex. 2018 Jan;98:73-83. doi: 10.1016/j.cortex.2017.03.020. Epub 2017 Apr 7.","Haak KV","Cortex","2018","2017/05/02","PMC5780302","","10.1016/j.cortex.2017.03.020"
"28389654","In vivo evidence of functional and anatomical stripe-based subdivisions in human V2 and V3","Dumoulin SO, Harvey BM, Fracasso A, Zuiderbaan W, Luijten PR, Wandell BA, Petridou N.","Sci Rep. 2017 Apr 7;7(1):733. doi: 10.1038/s41598-017-00634-6.","Dumoulin SO","Sci Rep","2017","2017/04/09","PMC5428808","","10.1038/s41598-017-00634-6"
"28161319","Biophysical and neural basis of resting state functional connectivity: Evidence from non-human primates","Chen LM, Yang PF, Wang F, Mishra A, Shi Z, Wu R, Wu TL, Wilson GH 3rd, Ding Z, Gore JC.","Magn Reson Imaging. 2017 Jun;39:71-81. doi: 10.1016/j.mri.2017.01.020. Epub 2017 Feb 2.","Chen LM","Magn Reson Imaging","2017","2017/02/06","PMC5410395","NIHMS852391","10.1016/j.mri.2017.01.020"
"28032008","Effects of isoflurane anesthesia on resting-state fMRI signals and functional connectivity within primary somatosensory cortex of monkeys","Wu TL, Mishra A, Wang F, Yang PF, Gore JC, Chen LM.","Brain Behav. 2016 Oct 11;6(12):e00591. doi: 10.1002/brb3.591. eCollection 2016 Dec.","Wu TL","Brain Behav","2016","2016/12/30","PMC5167001","","10.1002/brb3.591"
"27344239","Stereopsis after anterior temporal lobectomy","Verhoef BE, Decramer T, van Loon J, Goffin J, Van Paesschen W, Janssen P, Theys T.","Cortex. 2016 Sep;82:63-71. doi: 10.1016/j.cortex.2016.05.020. Epub 2016 Jun 8.","Verhoef BE","Cortex","2016","2016/06/27","","","10.1016/j.cortex.2016.05.020"
"25970649","Functional subdivisions of medial parieto-occipital cortex in humans and nonhuman primates using resting-state fMRI","Hutchison RM, Culham JC, Flanagan JR, Everling S, Gallivan JP.","Neuroimage. 2015 Aug 1;116:10-29. doi: 10.1016/j.neuroimage.2015.04.068. Epub 2015 May 10.","Hutchison RM","Neuroimage","2015","2015/05/14","","","10.1016/j.neuroimage.2015.04.068"
"25576538","Planning Ahead: Object-Directed Sequential Actions Decoded from Human Frontoparietal and Occipitotemporal Networks","Gallivan JP, Johnsrude IS, Flanagan JR.","Cereb Cortex. 2016 Feb;26(2):708-30. doi: 10.1093/cercor/bhu302. Epub 2015 Jan 9.","Gallivan JP","Cereb Cortex","2016","2015/01/11","PMC4712801","","10.1093/cercor/bhu302"
"24452906","The impact of vascular factors on language localization in the superior temporal sulcus","Wilson SM.","Hum Brain Mapp. 2014 Aug;35(8):4049-63. doi: 10.1002/hbm.22457. Epub 2014 Jan 22.","Wilson SM","Hum Brain Mapp","2014","2014/01/24","PMC4831909","NIHMS774278","10.1002/hbm.22457"
"24440411","Representation of response alternatives in human presupplementary motor area: multi-voxel pattern analysis in a go/no-go task","Fedota JR, Hardee JE, Pérez-Edgar K, Thompson JC.","Neuropsychologia. 2014 Apr;56:110-118. doi: 10.1016/j.neuropsychologia.2013.12.022. Epub 2014 Jan 15.","Fedota JR","Neuropsychologia","2014","2014/01/21","PMC3966967","NIHMS556491","10.1016/j.neuropsychologia.2013.12.022"
"24244892","Quantitative MRI Measures in SIV-Infected Macaque Brains","Zhang X, Li C.","J Clin Cell Immunol. 2013;Suppl 7:005. doi: 10.4172/2155-9899.S7-005.","Zhang X","J Clin Cell Immunol","2013","2013/11/19","PMC3826881","NIHMS452246","10.4172/2155-9899.S7-005"
"22855672","Monkey in the middle: why non-human primates are needed to bridge the gap in resting-state investigations","Hutchison RM, Everling S.","Front Neuroanat. 2012 Jul 26;6:29. doi: 10.3389/fnana.2012.00029. eCollection 2012.","Hutchison RM","Front Neuroanat","2012","2012/08/03","PMC3405297","","10.3389/fnana.2012.00029"
"22737119","On the relationship between the ""default mode network"" and the ""social brain""","Mars RB, Neubert FX, Noonan MP, Sallet J, Toni I, Rushworth MF.","Front Hum Neurosci. 2012 Jun 21;6:189. doi: 10.3389/fnhum.2012.00189. eCollection 2012.","Mars RB","Front Hum Neurosci","2012","2012/06/28","PMC3380415","","10.3389/fnhum.2012.00189"
"22505995","Dissociating object directed and non-object directed action in the human mirror system; implications for theories of motor simulation","Agnew ZK, Wise RJ, Leech R.","PLoS One. 2012;7(4):e32517. doi: 10.1371/journal.pone.0032517. Epub 2012 Apr 10.","Agnew ZK","PLoS One","2012","2012/04/17","PMC3323585","","10.1371/journal.pone.0032517"
"22456882","Is visual processing in the dorsal stream accessible to consciousness?","Milner AD.","Proc Biol Sci. 2012 Jun 22;279(1737):2289-98. doi: 10.1098/rspb.2011.2663. Epub 2012 Mar 28.","Milner AD","Proc Biol Sci","2012","2012/03/30","PMC3350678","","10.1098/rspb.2011.2663"
"22235303","A functional and structural investigation of the human fronto-basal volitional saccade network","Neggers SF, Diepen RM, Zandbelt BB, Vink M, Mandl RC, Gutteling TP.","PLoS One. 2012;7(1):e29517. doi: 10.1371/journal.pone.0029517. Epub 2012 Jan 3.","Neggers SF","PLoS One","2012","2012/01/12","PMC3250458","","10.1371/journal.pone.0029517"
"21044887","Population-averaged standard template brain atlas for the common marmoset (Callithrix jacchus)","Hikishima K, Quallo MM, Komaki Y, Yamada M, Kawai K, Momoshima S, Okano HJ, Sasaki E, Tamaoki N, Lemon RN, Iriki A, Okano H.","Neuroimage. 2011 Feb 14;54(4):2741-9. doi: 10.1016/j.neuroimage.2010.10.061. Epub 2010 Oct 29.","Hikishima K","Neuroimage","2011","2010/11/04","","","10.1016/j.neuroimage.2010.10.061"
"20600991","It is not always tickling: distinct cerebral responses during perception of different laughter types","Szameitat DP, Kreifelts B, Alter K, Szameitat AJ, Sterr A, Grodd W, Wildgruber D.","Neuroimage. 2010 Dec;53(4):1264-71. doi: 10.1016/j.neuroimage.2010.06.028. Epub 2010 Jun 18.","Szameitat DP","Neuroimage","2010","2010/07/06","","","10.1016/j.neuroimage.2010.06.028"
"17509896","Robust controlled functional MRI in alert monkeys at high magnetic field: effects of jaw and body movements","Keliris GA, Shmuel A, Ku SP, Pfeuffer J, Oeltermann A, Steudel T, Logothetis NK.","Neuroimage. 2007 Jul 1;36(3):550-70. doi: 10.1016/j.neuroimage.2007.02.057. Epub 2007 Apr 10.","Keliris GA","Neuroimage","2007","2007/05/19","","","10.1016/j.neuroimage.2007.02.057"
"16702192","Non-invasive mapping of corticofugal fibres from multiple motor areas--relevance to stroke recovery","Newton JM, Ward NS, Parker GJ, Deichmann R, Alexander DC, Friston KJ, Frackowiak RS.","Brain. 2006 Jul;129(Pt 7):1844-58. doi: 10.1093/brain/awl106. Epub 2006 May 15.","Newton JM","Brain","2006","2006/05/17","PMC3718077","EMS53925","10.1093/brain/awl106"
"11726800","Somatotopic organization of the medial wall of the cerebral hemispheres: a 3 Tesla fMRI study","Mayer AR, Zimbelman JL, Watanabe Y, Rao SM.","Neuroreport. 2001 Dec 4;12(17):3811-4. doi: 10.1097/00001756-200112040-00042.","Mayer AR","Neuroreport","2001","2001/12/01","","","10.1097/00001756-200112040-00042"
"11480525","Functional MRI activity in the thalamus and occipital cortex of anesthetized dogs induced by monocular and binocular stimulation","Willis CK, Quinn RP, McDonell WM, Gati J, Partlow G, Vilis T.","Can J Vet Res. 2001 Jul;65(3):188-95.","Willis CK","Can J Vet Res","2001","2001/08/02","PMC1189674","",""
