PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33757907","Examining cross-modal fMRI adaptation for observed and executed actions in the monkey brain","Cui D, Nelissen K.","Neuroimage. 2021 Jun;233:117988. doi: 10.1016/j.neuroimage.2021.117988. Epub 2021 Mar 20.","Cui D","Neuroimage","2021","2021/03/24","","","10.1016/j.neuroimage.2021.117988"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33137475","The macaque brain ONPRC18 template with combined gray and white matter labelmap for multimodal neuroimaging studies of Nonhuman Primates","Weiss AR, Liu Z, Wang X, Liguore WA, Kroenke CD, McBride JL.","Neuroimage. 2021 Jan 15;225:117517. doi: 10.1016/j.neuroimage.2020.117517. Epub 2020 Nov 1.","Weiss AR","Neuroimage","2021","2020/11/02","PMC7833476","NIHMS1659147","10.1016/j.neuroimage.2020.117517"
"33122437","Differential functional connectivity underlying asymmetric reward-related activity in human and nonhuman primates","Lopez-Persem A, Roumazeilles L, Folloni D, Marche K, Fouragnan EF, Khalighinejad N, Rushworth MFS, Sallet J.","Proc Natl Acad Sci U S A. 2020 Nov 10;117(45):28452-28462. doi: 10.1073/pnas.2000759117. Epub 2020 Oct 29.","Lopez-Persem A","Proc Natl Acad Sci U S A","2020","2020/10/30","PMC7668182","","10.1073/pnas.2000759117"
"33112698","Whole brain mapping of somatosensory responses in awake marmosets investigated with ultra-high-field fMRI","Cléry JC, Hori Y, Schaeffer DJ, Gati JS, Pruszynski JA, Everling S.","J Neurophysiol. 2020 Dec 1;124(6):1900-1913. doi: 10.1152/jn.00480.2020. Epub 2020 Oct 28.","Cléry JC","J Neurophysiol","2020","2020/10/28","","","10.1152/jn.00480.2020"
"32928886","Parallel Processing of Facial Expression and Head Orientation in the Macaque Brain","Taubert J, Japee S, Murphy AP, Tardiff CT, Koele EA, Kumar S, Leopold DA, Ungerleider LG.","J Neurosci. 2020 Oct 14;40(42):8119-8131. doi: 10.1523/JNEUROSCI.0524-20.2020. Epub 2020 Sep 14.","Taubert J","J Neurosci","2020","2020/09/15","PMC7574659","","10.1523/JNEUROSCI.0524-20.2020"
"32898683","Ultra-high field (10.5 T) resting state fMRI in the macaque","Yacoub E, Grier MD, Auerbach EJ, Lagore RL, Harel N, Adriany G, Zilverstand A, Hayden BY, Heilbronner SR, Uğurbil K, Zimmermann J.","Neuroimage. 2020 Dec;223:117349. doi: 10.1016/j.neuroimage.2020.117349. Epub 2020 Sep 6.","Yacoub E","Neuroimage","2020","2020/09/08","PMC7745777","NIHMS1651795","10.1016/j.neuroimage.2020.117349"
"32818615","Evolutional and developmental anatomical architecture of the left inferior frontal gyrus","Wang J, Yang Y, Zhao X, Zuo Z, Tan LH.","Neuroimage. 2020 Nov 15;222:117268. doi: 10.1016/j.neuroimage.2020.117268. Epub 2020 Aug 18.","Wang J","Neuroimage","2020","2020/08/21","","","10.1016/j.neuroimage.2020.117268"
"32541016","Auditory representation of learned sound sequences in motor regions of the macaque brain","Archakov D, DeWitt I, Kuśmierek P, Ortiz-Rios M, Cameron D, Cui D, Morin EL, VanMeter JW, Sams M, Jääskeläinen IP, Rauschecker JP.","Proc Natl Acad Sci U S A. 2020 Jun 30;117(26):15242-15252. doi: 10.1073/pnas.1915610117. Epub 2020 Jun 15.","Archakov D","Proc Natl Acad Sci U S A","2020","2020/06/17","PMC7334521","","10.1073/pnas.1915610117"
"32439858","Long-term alterations in brain and behavior after postnatal Zika virus infection in infant macaques","Raper J, Kovacs-Balint Z, Mavigner M, Gumber S, Burke MW, Habib J, Mattingly C, Fair D, Earl E, Feczko E, Styner M, Jean SM, Cohen JK, Suthar MS, Sanchez MM, Alvarado MC, Chahroudi A.","Nat Commun. 2020 May 21;11(1):2534. doi: 10.1038/s41467-020-16320-7.","Raper J","Nat Commun","2020","2020/05/23","PMC7242369","","10.1038/s41467-020-16320-7"
