PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34222873","The role of the medial prefrontal cortex in cognition, ageing and dementia","Jobson DD, Hase Y, Clarkson AN, Kalaria RN.","Brain Commun. 2021 Jun 11;3(3):fcab125. doi: 10.1093/braincomms/fcab125. eCollection 2021 Jul.","Jobson DD","Brain Commun","2021","2021/07/05","PMC8249104","","10.1093/braincomms/fcab125"
"33834704","The superior parietal lobule of primates: a sensory-motor hub for interaction with the environment","Passarelli L, Gamberini M, Fattori P.","J Integr Neurosci. 2021 Mar 30;20(1):157-171. doi: 10.31083/j.jin.2021.01.334.","Passarelli L","J Integr Neurosci","2021","2021/04/09","","","10.31083/j.jin.2021.01.334"
"33770531","GABA levels in ventral visual cortex decline with age and are associated with neural distinctiveness","Chamberlain JD, Gagnon H, Lalwani P, Cassady KE, Simmonite M, Seidler RD, Taylor SF, Weissman DH, Park DC, Polk TA.","Neurobiol Aging. 2021 Jun;102:170-177. doi: 10.1016/j.neurobiolaging.2021.02.013. Epub 2021 Feb 26.","Chamberlain JD","Neurobiol Aging","2021","2021/03/26","PMC8205971","NIHMS1686882","10.1016/j.neurobiolaging.2021.02.013"
"33511726","An 8-dipole transceive and 24-loop receive array for non-human primate head imaging at 10.5 T","Lagore RL, Moeller S, Zimmermann J, DelaBarre L, Radder J, Grant A, Ugurbil K, Yacoub E, Harel N, Adriany G.","NMR Biomed. 2021 Apr;34(4):e4472. doi: 10.1002/nbm.4472. Epub 2021 Jan 29.","Lagore RL","NMR Biomed","2021","2021/01/29","PMC8103796","NIHMS1682364","10.1002/nbm.4472"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33460838","Bidirectional and state-dependent modulation of brain activity by transcranial focused ultrasound in non-human primates","Yang PF, Phipps MA, Jonathan S, Newton AT, Byun N, Gore JC, Grissom WA, Caskey CF, Chen LM.","Brain Stimul. 2021 Mar-Apr;14(2):261-272. doi: 10.1016/j.brs.2021.01.006. Epub 2021 Jan 15.","Yang PF","Brain Stimul","2021","2021/01/18","PMC7988301","NIHMS1663531","10.1016/j.brs.2021.01.006"
"33408615","Dynamic Interhemispheric Desynchronization in Marmosets and Humans With Disorders of the Corpus Callosum","Szczupak D, Yen CC, Liu C, Tian X, Lent R, Tovar-Moll F, Silva AC; IRC5 Consortium.","Front Neural Circuits. 2020 Dec 21;14:612595. doi: 10.3389/fncir.2020.612595. eCollection 2020.","Szczupak D","Front Neural Circuits","2020","2021/01/07","PMC7779638","","10.3389/fncir.2020.612595"
"33248260","Resting state functional atlas and cerebral networks in mouse lemur primates at 11.7 Tesla","Garin CM, Nadkarni NA, Landeau B, Chételat G, Picq JL, Bougacha S, Dhenain M.","Neuroimage. 2021 Feb 1;226:117589. doi: 10.1016/j.neuroimage.2020.117589. Epub 2020 Nov 26.","Garin CM","Neuroimage","2021","2020/11/28","","","10.1016/j.neuroimage.2020.117589"
"33137475","The macaque brain ONPRC18 template with combined gray and white matter labelmap for multimodal neuroimaging studies of Nonhuman Primates","Weiss AR, Liu Z, Wang X, Liguore WA, Kroenke CD, McBride JL.","Neuroimage. 2021 Jan 15;225:117517. doi: 10.1016/j.neuroimage.2020.117517. Epub 2020 Nov 1.","Weiss AR","Neuroimage","2021","2020/11/02","PMC7833476","NIHMS1659147","10.1016/j.neuroimage.2020.117517"
"33122437","Differential functional connectivity underlying asymmetric reward-related activity in human and nonhuman primates","Lopez-Persem A, Roumazeilles L, Folloni D, Marche K, Fouragnan EF, Khalighinejad N, Rushworth MFS, Sallet J.","Proc Natl Acad Sci U S A. 2020 Nov 10;117(45):28452-28462. doi: 10.1073/pnas.2000759117. Epub 2020 Oct 29.","Lopez-Persem A","Proc Natl Acad Sci U S A","2020","2020/10/30","PMC7668182","","10.1073/pnas.2000759117"
"33112698","Whole brain mapping of somatosensory responses in awake marmosets investigated with ultra-high-field fMRI","Cléry JC, Hori Y, Schaeffer DJ, Gati JS, Pruszynski JA, Everling S.","J Neurophysiol. 2020 Dec 1;124(6):1900-1913. doi: 10.1152/jn.00480.2020. Epub 2020 Oct 28.","Cléry JC","J Neurophysiol","2020","2020/10/28","","","10.1152/jn.00480.2020"
