PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34271158","Functional networks in non-human primate spinal cord and the effects of injury","Sengupta A, Mishra A, Wang F, Li M, Yang PF, Chen LM, Gore JC.","Neuroimage. 2021 Jul 14;240:118391. doi: 10.1016/j.neuroimage.2021.118391. Online ahead of print.","Sengupta A","Neuroimage","2021","2021/07/16","","","10.1016/j.neuroimage.2021.118391"
"33967711","Functional Connectivity of the Human Paraventricular Thalamic Nucleus: Insights From High Field Functional MRI","Kark SM, Birnie MT, Baram TZ, Yassa MA.","Front Integr Neurosci. 2021 Apr 21;15:662293. doi: 10.3389/fnint.2021.662293. eCollection 2021.","Kark SM","Front Integr Neurosci","2021","2021/05/10","PMC8096909","","10.3389/fnint.2021.662293"
"33819611","Functional parcellation of human and macaque striatum reveals human-specific connectivity in the dorsal caudate","Liu X, Eickhoff SB, Caspers S, Wu J, Genon S, Hoffstaedter F, Mars RB, Sommer IE, Eickhoff CR, Chen J, Jardri R, Reetz K, Dogan I, Aleman A, Kogler L, Gruber O, Caspers J, Mathys C, Patil KR.","Neuroimage. 2021 Jul 15;235:118006. doi: 10.1016/j.neuroimage.2021.118006. Epub 2021 Apr 2.","Liu X","Neuroimage","2021","2021/04/05","PMC8214073","","10.1016/j.neuroimage.2021.118006"
"33338613","Altered hippocampal-prefrontal functional network integrity in adult macaque monkeys with neonatal hippocampal lesions","Li CX, Li Z, Hu X, Zhang X, Bachevalier J.","Neuroimage. 2021 Feb 15;227:117645. doi: 10.1016/j.neuroimage.2020.117645. Epub 2020 Dec 15.","Li CX","Neuroimage","2021","2020/12/18","","","10.1016/j.neuroimage.2020.117645"
"32919059","The human corticocortical vestibular network","Raiser TM, Flanagin VL, Duering M, van Ombergen A, Ruehl RM, Zu Eulenburg P.","Neuroimage. 2020 Dec;223:117362. doi: 10.1016/j.neuroimage.2020.117362. Epub 2020 Sep 9.","Raiser TM","Neuroimage","2020","2020/09/12","","","10.1016/j.neuroimage.2020.117362"
"32745096","Task-evoked activity quenches neural correlations and variability across cortical areas","Ito T, Brincat SL, Siegel M, Mill RD, He BJ, Miller EK, Rotstein HG, Cole MW.","PLoS Comput Biol. 2020 Aug 3;16(8):e1007983. doi: 10.1371/journal.pcbi.1007983. eCollection 2020 Aug.","Ito T","PLoS Comput Biol","2020","2020/08/04","PMC7425988","","10.1371/journal.pcbi.1007983"
"32038217","Animal Functional Magnetic Resonance Imaging: Trends and Path Toward Standardization","Mandino F, Cerri DH, Garin CM, Straathof M, van Tilborg GAF, Chakravarty MM, Dhenain M, Dijkhuizen RM, Gozzi A, Hess A, Keilholz SD, Lerch JP, Shih YI, Grandjean J.","Front Neuroinform. 2020 Jan 22;13:78. doi: 10.3389/fninf.2019.00078. eCollection 2019.","Mandino F","Front Neuroinform","2020","2020/02/11","PMC6987455","","10.3389/fninf.2019.00078"
"31858422","Effects of Chronic Ephedrine Toxicity on Functional Connections, Cell Apoptosis, and CREB-Related Proteins in the Prefrontal Cortex of Rhesus Monkeys","Duan S, Ma Y, Xie L, Zheng L, Huang J, Guo R, Sun Z, Xie Y, Lv J, Lin Z, Ma S.","Neurotox Res. 2020 Mar;37(3):602-615. doi: 10.1007/s12640-019-00146-3. Epub 2019 Dec 20.","Duan S","Neurotox Res","2020","2019/12/21","","","10.1007/s12640-019-00146-3"
"30926817","Intrinsic functional architecture of the non-human primate spinal cord derived from fMRI and electrophysiology","Wu TL, Yang PF, Wang F, Shi Z, Mishra A, Wu R, Chen LM, Gore JC.","Nat Commun. 2019 Mar 29;10(1):1416. doi: 10.1038/s41467-019-09485-3.","Wu TL","Nat Commun","2019","2019/03/31","PMC6440970","","10.1038/s41467-019-09485-3"
"30462609","Macro-connectomics and microstructure predict dynamic plasticity patterns in the non-human primate brain","Froudist-Walsh S, Browning PG, Young JJ, Murphy KL, Mars RB, Fleysher L, Croxson PL.","Elife. 2018 Nov 21;7:e34354. doi: 10.7554/eLife.34354.","Froudist-Walsh S","Elife","2018","2018/11/22","PMC6249000","","10.7554/eLife.34354"
