PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34301724","General Anesthesia Disrupts Complex Cortical Dynamics in Response to Intracranial Electrical Stimulation in Rats","Arena A, Comolatti R, Thon S, Casali AG, Storm JF.","eNeuro. 2021 Aug 5;8(4):ENEURO.0343-20.2021. doi: 10.1523/ENEURO.0343-20.2021. Print 2021 Jul-Aug.","Arena A","eNeuro","2021","2021/07/24","PMC8354715","","10.1523/ENEURO.0343-20.2021"
"34273134","Structure, function and connectivity fingerprints of the frontal eye field versus the inferior frontal junction: A comprehensive comparison","Bedini M, Baldauf D.","Eur J Neurosci. 2021 Jul 17. doi: 10.1111/ejn.15393. Online ahead of print.","Bedini M","Eur J Neurosci","2021","2021/07/17","","","10.1111/ejn.15393"
"34271158","Functional networks in non-human primate spinal cord and the effects of injury","Sengupta A, Mishra A, Wang F, Li M, Yang PF, Chen LM, Gore JC.","Neuroimage. 2021 Jul 14;240:118391. doi: 10.1016/j.neuroimage.2021.118391. Online ahead of print.","Sengupta A","Neuroimage","2021","2021/07/16","","","10.1016/j.neuroimage.2021.118391"
"34244809","A 7-Tesla MRI Study of the Periaqueductal Grey: Resting State and Task Activation Under Threat","Weis CN, Bennett KP, Huggins AA, Parisi EA, Gorka SM, Larson C.","Soc Cogn Affect Neurosci. 2021 Jul 9:nsab085. doi: 10.1093/scan/nsab085. Online ahead of print.","Weis CN","Soc Cogn Affect Neurosci","2021","2021/07/10","","","10.1093/scan/nsab085"
"34222873","The role of the medial prefrontal cortex in cognition, ageing and dementia","Jobson DD, Hase Y, Clarkson AN, Kalaria RN.","Brain Commun. 2021 Jun 11;3(3):fcab125. doi: 10.1093/braincomms/fcab125. eCollection 2021 Jul.","Jobson DD","Brain Commun","2021","2021/07/05","PMC8249104","","10.1093/braincomms/fcab125"
"33967711","Functional Connectivity of the Human Paraventricular Thalamic Nucleus: Insights From High Field Functional MRI","Kark SM, Birnie MT, Baram TZ, Yassa MA.","Front Integr Neurosci. 2021 Apr 21;15:662293. doi: 10.3389/fnint.2021.662293. eCollection 2021.","Kark SM","Front Integr Neurosci","2021","2021/05/10","PMC8096909","","10.3389/fnint.2021.662293"
"33849949","High-Level Representations in Human Occipito-Temporal Cortex Are Indexed by Distal Connectivity","Walbrin J, Almeida J.","J Neurosci. 2021 May 26;41(21):4678-4685. doi: 10.1523/JNEUROSCI.2857-20.2021. Epub 2021 Apr 13.","Walbrin J","J Neurosci","2021","2021/04/14","PMC8260247","","10.1523/JNEUROSCI.2857-20.2021"
"33839768","The Brain Circuits and Dynamics of Curiosity-Driven Behavior in Naturally Curious Marmosets","Tian X, Silva AC, Liu C.","Cereb Cortex. 2021 Jul 29;31(9):4220-4232. doi: 10.1093/cercor/bhab080.","Tian X","Cereb Cortex","2021","2021/04/11","","","10.1093/cercor/bhab080"
"33648676","The neural, behavioral, and epidemiological underpinnings of comorbid alcohol use disorder and post-traumatic stress disorder","Carlson HN, Weiner JL.","Int Rev Neurobiol. 2021;157:69-142. doi: 10.1016/bs.irn.2020.09.006. Epub 2020 Nov 4.","Carlson HN","Int Rev Neurobiol","2021","2021/03/02","","","10.1016/bs.irn.2020.09.006"
"33647571","Chronic psychosocial stress and experimental pubertal delay affect socioemotional behavior and amygdala functional connectivity in adolescent female rhesus macaques","Pincus M, Godfrey JR, Feczko E, Earl E, Miranda-Dominguez O, Fair D, Wilson ME, Sanchez MM, Kelly C.","Psychoneuroendocrinology. 2021 May;127:105154. doi: 10.1016/j.psyneuen.2021.105154. Epub 2021 Feb 11.","Pincus M","Psychoneuroendocrinology","2021","2021/03/01","","","10.1016/j.psyneuen.2021.105154"
"33549746","Muting, not fragmentation, of functional brain networks under general anesthesia","Areshenkoff CN, Nashed JY, Hutchison RM, Hutchison M, Levy R, Cook DJ, Menon RS, Everling S, Gallivan JP.","Neuroimage. 2021 May 1;231:117830. doi: 10.1016/j.neuroimage.2021.117830. Epub 2021 Feb 4.","Areshenkoff CN","Neuroimage","2021","2021/02/07","","","10.1016/j.neuroimage.2021.117830"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33427167","Developmental outcomes of early adverse care on amygdala functional connectivity in nonhuman primates","Morin EL, Howell BR, Feczko E, Earl E, Pincus M, Reding K, Kovacs-Balint ZA, Meyer JS, Styner M, Fair D, Sanchez MM.","Dev Psychopathol. 2020 Dec;32(5):1579-1596. doi: 10.1017/S0954579420001133.","Morin EL","Dev Psychopathol","2020","2021/01/11","","","10.1017/S0954579420001133"
"33350445","Individual Variability in Functional Organization of the Human and Monkey Auditory Cortex","Ren J, Xu T, Wang D, Li M, Lin Y, Schoeppe F, Ramirez JSB, Han Y, Luan G, Li L, Liu H, Ahveninen J.","Cereb Cortex. 2021 Mar 31;31(5):2450-2465. doi: 10.1093/cercor/bhaa366.","Ren J","Cereb Cortex","2021","2020/12/22","PMC8023837","","10.1093/cercor/bhaa366"
"33268770","Effects of long-term cocaine self-administration on brain resting-state functional connectivity in nonhuman primates","Kohut SJ, Mintzopoulos D, Kangas BD, Shields H, Brown K, Gillis TE, Rohan ML, Bergman J, Kaufman MJ.","Transl Psychiatry. 2020 Dec 2;10(1):420. doi: 10.1038/s41398-020-01101-z.","Kohut SJ","Transl Psychiatry","2020","2020/12/03","PMC7710734","","10.1038/s41398-020-01101-z"
"33263778","Mapping the neural circuitry of predator fear in the nonhuman primate","Montardy Q, Kwan WC, Mundinano IC, Fox DM, Wang L, Gross CT, Bourne JA.","Brain Struct Funct. 2021 Jan;226(1):195-205. doi: 10.1007/s00429-020-02176-6. Epub 2020 Dec 2.","Montardy Q","Brain Struct Funct","2021","2020/12/02","PMC7817595","","10.1007/s00429-020-02176-6"
"33221453","Multimodal 3D atlas of the macaque monkey motor and premotor cortex","Rapan L, Froudist-Walsh S, Niu M, Xu T, Funck T, Zilles K, Palomero-Gallagher N.","Neuroimage. 2021 Feb 1;226:117574. doi: 10.1016/j.neuroimage.2020.117574. Epub 2020 Nov 20.","Rapan L","Neuroimage","2021","2020/11/22","PMC8168280","NIHMS1702877","10.1016/j.neuroimage.2020.117574"
"33122437","Differential functional connectivity underlying asymmetric reward-related activity in human and nonhuman primates","Lopez-Persem A, Roumazeilles L, Folloni D, Marche K, Fouragnan EF, Khalighinejad N, Rushworth MFS, Sallet J.","Proc Natl Acad Sci U S A. 2020 Nov 10;117(45):28452-28462. doi: 10.1073/pnas.2000759117. Epub 2020 Oct 29.","Lopez-Persem A","Proc Natl Acad Sci U S A","2020","2020/10/30","PMC7668182","","10.1073/pnas.2000759117"
"33097633","Cortico-Subcortical Functional Connectivity Profiles of Resting-State Networks in Marmosets and Humans","Hori Y, Schaeffer DJ, Yoshida A, Cléry JC, Hayrynen LK, Gati JS, Menon RS, Everling S.","J Neurosci. 2020 Nov 25;40(48):9236-9249. doi: 10.1523/JNEUROSCI.1984-20.2020. Epub 2020 Oct 23.","Hori Y","J Neurosci","2020","2020/10/24","PMC7687060","","10.1523/JNEUROSCI.1984-20.2020"
