PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34189370","Inferring network properties from time series using transfer entropy and mutual information: Validation of multivariate versus bivariate approaches","Novelli L, Lizier JT.","Netw Neurosci. 2021 Apr 27;5(2):373-404. doi: 10.1162/netn_a_00178. eCollection 2021.","Novelli L","Netw Neurosci","2021","2021/06/30","PMC8233116","","10.1162/netn_a_00178"
"34013540","A causal role for the pulvinar in coordinating task-independent cortico-cortical interactions","Eradath MK, Pinsk MA, Kastner S.","J Comp Neurol. 2021 May 19. doi: 10.1002/cne.25193. Online ahead of print.","Eradath MK","J Comp Neurol","2021","2021/05/20","","","10.1002/cne.25193"
"33819611","Functional parcellation of human and macaque striatum reveals human-specific connectivity in the dorsal caudate","Liu X, Eickhoff SB, Caspers S, Wu J, Genon S, Hoffstaedter F, Mars RB, Sommer IE, Eickhoff CR, Chen J, Jardri R, Reetz K, Dogan I, Aleman A, Kogler L, Gruber O, Caspers J, Mathys C, Patil KR.","Neuroimage. 2021 Jul 15;235:118006. doi: 10.1016/j.neuroimage.2021.118006. Epub 2021 Apr 2.","Liu X","Neuroimage","2021","2021/04/05","PMC8214073","","10.1016/j.neuroimage.2021.118006"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33427167","Developmental outcomes of early adverse care on amygdala functional connectivity in nonhuman primates","Morin EL, Howell BR, Feczko E, Earl E, Pincus M, Reding K, Kovacs-Balint ZA, Meyer JS, Styner M, Fair D, Sanchez MM.","Dev Psychopathol. 2020 Dec;32(5):1579-1596. doi: 10.1017/S0954579420001133.","Morin EL","Dev Psychopathol","2020","2021/01/11","","","10.1017/S0954579420001133"
"33385552","Resting-State functional networks of different topographic representations in the somatosensory cortex of macaque monkeys and humans","Thomas J, Sharma D, Mohanta S, Jain N.","Neuroimage. 2021 Mar;228:117694. doi: 10.1016/j.neuroimage.2020.117694. Epub 2020 Dec 30.","Thomas J","Neuroimage","2021","2021/01/01","","","10.1016/j.neuroimage.2020.117694"
"33338618","Intrinsic functional clustering of ventral premotor F5 in the macaque brain","Sharma S, Schaeffer DJ, Vinken K, Everling S, Nelissen K.","Neuroimage. 2021 Feb 15;227:117647. doi: 10.1016/j.neuroimage.2020.117647. Epub 2020 Dec 15.","Sharma S","Neuroimage","2021","2020/12/18","","","10.1016/j.neuroimage.2020.117647"
"33338613","Altered hippocampal-prefrontal functional network integrity in adult macaque monkeys with neonatal hippocampal lesions","Li CX, Li Z, Hu X, Zhang X, Bachevalier J.","Neuroimage. 2021 Feb 15;227:117645. doi: 10.1016/j.neuroimage.2020.117645. Epub 2020 Dec 15.","Li CX","Neuroimage","2021","2020/12/18","","","10.1016/j.neuroimage.2020.117645"
"33257683","Perceptually unidentifiable stimuli influence cortical processing and behavioral performance","Pojoga SA, Kharas N, Dragoi V.","Nat Commun. 2020 Nov 30;11(1):6109. doi: 10.1038/s41467-020-19848-w.","Pojoga SA","Nat Commun","2020","2020/12/01","PMC7705662","","10.1038/s41467-020-19848-w"
"33221453","Multimodal 3D atlas of the macaque monkey motor and premotor cortex","Rapan L, Froudist-Walsh S, Niu M, Xu T, Funck T, Zilles K, Palomero-Gallagher N.","Neuroimage. 2021 Feb 1;226:117574. doi: 10.1016/j.neuroimage.2020.117574. Epub 2020 Nov 20.","Rapan L","Neuroimage","2021","2020/11/22","PMC8168280","NIHMS1702877","10.1016/j.neuroimage.2020.117574"
"33112698","Whole brain mapping of somatosensory responses in awake marmosets investigated with ultra-high-field fMRI","Cléry JC, Hori Y, Schaeffer DJ, Gati JS, Pruszynski JA, Everling S.","J Neurophysiol. 2020 Dec 1;124(6):1900-1913. doi: 10.1152/jn.00480.2020. Epub 2020 Oct 28.","Cléry JC","J Neurophysiol","2020","2020/10/28","","","10.1152/jn.00480.2020"
"33075046","Adults vs. neonates: Differentiation of functional connectivity between the basolateral amygdala and occipitotemporal cortex","Hansen HA, Li J, Saygin ZM.","PLoS One. 2020 Oct 19;15(10):e0237204. doi: 10.1371/journal.pone.0237204. eCollection 2020.","Hansen HA","PLoS One","2020","2020/10/19","PMC7571669","","10.1371/journal.pone.0237204"
"33067998","Connectivity of the Cingulate Sulcus Visual Area (CSv) in Macaque Monkeys","De Castro V, Smith AT, Beer AL, Leguen C, Vayssière N, Héjja-Brichard Y, Audurier P, Cottereau BR, Durand JB.","Cereb Cortex. 2021 Jan 5;31(2):1347-1364. doi: 10.1093/cercor/bhaa301.","De Castro V","Cereb Cortex","2021","2020/10/17","PMC7786354","","10.1093/cercor/bhaa301"
"33060626","Precise measurement of correlations between frequency coupling and visual task performance","Young J, Dragoi V, Aazhang B.","Sci Rep. 2020 Oct 15;10(1):17372. doi: 10.1038/s41598-020-74057-1.","Young J","Sci Rep","2020","2020/10/16","PMC7566518","","10.1038/s41598-020-74057-1"
"32936342","Reproducing macaque lateral grasping and oculomotor networks using resting state functional connectivity and diffusion tractography","Howells H, Simone L, Borra E, Fornia L, Cerri G, Luppino G.","Brain Struct Funct. 2020 Nov;225(8):2533-2551. doi: 10.1007/s00429-020-02142-2. Epub 2020 Sep 16.","Howells H","Brain Struct Funct","2020","2020/09/16","PMC7544728","","10.1007/s00429-020-02142-2"
"32900835","Corticocortical and Thalamocortical Changes in Functional Connectivity and White Matter Structural Integrity after Reward-Guided Learning of Visuospatial Discriminations in Rhesus Monkeys","Pelekanos V, Premereur E, Mitchell DJ, Chakraborty S, Mason S, Lee ACH, Mitchell AS.","J Neurosci. 2020 Oct 7;40(41):7887-7901. doi: 10.1523/JNEUROSCI.0364-20.2020. Epub 2020 Sep 8.","Pelekanos V","J Neurosci","2020","2020/09/09","PMC7548693","","10.1523/JNEUROSCI.0364-20.2020"
"32898683","Ultra-high field (10.5 T) resting state fMRI in the macaque","Yacoub E, Grier MD, Auerbach EJ, Lagore RL, Harel N, Adriany G, Zilverstand A, Hayden BY, Heilbronner SR, Uğurbil K, Zimmermann J.","Neuroimage. 2020 Dec;223:117349. doi: 10.1016/j.neuroimage.2020.117349. Epub 2020 Sep 6.","Yacoub E","Neuroimage","2020","2020/09/08","PMC7745777","NIHMS1651795","10.1016/j.neuroimage.2020.117349"
"32758424","Selective Mesoaccumbal Pathway Inactivation Affects Motivation but Not Reinforcement-Based Learning in Macaques","Vancraeyenest P, Arsenault JT, Li X, Zhu Q, Kobayashi K, Isa K, Isa T, Vanduffel W.","Neuron. 2020 Nov 11;108(3):568-581.e6. doi: 10.1016/j.neuron.2020.07.013. Epub 2020 Aug 5.","Vancraeyenest P","Neuron","2020","2020/08/08","","","10.1016/j.neuron.2020.07.013"
"32439858","Long-term alterations in brain and behavior after postnatal Zika virus infection in infant macaques","Raper J, Kovacs-Balint Z, Mavigner M, Gumber S, Burke MW, Habib J, Mattingly C, Fair D, Earl E, Feczko E, Styner M, Jean SM, Cohen JK, Suthar MS, Sanchez MM, Alvarado MC, Chahroudi A.","Nat Commun. 2020 May 21;11(1):2534. doi: 10.1038/s41467-020-16320-7.","Raper J","Nat Commun","2020","2020/05/23","PMC7242369","","10.1038/s41467-020-16320-7"
"32379044","Recurrent circuit dynamics underlie persistent activity in the macaque frontoparietal network","Hart E, Huk AC.","Elife. 2020 May 7;9:e52460. doi: 10.7554/eLife.52460.","Hart E","Elife","2020","2020/05/08","PMC7205463","","10.7554/eLife.52460"
"32276072","Towards HCP-Style macaque connectomes: 24-Channel 3T multi-array coil, MRI sequences and preprocessing","Autio JA, Glasser MF, Ose T, Donahue CJ, Bastiani M, Ohno M, Kawabata Y, Urushibata Y, Murata K, Nishigori K, Yamaguchi M, Hori Y, Yoshida A, Go Y, Coalson TS, Jbabdi S, Sotiropoulos SN, Kennedy H, Smith S, Van Essen DC, Hayashi T.","Neuroimage. 2020 Jul 15;215:116800. doi: 10.1016/j.neuroimage.2020.116800. Epub 2020 Apr 8.","Autio JA","Neuroimage","2020","2020/04/11","PMC7116593","EMS109745","10.1016/j.neuroimage.2020.116800"
"32034069","Human Lateral Frontal Pole Contributes to Control over Emotional Approach-Avoidance Actions","Bramson B, Folloni D, Verhagen L, Hartogsveld B, Mars RB, Toni I, Roelofs K.","J Neurosci. 2020 Apr 1;40(14):2925-2934. doi: 10.1523/JNEUROSCI.2048-19.2020. Epub 2020 Feb 7.","Bramson B","J Neurosci","2020","2020/02/09","PMC7117901","","10.1523/JNEUROSCI.2048-19.2020"
"31813974","The Ventral Striatum is a Key Node for Functional Recovery of Finger Dexterity After Spinal Cord Injury in Monkeys","Suzuki M, Onoe K, Sawada M, Takahashi N, Higo N, Murata Y, Tsukada H, Isa T, Onoe H, Nishimura Y.","Cereb Cortex. 2020 May 14;30(5):3259-3270. doi: 10.1093/cercor/bhz307.","Suzuki M","Cereb Cortex","2020","2019/12/10","PMC7197201","","10.1093/cercor/bhz307"
"31707193","Functional reorganization during the recovery of contralesional target selection deficits after prefrontal cortex lesions in macaque monkeys","Adam R, Johnston K, Menon RS, Everling S.","Neuroimage. 2020 Feb 15;207:116339. doi: 10.1016/j.neuroimage.2019.116339. Epub 2019 Nov 9.","Adam R","Neuroimage","2020","2019/11/11","","","10.1016/j.neuroimage.2019.116339"
"31553685","Altered functional interactions between neurons in primary visual cortex of macaque monkeys with experimental amblyopia","Acar K, Kiorpes L, Movshon JA, Smith MA.","J Neurophysiol. 2019 Dec 1;122(6):2243-2258. doi: 10.1152/jn.00232.2019. Epub 2019 Sep 25.","Acar K","J Neurophysiol","2019","2019/09/26","PMC6966320","","10.1152/jn.00232.2019"
"31408715","A putative human homologue of the macaque area PEc","Pitzalis S, Serra C, Sulpizio V, Di Marco S, Fattori P, Galati G, Galletti C.","Neuroimage. 2019 Nov 15;202:116092. doi: 10.1016/j.neuroimage.2019.116092. Epub 2019 Aug 10.","Pitzalis S","Neuroimage","2019","2019/08/14","","","10.1016/j.neuroimage.2019.116092"
"31354418","Fine-Grained Parcellation of the Macaque Nucleus Accumbens by High-Resolution Diffusion Tensor Tractography","Xia X, Fan L, Hou B, Zhang B, Zhang D, Cheng C, Deng H, Dong Y, Zhao X, Li H, Jiang T.","Front Neurosci. 2019 Jul 10;13:709. doi: 10.3389/fnins.2019.00709. eCollection 2019.","Xia X","Front Neurosci","2019","2019/07/30","PMC6635473","","10.3389/fnins.2019.00709"
"31120417","Preserved extrastriate visual network in a monkey with substantial, naturally occurring damage to primary visual cortex","Bridge H, Bell AH, Ainsworth M, Sallet J, Premereur E, Ahmed B, Mitchell AS, Schüffelgen U, Buckley M, Tendler BC, Miller KL, Mars RB, Parker AJ, Krug K.","Elife. 2019 May 23;8:e42325. doi: 10.7554/eLife.42325.","Bridge H","Elife","2019","2019/05/24","PMC6533062","","10.7554/eLife.42325"
"31072758","Interindividual Variability of Functional Connectivity in Awake and Anesthetized Rhesus Macaque Monkeys","Xu T, Sturgeon D, Ramirez JSB, Froudist-Walsh S, Margulies DS, Schroeder CE, Fair DA, Milham MP.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2019 Jun;4(6):543-553. doi: 10.1016/j.bpsc.2019.02.005. Epub 2019 Mar 11.","Xu T","Biol Psychiatry Cogn Neurosci Neuroimaging","2019","2019/05/11","PMC7063583","NIHMS1564519","10.1016/j.bpsc.2019.02.005"
"30807382","Propofol Anesthesia Increases Long-range Frontoparietal Corticocortical Interaction in the Oculomotor Circuit in Macaque Monkeys","Ma L, Liu W, Hudson AE.","Anesthesiology. 2019 Apr;130(4):560-571. doi: 10.1097/ALN.0000000000002637.","Ma L","Anesthesiology","2019","2019/02/27","PMC6417961","NIHMS1518660","10.1097/ALN.0000000000002637"
"30802514","Functional specialization of macaque premotor F5 subfields with respect to hand and mouth movements: A comparison of task and resting-state fMRI","Sharma S, Mantini D, Vanduffel W, Nelissen K.","Neuroimage. 2019 May 1;191:441-456. doi: 10.1016/j.neuroimage.2019.02.045. Epub 2019 Feb 23.","Sharma S","Neuroimage","2019","2019/02/26","","","10.1016/j.neuroimage.2019.02.045"
"30765166","Manipulation of Subcortical and Deep Cortical Activity in the Primate Brain Using Transcranial Focused Ultrasound Stimulation","Folloni D, Verhagen L, Mars RB, Fouragnan E, Constans C, Aubry JF, Rushworth MFS, Sallet J.","Neuron. 2019 Mar 20;101(6):1109-1116.e5. doi: 10.1016/j.neuron.2019.01.019. Epub 2019 Feb 11.","Folloni D","Neuron","2019","2019/02/16","PMC6520498","","10.1016/j.neuron.2019.01.019"
"30668705","Biological Characteristics of Connection-Wise Resting-State Functional Connectivity Strength","Pijnenburg R, Scholtens LH, Mantini D, Vanduffel W, Barrett LF, van den Heuvel MP.","Cereb Cortex. 2019 Dec 17;29(11):4646-4653. doi: 10.1093/cercor/bhy342.","Pijnenburg R","Cereb Cortex","2019","2019/01/23","PMC7049309","","10.1093/cercor/bhy342"
"30547311","Gradients of connectivity distance in the cerebral cortex of the macaque monkey","Oligschläger S, Xu T, Baczkowski BM, Falkiewicz M, Falchier A, Linn G, Margulies DS.","Brain Struct Funct. 2019 Mar;224(2):925-935. doi: 10.1007/s00429-018-1811-1. Epub 2018 Dec 13.","Oligschläger S","Brain Struct Funct","2019","2018/12/15","PMC6420469","","10.1007/s00429-018-1811-1"
"30470895","Mapping multiple principles of parietal-frontal cortical organization using functional connectivity","Vijayakumar S, Sallet J, Verhagen L, Folloni D, Medendorp WP, Mars RB.","Brain Struct Funct. 2019 Mar;224(2):681-697. doi: 10.1007/s00429-018-1791-1. Epub 2018 Nov 23.","Vijayakumar S","Brain Struct Funct","2019","2018/11/25","PMC6420483","","10.1007/s00429-018-1791-1"
"30462609","Macro-connectomics and microstructure predict dynamic plasticity patterns in the non-human primate brain","Froudist-Walsh S, Browning PG, Young JJ, Murphy KL, Mars RB, Fleysher L, Croxson PL.","Elife. 2018 Nov 21;7:e34354. doi: 10.7554/eLife.34354.","Froudist-Walsh S","Elife","2018","2018/11/22","PMC6249000","","10.7554/eLife.34354"
"30335761","A multi-scale layer-resolved spiking network model of resting-state dynamics in macaque visual cortical areas","Schmidt M, Bakker R, Shen K, Bezgin G, Diesmann M, van Albada SJ.","PLoS Comput Biol. 2018 Oct 18;14(10):e1006359. doi: 10.1371/journal.pcbi.1006359. eCollection 2018 Oct.","Schmidt M","PLoS Comput Biol","2018","2018/10/19","PMC6193609","","10.1371/journal.pcbi.1006359"
"30315909","Model testing for distinctive functional connectivity gradients with resting-state fMRI data","O'Rawe JF, Ide JS, Leung HC.","Neuroimage. 2019 Jan 15;185:102-110. doi: 10.1016/j.neuroimage.2018.10.022. Epub 2018 Oct 10.","O'Rawe JF","Neuroimage","2019","2018/10/14","","","10.1016/j.neuroimage.2018.10.022"
"30295946","Intranasal oxytocin in rhesus monkeys alters brain networks that detect social salience and reward","Parr LA, Mitchell T, Hecht E.","Am J Primatol. 2018 Oct;80(10):e22915. doi: 10.1002/ajp.22915. Epub 2018 Sep 17.","Parr LA","Am J Primatol","2018","2018/10/09","PMC6381825","NIHMS1000439","10.1002/ajp.22915"
"30272135","Early Developmental Trajectories of Functional Connectivity Along the Visual Pathways in Rhesus Monkeys","Kovacs-Balint Z, Feczko E, Pincus M, Earl E, Miranda-Dominguez O, Howell B, Morin E, Maltbie E, Li L, Steele J, Styner M, Bachevalier J, Fair D, Sanchez M.","Cereb Cortex. 2019 Jul 22;29(8):3514-3526. doi: 10.1093/cercor/bhy222.","Kovacs-Balint Z","Cereb Cortex","2019","2018/10/02","PMC6644858","","10.1093/cercor/bhy222"
"30218841","Functional reorganisation and recovery following cortical lesions: A preliminary study in macaque monkeys","Ainsworth M, Browncross H, Mitchell DJ, Mitchell AS, Passingham RE, Buckley MJ, Duncan J, Bell AH.","Neuropsychologia. 2018 Oct;119:382-391. doi: 10.1016/j.neuropsychologia.2018.08.024. Epub 2018 Sep 12.","Ainsworth M","Neuropsychologia","2018","2018/09/16","PMC6200854","","10.1016/j.neuropsychologia.2018.08.024"
"30191352","Adjusted regularization of cortical covariance","Vinci G, Ventura V, Smith MA, Kass RE.","J Comput Neurosci. 2018 Oct;45(2):83-101. doi: 10.1007/s10827-018-0692-x. Epub 2018 Sep 6.","Vinci G","J Comput Neurosci","2018","2018/09/08","PMC6195462","NIHMS1506005","10.1007/s10827-018-0692-x"
"30022250","White matter tract anatomy in the rhesus monkey: a fiber dissection study","Decramer T, Swinnen S, van Loon J, Janssen P, Theys T.","Brain Struct Funct. 2018 Nov;223(8):3681-3688. doi: 10.1007/s00429-018-1718-x. Epub 2018 Jul 18.","Decramer T","Brain Struct Funct","2018","2018/07/20","","","10.1007/s00429-018-1718-x"
"29971252","Chronometry on Spike-LFP Responses Reveals the Functional Neural Circuitry of Early Auditory Cortex Underlying Sound Processing and Discrimination","Banerjee A, Kikuchi Y, Mishkin M, Rauschecker JP, Horwitz B.","eNeuro. 2018 Jul 3;5(3):ENEURO.0420-17.2018. doi: 10.1523/ENEURO.0420-17.2018. eCollection 2018 May-Jun.","Banerjee A","eNeuro","2018","2018/07/05","PMC6028825","","10.1523/ENEURO.0420-17.2018"
"29886144","Source-reconstruction of the sensorimotor network from resting-state macaque electrocorticography","Hindriks R, Micheli C, Bosman CA, Oostenveld R, Lewis C, Mantini D, Fries P, Deco G.","Neuroimage. 2018 Nov 1;181:347-358. doi: 10.1016/j.neuroimage.2018.06.010. Epub 2018 Jun 15.","Hindriks R","Neuroimage","2018","2018/06/11","","","10.1016/j.neuroimage.2018.06.010"
"29848631","Navigation of brain networks","Seguin C, van den Heuvel MP, Zalesky A.","Proc Natl Acad Sci U S A. 2018 Jun 12;115(24):6297-6302. doi: 10.1073/pnas.1801351115. Epub 2018 May 30.","Seguin C","Proc Natl Acad Sci U S A","2018","2018/06/01","PMC6004443","","10.1073/pnas.1801351115"
"29809133","Targeted cortical reorganization using optogenetics in non-human primates","Yazdan-Shahmorad A, Silversmith DB, Kharazia V, Sabes PN.","Elife. 2018 May 29;7:e31034. doi: 10.7554/eLife.31034.","Yazdan-Shahmorad A","Elife","2018","2018/05/30","PMC5986269","","10.7554/eLife.31034"
"29697775","Cortical Afferents of Area 10 in Cebus Monkeys: Implications for the Evolution of the Frontal Pole","Rosa MGP, Soares JGM, Chaplin TA, Majka P, Bakola S, Phillips KA, Reser DH, Gattass R.","Cereb Cortex. 2019 Apr 1;29(4):1473-1495. doi: 10.1093/cercor/bhy044.","Rosa MGP","Cereb Cortex","2019","2018/04/27","PMC6676977","","10.1093/cercor/bhy044"
"29642002","Delineating the Macroscale Areal Organization of the Macaque Cortex In Vivo","Xu T, Falchier A, Sullivan EL, Linn G, Ramirez JSB, Ross D, Feczko E, Opitz A, Bagley J, Sturgeon D, Earl E, Miranda-Domínguez O, Perrone A, Craddock RC, Schroeder CE, Colcombe S, Fair DA, Milham MP.","Cell Rep. 2018 Apr 10;23(2):429-441. doi: 10.1016/j.celrep.2018.03.049.","Xu T","Cell Rep","2018","2018/04/12","PMC6157013","NIHMS961950","10.1016/j.celrep.2018.03.049"
"29588415","Nonmonotonic spatial structure of interneuronal correlations in prefrontal microcircuits","Safavi S, Dwarakanath A, Kapoor V, Werner J, Hatsopoulos NG, Logothetis NK, Panagiotaropoulos TI.","Proc Natl Acad Sci U S A. 2018 Apr 10;115(15):E3539-E3548. doi: 10.1073/pnas.1802356115. Epub 2018 Mar 27.","Safavi S","Proc Natl Acad Sci U S A","2018","2018/03/29","PMC5899496","","10.1073/pnas.1802356115"
"29519479","Microarchitecture and connectivity of the parietal lobe","Caspers S, Zilles K.","Handb Clin Neurol. 2018;151:53-72. doi: 10.1016/B978-0-444-63622-5.00003-6.","Caspers S","Handb Clin Neurol","2018","2018/03/10","","","10.1016/B978-0-444-63622-5.00003-6"
"29437980","Temporal-prefrontal cortical network for discrimination of valuable objects in long-term memory","Ghazizadeh A, Griggs W, Leopold DA, Hikosaka O.","Proc Natl Acad Sci U S A. 2018 Feb 27;115(9):E2135-E2144. doi: 10.1073/pnas.1707695115. Epub 2018 Feb 1.","Ghazizadeh A","Proc Natl Acad Sci U S A","2018","2018/02/14","PMC5834664","","10.1073/pnas.1707695115"
