PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34290088","Global waves synchronize the brain's functional systems with fluctuating arousal","Raut RV, Snyder AZ, Mitra A, Yellin D, Fujii N, Malach R, Raichle ME.","Sci Adv. 2021 Jul 21;7(30):eabf2709. doi: 10.1126/sciadv.abf2709. Print 2021 Jul.","Raut RV","Sci Adv","2021","2021/07/22","PMC8294763","","10.1126/sciadv.abf2709"
"33647571","Chronic psychosocial stress and experimental pubertal delay affect socioemotional behavior and amygdala functional connectivity in adolescent female rhesus macaques","Pincus M, Godfrey JR, Feczko E, Earl E, Miranda-Dominguez O, Fair D, Wilson ME, Sanchez MM, Kelly C.","Psychoneuroendocrinology. 2021 May;127:105154. doi: 10.1016/j.psyneuen.2021.105154. Epub 2021 Feb 11.","Pincus M","Psychoneuroendocrinology","2021","2021/03/01","","","10.1016/j.psyneuen.2021.105154"
"33526909","Modelling and prediction of the dynamic responses of large-scale brain networks during direct electrical stimulation","Yang Y, Qiao S, Sani OG, Sedillo JI, Ferrentino B, Pesaran B, Shanechi MM.","Nat Biomed Eng. 2021 Apr;5(4):324-345. doi: 10.1038/s41551-020-00666-w. Epub 2021 Feb 1.","Yang Y","Nat Biomed Eng","2021","2021/02/02","","","10.1038/s41551-020-00666-w"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33350445","Individual Variability in Functional Organization of the Human and Monkey Auditory Cortex","Ren J, Xu T, Wang D, Li M, Lin Y, Schoeppe F, Ramirez JSB, Han Y, Luan G, Li L, Liu H, Ahveninen J.","Cereb Cortex. 2021 Mar 31;31(5):2450-2465. doi: 10.1093/cercor/bhaa366.","Ren J","Cereb Cortex","2021","2020/12/22","PMC8023837","","10.1093/cercor/bhaa366"
"33122655","Shared functional connectivity between the dorso-medial and dorso-ventral streams in macaques","Greulich RS, Adam R, Everling S, Scherberger H.","Sci Rep. 2020 Oct 29;10(1):18610. doi: 10.1038/s41598-020-75219-x.","Greulich RS","Sci Rep","2020","2020/10/30","PMC7596572","","10.1038/s41598-020-75219-x"
"33122437","Differential functional connectivity underlying asymmetric reward-related activity in human and nonhuman primates","Lopez-Persem A, Roumazeilles L, Folloni D, Marche K, Fouragnan EF, Khalighinejad N, Rushworth MFS, Sallet J.","Proc Natl Acad Sci U S A. 2020 Nov 10;117(45):28452-28462. doi: 10.1073/pnas.2000759117. Epub 2020 Oct 29.","Lopez-Persem A","Proc Natl Acad Sci U S A","2020","2020/10/30","PMC7668182","","10.1073/pnas.2000759117"
"33112698","Whole brain mapping of somatosensory responses in awake marmosets investigated with ultra-high-field fMRI","Cléry JC, Hori Y, Schaeffer DJ, Gati JS, Pruszynski JA, Everling S.","J Neurophysiol. 2020 Dec 1;124(6):1900-1913. doi: 10.1152/jn.00480.2020. Epub 2020 Oct 28.","Cléry JC","J Neurophysiol","2020","2020/10/28","","","10.1152/jn.00480.2020"
"33075046","Adults vs. neonates: Differentiation of functional connectivity between the basolateral amygdala and occipitotemporal cortex","Hansen HA, Li J, Saygin ZM.","PLoS One. 2020 Oct 19;15(10):e0237204. doi: 10.1371/journal.pone.0237204. eCollection 2020.","Hansen HA","PLoS One","2020","2020/10/19","PMC7571669","","10.1371/journal.pone.0237204"
"32936342","Reproducing macaque lateral grasping and oculomotor networks using resting state functional connectivity and diffusion tractography","Howells H, Simone L, Borra E, Fornia L, Cerri G, Luppino G.","Brain Struct Funct. 2020 Nov;225(8):2533-2551. doi: 10.1007/s00429-020-02142-2. Epub 2020 Sep 16.","Howells H","Brain Struct Funct","2020","2020/09/16","PMC7544728","","10.1007/s00429-020-02142-2"
