PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34312496","Neuromodulation of prefrontal cortex cognitive function in primates: the powerful roles of monoamines and acetylcholine","Cools R, Arnsten AFT.","Neuropsychopharmacology. 2021 Jul 26. doi: 10.1038/s41386-021-01100-8. Online ahead of print.","Cools R","Neuropsychopharmacology","2021","2021/07/27","","","10.1038/s41386-021-01100-8"
"34271158","Functional networks in non-human primate spinal cord and the effects of injury","Sengupta A, Mishra A, Wang F, Li M, Yang PF, Chen LM, Gore JC.","Neuroimage. 2021 Jul 14;240:118391. doi: 10.1016/j.neuroimage.2021.118391. Online ahead of print.","Sengupta A","Neuroimage","2021","2021/07/16","","","10.1016/j.neuroimage.2021.118391"
"34225933","Central and peripheral release of oxytocin: Relevance of neuroendocrine and neurotransmitter actions for physiology and behavior","Althammer F, Eliava M, Grinevich V.","Handb Clin Neurol. 2021;180:25-44. doi: 10.1016/B978-0-12-820107-7.00003-3.","Althammer F","Handb Clin Neurol","2021","2021/07/06","","","10.1016/B978-0-12-820107-7.00003-3"
"34118393","High-resolution in vivo imaging of rhesus cerebral cortex with ultrafast portable photoacoustic microscopy","Qin W, Gan Q, Yang L, Wang Y, Qi W, Ke B, Xi L.","Neuroimage. 2021 Sep;238:118260. doi: 10.1016/j.neuroimage.2021.118260. Epub 2021 Jun 9.","Qin W","Neuroimage","2021","2021/06/12","","","10.1016/j.neuroimage.2021.118260"
"34099508","Viewing ambiguous social interactions increases functional connectivity between frontal and temporal nodes of the social brain","Ainsworth M, Sallet J, Joly O, Kyriazis D, Kriegeskorte N, Duncan J, Schüffelgen U, Rushworth MF, Bell AH.","J Neurosci. 2021 Jun 4;41(28):6070-86. doi: 10.1523/JNEUROSCI.0870-20.2021. Online ahead of print.","Ainsworth M","J Neurosci","2021","2021/06/08","PMC8276745","","10.1523/JNEUROSCI.0870-20.2021"
"33827936","Distinct Functional and Structural Connectivity of the Human Hand-Knob Supported by Intraoperative Findings","Simone L, Viganò L, Fornia L, Howells H, Leonetti A, Puglisi G, Bellacicca A, Bello L, Cerri G.","J Neurosci. 2021 May 12;41(19):4223-4233. doi: 10.1523/JNEUROSCI.1574-20.2021. Epub 2021 Apr 7.","Simone L","J Neurosci","2021","2021/04/08","PMC8143196","","10.1523/JNEUROSCI.1574-20.2021"
"33731766","Repetitive transcranial magnetic stimulation restores altered functional connectivity of central poststroke pain model monkeys","Kadono Y, Koguchi K, Okada KI, Hosomi K, Hiraishi M, Ueguchi T, Kida I, Shah A, Liu G, Saitoh Y.","Sci Rep. 2021 Mar 17;11(1):6126. doi: 10.1038/s41598-021-85409-w.","Kadono Y","Sci Rep","2021","2021/03/18","PMC7969937","","10.1038/s41598-021-85409-w"
"33647571","Chronic psychosocial stress and experimental pubertal delay affect socioemotional behavior and amygdala functional connectivity in adolescent female rhesus macaques","Pincus M, Godfrey JR, Feczko E, Earl E, Miranda-Dominguez O, Fair D, Wilson ME, Sanchez MM, Kelly C.","Psychoneuroendocrinology. 2021 May;127:105154. doi: 10.1016/j.psyneuen.2021.105154. Epub 2021 Feb 11.","Pincus M","Psychoneuroendocrinology","2021","2021/03/01","","","10.1016/j.psyneuen.2021.105154"
"33495547","Long-term effects of intermittent early life stress on primate prefrontal-subcortical functional connectivity","Yuan R, Nechvatal JM, Buckmaster CL, Ayash S, Parker KJ, Schatzberg AF, Lyons DM, Menon V.","Neuropsychopharmacology. 2021 Jun;46(7):1348-1356. doi: 10.1038/s41386-021-00956-0. Epub 2021 Jan 25.","Yuan R","Neuropsychopharmacology","2021","2021/01/26","PMC8134590","","10.1038/s41386-021-00956-0"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33385552","Resting-State functional networks of different topographic representations in the somatosensory cortex of macaque monkeys and humans","Thomas J, Sharma D, Mohanta S, Jain N.","Neuroimage. 2021 Mar;228:117694. doi: 10.1016/j.neuroimage.2020.117694. Epub 2020 Dec 30.","Thomas J","Neuroimage","2021","2021/01/01","","","10.1016/j.neuroimage.2020.117694"
