PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33741436","Optimization of a quadrature birdcage coil for functional imaging of squirrel monkey brain at 9.4T","Lu M, Yang Z, Wang F, Drake G, Chen LM, Gore JC, Yan X.","Magn Reson Imaging. 2021 Jun;79:45-51. doi: 10.1016/j.mri.2021.03.012. Epub 2021 Mar 17.","Lu M","Magn Reson Imaging","2021","2021/03/20","PMC8107140","NIHMS1684368","10.1016/j.mri.2021.03.012"
"33511726","An 8-dipole transceive and 24-loop receive array for non-human primate head imaging at 10.5 T","Lagore RL, Moeller S, Zimmermann J, DelaBarre L, Radder J, Grant A, Ugurbil K, Yacoub E, Harel N, Adriany G.","NMR Biomed. 2021 Apr;34(4):e4472. doi: 10.1002/nbm.4472. Epub 2021 Jan 29.","Lagore RL","NMR Biomed","2021","2021/01/29","PMC8103796","NIHMS1682364","10.1002/nbm.4472"
"31619951","fMRI in Non-human Primate: A Review on Factors That Can Affect Interpretation and Dynamic Causal Modeling Application","Jovellar DB, Doudet DJ.","Front Neurosci. 2019 Sep 18;13:973. doi: 10.3389/fnins.2019.00973. eCollection 2019.","Jovellar DB","Front Neurosci","2019","2019/10/18","PMC6759819","","10.3389/fnins.2019.00973"
"31461747","Orbitofrontal cortex is selectively activated in a primate model of attentional bias to cocaine cues","Baeg E, Jedema HP, Bradberry CW.","Neuropsychopharmacology. 2020 Mar;45(4):675-682. doi: 10.1038/s41386-019-0499-0. Epub 2019 Aug 28.","Baeg E","Neuropsychopharmacology","2020","2019/08/29","PMC7021823","","10.1038/s41386-019-0499-0"
"31132407","Longitudinal characterization of cognitive and motor deficits in an excitotoxic lesion model of striatal dysfunction in non-human primates","Lavisse S, Williams S, Lecourtois S, van Camp N, Guillermier M, Gipchtein P, Jan C, Goutal S, Eymin L, Valette J, Delzescaux T, Perrier AL, Hantraye P, Aron Badin R.","Neurobiol Dis. 2019 Oct;130:104484. doi: 10.1016/j.nbd.2019.104484. Epub 2019 May 24.","Lavisse S","Neurobiol Dis","2019","2019/05/28","","","10.1016/j.nbd.2019.104484"
"30121000","Adaptive coding in the human brain: Distinct object features are encoded by overlapping voxels in frontoparietal cortex","Jackson JB, Woolgar A.","Cortex. 2018 Nov;108:25-34. doi: 10.1016/j.cortex.2018.07.006. Epub 2018 Jul 25.","Jackson JB","Cortex","2018","2018/08/19","PMC6629547","EMS83377","10.1016/j.cortex.2018.07.006"
"28466257","Cortical Representation of Pain and Touch: Evidence from Combined Functional Neuroimaging and Electrophysiology in Non-human Primates","Chen LM.","Neurosci Bull. 2018 Feb;34(1):165-177. doi: 10.1007/s12264-017-0133-2. Epub 2017 May 2.","Chen LM","Neurosci Bull","2018","2017/05/04","PMC5799120","","10.1007/s12264-017-0133-2"
"26238057","Imaging the Dynamics of Neocortical Population Activity in Behaving and Freely Moving Mammals","Grinvald A, Petersen CC.","Adv Exp Med Biol. 2015;859:273-96. doi: 10.1007/978-3-319-17641-3_11.","Grinvald A","Adv Exp Med Biol","2015","2015/08/05","","","10.1007/978-3-319-17641-3_11"
"24752643","Cortical innervation of the hypoglossal nucleus in the non-human primate (Macaca mulatta)","Morecraft RJ, Stilwell-Morecraft KS, Solon-Cline KM, Ge J, Darling WG.","J Comp Neurol. 2014 Oct 15;522(15):3456-84. doi: 10.1002/cne.23614. Epub 2014 May 14.","Morecraft RJ","J Comp Neurol","2014","2014/04/23","PMC4139435","NIHMS586669","10.1002/cne.23614"
"21576110","Lesion evidence for the critical role of the intraparietal sulcus in spatial attention","Gillebert CR, Mantini D, Thijs V, Sunaert S, Dupont P, Vandenberghe R.","Brain. 2011 Jun;134(Pt 6):1694-709. doi: 10.1093/brain/awr085. Epub 2011 May 15.","Gillebert CR","Brain","2011","2011/05/18","","","10.1093/brain/awr085"
"20661461","Exploring the electrophysiological correlates of the default-mode network with intracerebral EEG","Jerbi K, Vidal JR, Ossandon T, Dalal SS, Jung J, Hoffmann D, Minotti L, Bertrand O, Kahane P, Lachaux JP.","Front Syst Neurosci. 2010 Jun 28;4:27. doi: 10.3389/fnsys.2010.00027. eCollection 2010.","Jerbi K","Front Syst Neurosci","2010","2010/07/28","PMC2907269","","10.3389/fnsys.2010.00027"
"19190042","Crossmodal integration of object features: voxel-based correlations in brain-damaged patients","Taylor KI, Stamatakis EA, Tyler LK.","Brain. 2009 Mar;132(Pt 3):671-83. doi: 10.1093/brain/awn361. Epub 2009 Feb 3.","Taylor KI","Brain","2009","2009/02/05","","","10.1093/brain/awn361"
"17208181","Separate coding of different gaze directions in the superior temporal sulcus and inferior parietal lobule","Calder AJ, Beaver JD, Winston JS, Dolan RJ, Jenkins R, Eger E, Henson RN.","Curr Biol. 2007 Jan 9;17(1):20-5. doi: 10.1016/j.cub.2006.10.052.","Calder AJ","Curr Biol","2007","2007/01/09","PMC1885952","","10.1016/j.cub.2006.10.052"
"12204305","Functional MRI studies in awake rhesus monkeys: methodological and analytical strategies","Andersen AH, Zhang Z, Barber T, Rayens WS, Zhang J, Grondin R, Hardy P, Gerhardt GA, Gash DM.","J Neurosci Methods. 2002 Aug 30;118(2):141-52. doi: 10.1016/s0165-0270(02)00123-1.","Andersen AH","J Neurosci Methods","2002","2002/09/03","","","10.1016/s0165-0270(02)00123-1"
