PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33577936","Organization of the macaque monkey inferior parietal lobule based on multimodal receptor architectonics","Niu M, Rapan L, Funck T, Froudist-Walsh S, Zhao L, Zilles K, Palomero-Gallagher N.","Neuroimage. 2021 May 1;231:117843. doi: 10.1016/j.neuroimage.2021.117843. Epub 2021 Feb 10.","Niu M","Neuroimage","2021","2021/02/12","PMC8188735","NIHMS1702873","10.1016/j.neuroimage.2021.117843"
"33511726","An 8-dipole transceive and 24-loop receive array for non-human primate head imaging at 10.5 T","Lagore RL, Moeller S, Zimmermann J, DelaBarre L, Radder J, Grant A, Ugurbil K, Yacoub E, Harel N, Adriany G.","NMR Biomed. 2021 Apr;34(4):e4472. doi: 10.1002/nbm.4472. Epub 2021 Jan 29.","Lagore RL","NMR Biomed","2021","2021/01/29","PMC8103796","NIHMS1682364","10.1002/nbm.4472"
"33301937","Functional imaging of the brainstem during visually-guided motor control reveals visuomotor regions in the pons and midbrain","Chu WT, Mitchell T, Foote KD, Coombes SA, Vaillancourt DE.","Neuroimage. 2021 Feb 1;226:117627. doi: 10.1016/j.neuroimage.2020.117627. Epub 2020 Dec 8.","Chu WT","Neuroimage","2021","2020/12/10","PMC8335153","NIHMS1726624","10.1016/j.neuroimage.2020.117627"
"32226552","NIR-II fluorescence microscopic imaging of cortical vasculature in non-human primates","Cai Z, Zhu L, Wang M, Roe AW, Xi W, Qian J.","Theranostics. 2020 Mar 4;10(9):4265-4276. doi: 10.7150/thno.43533. eCollection 2020.","Cai Z","Theranostics","2020","2020/04/01","PMC7086344","","10.7150/thno.43533"
"32081631","A 16-channel loop array for in vivo macaque whole-brain imaging at 3 T","Quan Z, Gao Y, Qu S, Wang X, Friedman RM, Chernov MM, Kroenke CD, Roe AW, Zhang X.","Magn Reson Imaging. 2020 May;68:167-172. doi: 10.1016/j.mri.2020.02.008. Epub 2020 Feb 17.","Quan Z","Magn Reson Imaging","2020","2020/02/22","PMC7784245","NIHMS1655088","10.1016/j.mri.2020.02.008"
"31132407","Longitudinal characterization of cognitive and motor deficits in an excitotoxic lesion model of striatal dysfunction in non-human primates","Lavisse S, Williams S, Lecourtois S, van Camp N, Guillermier M, Gipchtein P, Jan C, Goutal S, Eymin L, Valette J, Delzescaux T, Perrier AL, Hantraye P, Aron Badin R.","Neurobiol Dis. 2019 Oct;130:104484. doi: 10.1016/j.nbd.2019.104484. Epub 2019 May 24.","Lavisse S","Neurobiol Dis","2019","2019/05/28","","","10.1016/j.nbd.2019.104484"
"29682503","Imaging, Behavior and Endocrine Analysis of ""Jealousy"" in a Monogamous Primate","Maninger N, Mendoza SP, Williams DR, Mason WA, Cherry SR, Rowland DJ, Schaefer T, Bales KL.","Front Ecol Evol. 2017 Oct;5:119. doi: 10.3389/fevo.2017.00119. Epub 2017 Oct 19.","Maninger N","Front Ecol Evol","2017","2018/04/24","PMC5909987","NIHMS928917","10.3389/fevo.2017.00119"
"29240774","Pharmacological inactivation does not support a unique causal role for intraparietal sulcus in the discrimination of visual number","DeWind NK, Peng J, Luo A, Brannon EM, Platt ML.","PLoS One. 2017 Dec 14;12(12):e0188820. doi: 10.1371/journal.pone.0188820. eCollection 2017.","DeWind NK","PLoS One","2017","2017/12/15","PMC5730202","","10.1371/journal.pone.0188820"
"28466257","Cortical Representation of Pain and Touch: Evidence from Combined Functional Neuroimaging and Electrophysiology in Non-human Primates","Chen LM.","Neurosci Bull. 2018 Feb;34(1):165-177. doi: 10.1007/s12264-017-0133-2. Epub 2017 May 2.","Chen LM","Neurosci Bull","2018","2017/05/04","PMC5799120","","10.1007/s12264-017-0133-2"
"28027798","Improved deep two-photon calcium imaging in vivo","Birkner A, Tischbirek CH, Konnerth A.","Cell Calcium. 2017 Jun;64:29-35. doi: 10.1016/j.ceca.2016.12.005. Epub 2016 Dec 21.","Birkner A","Cell Calcium","2017","2016/12/29","","","10.1016/j.ceca.2016.12.005"
"27818177","Mirror Neurons in Monkey Premotor Area F5 Show Tuning for Critical Features of Visual Causality Perception","Caggiano V, Fleischer F, Pomper JK, Giese MA, Thier P.","Curr Biol. 2016 Nov 21;26(22):3077-3082. doi: 10.1016/j.cub.2016.10.007. Epub 2016 Nov 3.","Caggiano V","Curr Biol","2016","2016/11/08","","","10.1016/j.cub.2016.10.007"
"27053755","Functional definitions of parietal areas in human and non-human primates","Orban GA.","Proc Biol Sci. 2016 Apr 13;283(1828):20160118. doi: 10.1098/rspb.2016.0118.","Orban GA","Proc Biol Sci","2016","2016/04/08","PMC4843655","","10.1098/rspb.2016.0118"
"26738040","Design of an implantable artificial dural window for chronic two-photon optical imaging in non-human primates","Trautmann E, O'Shea DJ, Shrestha S, Lin S, Ryu S, Shenoy K.","Annu Int Conf IEEE Eng Med Biol Soc. 2015;2015:7554-7. doi: 10.1109/EMBC.2015.7320140.","Trautmann E","Annu Int Conf IEEE Eng Med Biol Soc","2015","2016/01/07","","","10.1109/EMBC.2015.7320140"
"26642918","Prefrontal-hippocampal pathways underlying inhibitory control over memory","Anderson MC, Bunce JG, Barbas H.","Neurobiol Learn Mem. 2016 Oct;134 Pt A(Pt A):145-161. doi: 10.1016/j.nlm.2015.11.008. Epub 2015 Nov 28.","Anderson MC","Neurobiol Learn Mem","2016","2015/12/09","PMC5106245","NIHMS827485","10.1016/j.nlm.2015.11.008"
"25711137","A human homologue of monkey F5c","Ferri S, Peeters R, Nelissen K, Vanduffel W, Rizzolatti G, Orban GA.","Neuroimage. 2015 May 1;111:251-66. doi: 10.1016/j.neuroimage.2015.02.033. Epub 2015 Feb 21.","Ferri S","Neuroimage","2015","2015/02/26","PMC4401441","","10.1016/j.neuroimage.2015.02.033"
"25498426","Functional imaging of olfaction by CBV fMRI in monkeys: insight into the role of olfactory bulb in habituation","Zhao F, Holahan MA, Houghton AK, Hargreaves R, Evelhoch JL, Winkelmann CT, Williams DS.","Neuroimage. 2015 Feb 1;106:364-72. doi: 10.1016/j.neuroimage.2014.12.001. Epub 2014 Dec 10.","Zhao F","Neuroimage","2015","2014/12/16","","","10.1016/j.neuroimage.2014.12.001"
"24452906","The impact of vascular factors on language localization in the superior temporal sulcus","Wilson SM.","Hum Brain Mapp. 2014 Aug;35(8):4049-63. doi: 10.1002/hbm.22457. Epub 2014 Jan 22.","Wilson SM","Hum Brain Mapp","2014","2014/01/24","PMC4831909","NIHMS774278","10.1002/hbm.22457"
