PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33967709","Comparison of Scalp ERP to Faces in Macaques and Humans","Orczyk J, Schroeder CE, Abeles IY, Gomez-Ramirez M, Butler PD, Kajikawa Y.","Front Syst Neurosci. 2021 Apr 16;15:667611. doi: 10.3389/fnsys.2021.667611. eCollection 2021.","Orczyk J","Front Syst Neurosci","2021","2021/05/10","PMC8101630","","10.3389/fnsys.2021.667611"
"33741436","Optimization of a quadrature birdcage coil for functional imaging of squirrel monkey brain at 9.4T","Lu M, Yang Z, Wang F, Drake G, Chen LM, Gore JC, Yan X.","Magn Reson Imaging. 2021 Jun;79:45-51. doi: 10.1016/j.mri.2021.03.012. Epub 2021 Mar 17.","Lu M","Magn Reson Imaging","2021","2021/03/20","PMC8107140","NIHMS1684368","10.1016/j.mri.2021.03.012"
"33577936","Organization of the macaque monkey inferior parietal lobule based on multimodal receptor architectonics","Niu M, Rapan L, Funck T, Froudist-Walsh S, Zhao L, Zilles K, Palomero-Gallagher N.","Neuroimage. 2021 May 1;231:117843. doi: 10.1016/j.neuroimage.2021.117843. Epub 2021 Feb 10.","Niu M","Neuroimage","2021","2021/02/12","PMC8188735","NIHMS1702873","10.1016/j.neuroimage.2021.117843"
"32875354","Wide-field retinotopy reveals a new visuotopic cluster in macaque posterior parietal cortex","Rima S, Cottereau BR, Héjja-Brichard Y, Trotter Y, Durand JB.","Brain Struct Funct. 2020 Nov;225(8):2447-2461. doi: 10.1007/s00429-020-02134-2. Epub 2020 Sep 2.","Rima S","Brain Struct Funct","2020","2020/09/03","PMC7544618","","10.1007/s00429-020-02134-2"
"32745675","Mapping subcomponents of numerical cognition in relation to functional and anatomical landmarks of human parietal cortex","Castaldi E, Vignaud A, Eger E.","Neuroimage. 2020 Nov 1;221:117210. doi: 10.1016/j.neuroimage.2020.117210. Epub 2020 Aug 1.","Castaldi E","Neuroimage","2020","2020/08/04","","","10.1016/j.neuroimage.2020.117210"
"32226552","NIR-II fluorescence microscopic imaging of cortical vasculature in non-human primates","Cai Z, Zhu L, Wang M, Roe AW, Xi W, Qian J.","Theranostics. 2020 Mar 4;10(9):4265-4276. doi: 10.7150/thno.43533. eCollection 2020.","Cai Z","Theranostics","2020","2020/04/01","PMC7086344","","10.7150/thno.43533"
"32081631","A 16-channel loop array for in vivo macaque whole-brain imaging at 3 T","Quan Z, Gao Y, Qu S, Wang X, Friedman RM, Chernov MM, Kroenke CD, Roe AW, Zhang X.","Magn Reson Imaging. 2020 May;68:167-172. doi: 10.1016/j.mri.2020.02.008. Epub 2020 Feb 17.","Quan Z","Magn Reson Imaging","2020","2020/02/22","PMC7784245","NIHMS1655088","10.1016/j.mri.2020.02.008"
"30807382","Propofol Anesthesia Increases Long-range Frontoparietal Corticocortical Interaction in the Oculomotor Circuit in Macaque Monkeys","Ma L, Liu W, Hudson AE.","Anesthesiology. 2019 Apr;130(4):560-571. doi: 10.1097/ALN.0000000000002637.","Ma L","Anesthesiology","2019","2019/02/27","PMC6417961","NIHMS1518660","10.1097/ALN.0000000000002637"
"28845885","Analysis of vascular homogeneity and anisotropy on high-resolution primate brain imaging","Kennel P, Fonta C, Guibert R, Plouraboué F.","Hum Brain Mapp. 2017 Nov;38(11):5756-5777. doi: 10.1002/hbm.23766. Epub 2017 Aug 28.","Kennel P","Hum Brain Mapp","2017","2017/08/29","PMC6866716","","10.1002/hbm.23766"
"28461059","High-resolution functional MRI identified distinct global intrinsic functional networks of nociceptive posterior insula and S2 regions in squirrel monkey brain","Wu R, Wang F, Yang PF, Chen LM.","Neuroimage. 2017 Jul 15;155:147-158. doi: 10.1016/j.neuroimage.2017.04.067. Epub 2017 Apr 28.","Wu R","Neuroimage","2017","2017/05/03","PMC6104393","NIHMS983774","10.1016/j.neuroimage.2017.04.067"
"28419201","Functional Imaging of Audio-Visual Selective Attention in Monkeys and Humans: How do Lapses in Monkey Performance Affect Cross-Species Correspondences?","Rinne T, Muers RS, Salo E, Slater H, Petkov CI.","Cereb Cortex. 2017 Jun 1;27(6):3471-3484. doi: 10.1093/cercor/bhx092.","Rinne T","Cereb Cortex","2017","2017/04/19","PMC5654311","","10.1093/cercor/bhx092"
"28258716","Functional interactions between the macaque dorsal and ventral visual pathways during three-dimensional object vision","Janssen P, Verhoef BE, Premereur E.","Cortex. 2018 Jan;98:218-227. doi: 10.1016/j.cortex.2017.01.021. Epub 2017 Feb 3.","Janssen P","Cortex","2018","2017/03/05","","","10.1016/j.cortex.2017.01.021"
"27818177","Mirror Neurons in Monkey Premotor Area F5 Show Tuning for Critical Features of Visual Causality Perception","Caggiano V, Fleischer F, Pomper JK, Giese MA, Thier P.","Curr Biol. 2016 Nov 21;26(22):3077-3082. doi: 10.1016/j.cub.2016.10.007. Epub 2016 Nov 3.","Caggiano V","Curr Biol","2016","2016/11/08","","","10.1016/j.cub.2016.10.007"
"27339006","Neuronal foundations of human numerical representations","Eger E.","Prog Brain Res. 2016;227:1-27. doi: 10.1016/bs.pbr.2016.04.015. Epub 2016 May 27.","Eger E","Prog Brain Res","2016","2016/06/25","","","10.1016/bs.pbr.2016.04.015"
"27053755","Functional definitions of parietal areas in human and non-human primates","Orban GA.","Proc Biol Sci. 2016 Apr 13;283(1828):20160118. doi: 10.1098/rspb.2016.0118.","Orban GA","Proc Biol Sci","2016","2016/04/08","PMC4843655","","10.1098/rspb.2016.0118"
"27053213","Monkey Prefrontal Neurons Reflect Logical Operations for Cognitive Control in a Variant of the AX Continuous Performance Task (AX-CPT)","Blackman RK, Crowe DA, DeNicola AL, Sakellaridi S, MacDonald AW 3rd, Chafee MV.","J Neurosci. 2016 Apr 6;36(14):4067-79. doi: 10.1523/JNEUROSCI.3578-15.2016.","Blackman RK","J Neurosci","2016","2016/04/08","PMC4821916","","10.1523/JNEUROSCI.3578-15.2016"
"26742790","Effects of isoflurane and ethanol administration on c-Fos immunoreactivity in mice","Smith ML, Li J, Cote DM, Ryabinin AE.","Neuroscience. 2016 Mar 1;316:337-43. doi: 10.1016/j.neuroscience.2015.12.047. Epub 2015 Dec 29.","Smith ML","Neuroscience","2016","2016/01/09","PMC4742382","NIHMS748260","10.1016/j.neuroscience.2015.12.047"
"26311774","A Retinotopic Basis for the Division of High-Level Scene Processing between Lateral and Ventral Human Occipitotemporal Cortex","Silson EH, Chan AW, Reynolds RC, Kravitz DJ, Baker CI.","J Neurosci. 2015 Aug 26;35(34):11921-35. doi: 10.1523/JNEUROSCI.0137-15.2015.","Silson EH","J Neurosci","2015","2015/08/28","PMC4549403","","10.1523/JNEUROSCI.0137-15.2015"
"26238057","Imaging the Dynamics of Neocortical Population Activity in Behaving and Freely Moving Mammals","Grinvald A, Petersen CC.","Adv Exp Med Biol. 2015;859:273-96. doi: 10.1007/978-3-319-17641-3_11.","Grinvald A","Adv Exp Med Biol","2015","2015/08/05","","","10.1007/978-3-319-17641-3_11"
