PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33967709","Comparison of Scalp ERP to Faces in Macaques and Humans","Orczyk J, Schroeder CE, Abeles IY, Gomez-Ramirez M, Butler PD, Kajikawa Y.","Front Syst Neurosci. 2021 Apr 16;15:667611. doi: 10.3389/fnsys.2021.667611. eCollection 2021.","Orczyk J","Front Syst Neurosci","2021","2021/05/10","PMC8101630","","10.3389/fnsys.2021.667611"
"33482086","Common fronto-temporal effective connectivity in humans and monkeys","Rocchi F, Oya H, Balezeau F, Billig AJ, Kocsis Z, Jenison RL, Nourski KV, Kovach CK, Steinschneider M, Kikuchi Y, Rhone AE, Dlouhy BJ, Kawasaki H, Adolphs R, Greenlee JDW, Griffiths TD, Howard MA 3rd, Petkov CI.","Neuron. 2021 Mar 3;109(5):852-868.e8. doi: 10.1016/j.neuron.2020.12.026. Epub 2021 Jan 21.","Rocchi F","Neuron","2021","2021/01/22","PMC7927917","NIHMS1670759","10.1016/j.neuron.2020.12.026"
"33028641","Effective Connectivity Reveals an Interconnected Inferotemporal Network for Three-Dimensional Structure Processing","Premereur E, Janssen P.","J Neurosci. 2020 Oct 28;40(44):8501-8512. doi: 10.1523/JNEUROSCI.3024-19.2020. Epub 2020 Oct 7.","Premereur E","J Neurosci","2020","2020/10/08","PMC7605415","","10.1523/JNEUROSCI.3024-19.2020"
"32875354","Wide-field retinotopy reveals a new visuotopic cluster in macaque posterior parietal cortex","Rima S, Cottereau BR, Héjja-Brichard Y, Trotter Y, Durand JB.","Brain Struct Funct. 2020 Nov;225(8):2447-2461. doi: 10.1007/s00429-020-02134-2. Epub 2020 Sep 2.","Rima S","Brain Struct Funct","2020","2020/09/03","PMC7544618","","10.1007/s00429-020-02134-2"
"32226552","NIR-II fluorescence microscopic imaging of cortical vasculature in non-human primates","Cai Z, Zhu L, Wang M, Roe AW, Xi W, Qian J.","Theranostics. 2020 Mar 4;10(9):4265-4276. doi: 10.7150/thno.43533. eCollection 2020.","Cai Z","Theranostics","2020","2020/04/01","PMC7086344","","10.7150/thno.43533"
"30807382","Propofol Anesthesia Increases Long-range Frontoparietal Corticocortical Interaction in the Oculomotor Circuit in Macaque Monkeys","Ma L, Liu W, Hudson AE.","Anesthesiology. 2019 Apr;130(4):560-571. doi: 10.1097/ALN.0000000000002637.","Ma L","Anesthesiology","2019","2019/02/27","PMC6417961","NIHMS1518660","10.1097/ALN.0000000000002637"
"29682503","Imaging, Behavior and Endocrine Analysis of ""Jealousy"" in a Monogamous Primate","Maninger N, Mendoza SP, Williams DR, Mason WA, Cherry SR, Rowland DJ, Schaefer T, Bales KL.","Front Ecol Evol. 2017 Oct;5:119. doi: 10.3389/fevo.2017.00119. Epub 2017 Oct 19.","Maninger N","Front Ecol Evol","2017","2018/04/24","PMC5909987","NIHMS928917","10.3389/fevo.2017.00119"
"29240774","Pharmacological inactivation does not support a unique causal role for intraparietal sulcus in the discrimination of visual number","DeWind NK, Peng J, Luo A, Brannon EM, Platt ML.","PLoS One. 2017 Dec 14;12(12):e0188820. doi: 10.1371/journal.pone.0188820. eCollection 2017.","DeWind NK","PLoS One","2017","2017/12/15","PMC5730202","","10.1371/journal.pone.0188820"
"29186363","Transformation of Visual Representations Across Ventral Stream Body-selective Patches","Kumar S, Popivanov ID, Vogels R.","Cereb Cortex. 2019 Jan 1;29(1):215-229. doi: 10.1093/cercor/bhx320.","Kumar S","Cereb Cortex","2019","2017/11/30","","","10.1093/cercor/bhx320"
"28419201","Functional Imaging of Audio-Visual Selective Attention in Monkeys and Humans: How do Lapses in Monkey Performance Affect Cross-Species Correspondences?","Rinne T, Muers RS, Salo E, Slater H, Petkov CI.","Cereb Cortex. 2017 Jun 1;27(6):3471-3484. doi: 10.1093/cercor/bhx092.","Rinne T","Cereb Cortex","2017","2017/04/19","PMC5654311","","10.1093/cercor/bhx092"
"28100746","End-Stopping Predicts Curvature Tuning along the Ventral Stream","Ponce CR, Hartmann TS, Livingstone MS.","J Neurosci. 2017 Jan 18;37(3):648-659. doi: 10.1523/JNEUROSCI.2507-16.2016.","Ponce CR","J Neurosci","2017","2017/01/20","PMC5242411","","10.1523/JNEUROSCI.2507-16.2016"
"28080968","Interoception, homeostatic emotions and sympathovagal balance","Strigo IA, Craig AD.","Philos Trans R Soc Lond B Biol Sci. 2016 Nov 19;371(1708):20160010. doi: 10.1098/rstb.2016.0010. Epub 2016 Oct 10.","Strigo IA","Philos Trans R Soc Lond B Biol Sci","2016","2017/01/13","PMC5062099","","10.1098/rstb.2016.0010"
"27530989","Ketamine-induced changes in connectivity of functional brain networks in awake female nonhuman primates: a translational functional imaging model","Gopinath K, Maltbie E, Urushino N, Kempf D, Howell L.","Psychopharmacology (Berl). 2016 Oct;233(21-22):3673-3684. doi: 10.1007/s00213-016-4401-z. Epub 2016 Aug 16.","Gopinath K","Psychopharmacology (Berl)","2016","2016/08/18","","","10.1007/s00213-016-4401-z"
"27413146","Abstract and Effector-Selective Decision Signals Exhibit Qualitatively Distinct Dynamics before Delayed Perceptual Reports","Twomey DM, Kelly SP, O'Connell RG.","J Neurosci. 2016 Jul 13;36(28):7346-52. doi: 10.1523/JNEUROSCI.4162-15.2016.","Twomey DM","J Neurosci","2016","2016/07/15","PMC4945659","","10.1523/JNEUROSCI.4162-15.2016"
"27358462","Implications of Lateral Cerebellum in Proactive Control of Saccades","Kunimatsu J, Suzuki TW, Tanaka M.","J Neurosci. 2016 Jun 29;36(26):7066-74. doi: 10.1523/JNEUROSCI.0733-16.2016.","Kunimatsu J","J Neurosci","2016","2016/07/01","PMC6604892","","10.1523/JNEUROSCI.0733-16.2016"
"27053213","Monkey Prefrontal Neurons Reflect Logical Operations for Cognitive Control in a Variant of the AX Continuous Performance Task (AX-CPT)","Blackman RK, Crowe DA, DeNicola AL, Sakellaridi S, MacDonald AW 3rd, Chafee MV.","J Neurosci. 2016 Apr 6;36(14):4067-79. doi: 10.1523/JNEUROSCI.3578-15.2016.","Blackman RK","J Neurosci","2016","2016/04/08","PMC4821916","","10.1523/JNEUROSCI.3578-15.2016"
"26660447","Ketamine-induced brain activation in awake female nonhuman primates: a translational functional imaging model","Maltbie E, Gopinath K, Urushino N, Kempf D, Howell L.","Psychopharmacology (Berl). 2016 Mar;233(6):961-72. doi: 10.1007/s00213-015-4175-8. Epub 2015 Dec 10.","Maltbie E","Psychopharmacology (Berl)","2016","2015/12/15","PMC4761287","NIHMS744228","10.1007/s00213-015-4175-8"
"26283933","Electrical stimulation of the superior colliculus induces non-topographically organized perturbation of reaching movements in cats","Courjon JH, Zénon A, Clément G, Urquizar C, Olivier E, Pélisson D.","Front Syst Neurosci. 2015 Jul 28;9:109. doi: 10.3389/fnsys.2015.00109. eCollection 2015.","Courjon JH","Front Syst Neurosci","2015","2015/08/19","PMC4516875","","10.3389/fnsys.2015.00109"
