PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33967709","Comparison of Scalp ERP to Faces in Macaques and Humans","Orczyk J, Schroeder CE, Abeles IY, Gomez-Ramirez M, Butler PD, Kajikawa Y.","Front Syst Neurosci. 2021 Apr 16;15:667611. doi: 10.3389/fnsys.2021.667611. eCollection 2021.","Orczyk J","Front Syst Neurosci","2021","2021/05/10","PMC8101630","","10.3389/fnsys.2021.667611"
"33741436","Optimization of a quadrature birdcage coil for functional imaging of squirrel monkey brain at 9.4T","Lu M, Yang Z, Wang F, Drake G, Chen LM, Gore JC, Yan X.","Magn Reson Imaging. 2021 Jun;79:45-51. doi: 10.1016/j.mri.2021.03.012. Epub 2021 Mar 17.","Lu M","Magn Reson Imaging","2021","2021/03/20","PMC8107140","NIHMS1684368","10.1016/j.mri.2021.03.012"
"33511726","An 8-dipole transceive and 24-loop receive array for non-human primate head imaging at 10.5 T","Lagore RL, Moeller S, Zimmermann J, DelaBarre L, Radder J, Grant A, Ugurbil K, Yacoub E, Harel N, Adriany G.","NMR Biomed. 2021 Apr;34(4):e4472. doi: 10.1002/nbm.4472. Epub 2021 Jan 29.","Lagore RL","NMR Biomed","2021","2021/01/29","PMC8103796","NIHMS1682364","10.1002/nbm.4472"
"31792464","Neural circuits for evidence accumulation and decision making in larval zebrafish","Bahl A, Engert F.","Nat Neurosci. 2020 Jan;23(1):94-102. doi: 10.1038/s41593-019-0534-9. Epub 2019 Dec 2.","Bahl A","Nat Neurosci","2020","2019/12/04","PMC7295007","NIHMS1590620","10.1038/s41593-019-0534-9"
"31619951","fMRI in Non-human Primate: A Review on Factors That Can Affect Interpretation and Dynamic Causal Modeling Application","Jovellar DB, Doudet DJ.","Front Neurosci. 2019 Sep 18;13:973. doi: 10.3389/fnins.2019.00973. eCollection 2019.","Jovellar DB","Front Neurosci","2019","2019/10/18","PMC6759819","","10.3389/fnins.2019.00973"
"31461747","Orbitofrontal cortex is selectively activated in a primate model of attentional bias to cocaine cues","Baeg E, Jedema HP, Bradberry CW.","Neuropsychopharmacology. 2020 Mar;45(4):675-682. doi: 10.1038/s41386-019-0499-0. Epub 2019 Aug 28.","Baeg E","Neuropsychopharmacology","2020","2019/08/29","PMC7021823","","10.1038/s41386-019-0499-0"
"31132407","Longitudinal characterization of cognitive and motor deficits in an excitotoxic lesion model of striatal dysfunction in non-human primates","Lavisse S, Williams S, Lecourtois S, van Camp N, Guillermier M, Gipchtein P, Jan C, Goutal S, Eymin L, Valette J, Delzescaux T, Perrier AL, Hantraye P, Aron Badin R.","Neurobiol Dis. 2019 Oct;130:104484. doi: 10.1016/j.nbd.2019.104484. Epub 2019 May 24.","Lavisse S","Neurobiol Dis","2019","2019/05/28","","","10.1016/j.nbd.2019.104484"
"30121000","Adaptive coding in the human brain: Distinct object features are encoded by overlapping voxels in frontoparietal cortex","Jackson JB, Woolgar A.","Cortex. 2018 Nov;108:25-34. doi: 10.1016/j.cortex.2018.07.006. Epub 2018 Jul 25.","Jackson JB","Cortex","2018","2018/08/19","PMC6629547","EMS83377","10.1016/j.cortex.2018.07.006"
"30048613","Primate Social Communication Goes Interactive","Nieder A.","Neuron. 2018 Jul 25;99(2):250-253. doi: 10.1016/j.neuron.2018.07.014.","Nieder A","Neuron","2018","2018/07/27","","","10.1016/j.neuron.2018.07.014"
"29964078","Brain mechanisms of visual long-term memory retrieval in primates","Takeda M.","Neurosci Res. 2019 May;142:7-15. doi: 10.1016/j.neures.2018.06.005. Epub 2018 Jun 30.","Takeda M","Neurosci Res","2019","2018/07/03","","","10.1016/j.neures.2018.06.005"
"29682503","Imaging, Behavior and Endocrine Analysis of ""Jealousy"" in a Monogamous Primate","Maninger N, Mendoza SP, Williams DR, Mason WA, Cherry SR, Rowland DJ, Schaefer T, Bales KL.","Front Ecol Evol. 2017 Oct;5:119. doi: 10.3389/fevo.2017.00119. Epub 2017 Oct 19.","Maninger N","Front Ecol Evol","2017","2018/04/24","PMC5909987","NIHMS928917","10.3389/fevo.2017.00119"
"29186363","Transformation of Visual Representations Across Ventral Stream Body-selective Patches","Kumar S, Popivanov ID, Vogels R.","Cereb Cortex. 2019 Jan 1;29(1):215-229. doi: 10.1093/cercor/bhx320.","Kumar S","Cereb Cortex","2019","2017/11/30","","","10.1093/cercor/bhx320"
"28962905","Stimuli to differentiate the neural response at successive stages of visual processing using the VEP from human visual cortex","Marcar VL, Jäncke L.","J Neurosci Methods. 2018 Jan 1;293:199-209. doi: 10.1016/j.jneumeth.2017.09.015. Epub 2017 Sep 27.","Marcar VL","J Neurosci Methods","2018","2017/10/01","","","10.1016/j.jneumeth.2017.09.015"
"28845885","Analysis of vascular homogeneity and anisotropy on high-resolution primate brain imaging","Kennel P, Fonta C, Guibert R, Plouraboué F.","Hum Brain Mapp. 2017 Nov;38(11):5756-5777. doi: 10.1002/hbm.23766. Epub 2017 Aug 28.","Kennel P","Hum Brain Mapp","2017","2017/08/29","PMC6866716","","10.1002/hbm.23766"
"28466257","Cortical Representation of Pain and Touch: Evidence from Combined Functional Neuroimaging and Electrophysiology in Non-human Primates","Chen LM.","Neurosci Bull. 2018 Feb;34(1):165-177. doi: 10.1007/s12264-017-0133-2. Epub 2017 May 2.","Chen LM","Neurosci Bull","2018","2017/05/04","PMC5799120","","10.1007/s12264-017-0133-2"
"28461475","Limitations of ex vivo measurements for in vivo neuroscience","Opitz A, Falchier A, Linn GS, Milham MP, Schroeder CE.","Proc Natl Acad Sci U S A. 2017 May 16;114(20):5243-5246. doi: 10.1073/pnas.1617024114. Epub 2017 May 1.","Opitz A","Proc Natl Acad Sci U S A","2017","2017/05/03","PMC5441777","","10.1073/pnas.1617024114"
"28419201","Functional Imaging of Audio-Visual Selective Attention in Monkeys and Humans: How do Lapses in Monkey Performance Affect Cross-Species Correspondences?","Rinne T, Muers RS, Salo E, Slater H, Petkov CI.","Cereb Cortex. 2017 Jun 1;27(6):3471-3484. doi: 10.1093/cercor/bhx092.","Rinne T","Cereb Cortex","2017","2017/04/19","PMC5654311","","10.1093/cercor/bhx092"
"28411159","In vivo visualization of connections among revised Papez circuit hubs using full q-space diffusion spectrum imaging tractography","Wei PH, Mao ZQ, Cong F, Yeh FC, Wang B, Ling ZP, Liang SL, Chen L, Yu XG.","Neuroscience. 2017 Aug 15;357:400-410. doi: 10.1016/j.neuroscience.2017.04.003. Epub 2017 Apr 12.","Wei PH","Neuroscience","2017","2017/04/16","","","10.1016/j.neuroscience.2017.04.003"
"28258716","Functional interactions between the macaque dorsal and ventral visual pathways during three-dimensional object vision","Janssen P, Verhoef BE, Premereur E.","Cortex. 2018 Jan;98:218-227. doi: 10.1016/j.cortex.2017.01.021. Epub 2017 Feb 3.","Janssen P","Cortex","2018","2017/03/05","","","10.1016/j.cortex.2017.01.021"
