PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33772513","The precuneal cortex: anatomy and seizure semiology","Al-Ramadhani RR, Shivamurthy VKN, Elkins K, Gedela S, Pedersen NP, Kheder A.","Epileptic Disord. 2021 Apr 1;23(2):218-227. doi: 10.1684/epd.2021.1257.","Al-Ramadhani RR","Epileptic Disord","2021","2021/03/27","","","10.1684/epd.2021.1257"
"33577936","Organization of the macaque monkey inferior parietal lobule based on multimodal receptor architectonics","Niu M, Rapan L, Funck T, Froudist-Walsh S, Zhao L, Zilles K, Palomero-Gallagher N.","Neuroimage. 2021 May 1;231:117843. doi: 10.1016/j.neuroimage.2021.117843. Epub 2021 Feb 10.","Niu M","Neuroimage","2021","2021/02/12","PMC8188735","NIHMS1702873","10.1016/j.neuroimage.2021.117843"
"33511726","An 8-dipole transceive and 24-loop receive array for non-human primate head imaging at 10.5 T","Lagore RL, Moeller S, Zimmermann J, DelaBarre L, Radder J, Grant A, Ugurbil K, Yacoub E, Harel N, Adriany G.","NMR Biomed. 2021 Apr;34(4):e4472. doi: 10.1002/nbm.4472. Epub 2021 Jan 29.","Lagore RL","NMR Biomed","2021","2021/01/29","PMC8103796","NIHMS1682364","10.1002/nbm.4472"
"33482086","Common fronto-temporal effective connectivity in humans and monkeys","Rocchi F, Oya H, Balezeau F, Billig AJ, Kocsis Z, Jenison RL, Nourski KV, Kovach CK, Steinschneider M, Kikuchi Y, Rhone AE, Dlouhy BJ, Kawasaki H, Adolphs R, Greenlee JDW, Griffiths TD, Howard MA 3rd, Petkov CI.","Neuron. 2021 Mar 3;109(5):852-868.e8. doi: 10.1016/j.neuron.2020.12.026. Epub 2021 Jan 21.","Rocchi F","Neuron","2021","2021/01/22","PMC7927917","NIHMS1670759","10.1016/j.neuron.2020.12.026"
"33301937","Functional imaging of the brainstem during visually-guided motor control reveals visuomotor regions in the pons and midbrain","Chu WT, Mitchell T, Foote KD, Coombes SA, Vaillancourt DE.","Neuroimage. 2021 Feb 1;226:117627. doi: 10.1016/j.neuroimage.2020.117627. Epub 2020 Dec 8.","Chu WT","Neuroimage","2021","2020/12/10","PMC8335153","NIHMS1726624","10.1016/j.neuroimage.2020.117627"
"32875354","Wide-field retinotopy reveals a new visuotopic cluster in macaque posterior parietal cortex","Rima S, Cottereau BR, Héjja-Brichard Y, Trotter Y, Durand JB.","Brain Struct Funct. 2020 Nov;225(8):2447-2461. doi: 10.1007/s00429-020-02134-2. Epub 2020 Sep 2.","Rima S","Brain Struct Funct","2020","2020/09/03","PMC7544618","","10.1007/s00429-020-02134-2"
"32643223","Contextual complexity of chemical signals in callitrichids","Snowdon CT, Ziegler TE.","Am J Primatol. 2021 Jun;83(6):e23172. doi: 10.1002/ajp.23172. Epub 2020 Jul 9.","Snowdon CT","Am J Primatol","2021","2020/07/10","PMC7794096","NIHMS1620750","10.1002/ajp.23172"
"32226552","NIR-II fluorescence microscopic imaging of cortical vasculature in non-human primates","Cai Z, Zhu L, Wang M, Roe AW, Xi W, Qian J.","Theranostics. 2020 Mar 4;10(9):4265-4276. doi: 10.7150/thno.43533. eCollection 2020.","Cai Z","Theranostics","2020","2020/04/01","PMC7086344","","10.7150/thno.43533"
"32081631","A 16-channel loop array for in vivo macaque whole-brain imaging at 3 T","Quan Z, Gao Y, Qu S, Wang X, Friedman RM, Chernov MM, Kroenke CD, Roe AW, Zhang X.","Magn Reson Imaging. 2020 May;68:167-172. doi: 10.1016/j.mri.2020.02.008. Epub 2020 Feb 17.","Quan Z","Magn Reson Imaging","2020","2020/02/22","PMC7784245","NIHMS1655088","10.1016/j.mri.2020.02.008"
"31166811","Directional interconnectivity of the human amygdala, fusiform gyrus, and orbitofrontal cortex in emotional scene perception","Frank DW, Costa VD, Averbeck BB, Sabatinelli D.","J Neurophysiol. 2019 Oct 1;122(4):1530-1537. doi: 10.1152/jn.00780.2018. Epub 2019 Jun 5.","Frank DW","J Neurophysiol","2019","2019/06/06","PMC6843098","","10.1152/jn.00780.2018"
