PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32960419","MRI-based Parcellation and Morphometry of the Individual Rhesus Monkey Brain: the macaque Harvard-Oxford Atlas (mHOA), a translational system referencing a standardized ontology","Rushmore RJ, Bouix S, Kubicki M, Rathi Y, Rosene DL, Yeterian EH, Makris N.","Brain Imaging Behav. 2021 Jun;15(3):1589-1621. doi: 10.1007/s11682-020-00357-9.","Rushmore RJ","Brain Imaging Behav","2021","2020/09/22","","","10.1007/s11682-020-00357-9"
"32888082","Application of Pharmacokinetic-Pharmacodynamic Modeling to Inform Translation of In Vitro NaV1.7 Inhibition to In Vivo Pharmacological Response in Non-human Primate","Ballard JE, Pall P, Vardigan J, Zhao F, Holahan MA, Kraus R, Li Y, Henze D, Houghton A, Burgey CS, Gibson C.","Pharm Res. 2020 Sep 4;37(10):181. doi: 10.1007/s11095-020-02914-9.","Ballard JE","Pharm Res","2020","2020/09/05","PMC7473964","","10.1007/s11095-020-02914-9"
"32745096","Task-evoked activity quenches neural correlations and variability across cortical areas","Ito T, Brincat SL, Siegel M, Mill RD, He BJ, Miller EK, Rotstein HG, Cole MW.","PLoS Comput Biol. 2020 Aug 3;16(8):e1007983. doi: 10.1371/journal.pcbi.1007983. eCollection 2020 Aug.","Ito T","PLoS Comput Biol","2020","2020/08/04","PMC7425988","","10.1371/journal.pcbi.1007983"
"32038217","Animal Functional Magnetic Resonance Imaging: Trends and Path Toward Standardization","Mandino F, Cerri DH, Garin CM, Straathof M, van Tilborg GAF, Chakravarty MM, Dhenain M, Dijkhuizen RM, Gozzi A, Hess A, Keilholz SD, Lerch JP, Shih YI, Grandjean J.","Front Neuroinform. 2020 Jan 22;13:78. doi: 10.3389/fninf.2019.00078. eCollection 2019.","Mandino F","Front Neuroinform","2020","2020/02/11","PMC6987455","","10.3389/fninf.2019.00078"
"31682802","Brain activity changes in a monkey model of central post-stroke pain","Nagasaka K, Takashima I, Matsuda K, Higo N.","Exp Neurol. 2020 Jan;323:113096. doi: 10.1016/j.expneurol.2019.113096. Epub 2019 Nov 1.","Nagasaka K","Exp Neurol","2020","2019/11/05","","","10.1016/j.expneurol.2019.113096"
"31394491","A preliminary study of association between adolescent estradiol level and dorsolateral prefrontal cortex activity during emotion regulation","Chung YS, Poppe A, Novotny S, Epperson CN, Kober H, Granger DA, Blumberg HP, Ochsner K, Gross JJ, Pearlson G, Stevens MC.","Psychoneuroendocrinology. 2019 Nov;109:104398. doi: 10.1016/j.psyneuen.2019.104398. Epub 2019 Jul 30.","Chung YS","Psychoneuroendocrinology","2019","2019/08/09","PMC6842698","NIHMS1537095","10.1016/j.psyneuen.2019.104398"
"31189958","Atypical behaviour and connectivity in SHANK3-mutant macaques","Zhou Y, Sharma J, Ke Q, Landman R, Yuan J, Chen H, Hayden DS, Fisher JW 3rd, Jiang M, Menegas W, Aida T, Yan T, Zou Y, Xu D, Parmar S, Hyman JB, Fanucci-Kiss A, Meisner O, Wang D, Huang Y, Li Y, Bai Y, Ji W, Lai X, Li W, Huang L, Lu Z, Wang L, Anteraper SA, Sur M, Zhou H, Xiang AP, Desimone R, Feng G, Yang S.","Nature. 2019 Jun;570(7761):326-331. doi: 10.1038/s41586-019-1278-0. Epub 2019 Jun 12.","Zhou Y","Nature","2019","2019/06/14","","","10.1038/s41586-019-1278-0"
"30597044","Pain-related behavior and brain activation in cynomolgus macaques with naturally occurring endometriosis","Yano M, Matsuda A, Natsume T, Ogawa S, Awaga Y, Hayashi I, Hama A, Takamatsu H.","Hum Reprod. 2019 Mar 1;34(3):469-478. doi: 10.1093/humrep/dey383.","Yano M","Hum Reprod","2019","2019/01/01","","","10.1093/humrep/dey383"
"30205207","Resting-state white matter-cortical connectivity in non-human primate brain","Wu TL, Wang F, Li M, Schilling KG, Gao Y, Anderson AW, Chen LM, Ding Z, Gore JC.","Neuroimage. 2019 Jan 1;184:45-55. doi: 10.1016/j.neuroimage.2018.09.021. Epub 2018 Sep 8.","Wu TL","Neuroimage","2019","2018/09/12","PMC6250128","NIHMS1506840","10.1016/j.neuroimage.2018.09.021"
"27803286","The neural basis of understanding the expression of the emotions in man and animals","Spunt RP, Ellsworth E, Adolphs R.","Soc Cogn Affect Neurosci. 2017 Jan 1;12(1):95-105. doi: 10.1093/scan/nsw161.","Spunt RP","Soc Cogn Affect Neurosci","2017","2016/11/03","PMC5390760","","10.1093/scan/nsw161"
"27031602","Non-human primates in neuroscience research: The case against its scientific necessity","Bailey J, Taylor K.","Altern Lab Anim. 2016 Mar;44(1):43-69. doi: 10.1177/026119291604400101.","Bailey J","Altern Lab Anim","2016","2016/04/01","","","10.1177/026119291604400101"
"26706280","Longitudinal evaluation of functional connectivity variation in the monkey sensorimotor network induced by spinal cord injury","Rao JS, Liu Z, Zhao C, Wei RH, Zhao W, Yang ZY, Li XG.","Acta Physiol (Oxf). 2016 Jun;217(2):164-73. doi: 10.1111/apha.12645. Epub 2016 Jan 13.","Rao JS","Acta Physiol (Oxf)","2016","2015/12/27","","","10.1111/apha.12645"
"25988226","Whole brain mapping of visual and tactile convergence in the macaque monkey","Guipponi O, Cléry J, Odouard S, Wardak C, Ben Hamed S.","Neuroimage. 2015 Aug 15;117:93-102. doi: 10.1016/j.neuroimage.2015.05.022. Epub 2015 May 16.","Guipponi O","Neuroimage","2015","2015/05/20","","","10.1016/j.neuroimage.2015.05.022"
"24629510","Fractional amplitude of low-frequency fluctuation changes in monkeys with spinal cord injury: a resting-state fMRI study","Rao JS, Ma M, Zhao C, Zhang AF, Yang ZY, Liu Z, Li XG.","Magn Reson Imaging. 2014 Jun;32(5):482-6. doi: 10.1016/j.mri.2014.02.001. Epub 2014 Feb 10.","Rao JS","Magn Reson Imaging","2014","2014/03/18","","","10.1016/j.mri.2014.02.001"
"23652854","Large-scale reorganization of the somatosensory cortex of adult macaque monkeys revealed by fMRI","Dutta A, Kambi N, Raghunathan P, Khushu S, Jain N.","Brain Struct Funct. 2014 Jul;219(4):1305-20. doi: 10.1007/s00429-013-0569-8. Epub 2013 May 8.","Dutta A","Brain Struct Funct","2014","2013/05/09","","","10.1007/s00429-013-0569-8"
"21576110","Lesion evidence for the critical role of the intraparietal sulcus in spatial attention","Gillebert CR, Mantini D, Thijs V, Sunaert S, Dupont P, Vandenberghe R.","Brain. 2011 Jun;134(Pt 6):1694-709. doi: 10.1093/brain/awr085. Epub 2011 May 15.","Gillebert CR","Brain","2011","2011/05/18","","","10.1093/brain/awr085"
"21148091","Integration of visual and tactile signals from the hand in the human brain: an FMRI study","Gentile G, Petkova VI, Ehrsson HH.","J Neurophysiol. 2011 Feb;105(2):910-22. doi: 10.1152/jn.00840.2010. Epub 2010 Dec 8.","Gentile G","J Neurophysiol","2011","2010/12/15","PMC3059180","","10.1152/jn.00840.2010"
"20692278","Imaging retinotopic maps in the human brain","Wandell BA, Winawer J.","Vision Res. 2011 Apr 13;51(7):718-37. doi: 10.1016/j.visres.2010.08.004. Epub 2010 Aug 6.","Wandell BA","Vision Res","2011","2010/08/10","PMC3030662","NIHMS234413","10.1016/j.visres.2010.08.004"
"20662902","Broca's region: linking human brain functional connectivity data and non-human primate tracing anatomy studies","Kelly C, Uddin LQ, Shehzad Z, Margulies DS, Castellanos FX, Milham MP, Petrides M.","Eur J Neurosci. 2010 Aug;32(3):383-98. doi: 10.1111/j.1460-9568.2010.07279.x. Epub 2010 Jul 21.","Kelly C","Eur J Neurosci","2010","2010/07/29","PMC3111969","NIHMS294225","10.1111/j.1460-9568.2010.07279.x"
"18761038","An open-source hardware and software system for acquisition and real-time processing of electrophysiology during high field MRI","Purdon PL, Millan H, Fuller PL, Bonmassar G.","J Neurosci Methods. 2008 Nov 15;175(2):165-86. doi: 10.1016/j.jneumeth.2008.07.017. Epub 2008 Aug 5.","Purdon PL","J Neurosci Methods","2008","2008/09/02","PMC2855223","NIHMS77940","10.1016/j.jneumeth.2008.07.017"
"17395577","Morphology, language and the brain: the decompositional substrate for language comprehension","Marslen-Wilson WD, Tyler LK.","Philos Trans R Soc Lond B Biol Sci. 2007 May 29;362(1481):823-36. doi: 10.1098/rstb.2007.2091.","Marslen-Wilson WD","Philos Trans R Soc Lond B Biol Sci","2007","2007/03/31","PMC2430000","","10.1098/rstb.2007.2091"
"16675025","fMRI in alert, behaving monkeys: an adaptation of the human infant familiarization novelty preference procedure","Joseph JE, Powell DK, Andersen AH, Bhatt RS, Dunlap MK, Foldes ST, Forman E, Hardy PA, Steinmetz NA, Zhang Z.","J Neurosci Methods. 2006 Oct 15;157(1):10-24. doi: 10.1016/j.jneumeth.2006.03.018. Epub 2006 May 3.","Joseph JE","J Neurosci Methods","2006","2006/05/06","","","10.1016/j.jneumeth.2006.03.018"
"15838110","Neurobiology of rehabilitation","Dobkin BH.","Ann N Y Acad Sci. 2004 Dec;1038:148-70. doi: 10.1196/annals.1315.024.","Dobkin BH","Ann N Y Acad Sci","2004","2005/04/20","PMC4164200","NIHMS623164","10.1196/annals.1315.024"
"14630229","MR imaging in the non-human primate: studies of function and of dynamic connectivity","Logothetis NK.","Curr Opin Neurobiol. 2003 Oct;13(5):630-42. doi: 10.1016/j.conb.2003.09.017.","Logothetis NK","Curr Opin Neurobiol","2003","2003/11/25","","","10.1016/j.conb.2003.09.017"
"12927334","Neuroimaging studies of priming","Henson RN.","Prog Neurobiol. 2003 May;70(1):53-81. doi: 10.1016/s0301-0082(03)00086-8.","Henson RN","Prog Neurobiol","2003","2003/08/21","","","10.1016/s0301-0082(03)00086-8"
"12221492","High resolution fMRI of ocular dominance columns within the visual cortex of human amblyopes","Goodyear BG, Nicolle DA, Menon RS.","Strabismus. 2002 Jun;10(2):129-36. doi: 10.1076/stra.10.2.129.8140.","Goodyear BG","Strabismus","2002","2002/09/11","","","10.1076/stra.10.2.129.8140"
"11389943","Direct comparison of visual cortex activation in human and non-human primates using functional magnetic resonance imaging","Dubowitz DJ, Chen DY, Atkinson DJ, Scadeng M, Martinez A, Andersen MB, Andersen RA, Bradley WG Jr.","J Neurosci Methods. 2001 May 30;107(1-2):71-80. doi: 10.1016/s0165-0270(01)00353-3.","Dubowitz DJ","J Neurosci Methods","2001","2001/06/08","","","10.1016/s0165-0270(01)00353-3"
