PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34273134","Structure, function and connectivity fingerprints of the frontal eye field versus the inferior frontal junction: A comprehensive comparison","Bedini M, Baldauf D.","Eur J Neurosci. 2021 Jul 17. doi: 10.1111/ejn.15393. Online ahead of print.","Bedini M","Eur J Neurosci","2021","2021/07/17","","","10.1111/ejn.15393"
"33878384","Mapping functional gradients of the striatal circuit using simultaneous microelectric stimulation and ultrahigh-field fMRI in non-human primates","Han MJ, Park CU, Kang S, Kim B, Nikolaidis A, Milham MP, Hong SJ, Kim SG, Baeg E.","Neuroimage. 2021 Aug 1;236:118077. doi: 10.1016/j.neuroimage.2021.118077. Epub 2021 Apr 18.","Han MJ","Neuroimage","2021","2021/04/20","","","10.1016/j.neuroimage.2021.118077"
"32888082","Application of Pharmacokinetic-Pharmacodynamic Modeling to Inform Translation of In Vitro NaV1.7 Inhibition to In Vivo Pharmacological Response in Non-human Primate","Ballard JE, Pall P, Vardigan J, Zhao F, Holahan MA, Kraus R, Li Y, Henze D, Houghton A, Burgey CS, Gibson C.","Pharm Res. 2020 Sep 4;37(10):181. doi: 10.1007/s11095-020-02914-9.","Ballard JE","Pharm Res","2020","2020/09/05","PMC7473964","","10.1007/s11095-020-02914-9"
"32366956","Rapid event-related, BOLD fMRI, non-human primates (NHP): choose two out of three","Pelekanos V, Mok RM, Joly O, Ainsworth M, Kyriazis D, Kelly MG, Bell AH, Kriegeskorte N.","Sci Rep. 2020 May 4;10(1):7485. doi: 10.1038/s41598-020-64376-8.","Pelekanos V","Sci Rep","2020","2020/05/06","PMC7198564","","10.1038/s41598-020-64376-8"
"32275880","Evidence for Hierarchical Cognitive Control in the Human Cerebellum","D'Mello AM, Gabrieli JDE, Nee DE.","Curr Biol. 2020 May 18;30(10):1881-1892.e3. doi: 10.1016/j.cub.2020.03.028. Epub 2020 Apr 9.","D'Mello AM","Curr Biol","2020","2020/04/11","PMC7289516","NIHMS1582964","10.1016/j.cub.2020.03.028"
"31847744","Canine sense of quantity: evidence for numerical ratio-dependent activation in parietotemporal cortex","Aulet LS, Chiu VC, Prichard A, Spivak M, Lourenco SF, Berns GS.","Biol Lett. 2019 Dec;15(12):20190666. doi: 10.1098/rsbl.2019.0666. Epub 2019 Dec 18.","Aulet LS","Biol Lett","2019","2019/12/19","PMC6936025","","10.1098/rsbl.2019.0666"
"31557544","Large scale networks for human hand-object interaction: Functionally distinct roles for two premotor regions identified intraoperatively","Simone L, Fornia L, Viganò L, Sambataro F, Rossi M, Leonetti A, Puglisi G, Howells H, Bellacicca A, Bello L, Cerri G.","Neuroimage. 2020 Jan 1;204:116215. doi: 10.1016/j.neuroimage.2019.116215. Epub 2019 Sep 24.","Simone L","Neuroimage","2020","2019/09/27","","","10.1016/j.neuroimage.2019.116215"
"31031580","Isoflurane-Induced Burst Suppression Increases Intrinsic Functional Connectivity of the Monkey Brain","Zhang Z, Cai DC, Wang Z, Zeljic K, Wang Z, Wang Y.","Front Neurosci. 2019 Apr 11;13:296. doi: 10.3389/fnins.2019.00296. eCollection 2019.","Zhang Z","Front Neurosci","2019","2019/04/30","PMC6470287","","10.3389/fnins.2019.00296"
"30873000","Brain Map of Intrinsic Functional Flexibility in Anesthetized Monkeys and Awake Humans","Yin D, Zhang Z, Wang Z, Zeljic K, Lv Q, Cai D, Wang Y, Wang Z.","Front Neurosci. 2019 Feb 28;13:174. doi: 10.3389/fnins.2019.00174. eCollection 2019.","Yin D","Front Neurosci","2019","2019/03/16","PMC6403192","","10.3389/fnins.2019.00174"
"30633413","Encoding of kinetic and kinematic movement parameters in the sensorimotor cortex: A Brain-Computer Interface perspective","Branco MP, de Boer LM, Ramsey NF, Vansteensel MJ.","Eur J Neurosci. 2019 Sep;50(5):2755-2772. doi: 10.1111/ejn.14342. Epub 2019 Jan 30.","Branco MP","Eur J Neurosci","2019","2019/01/12","PMC6625947","NIHMS1006223","10.1111/ejn.14342"
"30419289","Intrinsic functional clustering of anterior cingulate cortex in the common marmoset","Schaeffer DJ, Gilbert KM, Ghahremani M, Gati JS, Menon RS, Everling S.","Neuroimage. 2019 Feb 1;186:301-307. doi: 10.1016/j.neuroimage.2018.11.005. Epub 2018 Nov 10.","Schaeffer DJ","Neuroimage","2019","2018/11/13","","","10.1016/j.neuroimage.2018.11.005"
"30211338","Effects of primatological training on anthropomorphic valuations of emotions","Mercadillo RE, Alcauter S, Barrios FA.","IBRO Rep. 2018 Sep 6;5:54-59. doi: 10.1016/j.ibror.2018.09.001. eCollection 2018 Dec.","Mercadillo RE","IBRO Rep","2018","2018/09/14","PMC6134357","","10.1016/j.ibror.2018.09.001"
"30205207","Resting-state white matter-cortical connectivity in non-human primate brain","Wu TL, Wang F, Li M, Schilling KG, Gao Y, Anderson AW, Chen LM, Ding Z, Gore JC.","Neuroimage. 2019 Jan 1;184:45-55. doi: 10.1016/j.neuroimage.2018.09.021. Epub 2018 Sep 8.","Wu TL","Neuroimage","2019","2018/09/12","PMC6250128","NIHMS1506840","10.1016/j.neuroimage.2018.09.021"
"29593518","Task-Relevant Information Modulates Primary Motor Cortex Activity Before Movement Onset","Calderon CB, Van Opstal F, Peigneux P, Verguts T, Gevers W.","Front Hum Neurosci. 2018 Mar 14;12:93. doi: 10.3389/fnhum.2018.00093. eCollection 2018.","Calderon CB","Front Hum Neurosci","2018","2018/03/30","PMC5861186","","10.3389/fnhum.2018.00093"
"29352154","Resting state brain networks in the prairie vole","Ortiz JJ, Portillo W, Paredes RG, Young LJ, Alcauter S.","Sci Rep. 2018 Jan 19;8(1):1231. doi: 10.1038/s41598-017-17610-9.","Ortiz JJ","Sci Rep","2018","2018/01/21","PMC5775431","","10.1038/s41598-017-17610-9"
