PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34273134","Structure, function and connectivity fingerprints of the frontal eye field versus the inferior frontal junction: A comprehensive comparison","Bedini M, Baldauf D.","Eur J Neurosci. 2021 Jul 17. doi: 10.1111/ejn.15393. Online ahead of print.","Bedini M","Eur J Neurosci","2021","2021/07/17","","","10.1111/ejn.15393"
"34011626","Na(v)1.7 target modulation and efficacy can be measured in nonhuman primate assays","Kraus RL, Zhao F, Pall PS, Zhou D, Vardigan JD, Danziger A, Li Y, Daley C, Ballard JE, Clements MK, Klein RM, Holahan MA, Greshock TJ, Kim RM, Layton ME, Burgey CS, Serra J, Henze DA, Houghton AK.","Sci Transl Med. 2021 May 19;13(594):eaay1050. doi: 10.1126/scitranslmed.aay1050.","Kraus RL","Sci Transl Med","2021","2021/05/20","","","10.1126/scitranslmed.aay1050"
"33878384","Mapping functional gradients of the striatal circuit using simultaneous microelectric stimulation and ultrahigh-field fMRI in non-human primates","Han MJ, Park CU, Kang S, Kim B, Nikolaidis A, Milham MP, Hong SJ, Kim SG, Baeg E.","Neuroimage. 2021 Aug 1;236:118077. doi: 10.1016/j.neuroimage.2021.118077. Epub 2021 Apr 18.","Han MJ","Neuroimage","2021","2021/04/20","","","10.1016/j.neuroimage.2021.118077"
"33853400","Pharmacological modulation of brain activation to non-noxious stimulation in a cynomolgus macaque model of peripheral nerve injury","Hama A, Yano M, Sotogawa W, Fujii R, Awaga Y, Natsume T, Hayashi I, Takamatsu H.","Mol Pain. 2021 Jan-Dec;17:17448069211008697. doi: 10.1177/17448069211008697.","Hama A","Mol Pain","2021","2021/04/15","PMC8053757","","10.1177/17448069211008697"
"33849949","High-Level Representations in Human Occipito-Temporal Cortex Are Indexed by Distal Connectivity","Walbrin J, Almeida J.","J Neurosci. 2021 May 26;41(21):4678-4685. doi: 10.1523/JNEUROSCI.2857-20.2021. Epub 2021 Apr 13.","Walbrin J","J Neurosci","2021","2021/04/14","PMC8260247","","10.1523/JNEUROSCI.2857-20.2021"
"33839768","The Brain Circuits and Dynamics of Curiosity-Driven Behavior in Naturally Curious Marmosets","Tian X, Silva AC, Liu C.","Cereb Cortex. 2021 Jul 29;31(9):4220-4232. doi: 10.1093/cercor/bhab080.","Tian X","Cereb Cortex","2021","2021/04/11","","","10.1093/cercor/bhab080"
"33787492","Neural network of social interaction observation in marmosets","Cléry JC, Hori Y, Schaeffer DJ, Menon RS, Everling S.","Elife. 2021 Mar 31;10:e65012. doi: 10.7554/eLife.65012.","Cléry JC","Elife","2021","2021/03/31","PMC8024015","","10.7554/eLife.65012"
"33745141","The mouth matters most: A functional magnetic resonance imaging study of how dogs perceive inanimate objects","Prichard A, Chhibber R, Athanassiades K, Chiu V, Spivak M, Berns GS.","J Comp Neurol. 2021 Aug 1;529(11):2987-2994. doi: 10.1002/cne.25142. Epub 2021 Mar 25.","Prichard A","J Comp Neurol","2021","2021/03/21","","","10.1002/cne.25142"
"33662692","Within-category representational stability through the lens of manipulable objects","Lee D, Almeida J.","Cortex. 2021 Apr;137:282-291. doi: 10.1016/j.cortex.2020.12.026. Epub 2021 Feb 5.","Lee D","Cortex","2021","2021/03/04","","","10.1016/j.cortex.2020.12.026"
"33427167","Developmental outcomes of early adverse care on amygdala functional connectivity in nonhuman primates","Morin EL, Howell BR, Feczko E, Earl E, Pincus M, Reding K, Kovacs-Balint ZA, Meyer JS, Styner M, Fair D, Sanchez MM.","Dev Psychopathol. 2020 Dec;32(5):1579-1596. doi: 10.1017/S0954579420001133.","Morin EL","Dev Psychopathol","2020","2021/01/11","","","10.1017/S0954579420001133"
"33350445","Individual Variability in Functional Organization of the Human and Monkey Auditory Cortex","Ren J, Xu T, Wang D, Li M, Lin Y, Schoeppe F, Ramirez JSB, Han Y, Luan G, Li L, Liu H, Ahveninen J.","Cereb Cortex. 2021 Mar 31;31(5):2450-2465. doi: 10.1093/cercor/bhaa366.","Ren J","Cereb Cortex","2021","2020/12/22","PMC8023837","","10.1093/cercor/bhaa366"
"33226317","An Important Step toward Understanding the Role of Body-based Cues on Human Spatial Memory for Large-Scale Environments","Huffman DJ, Ekstrom AD.","J Cogn Neurosci. 2021 Feb;33(2):167-179. doi: 10.1162/jocn_a_01653. Epub 2020 Nov 23.","Huffman DJ","J Cogn Neurosci","2021","2020/11/23","","","10.1162/jocn_a_01653"
"32981657","Converging Structural and Functional Evidence for a Rat Salience Network","Tsai PJ, Keeley RJ, Carmack SA, Vendruscolo JCM, Lu H, Gu H, Vendruscolo LF, Koob GF, Lin CP, Stein EA, Yang Y.","Biol Psychiatry. 2020 Dec 1;88(11):867-878. doi: 10.1016/j.biopsych.2020.06.023. Epub 2020 Jul 2.","Tsai PJ","Biol Psychiatry","2020","2020/09/28","","","10.1016/j.biopsych.2020.06.023"
"32960419","MRI-based Parcellation and Morphometry of the Individual Rhesus Monkey Brain: the macaque Harvard-Oxford Atlas (mHOA), a translational system referencing a standardized ontology","Rushmore RJ, Bouix S, Kubicki M, Rathi Y, Rosene DL, Yeterian EH, Makris N.","Brain Imaging Behav. 2021 Jun;15(3):1589-1621. doi: 10.1007/s11682-020-00357-9.","Rushmore RJ","Brain Imaging Behav","2021","2020/09/22","","","10.1007/s11682-020-00357-9"
"32888082","Application of Pharmacokinetic-Pharmacodynamic Modeling to Inform Translation of In Vitro NaV1.7 Inhibition to In Vivo Pharmacological Response in Non-human Primate","Ballard JE, Pall P, Vardigan J, Zhao F, Holahan MA, Kraus R, Li Y, Henze D, Houghton A, Burgey CS, Gibson C.","Pharm Res. 2020 Sep 4;37(10):181. doi: 10.1007/s11095-020-02914-9.","Ballard JE","Pharm Res","2020","2020/09/05","PMC7473964","","10.1007/s11095-020-02914-9"
"32885886","Dynamic frontostriatal functional peak connectivity (in alcohol use disorder)","Gerchen MF, Weiss F, Kirsch M, Rentsch A, Halli P, Kiefer F, Kirsch P.","Hum Brain Mapp. 2021 Jan;42(1):36-46. doi: 10.1002/hbm.25201. Epub 2020 Sep 4.","Gerchen MF","Hum Brain Mapp","2021","2020/09/05","PMC7721230","","10.1002/hbm.25201"
"32745096","Task-evoked activity quenches neural correlations and variability across cortical areas","Ito T, Brincat SL, Siegel M, Mill RD, He BJ, Miller EK, Rotstein HG, Cole MW.","PLoS Comput Biol. 2020 Aug 3;16(8):e1007983. doi: 10.1371/journal.pcbi.1007983. eCollection 2020 Aug.","Ito T","PLoS Comput Biol","2020","2020/08/04","PMC7425988","","10.1371/journal.pcbi.1007983"
"32477079","Exploring Representation of Diverse Samples in fMRI Studies Conducted in Patients With Cardiac-Related Chronic Illness: A Focused Systematic Review","Jones LM, Ginier E, Debbs J, Eaton JL, Renner C, Hawkins J, Rios-Spicer R, Tang E, Schertzing C, Giordani B.","Front Hum Neurosci. 2020 May 14;14:108. doi: 10.3389/fnhum.2020.00108. eCollection 2020.","Jones LM","Front Hum Neurosci","2020","2020/06/02","PMC7240043","","10.3389/fnhum.2020.00108"
