PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34011626","Na(v)1.7 target modulation and efficacy can be measured in nonhuman primate assays","Kraus RL, Zhao F, Pall PS, Zhou D, Vardigan JD, Danziger A, Li Y, Daley C, Ballard JE, Clements MK, Klein RM, Holahan MA, Greshock TJ, Kim RM, Layton ME, Burgey CS, Serra J, Henze DA, Houghton AK.","Sci Transl Med. 2021 May 19;13(594):eaay1050. doi: 10.1126/scitranslmed.aay1050.","Kraus RL","Sci Transl Med","2021","2021/05/20","","","10.1126/scitranslmed.aay1050"
"33787492","Neural network of social interaction observation in marmosets","Cléry JC, Hori Y, Schaeffer DJ, Menon RS, Everling S.","Elife. 2021 Mar 31;10:e65012. doi: 10.7554/eLife.65012.","Cléry JC","Elife","2021","2021/03/31","PMC8024015","","10.7554/eLife.65012"
"33350445","Individual Variability in Functional Organization of the Human and Monkey Auditory Cortex","Ren J, Xu T, Wang D, Li M, Lin Y, Schoeppe F, Ramirez JSB, Han Y, Luan G, Li L, Liu H, Ahveninen J.","Cereb Cortex. 2021 Mar 31;31(5):2450-2465. doi: 10.1093/cercor/bhaa366.","Ren J","Cereb Cortex","2021","2020/12/22","PMC8023837","","10.1093/cercor/bhaa366"
"32885886","Dynamic frontostriatal functional peak connectivity (in alcohol use disorder)","Gerchen MF, Weiss F, Kirsch M, Rentsch A, Halli P, Kiefer F, Kirsch P.","Hum Brain Mapp. 2021 Jan;42(1):36-46. doi: 10.1002/hbm.25201. Epub 2020 Sep 4.","Gerchen MF","Hum Brain Mapp","2021","2020/09/05","PMC7721230","","10.1002/hbm.25201"
"32227117","Stereomotion Processing in the Nonhuman Primate Brain","Héjja-Brichard Y, Rima S, Rapha E, Durand JB, Cottereau BR.","Cereb Cortex. 2020 Jun 30;30(8):4528-4543. doi: 10.1093/cercor/bhaa055.","Héjja-Brichard Y","Cereb Cortex","2020","2020/04/01","","","10.1093/cercor/bhaa055"
"31990749","Magnetic resonance imaging of neuroinflammation in chronic pain: a role for astrogliosis?","Jung C, Ichesco E, Ratai EM, Gonzalez RG, Burdo T, Loggia ML, Harris RE, Napadow V.","Pain. 2020 Jul;161(7):1555-1564. doi: 10.1097/j.pain.0000000000001815.","Jung C","Pain","2020","2020/01/29","PMC7305954","NIHMS1551744","10.1097/j.pain.0000000000001815"
"31768458","Brain Activation in a Cynomolgus Macaque Model of Chymopapain-Induced Discogenic Low Back Pain: A Preliminary Study","Ushirozako H, Yoshida G, Togawa D, Omura T, Hasegawa T, Yamato Y, Banno T, Arima H, Oe S, Mihara Y, Yamada T, Natsume T, Ogawa S, Awaga Y, Takamatsu H, Matsuyama Y.","Spine Surg Relat Res. 2019 Apr 5;3(4):368-376. doi: 10.22603/ssrr.2018-0110. eCollection 2019.","Ushirozako H","Spine Surg Relat Res","2019","2019/11/27","PMC6834467","","10.22603/ssrr.2018-0110"
"31672243","Approach-Avoidance Conflict in Major Depressive Disorder: Congruent Neural Findings in Humans and Nonhuman Primates","Ironside M, Amemori KI, McGrath CL, Pedersen ML, Kang MS, Amemori S, Frank MJ, Graybiel AM, Pizzagalli DA.","Biol Psychiatry. 2020 Mar 1;87(5):399-408. doi: 10.1016/j.biopsych.2019.08.022. Epub 2019 Sep 6.","Ironside M","Biol Psychiatry","2020","2019/11/02","PMC7007869","NIHMS1539267","10.1016/j.biopsych.2019.08.022"
"31072758","Interindividual Variability of Functional Connectivity in Awake and Anesthetized Rhesus Macaque Monkeys","Xu T, Sturgeon D, Ramirez JSB, Froudist-Walsh S, Margulies DS, Schroeder CE, Fair DA, Milham MP.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2019 Jun;4(6):543-553. doi: 10.1016/j.bpsc.2019.02.005. Epub 2019 Mar 11.","Xu T","Biol Psychiatry Cogn Neurosci Neuroimaging","2019","2019/05/11","PMC7063583","NIHMS1564519","10.1016/j.bpsc.2019.02.005"
"31039559","Brain Connectivity in Ateles geoffroyi: Resting-State Functional Magnetic Resonance Imaging of Working Memory and Executive Control","Platas-Neri D, Hidalgo-Tobón S, Chico-Ponce de León F, Muñoz-Delgado J, Phillips KA, Téllez-Alanís B, Villanueva-Valle J, de Celis Alonso B.","Brain Behav Evol. 2019;93(1):19-33. doi: 10.1159/000499177. Epub 2019 Apr 30.","Platas-Neri D","Brain Behav Evol","2019","2019/05/01","","","10.1159/000499177"
