PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33839768","The Brain Circuits and Dynamics of Curiosity-Driven Behavior in Naturally Curious Marmosets","Tian X, Silva AC, Liu C.","Cereb Cortex. 2021 Jul 29;31(9):4220-4232. doi: 10.1093/cercor/bhab080.","Tian X","Cereb Cortex","2021","2021/04/11","","","10.1093/cercor/bhab080"
"33745141","The mouth matters most: A functional magnetic resonance imaging study of how dogs perceive inanimate objects","Prichard A, Chhibber R, Athanassiades K, Chiu V, Spivak M, Berns GS.","J Comp Neurol. 2021 Aug 1;529(11):2987-2994. doi: 10.1002/cne.25142. Epub 2021 Mar 25.","Prichard A","J Comp Neurol","2021","2021/03/21","","","10.1002/cne.25142"
"33427167","Developmental outcomes of early adverse care on amygdala functional connectivity in nonhuman primates","Morin EL, Howell BR, Feczko E, Earl E, Pincus M, Reding K, Kovacs-Balint ZA, Meyer JS, Styner M, Fair D, Sanchez MM.","Dev Psychopathol. 2020 Dec;32(5):1579-1596. doi: 10.1017/S0954579420001133.","Morin EL","Dev Psychopathol","2020","2021/01/11","","","10.1017/S0954579420001133"
"32981657","Converging Structural and Functional Evidence for a Rat Salience Network","Tsai PJ, Keeley RJ, Carmack SA, Vendruscolo JCM, Lu H, Gu H, Vendruscolo LF, Koob GF, Lin CP, Stein EA, Yang Y.","Biol Psychiatry. 2020 Dec 1;88(11):867-878. doi: 10.1016/j.biopsych.2020.06.023. Epub 2020 Jul 2.","Tsai PJ","Biol Psychiatry","2020","2020/09/28","","","10.1016/j.biopsych.2020.06.023"
"32469053","Dynamic Reconfiguration, Fragmentation, and Integration of Whole-Brain Modular Structure across Depths of Unconsciousness","Standage D, Areshenkoff CN, Nashed JY, Hutchison RM, Hutchison M, Heinke D, Menon RS, Everling S, Gallivan JP.","Cereb Cortex. 2020 Sep 3;30(10):5229-5241. doi: 10.1093/cercor/bhaa085.","Standage D","Cereb Cortex","2020","2020/05/30","PMC7472202","","10.1093/cercor/bhaa085"
"31825706","Transcranial alternating current stimulation attenuates BOLD adaptation and increases functional connectivity","Kar K, Ito T, Cole MW, Krekelberg B.","J Neurophysiol. 2020 Jan 1;123(1):428-438. doi: 10.1152/jn.00376.2019. Epub 2019 Dec 11.","Kar K","J Neurophysiol","2020","2019/12/12","PMC6985864","","10.1152/jn.00376.2019"
"31768458","Brain Activation in a Cynomolgus Macaque Model of Chymopapain-Induced Discogenic Low Back Pain: A Preliminary Study","Ushirozako H, Yoshida G, Togawa D, Omura T, Hasegawa T, Yamato Y, Banno T, Arima H, Oe S, Mihara Y, Yamada T, Natsume T, Ogawa S, Awaga Y, Takamatsu H, Matsuyama Y.","Spine Surg Relat Res. 2019 Apr 5;3(4):368-376. doi: 10.22603/ssrr.2018-0110. eCollection 2019.","Ushirozako H","Spine Surg Relat Res","2019","2019/11/27","PMC6834467","","10.22603/ssrr.2018-0110"
"31672243","Approach-Avoidance Conflict in Major Depressive Disorder: Congruent Neural Findings in Humans and Nonhuman Primates","Ironside M, Amemori KI, McGrath CL, Pedersen ML, Kang MS, Amemori S, Frank MJ, Graybiel AM, Pizzagalli DA.","Biol Psychiatry. 2020 Mar 1;87(5):399-408. doi: 10.1016/j.biopsych.2019.08.022. Epub 2019 Sep 6.","Ironside M","Biol Psychiatry","2020","2019/11/02","PMC7007869","NIHMS1539267","10.1016/j.biopsych.2019.08.022"
"31219563","From Synchrony to Asynchrony: Cerebellar-Basal Ganglia Functional Circuits in Young and Older Adults","Hausman HK, Jackson TB, Goen JRM, Bernard JA.","Cereb Cortex. 2020 Mar 21;30(2):718-729. doi: 10.1093/cercor/bhz121.","Hausman HK","Cereb Cortex","2020","2019/06/21","","","10.1093/cercor/bhz121"
"31039559","Brain Connectivity in Ateles geoffroyi: Resting-State Functional Magnetic Resonance Imaging of Working Memory and Executive Control","Platas-Neri D, Hidalgo-Tobón S, Chico-Ponce de León F, Muñoz-Delgado J, Phillips KA, Téllez-Alanís B, Villanueva-Valle J, de Celis Alonso B.","Brain Behav Evol. 2019;93(1):19-33. doi: 10.1159/000499177. Epub 2019 Apr 30.","Platas-Neri D","Brain Behav Evol","2019","2019/05/01","","","10.1159/000499177"
"30867291","Estimating average single-neuron visual receptive field sizes by fMRI","Keliris GA, Li Q, Papanikolaou A, Logothetis NK, Smirnakis SM.","Proc Natl Acad Sci U S A. 2019 Mar 26;116(13):6425-6434. doi: 10.1073/pnas.1809612116. Epub 2019 Mar 13.","Keliris GA","Proc Natl Acad Sci U S A","2019","2019/03/15","PMC6442598","","10.1073/pnas.1809612116"
"30355629","Functional MRI in Macaque Monkeys during Task Switching","Premereur E, Janssen P, Vanduffel W.","J Neurosci. 2018 Dec 12;38(50):10619-10630. doi: 10.1523/JNEUROSCI.1539-18.2018. Epub 2018 Oct 24.","Premereur E","J Neurosci","2018","2018/10/26","PMC6580658","","10.1523/JNEUROSCI.1539-18.2018"
"30232039","Improved methods for MRI-compatible implants in nonhuman primates","Ortiz-Rios M, Haag M, Balezeau F, Frey S, Thiele A, Murphy K, Schmid MC.","J Neurosci Methods. 2018 Oct 1;308:377-389. doi: 10.1016/j.jneumeth.2018.09.013. Epub 2018 Sep 16.","Ortiz-Rios M","J Neurosci Methods","2018","2018/09/21","PMC6203806","","10.1016/j.jneumeth.2018.09.013"
"29049083","Ketamine and pharmacological imaging: use of functional magnetic resonance imaging to evaluate mechanisms of action","Maltbie EA, Kaundinya GS, Howell LL.","Behav Pharmacol. 2017 Dec;28(8):610-622. doi: 10.1097/FBP.0000000000000354.","Maltbie EA","Behav Pharmacol","2017","2017/10/20","PMC5687297","NIHMS909831","10.1097/FBP.0000000000000354"
"27501382","Design and implementation of embedded 8-channel receive-only arrays for whole-brain MRI and fMRI of conscious awake marmosets","Papoti D, Yen CC, Hung CC, Ciuchta J, Leopold DA, Silva AC.","Magn Reson Med. 2017 Jul;78(1):387-398. doi: 10.1002/mrm.26339. Epub 2016 Aug 8.","Papoti D","Magn Reson Med","2017","2016/08/09","PMC5298952","NIHMS797550","10.1002/mrm.26339"
"27251623","Dopamine Release in the Nonhuman Primate Caudate and Putamen Depends upon Site of Stimulation in the Subthalamic Nucleus","Min HK, Ross EK, Jo HJ, Cho S, Settell ML, Jeong JH, Duffy PS, Chang SY, Bennet KE, Blaha CD, Lee KH.","J Neurosci. 2016 Jun 1;36(22):6022-9. doi: 10.1523/JNEUROSCI.0403-16.2016.","Min HK","J Neurosci","2016","2016/06/03","PMC4887566","","10.1523/JNEUROSCI.0403-16.2016"
"26966119","A proof-of-concept, randomized controlled trial of DAR-0100A, a dopamine-1 receptor agonist, for cognitive enhancement in schizophrenia","Girgis RR, Van Snellenberg JX, Glass A, Kegeles LS, Thompson JL, Wall M, Cho RY, Carter CS, Slifstein M, Abi-Dargham A, Lieberman JA.","J Psychopharmacol. 2016 May;30(5):428-35. doi: 10.1177/0269881116636120. Epub 2016 Mar 10.","Girgis RR","J Psychopharmacol","2016","2016/03/12","","","10.1177/0269881116636120"
"26677082","Coding of attention across the human intraparietal sulcus","Connolly JD, Kentridge RW, Cavina-Pratesi C.","Exp Brain Res. 2016 Mar;234(3):917-30. doi: 10.1007/s00221-015-4507-2. Epub 2015 Dec 16.","Connolly JD","Exp Brain Res","2016","2015/12/18","PMC4751187","","10.1007/s00221-015-4507-2"
"26467643","Essential tremor is associated with disruption of functional connectivity in the ventral intermediate Nucleus--Motor Cortex--Cerebellum circuit","Fang W, Chen H, Wang H, Zhang H, Puneet M, Liu M, Lv F, Luo T, Cheng O, Wang X, Lu X.","Hum Brain Mapp. 2016 Jan;37(1):165-78. doi: 10.1002/hbm.23024. Epub 2015 Oct 15.","Fang W","Hum Brain Mapp","2016","2015/10/16","PMC6867464","","10.1002/hbm.23024"
"26467517","Tactile representation of the head and shoulders assessed by fMRI in the nonhuman primate","Wardak C, Guipponi O, Pinède S, Ben Hamed S.","J Neurophysiol. 2016 Jan 1;115(1):80-91. doi: 10.1152/jn.00633.2015. Epub 2015 Oct 14.","Wardak C","J Neurophysiol","2016","2015/10/16","PMC4760502","","10.1152/jn.00633.2015"
"26290449","Resting-state functional connectivity in the baboon model of genetic generalized epilepsy","Salinas FS, Szabó CÁ.","Epilepsia. 2015 Oct;56(10):1580-9. doi: 10.1111/epi.13115. Epub 2015 Aug 20.","Salinas FS","Epilepsia","2015","2015/08/21","PMC4593742","NIHMS708606","10.1111/epi.13115"
"26156987","The Anatomical and Functional Organization of the Human Visual Pulvinar","Arcaro MJ, Pinsk MA, Kastner S.","J Neurosci. 2015 Jul 8;35(27):9848-71. doi: 10.1523/JNEUROSCI.1575-14.2015.","Arcaro MJ","J Neurosci","2015","2015/07/10","PMC4495241","","10.1523/JNEUROSCI.1575-14.2015"
"26156687","Striatal and Pallidal Activation during Reward Modulated Movement Using a Translational Paradigm","Bischoff-Grethe A, Buxton RB, Paulus MP, Fleisher AS, Yang TT, Brown GG.","J Int Neuropsychol Soc. 2015 Jul;21(6):399-411. doi: 10.1017/S1355617715000491. Epub 2015 Jul 9.","Bischoff-Grethe A","J Int Neuropsychol Soc","2015","2015/07/10","PMC4668805","NIHMS723842","10.1017/S1355617715000491"
"26052749","Functional subregions of the human entorhinal cortex","Maass A, Berron D, Libby LA, Ranganath C, Düzel E.","Elife. 2015 Jun 8;4:e06426. doi: 10.7554/eLife.06426.","Maass A","Elife","2015","2015/06/09","PMC4458841","","10.7554/eLife.06426"
"26029069","Aggressive vocal expressions-an investigation of their underlying neural network","Klaas HS, Frühholz S, Grandjean D.","Front Behav Neurosci. 2015 May 11;9:121. doi: 10.3389/fnbeh.2015.00121. eCollection 2015.","Klaas HS","Front Behav Neurosci","2015","2015/06/02","PMC4426728","","10.3389/fnbeh.2015.00121"
"25833027","The effects of chronic alcohol self-administration in nonhuman primate brain networks","Telesford QK, Laurienti PJ, Davenport AT, Friedman DP, Kraft RA, Daunais JB.","Alcohol Clin Exp Res. 2015 Apr;39(4):659-71. doi: 10.1111/acer.12688.","Telesford QK","Alcohol Clin Exp Res","2015","2015/04/03","PMC6724209","NIHMS659294","10.1111/acer.12688"
