PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34293407","A pilot behavioural and neuroimaging investigation on photothrombotic stroke models in rhesus monkeys","Zhang Z, Wang S, Du L, Xu L, Lin Y, Liu K, Zou Y, Bin Li, Ye Q, Mao Y, Chen W, Zhou G, Sun H, Huang H, Li R, Li G, Li L, Wang Q, Long Q, Huang H, Geng X, Liu Y, Liu C, Li B, Zhou Z, Li J, Wang J.","J Neurosci Methods. 2021 Jul 20;362:109291. doi: 10.1016/j.jneumeth.2021.109291. Online ahead of print.","Zhang Z","J Neurosci Methods","2021","2021/07/22","","","10.1016/j.jneumeth.2021.109291"
"34261701","Flexible versus fixed spatial self-ordered response sequencing:Effects of inactivation and neurochemical modulation ofventrolateral prefrontal cortex","Axelsson SFA, Horst NK, Horiguchi N, Roberts AC, Robbins TW.","J Neurosci. 2021 Jul 14:JN-RM-0227-21. doi: 10.1523/JNEUROSCI.0227-21.2021. Online ahead of print.","Axelsson SFA","J Neurosci","2021","2021/07/15","","","10.1523/JNEUROSCI.0227-21.2021"
"33967711","Functional Connectivity of the Human Paraventricular Thalamic Nucleus: Insights From High Field Functional MRI","Kark SM, Birnie MT, Baram TZ, Yassa MA.","Front Integr Neurosci. 2021 Apr 21;15:662293. doi: 10.3389/fnint.2021.662293. eCollection 2021.","Kark SM","Front Integr Neurosci","2021","2021/05/10","PMC8096909","","10.3389/fnint.2021.662293"
"33882349","Minimal specifications for non-human primate MRI: Challenges in standardizing and harmonizing data collection","Autio JA, Zhu Q, Li X, Glasser MF, Schwiedrzik CM, Fair DA, Zimmermann J, Yacoub E, Menon RS, Van Essen DC, Hayashi T, Russ B, Vanduffel W.","Neuroimage. 2021 Aug 1;236:118082. doi: 10.1016/j.neuroimage.2021.118082. Epub 2021 Apr 18.","Autio JA","Neuroimage","2021","2021/04/21","","","10.1016/j.neuroimage.2021.118082"
"33840834","Radiofluorination of oxazole-carboxamides for preclinical PET neuroimaging of GSK-3","Varlow C, Mossine AV, Bernard-Gauthier V, Scott PJH, Vasdev N.","J Fluor Chem. 2021 May;245:109760. doi: 10.1016/j.jfluchem.2021.109760. Epub 2021 Feb 21.","Varlow C","J Fluor Chem","2021","2021/04/12","PMC8034590","NIHMS1680899","10.1016/j.jfluchem.2021.109760"
"33794361","Strengths and challenges of longitudinal non-human primate neuroimaging","Song X, García-Saldivar P, Kindred N, Wang Y, Merchant H, Meguerditchian A, Yang Y, Stein EA, Bradberry CW, Ben Hamed S, Jedema HP, Poirier C.","Neuroimage. 2021 Aug 1;236:118009. doi: 10.1016/j.neuroimage.2021.118009. Epub 2021 Mar 29.","Song X","Neuroimage","2021","2021/04/01","PMC8270888","","10.1016/j.neuroimage.2021.118009"
"33794355","Combining brain perturbation and neuroimaging in non-human primates","Klink PC, Aubry JF, Ferrera VP, Fox AS, Froudist-Walsh S, Jarraya B, Konofagou EE, Krauzlis RJ, Messinger A, Mitchell AS, Ortiz-Rios M, Oya H, Roberts AC, Roe AW, Rushworth MFS, Sallet J, Schmid MC, Schroeder CE, Tasserie J, Tsao DY, Uhrig L, Vanduffel W, Wilke M, Kagan I, Petkov CI.","Neuroimage. 2021 Jul 15;235:118017. doi: 10.1016/j.neuroimage.2021.118017. Epub 2021 Mar 29.","Klink PC","Neuroimage","2021","2021/04/01","","","10.1016/j.neuroimage.2021.118017"
"33789138","A comprehensive macaque fMRI pipeline and hierarchical atlas","Jung B, Taylor PA, Seidlitz J, Sponheim C, Perkins P, Ungerleider LG, Glen D, Messinger A.","Neuroimage. 2021 Jul 15;235:117997. doi: 10.1016/j.neuroimage.2021.117997. Epub 2021 Mar 28.","Jung B","Neuroimage","2021","2021/03/31","","","10.1016/j.neuroimage.2021.117997"
"33756104","Single-trial decoding of movement intentions using functional ultrasound neuroimaging","Norman SL, Maresca D, Christopoulos VN, Griggs WS, Demene C, Tanter M, Shapiro MG, Andersen RA.","Neuron. 2021 May 5;109(9):1554-1566.e4. doi: 10.1016/j.neuron.2021.03.003. Epub 2021 Mar 22.","Norman SL","Neuron","2021","2021/03/23","PMC8105283","NIHMS1683074","10.1016/j.neuron.2021.03.003"
"33418072","International primate neuroscience research regulation, public engagement and transparency opportunities","Mitchell AS, Hartig R, Basso MA, Jarrett W, Kastner S, Poirier C.","Neuroimage. 2021 Apr 1;229:117700. doi: 10.1016/j.neuroimage.2020.117700. Epub 2021 Jan 6.","Mitchell AS","Neuroimage","2021","2021/01/08","PMC7994292","","10.1016/j.neuroimage.2020.117700"
"33359631","In-vivo diffusion MRI protocol optimization for the chimpanzee brain and examination of aging effects on the primate optic nerve at 3T","Zhang X, Li CX, Yan Y, Nair G, Rilling JK, Herndon JG, Preuss TM, Hu X, Li L.","Magn Reson Imaging. 2021 Apr;77:194-203. doi: 10.1016/j.mri.2020.12.015. Epub 2020 Dec 23.","Zhang X","Magn Reson Imaging","2021","2020/12/28","PMC7878399","NIHMS1657502","10.1016/j.mri.2020.12.015"
"33359343","Beyond MRI: on the scientific value of combining non-human primate neuroimaging with metadata","Poirier C, Hamed SB, Garcia-Saldivar P, Kwok SC, Meguerditchian A, Merchant H, Rogers J, Wells S, Fox AS.","Neuroimage. 2021 Mar;228:117679. doi: 10.1016/j.neuroimage.2020.117679. Epub 2021 Jan 6.","Poirier C","Neuroimage","2021","2020/12/28","PMC7903159","","10.1016/j.neuroimage.2020.117679"
"33227425","A collaborative resource platform for non-human primate neuroimaging","Messinger A, Sirmpilatze N, Heuer K, Loh KK, Mars RB, Sein J, Xu T, Glen D, Jung B, Seidlitz J, Taylor P, Toro R, Garza-Villarreal EA, Sponheim C, Wang X, Benn RA, Cagna B, Dadarwal R, Evrard HC, Garcia-Saldivar P, Giavasis S, Hartig R, Lepage C, Liu C, Majka P, Merchant H, Milham MP, Rosa MGP, Tasserie J, Uhrig L, Margulies DS, Klink PC.","Neuroimage. 2021 Feb 1;226:117519. doi: 10.1016/j.neuroimage.2020.117519. Epub 2020 Nov 20.","Messinger A","Neuroimage","2021","2020/11/23","","","10.1016/j.neuroimage.2020.117519"
"33130051","Protective cranial implant caps for macaques","Perry BAL, Mason S, Nacef J, Waddle A, Hynes B, Bergmann C, Schmid MC, Petkov CI, Thiele A, Mitchell AS.","J Neurosci Methods. 2021 Jan 15;348:108992. doi: 10.1016/j.jneumeth.2020.108992. Epub 2020 Oct 29.","Perry BAL","J Neurosci Methods","2021","2020/11/01","PMC7840592","","10.1016/j.jneumeth.2020.108992"
"33063708","The use of hydrogel-delivered extracellular vesicles in recovery of motor function in stroke: a testable experimental hypothesis for clinical translation including behavioral and neuroimaging assessment approaches","Tsintou M, Dalamagkas K, Moore TL, Rathi Y, Kubicki M, Rosene DL, Makris N.","Neural Regen Res. 2021 Apr;16(4):605-613. doi: 10.4103/1673-5374.295269.","Tsintou M","Neural Regen Res","2021","2020/10/16","PMC8067932","","10.4103/1673-5374.295269"
"32410977","MonkeyCBP: A Toolbox for Connectivity-Based Parcellation of Monkey Brain","He B, Yang Z, Fan L, Gao B, Li H, Ye C, You B, Jiang T.","Front Neuroinform. 2020 Apr 28;14:14. doi: 10.3389/fninf.2020.00014. eCollection 2020.","He B","Front Neuroinform","2020","2020/05/16","PMC7198896","","10.3389/fninf.2020.00014"
"32315710","Examining fMRI time-series entropy as a marker for brain E/I balance with pharmacological neuromodulation in a non-human primate translational model","Maltbie EA, Howell LH, Sun PZ, Miller R, Gopinath KS.","Neurosci Lett. 2020 May 29;728:134984. doi: 10.1016/j.neulet.2020.134984. Epub 2020 Apr 18.","Maltbie EA","Neurosci Lett","2020","2020/04/22","PMC7266677","NIHMS1593985","10.1016/j.neulet.2020.134984"
"32038217","Animal Functional Magnetic Resonance Imaging: Trends and Path Toward Standardization","Mandino F, Cerri DH, Garin CM, Straathof M, van Tilborg GAF, Chakravarty MM, Dhenain M, Dijkhuizen RM, Gozzi A, Hess A, Keilholz SD, Lerch JP, Shih YI, Grandjean J.","Front Neuroinform. 2020 Jan 22;13:78. doi: 10.3389/fninf.2019.00078. eCollection 2019.","Mandino F","Front Neuroinform","2020","2020/02/11","PMC6987455","","10.3389/fninf.2019.00078"
"31862614","Effects of chronic intranasal oxytocin on behavior and cerebral glucose uptake in juvenile titi monkeys","Arias Del Razo R, Berger T, Conley AJ, Freeman SM, Goetze LR, Jacob S, Lawrence RH, Mendoza SP, Rothwell ES, Savidge LE, Solomon M, Weinstein TAR, Witczak LR, Bales KL.","Psychoneuroendocrinology. 2020 Mar;113:104494. doi: 10.1016/j.psyneuen.2019.104494. Epub 2019 Oct 31.","Arias Del Razo R","Psychoneuroendocrinology","2020","2019/12/22","PMC7909742","NIHMS1666376","10.1016/j.psyneuen.2019.104494"
"31743789","Pypreclin: An automatic pipeline for macaque functional MRI preprocessing","Tasserie J, Grigis A, Uhrig L, Dupont M, Amadon A, Jarraya B.","Neuroimage. 2020 Feb 15;207:116353. doi: 10.1016/j.neuroimage.2019.116353. Epub 2019 Nov 16.","Tasserie J","Neuroimage","2020","2019/11/20","","","10.1016/j.neuroimage.2019.116353"
"31733343","The tenacious brain: How the anterior mid-cingulate contributes to achieving goals","Touroutoglou A, Andreano J, Dickerson BC, Barrett LF.","Cortex. 2020 Feb;123:12-29. doi: 10.1016/j.cortex.2019.09.011. Epub 2019 Oct 9.","Touroutoglou A","Cortex","2020","2019/11/17","PMC7381101","NIHMS1543163","10.1016/j.cortex.2019.09.011"
"31619951","fMRI in Non-human Primate: A Review on Factors That Can Affect Interpretation and Dynamic Causal Modeling Application","Jovellar DB, Doudet DJ.","Front Neurosci. 2019 Sep 18;13:973. doi: 10.3389/fnins.2019.00973. eCollection 2019.","Jovellar DB","Front Neurosci","2019","2019/10/18","PMC6759819","","10.3389/fnins.2019.00973"
"31494249","A population stereotaxic positron emission tomography brain template for the macaque and its application to ischemic model","Nie B, Wang L, Hu Y, Liang S, Tan Z, Chai P, Tang Y, Shang J, Pan Z, Zhao X, Zhang X, Gong J, Zheng C, Xu H, Wey HY, Liang SH, Shan B.","Neuroimage. 2019 Dec;203:116163. doi: 10.1016/j.neuroimage.2019.116163. Epub 2019 Sep 5.","Nie B","Neuroimage","2019","2019/09/09","","","10.1016/j.neuroimage.2019.116163"
"31394491","A preliminary study of association between adolescent estradiol level and dorsolateral prefrontal cortex activity during emotion regulation","Chung YS, Poppe A, Novotny S, Epperson CN, Kober H, Granger DA, Blumberg HP, Ochsner K, Gross JJ, Pearlson G, Stevens MC.","Psychoneuroendocrinology. 2019 Nov;109:104398. doi: 10.1016/j.psyneuen.2019.104398. Epub 2019 Jul 30.","Chung YS","Psychoneuroendocrinology","2019","2019/08/09","PMC6842698","NIHMS1537095","10.1016/j.psyneuen.2019.104398"
"31184751","Cross-species convergence in pupillary response: understanding human anxiety via non-human primate amygdala lesion","Pagliaccio D, Pine DS, Leibenluft E, Dal Monte O, Averbeck BB, Costa VD.","Soc Cogn Affect Neurosci. 2019 Aug 7;14(6):591-599. doi: 10.1093/scan/nsz041.","Pagliaccio D","Soc Cogn Affect Neurosci","2019","2019/06/12","PMC6688453","","10.1093/scan/nsz041"
"31048888","Amygdalar reactivity is associated with prefrontal cortical thickness in a large population-based sample of adolescents","Albaugh MD, Hudziak JJ, Orr C, Spechler PA, Chaarani B, Mackey S, Lepage C, Fonov V, Rioux P, Evans AC, Banaschewski T, Bokde ALW, Bromberg U, Büchel C, Quinlan EB, Desrivières S, Flor H, Grigis A, Gowland P, Heinz A, Ittermann B, Martinot JL, Martinot MP, Nees F, Orfanos DP, Paus T, Poustka L, Millenet S, Fröhner JH, Smolka MN, Walter H, Whelan R, Schumann G, Potter AS, Garavan H; IMAGEN Consortium.","PLoS One. 2019 May 2;14(5):e0216152. doi: 10.1371/journal.pone.0216152. eCollection 2019.","Albaugh MD","PLoS One","2019","2019/05/04","PMC6497259","","10.1371/journal.pone.0216152"
"30610938","Somatostatin Gene and Protein Expression in the Non-human Primate Central Extended Amygdala","Kovner R, Fox AS, French DA, Roseboom PH, Oler JA, Fudge JL, Kalin NH.","Neuroscience. 2019 Feb 21;400:157-168. doi: 10.1016/j.neuroscience.2018.12.035. Epub 2019 Jan 2.","Kovner R","Neuroscience","2019","2019/01/06","PMC6361692","NIHMS1517774","10.1016/j.neuroscience.2018.12.035"
