PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34293407","A pilot behavioural and neuroimaging investigation on photothrombotic stroke models in rhesus monkeys","Zhang Z, Wang S, Du L, Xu L, Lin Y, Liu K, Zou Y, Bin Li, Ye Q, Mao Y, Chen W, Zhou G, Sun H, Huang H, Li R, Li G, Li L, Wang Q, Long Q, Huang H, Geng X, Liu Y, Liu C, Li B, Zhou Z, Li J, Wang J.","J Neurosci Methods. 2021 Jul 20;362:109291. doi: 10.1016/j.jneumeth.2021.109291. Online ahead of print.","Zhang Z","J Neurosci Methods","2021","2021/07/22","","","10.1016/j.jneumeth.2021.109291"
"34273134","Structure, function and connectivity fingerprints of the frontal eye field versus the inferior frontal junction: A comprehensive comparison","Bedini M, Baldauf D.","Eur J Neurosci. 2021 Jul 17. doi: 10.1111/ejn.15393. Online ahead of print.","Bedini M","Eur J Neurosci","2021","2021/07/17","","","10.1111/ejn.15393"
"34222873","The role of the medial prefrontal cortex in cognition, ageing and dementia","Jobson DD, Hase Y, Clarkson AN, Kalaria RN.","Brain Commun. 2021 Jun 11;3(3):fcab125. doi: 10.1093/braincomms/fcab125. eCollection 2021 Jul.","Jobson DD","Brain Commun","2021","2021/07/05","PMC8249104","","10.1093/braincomms/fcab125"
"34166774","The One-Stop Gyrification Station - Challenges and New Technologies","Hickmott RA, Bosakhar A, Quezada S, Barresi M, Walker DW, Ryan AL, Quigley A, Tolcos M.","Prog Neurobiol. 2021 Jun 21:102111. doi: 10.1016/j.pneurobio.2021.102111. Online ahead of print.","Hickmott RA","Prog Neurobiol","2021","2021/06/24","","","10.1016/j.pneurobio.2021.102111"
"33923703","Structural Changes on MRI Demonstrate Specific Cerebellar Involvement in SLE Patients-A VBM Study","Mårtensson J, Rumetshofer T, Nystedt J, Lätt J, Nilsson P, Bengtsson A, Jönsen A, Sundgren PC.","Brain Sci. 2021 Apr 16;11(4):510. doi: 10.3390/brainsci11040510.","Mårtensson J","Brain Sci","2021","2021/04/30","PMC8072619","","10.3390/brainsci11040510"
"33899252","Does sodium oxybate inhibit brain dopamine release in humans? An exploratory neuroimaging study","Kish SJ, O'Leary G, Mamelak M, McCluskey T, Warsh JJ, Shapiro C, Bies R, Yu Y, Pollock B, Tong J, Boileau I.","Hum Psychopharmacol. 2021 Apr 26:e2791. doi: 10.1002/hup.2791. Online ahead of print.","Kish SJ","Hum Psychopharmacol","2021","2021/04/26","","","10.1002/hup.2791"
"33882349","Minimal specifications for non-human primate MRI: Challenges in standardizing and harmonizing data collection","Autio JA, Zhu Q, Li X, Glasser MF, Schwiedrzik CM, Fair DA, Zimmermann J, Yacoub E, Menon RS, Van Essen DC, Hayashi T, Russ B, Vanduffel W.","Neuroimage. 2021 Aug 1;236:118082. doi: 10.1016/j.neuroimage.2021.118082. Epub 2021 Apr 18.","Autio JA","Neuroimage","2021","2021/04/21","","","10.1016/j.neuroimage.2021.118082"
"33880672","Effect of ethanol and cocaine on [(11)C]MPC-6827 uptake in SH-SY5Y cells","Damuka N, Orr M, Czoty PW, Weiner JL, Martin TJ, Nader MA, Bansode AH, Liyana Pathirannahel BS, Mintz A, Macauley SL, Craft S, Solingapuram Sai KK.","Mol Biol Rep. 2021 Apr;48(4):3871-3876. doi: 10.1007/s11033-021-06336-7. Epub 2021 Apr 20.","Damuka N","Mol Biol Rep","2021","2021/04/21","PMC8172511","","10.1007/s11033-021-06336-7"
"33812229","The cingulate oculomotor cortex","Ruehl RM, Ophey L, Ertl M, Zu Eulenburg P.","Cortex. 2021 May;138:341-355. doi: 10.1016/j.cortex.2021.02.017. Epub 2021 Mar 4.","Ruehl RM","Cortex","2021","2021/04/03","","","10.1016/j.cortex.2021.02.017"
"33794355","Combining brain perturbation and neuroimaging in non-human primates","Klink PC, Aubry JF, Ferrera VP, Fox AS, Froudist-Walsh S, Jarraya B, Konofagou EE, Krauzlis RJ, Messinger A, Mitchell AS, Ortiz-Rios M, Oya H, Roberts AC, Roe AW, Rushworth MFS, Sallet J, Schmid MC, Schroeder CE, Tasserie J, Tsao DY, Uhrig L, Vanduffel W, Wilke M, Kagan I, Petkov CI.","Neuroimage. 2021 Jul 15;235:118017. doi: 10.1016/j.neuroimage.2021.118017. Epub 2021 Mar 29.","Klink PC","Neuroimage","2021","2021/04/01","","","10.1016/j.neuroimage.2021.118017"
