PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34225960","Spatial topography of the basal forebrain cholinergic projections: Organization and vulnerability to degeneration","Schmitz TW, Zaborszky L.","Handb Clin Neurol. 2021;179:159-173. doi: 10.1016/B978-0-12-819975-6.00008-X.","Schmitz TW","Handb Clin Neurol","2021","2021/07/06","","","10.1016/B978-0-12-819975-6.00008-X"
"33880672","Effect of ethanol and cocaine on [(11)C]MPC-6827 uptake in SH-SY5Y cells","Damuka N, Orr M, Czoty PW, Weiner JL, Martin TJ, Nader MA, Bansode AH, Liyana Pathirannahel BS, Mintz A, Macauley SL, Craft S, Solingapuram Sai KK.","Mol Biol Rep. 2021 Apr;48(4):3871-3876. doi: 10.1007/s11033-021-06336-7. Epub 2021 Apr 20.","Damuka N","Mol Biol Rep","2021","2021/04/21","PMC8172511","","10.1007/s11033-021-06336-7"
"33789138","A comprehensive macaque fMRI pipeline and hierarchical atlas","Jung B, Taylor PA, Seidlitz J, Sponheim C, Perkins P, Ungerleider LG, Glen D, Messinger A.","Neuroimage. 2021 Jul 15;235:117997. doi: 10.1016/j.neuroimage.2021.117997. Epub 2021 Mar 28.","Jung B","Neuroimage","2021","2021/03/31","","","10.1016/j.neuroimage.2021.117997"
"33756399","Neural mechanisms necessary for empathy-related phenomena across species","Paradiso E, Gazzola V, Keysers C.","Curr Opin Neurobiol. 2021 Jun;68:107-115. doi: 10.1016/j.conb.2021.02.005. Epub 2021 Mar 20.","Paradiso E","Curr Opin Neurobiol","2021","2021/03/23","","","10.1016/j.conb.2021.02.005"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33137475","The macaque brain ONPRC18 template with combined gray and white matter labelmap for multimodal neuroimaging studies of Nonhuman Primates","Weiss AR, Liu Z, Wang X, Liguore WA, Kroenke CD, McBride JL.","Neuroimage. 2021 Jan 15;225:117517. doi: 10.1016/j.neuroimage.2020.117517. Epub 2020 Nov 1.","Weiss AR","Neuroimage","2021","2020/11/02","PMC7833476","NIHMS1659147","10.1016/j.neuroimage.2020.117517"
"33137472","Sharing voxelwise neuroimaging results from rhesus monkeys and other species with Neurovault","Fox AS, Holley D, Klink PC, Arbuckle SA, Barnes CA, Diedrichsen J, Kwok SC, Kyle C, Pruszynski JA, Seidlitz J, Zhou X, Poldrack RA, Gorgolewski KJ.","Neuroimage. 2021 Jan 15;225:117518. doi: 10.1016/j.neuroimage.2020.117518. Epub 2020 Oct 31.","Fox AS","Neuroimage","2021","2020/11/02","PMC7846271","NIHMS1659144","10.1016/j.neuroimage.2020.117518"
"33133729","Strategies for PET imaging of the receptor for advanced glycation endproducts (RAGE)","Drake LR, Brooks AF, Stauff J, Sherman PS, Arteaga J, Koeppe RA, Reed A, Montavon TJ, Skaddan MB, Scott PJH.","J Pharm Anal. 2020 Oct;10(5):452-465. doi: 10.1016/j.jpha.2020.07.009. Epub 2020 Aug 4.","Drake LR","J Pharm Anal","2020","2020/11/02","PMC7591811","","10.1016/j.jpha.2020.07.009"
"33128126","Nonhuman primate meso-circuitry data: a translational tool to understand brain networks across species","Tang W, Choi EY, Heilbronner SR, Haber SN.","Brain Struct Funct. 2021 Jan;226(1):1-11. doi: 10.1007/s00429-020-02133-3. Epub 2020 Oct 30.","Tang W","Brain Struct Funct","2021","2020/10/31","","","10.1007/s00429-020-02133-3"
"32958652","Ventromedial prefrontal area 14 provides opposing regulation of threat and reward-elicited responses in the common marmoset","Stawicka ZM, Massoudi R, Horst NK, Koda K, Gaskin PLR, Alexander L, Santangelo AM, McIver L, Cockcroft GJ, Wood CM, Roberts AC.","Proc Natl Acad Sci U S A. 2020 Oct 6;117(40):25116-25127. doi: 10.1073/pnas.2009657117. Epub 2020 Sep 21.","Stawicka ZM","Proc Natl Acad Sci U S A","2020","2020/09/22","PMC7547281","","10.1073/pnas.2009657117"
"32683780","Neurobiological substrates of animal personality and cognition in a nonhuman primate (Microcebus murinus)","Fritz RG, Zimmermann E, Meier M, Mestre-Francés N, Radespiel U, Schmidtke D.","Brain Behav. 2020 Sep;10(9):e01752. doi: 10.1002/brb3.1752. Epub 2020 Jul 18.","Fritz RG","Brain Behav","2020","2020/07/20","PMC7507526","","10.1002/brb3.1752"
"32332897","Nonhuman primate neuroimaging opens up","Neff EP.","Lab Anim (NY). 2020 May;49(5):139-143. doi: 10.1038/s41684-020-0531-3.","Neff EP","Lab Anim (NY)","2020","2020/04/26","","","10.1038/s41684-020-0531-3"
"32315710","Examining fMRI time-series entropy as a marker for brain E/I balance with pharmacological neuromodulation in a non-human primate translational model","Maltbie EA, Howell LH, Sun PZ, Miller R, Gopinath KS.","Neurosci Lett. 2020 May 29;728:134984. doi: 10.1016/j.neulet.2020.134984. Epub 2020 Apr 18.","Maltbie EA","Neurosci Lett","2020","2020/04/22","PMC7266677","NIHMS1593985","10.1016/j.neulet.2020.134984"
"32227117","Stereomotion Processing in the Nonhuman Primate Brain","Héjja-Brichard Y, Rima S, Rapha E, Durand JB, Cottereau BR.","Cereb Cortex. 2020 Jun 30;30(8):4528-4543. doi: 10.1093/cercor/bhaa055.","Héjja-Brichard Y","Cereb Cortex","2020","2020/04/01","","","10.1093/cercor/bhaa055"
"32078795","Accelerating the Evolution of Nonhuman Primate Neuroimaging","PRIMatE Data Exchange (PRIME-DE) Global Collaboration Workshop and Consortium. Electronic address: michael.milham@childmind.org; PRIMatE Data Exchange (PRIME-DE) Global Collaboration Workshop and Consortium.","Neuron. 2020 Feb 19;105(4):600-603. doi: 10.1016/j.neuron.2019.12.023.","PRIMatE Data Exchange (PRIME-DE) Global Collaboration Workshop and Consortium. Electronic address: michael.milham@childmind.org","Neuron","2020","2020/02/21","PMC7610430","EMS119440","10.1016/j.neuron.2019.12.023"
"31950091","Selection of preclinical models to evaluate intranasal brain cooling for acute ischemic stroke","Chen Y, Quddusi A, Harrison KA, Ryan PE, Cook DJ.","Brain Circ. 2019 Dec 27;5(4):160-168. doi: 10.4103/bc.bc_20_19. eCollection 2019 Oct-Dec.","Chen Y","Brain Circ","2019","2020/01/18","PMC6950506","","10.4103/bc.bc_20_19"
"31871143","From bed to bench side: Reverse translation to optimize neuromodulation for mood disorders","Rudebeck PH, Rich EL, Mayberg HS.","Proc Natl Acad Sci U S A. 2019 Dec 23;116(52):26288-96. doi: 10.1073/pnas.1902287116. Online ahead of print.","Rudebeck PH","Proc Natl Acad Sci U S A","2019","2019/12/25","PMC6936427","","10.1073/pnas.1902287116"
"31590749","Transcranial magnetic stimulation: Neurophysiological and clinical applications","Burke MJ, Fried PJ, Pascual-Leone A.","Handb Clin Neurol. 2019;163:73-92. doi: 10.1016/B978-0-12-804281-6.00005-7.","Burke MJ","Handb Clin Neurol","2019","2019/10/09","","","10.1016/B978-0-12-804281-6.00005-7"
"31204008","Investigating individual differences in chimpanzee mirror self-recognition and cortical thickness: A vertex-based and region-of-interest analysis","Hopkins WD, Latzman RD, Mahovetz LM, Li X, Roberts N.","Cortex. 2019 Sep;118:306-314. doi: 10.1016/j.cortex.2019.05.004. Epub 2019 May 16.","Hopkins WD","Cortex","2019","2019/06/18","PMC6697634","NIHMS1531872","10.1016/j.cortex.2019.05.004"
"31123101","Mnemonic Introspection in Macaques Is Dependent on Superior Dorsolateral Prefrontal Cortex But Not Orbitofrontal Cortex","Kwok SC, Cai Y, Buckley MJ.","J Neurosci. 2019 Jul 24;39(30):5922-5934. doi: 10.1523/JNEUROSCI.0330-19.2019. Epub 2019 May 23.","Kwok SC","J Neurosci","2019","2019/05/25","PMC6650985","","10.1523/JNEUROSCI.0330-19.2019"
"30979867","Preliminary evidence of increased striatal dopamine in a nonhuman primate model of maternal immune activation","Bauman MD, Lesh TA, Rowland DJ, Schumann CM, Smucny J, Kukis DL, Cherry SR, McAllister AK, Carter CS.","Transl Psychiatry. 2019 Apr 12;9(1):135. doi: 10.1038/s41398-019-0449-y.","Bauman MD","Transl Psychiatry","2019","2019/04/14","PMC6461624","","10.1038/s41398-019-0449-y"
"30467082","A nonhuman primate model of early Alzheimer's disease pathologic change: Implications for disease pathogenesis","Latimer CS, Shively CA, Keene CD, Jorgensen MJ, Andrews RN, Register TC, Montine TJ, Wilson AM, Neth BJ, Mintz A, Maldjian JA, Whitlow CT, Kaplan JR, Craft S.","Alzheimers Dement. 2019 Jan;15(1):93-105. doi: 10.1016/j.jalz.2018.06.3057. Epub 2018 Nov 19.","Latimer CS","Alzheimers Dement","2019","2018/11/24","PMC6383152","NIHMS1513084","10.1016/j.jalz.2018.06.3057"
"30308163","The Blind Men and the Elephant: The Quest for Open Data Repositories","Vanduffel W.","Neuron. 2018 Oct 10;100(1):1-3. doi: 10.1016/j.neuron.2018.09.039.","Vanduffel W","Neuron","2018","2018/10/12","","","10.1016/j.neuron.2018.09.039"
"30138588","Parcellating Cerebral Cortex: How Invasive Animal Studies Inform Noninvasive Mapmaking in Humans","Van Essen DC, Glasser MF.","Neuron. 2018 Aug 22;99(4):640-663. doi: 10.1016/j.neuron.2018.07.002.","Van Essen DC","Neuron","2018","2018/08/24","PMC6149530","NIHMS980562","10.1016/j.neuron.2018.07.002"
"30061190","Functional Connectivity within the Primate Extended Amygdala Is Heritable and Associated with Early-Life Anxious Temperament","Fox AS, Oler JA, Birn RM, Shackman AJ, Alexander AL, Kalin NH.","J Neurosci. 2018 Aug 29;38(35):7611-7621. doi: 10.1523/JNEUROSCI.0102-18.2018. Epub 2018 Jul 30.","Fox AS","J Neurosci","2018","2018/08/01","PMC6113902","","10.1523/JNEUROSCI.0102-18.2018"
"29604454","Bayesian convolutional neural network based MRI brain extraction on nonhuman primates","Zhao G, Liu F, Oler JA, Meyerand ME, Kalin NH, Birn RM.","Neuroimage. 2018 Jul 15;175:32-44. doi: 10.1016/j.neuroimage.2018.03.065. Epub 2018 Mar 28.","Zhao G","Neuroimage","2018","2018/04/01","PMC6095475","NIHMS957711","10.1016/j.neuroimage.2018.03.065"
"29298483","Metal Protein-Attenuating Compound for PET Neuroimaging: Synthesis and Preclinical Evaluation of [(11)C]PBT2","Krishnan HS, Bernard-Gauthier V, Placzek MS, Dahl K, Narayanaswami V, Livni E, Chen Z, Yang J, Collier TL, Ran C, Hooker JM, Liang SH, Vasdev N.","Mol Pharm. 2018 Feb 5;15(2):695-702. doi: 10.1021/acs.molpharmaceut.7b00936. Epub 2018 Jan 22.","Krishnan HS","Mol Pharm","2018","2018/01/05","","","10.1021/acs.molpharmaceut.7b00936"
"29195911","The central extended amygdala in fear and anxiety: Closing the gap between mechanistic and neuroimaging research","Fox AS, Shackman AJ.","Neurosci Lett. 2019 Feb 6;693:58-67. doi: 10.1016/j.neulet.2017.11.056. Epub 2017 Nov 30.","Fox AS","Neurosci Lett","2019","2017/12/03","PMC5976525","NIHMS922832","10.1016/j.neulet.2017.11.056"
"29049083","Ketamine and pharmacological imaging: use of functional magnetic resonance imaging to evaluate mechanisms of action","Maltbie EA, Kaundinya GS, Howell LL.","Behav Pharmacol. 2017 Dec;28(8):610-622. doi: 10.1097/FBP.0000000000000354.","Maltbie EA","Behav Pharmacol","2017","2017/10/20","PMC5687297","NIHMS909831","10.1097/FBP.0000000000000354"
"28756869","Converging Prefronto-Insula-Amygdala Pathways in Negative Emotion Regulation in Marmoset Monkeys","Shiba Y, Oikonomidis L, Sawiak S, Fryer TD, Hong YT, Cockcroft G, Santangelo AM, Roberts AC.","Biol Psychiatry. 2017 Dec 15;82(12):895-903. doi: 10.1016/j.biopsych.2017.06.016. Epub 2017 Jun 23.","Shiba Y","Biol Psychiatry","2017","2017/08/01","PMC5697497","","10.1016/j.biopsych.2017.06.016"
"28502529","Mechanisms underlying the early risk to develop anxiety and depression: A translational approach","Kalin NH.","Eur Neuropsychopharmacol. 2017 Jun;27(6):543-553. doi: 10.1016/j.euroneuro.2017.03.004. Epub 2017 May 11.","Kalin NH","Eur Neuropsychopharmacol","2017","2017/05/16","PMC5482756","NIHMS868134","10.1016/j.euroneuro.2017.03.004"
"28461477","Opposing roles of primate areas 25 and 32 and their putative rodent homologs in the regulation of negative emotion","Wallis CU, Cardinal RN, Alexander L, Roberts AC, Clarke HF.","Proc Natl Acad Sci U S A. 2017 May 16;114(20):E4075-E4084. doi: 10.1073/pnas.1620115114. Epub 2017 May 1.","Wallis CU","Proc Natl Acad Sci U S A","2017","2017/05/03","PMC5441783","","10.1073/pnas.1620115114"
"28369850","An MRI study of the corpus callosum in monkeys: Developmental trajectories and effects of neonatal hippocampal and amygdala lesions","Payne C, Cirilli L, Bachevalier J.","Dev Psychobiol. 2017 May;59(4):495-506. doi: 10.1002/dev.21514. Epub 2017 Apr 3.","Payne C","Dev Psychobiol","2017","2017/04/04","PMC5421320","NIHMS857559","10.1002/dev.21514"
"28126752","Cerebral Temperature Dysregulation: MR Thermographic Monitoring in a Nonhuman Primate Study of Acute Ischemic Stroke","Dehkharghani S, Fleischer CC, Qiu D, Yepes M, Tong F.","AJNR Am J Neuroradiol. 2017 Apr;38(4):712-720. doi: 10.3174/ajnr.A5059. Epub 2017 Jan 26.","Dehkharghani S","AJNR Am J Neuroradiol","2017","2017/01/28","PMC5389900","NIHMS831525","10.3174/ajnr.A5059"
"28011742","The Superior Temporal Sulcus Is Causally Connected to the Amygdala: A Combined TBS-fMRI Study","Pitcher D, Japee S, Rauth L, Ungerleider LG.","J Neurosci. 2017 Feb 1;37(5):1156-1161. doi: 10.1523/JNEUROSCI.0114-16.2016. Epub 2016 Dec 23.","Pitcher D","J Neurosci","2017","2016/12/25","PMC5296794","","10.1523/JNEUROSCI.0114-16.2016"
