PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34108252","An MD2-perturbing peptide has therapeutic effects in rodent and rhesus monkey models of stroke","Fang Z, Wu D, Deng J, Yang Q, Zhang X, Chen J, Wang S, Hu S, Hou W, Ning S, Ding Y, Fan Z, Jiang Z, Kang J, Liu Y, Miao J, Ji X, Dong H, Xiong L.","Sci Transl Med. 2021 Jun 9;13(597):eabb6716. doi: 10.1126/scitranslmed.abb6716.","Fang Z","Sci Transl Med","2021","2021/06/10","","","10.1126/scitranslmed.abb6716"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33482086","Common fronto-temporal effective connectivity in humans and monkeys","Rocchi F, Oya H, Balezeau F, Billig AJ, Kocsis Z, Jenison RL, Nourski KV, Kovach CK, Steinschneider M, Kikuchi Y, Rhone AE, Dlouhy BJ, Kawasaki H, Adolphs R, Greenlee JDW, Griffiths TD, Howard MA 3rd, Petkov CI.","Neuron. 2021 Mar 3;109(5):852-868.e8. doi: 10.1016/j.neuron.2020.12.026. Epub 2021 Jan 21.","Rocchi F","Neuron","2021","2021/01/22","PMC7927917","NIHMS1670759","10.1016/j.neuron.2020.12.026"
"33431634","Face-Selective Units in Human Ventral Temporal Cortex Reactivate during Free Recall","Khuvis S, Yeagle EM, Norman Y, Grossman S, Malach R, Mehta AD.","J Neurosci. 2021 Apr 14;41(15):3386-3399. doi: 10.1523/JNEUROSCI.2918-19.2020. Epub 2021 Jan 11.","Khuvis S","J Neurosci","2021","2021/01/12","PMC8051680","","10.1523/JNEUROSCI.2918-19.2020"
"33307380","Socially relative reward valuation in the primate brain","Isoda M.","Curr Opin Neurobiol. 2021 Jun;68:15-22. doi: 10.1016/j.conb.2020.11.008. Epub 2020 Dec 8.","Isoda M","Curr Opin Neurobiol","2021","2020/12/11","","","10.1016/j.conb.2020.11.008"
"33137475","The macaque brain ONPRC18 template with combined gray and white matter labelmap for multimodal neuroimaging studies of Nonhuman Primates","Weiss AR, Liu Z, Wang X, Liguore WA, Kroenke CD, McBride JL.","Neuroimage. 2021 Jan 15;225:117517. doi: 10.1016/j.neuroimage.2020.117517. Epub 2020 Nov 1.","Weiss AR","Neuroimage","2021","2020/11/02","PMC7833476","NIHMS1659147","10.1016/j.neuroimage.2020.117517"
"33128126","Nonhuman primate meso-circuitry data: a translational tool to understand brain networks across species","Tang W, Choi EY, Heilbronner SR, Haber SN.","Brain Struct Funct. 2021 Jan;226(1):1-11. doi: 10.1007/s00429-020-02133-3. Epub 2020 Oct 30.","Tang W","Brain Struct Funct","2021","2020/10/31","","","10.1007/s00429-020-02133-3"
"33122437","Differential functional connectivity underlying asymmetric reward-related activity in human and nonhuman primates","Lopez-Persem A, Roumazeilles L, Folloni D, Marche K, Fouragnan EF, Khalighinejad N, Rushworth MFS, Sallet J.","Proc Natl Acad Sci U S A. 2020 Nov 10;117(45):28452-28462. doi: 10.1073/pnas.2000759117. Epub 2020 Oct 29.","Lopez-Persem A","Proc Natl Acad Sci U S A","2020","2020/10/30","PMC7668182","","10.1073/pnas.2000759117"
"32729642","A dedicated eight-channel receive RF coil array for monkey brain MRI at 9.4 T","Li M, Li Y, Jin J, Yang Z, Zhang B, Liu Y, Song M, Freakly C, Weber E, Liu F, Jiang T, Crozier S.","NMR Biomed. 2020 Oct;33(10):e4369. doi: 10.1002/nbm.4369. Epub 2020 Jul 30.","Li M","NMR Biomed","2020","2020/07/31","","","10.1002/nbm.4369"
"32621974","Functional reorganization of brain networks across the human menstrual cycle","Pritschet L, Santander T, Taylor CM, Layher E, Yu S, Miller MB, Grafton ST, Jacobs EG.","Neuroimage. 2020 Oct 15;220:117091. doi: 10.1016/j.neuroimage.2020.117091. Epub 2020 Jul 2.","Pritschet L","Neuroimage","2020","2020/07/05","","","10.1016/j.neuroimage.2020.117091"
