PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34148082","Structural Connectivity Gradients of the Temporal Lobe Serve as Multiscale Axes of Brain Organization and Cortical Evolution","Vos de Wael R, Royer J, Tavakol S, Wang Y, Paquola C, Benkarim O, Eichert N, Larivière S, Xu T, Misic B, Smallwood J, Valk SL, Bernhardt BC.","Cereb Cortex. 2021 Jun 19:bhaa021. doi: 10.1093/cercor/bhab149. Online ahead of print.","Vos de Wael R","Cereb Cortex","2021","2021/06/20","","","10.1093/cercor/bhab149"
"33794360","The Subcortical Atlas of the Rhesus Macaque (SARM) for neuroimaging","Hartig R, Glen D, Jung B, Logothetis NK, Paxinos G, Garza-Villarreal EA, Messinger A, Evrard HC.","Neuroimage. 2021 Jul 15;235:117996. doi: 10.1016/j.neuroimage.2021.117996. Epub 2021 Mar 29.","Hartig R","Neuroimage","2021","2021/04/01","","","10.1016/j.neuroimage.2021.117996"
"33603137","Pharmacokinetic neuroimaging to study the dose-related brain kinetics and target engagement of buprenorphine in vivo","Auvity S, Goutal S, Caillé F, Vodovar D, Pruvost A, Wimberley C, Leroy C, Tonietto M, Bottlaender M, Tournier N.","Neuropsychopharmacology. 2021 May;46(6):1220-1228. doi: 10.1038/s41386-021-00976-w. Epub 2021 Feb 18.","Auvity S","Neuropsychopharmacology","2021","2021/02/19","PMC8115308","","10.1038/s41386-021-00976-w"
"33549320","General anaesthesia during infancy reduces white matter micro-organisation in developing rhesus monkeys","Young JT, Vlasova RM, Howell BR, Knickmeyer RC, Morin E, Kuitchoua KI, Lubach GR, Noel J, Hu X, Shi Y, Caudill G, Alexander AL, Niethammer M, Paule MG, Coe CL, Sanchez M, Styner M.","Br J Anaesth. 2021 Apr;126(4):845-853. doi: 10.1016/j.bja.2020.12.029. Epub 2021 Feb 3.","Young JT","Br J Anaesth","2021","2021/02/07","PMC8132881","","10.1016/j.bja.2020.12.029"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33418072","International primate neuroscience research regulation, public engagement and transparency opportunities","Mitchell AS, Hartig R, Basso MA, Jarrett W, Kastner S, Poirier C.","Neuroimage. 2021 Apr 1;229:117700. doi: 10.1016/j.neuroimage.2020.117700. Epub 2021 Jan 6.","Mitchell AS","Neuroimage","2021","2021/01/08","PMC7994292","","10.1016/j.neuroimage.2020.117700"
"33359348","PREEMACS: Pipeline for preprocessing and extraction of the macaque brain surface","Garcia-Saldivar P, Garimella A, Garza-Villarreal EA, Mendez FA, Concha L, Merchant H.","Neuroimage. 2021 Feb 15;227:117671. doi: 10.1016/j.neuroimage.2020.117671. Epub 2020 Dec 24.","Garcia-Saldivar P","Neuroimage","2021","2020/12/28","","","10.1016/j.neuroimage.2020.117671"
"33338616","DIKA-Nets: Domain-invariant knowledge-guided attention networks for brain skull stripping of early developing macaques","Zhong T, Zhao F, Pei Y, Ning Z, Liao L, Wu Z, Niu Y, Wang L, Shen D, Zhang Y, Li G.","Neuroimage. 2021 Feb 15;227:117649. doi: 10.1016/j.neuroimage.2020.117649. Epub 2020 Dec 15.","Zhong T","Neuroimage","2021","2020/12/18","","","10.1016/j.neuroimage.2020.117649"
"33137475","The macaque brain ONPRC18 template with combined gray and white matter labelmap for multimodal neuroimaging studies of Nonhuman Primates","Weiss AR, Liu Z, Wang X, Liguore WA, Kroenke CD, McBride JL.","Neuroimage. 2021 Jan 15;225:117517. doi: 10.1016/j.neuroimage.2020.117517. Epub 2020 Nov 1.","Weiss AR","Neuroimage","2021","2020/11/02","PMC7833476","NIHMS1659147","10.1016/j.neuroimage.2020.117517"
"33130051","Protective cranial implant caps for macaques","Perry BAL, Mason S, Nacef J, Waddle A, Hynes B, Bergmann C, Schmid MC, Petkov CI, Thiele A, Mitchell AS.","J Neurosci Methods. 2021 Jan 15;348:108992. doi: 10.1016/j.jneumeth.2020.108992. Epub 2020 Oct 29.","Perry BAL","J Neurosci Methods","2021","2020/11/01","PMC7840592","","10.1016/j.jneumeth.2020.108992"
"33122437","Differential functional connectivity underlying asymmetric reward-related activity in human and nonhuman primates","Lopez-Persem A, Roumazeilles L, Folloni D, Marche K, Fouragnan EF, Khalighinejad N, Rushworth MFS, Sallet J.","Proc Natl Acad Sci U S A. 2020 Nov 10;117(45):28452-28462. doi: 10.1073/pnas.2000759117. Epub 2020 Oct 29.","Lopez-Persem A","Proc Natl Acad Sci U S A","2020","2020/10/30","PMC7668182","","10.1073/pnas.2000759117"
