PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34293407","A pilot behavioural and neuroimaging investigation on photothrombotic stroke models in rhesus monkeys","Zhang Z, Wang S, Du L, Xu L, Lin Y, Liu K, Zou Y, Bin Li, Ye Q, Mao Y, Chen W, Zhou G, Sun H, Huang H, Li R, Li G, Li L, Wang Q, Long Q, Huang H, Geng X, Liu Y, Liu C, Li B, Zhou Z, Li J, Wang J.","J Neurosci Methods. 2021 Jul 20;362:109291. doi: 10.1016/j.jneumeth.2021.109291. Online ahead of print.","Zhang Z","J Neurosci Methods","2021","2021/07/22","","","10.1016/j.jneumeth.2021.109291"
"34118293","The squirrel monkey model in clinical neuroscience","Royo J, Forkel SJ, Pouget P, Thiebaut de Schotten M.","Neurosci Biobehav Rev. 2021 Sep;128:152-164. doi: 10.1016/j.neubiorev.2021.06.006. Epub 2021 Jun 10.","Royo J","Neurosci Biobehav Rev","2021","2021/06/12","","","10.1016/j.neubiorev.2021.06.006"
"34108252","An MD2-perturbing peptide has therapeutic effects in rodent and rhesus monkey models of stroke","Fang Z, Wu D, Deng J, Yang Q, Zhang X, Chen J, Wang S, Hu S, Hou W, Ning S, Ding Y, Fan Z, Jiang Z, Kang J, Liu Y, Miao J, Ji X, Dong H, Xiong L.","Sci Transl Med. 2021 Jun 9;13(597):eabb6716. doi: 10.1126/scitranslmed.abb6716.","Fang Z","Sci Transl Med","2021","2021/06/10","","","10.1126/scitranslmed.abb6716"
"34043075","Optic flow selectivity in the macaque parieto-occipital sulcus","Pitzalis S, Hadj-Bouziane F, Dal Bò G, Guedj C, Strappini F, Meunier M, Farnè A, Fattori P, Galletti C.","Brain Struct Funct. 2021 May 27. doi: 10.1007/s00429-021-02293-w. Online ahead of print.","Pitzalis S","Brain Struct Funct","2021","2021/05/27","","","10.1007/s00429-021-02293-w"
"34042210","Proteobacteria abundance during nursing predicts physical growth and brain volume at one year of age in young rhesus monkeys","Rendina DN, Lubach GR, Lyte M, Phillips GJ, Gosain A, Pierre JF, Vlasova RM, Styner MA, Coe CL.","FASEB J. 2021 Jun;35(6):e21682. doi: 10.1096/fj.202002162R.","Rendina DN","FASEB J","2021","2021/05/27","","","10.1096/fj.202002162R"
"33827936","Distinct Functional and Structural Connectivity of the Human Hand-Knob Supported by Intraoperative Findings","Simone L, Viganò L, Fornia L, Howells H, Leonetti A, Puglisi G, Bellacicca A, Bello L, Cerri G.","J Neurosci. 2021 May 12;41(19):4223-4233. doi: 10.1523/JNEUROSCI.1574-20.2021. Epub 2021 Apr 7.","Simone L","J Neurosci","2021","2021/04/08","PMC8143196","","10.1523/JNEUROSCI.1574-20.2021"
"33818801","Aging-related Alzheimer's disease-like neuropathology and functional decline in captive vervet monkeys (Chlorocebus aethiops sabaeus)","Frye BM, Craft S, Latimer CS, Keene CD, Montine TJ, Register TC, Orr ME, Kavanagh K, Macauley SL, Shively CA.","Am J Primatol. 2021 Apr 5:e23260. doi: 10.1002/ajp.23260. Online ahead of print.","Frye BM","Am J Primatol","2021","2021/04/05","","","10.1002/ajp.23260"
"33789137","U-net model for brain extraction: Trained on humans for transfer to non-human primates","Wang X, Li XH, Cho JW, Russ BE, Rajamani N, Omelchenko A, Ai L, Korchmaros A, Sawiak S, Benn RA, Garcia-Saldivar P, Wang Z, Kalin NH, Schroeder CE, Craddock RC, Fox AS, Evans AC, Messinger A, Milham MP, Xu T.","Neuroimage. 2021 Jul 15;235:118001. doi: 10.1016/j.neuroimage.2021.118001. Epub 2021 Mar 28.","Wang X","Neuroimage","2021","2021/03/31","","","10.1016/j.neuroimage.2021.118001"
"33716694","Infantile Iron Deficiency Affects Brain Development in Monkeys Even After Treatment of Anemia","Vlasova RM, Wang Q, Willette A, Styner MA, Lubach GR, Kling PJ, Georgieff MK, Rao RB, Coe CL.","Front Hum Neurosci. 2021 Feb 24;15:624107. doi: 10.3389/fnhum.2021.624107. eCollection 2021.","Vlasova RM","Front Hum Neurosci","2021","2021/03/15","PMC7947927","","10.3389/fnhum.2021.624107"
"33549320","General anaesthesia during infancy reduces white matter micro-organisation in developing rhesus monkeys","Young JT, Vlasova RM, Howell BR, Knickmeyer RC, Morin E, Kuitchoua KI, Lubach GR, Noel J, Hu X, Shi Y, Caudill G, Alexander AL, Niethammer M, Paule MG, Coe CL, Sanchez M, Styner M.","Br J Anaesth. 2021 Apr;126(4):845-853. doi: 10.1016/j.bja.2020.12.029. Epub 2021 Feb 3.","Young JT","Br J Anaesth","2021","2021/02/07","PMC8132881","","10.1016/j.bja.2020.12.029"
