PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34293407","A pilot behavioural and neuroimaging investigation on photothrombotic stroke models in rhesus monkeys","Zhang Z, Wang S, Du L, Xu L, Lin Y, Liu K, Zou Y, Bin Li, Ye Q, Mao Y, Chen W, Zhou G, Sun H, Huang H, Li R, Li G, Li L, Wang Q, Long Q, Huang H, Geng X, Liu Y, Liu C, Li B, Zhou Z, Li J, Wang J.","J Neurosci Methods. 2021 Jul 20;362:109291. doi: 10.1016/j.jneumeth.2021.109291. Online ahead of print.","Zhang Z","J Neurosci Methods","2021","2021/07/22","","","10.1016/j.jneumeth.2021.109291"
"34261701","Flexible versus fixed spatial self-ordered response sequencing:Effects of inactivation and neurochemical modulation ofventrolateral prefrontal cortex","Axelsson SFA, Horst NK, Horiguchi N, Roberts AC, Robbins TW.","J Neurosci. 2021 Jul 14:JN-RM-0227-21. doi: 10.1523/JNEUROSCI.0227-21.2021. Online ahead of print.","Axelsson SFA","J Neurosci","2021","2021/07/15","","","10.1523/JNEUROSCI.0227-21.2021"
"34244364","Regional White Matter Scaling in the Human Brain","Warling A, McDermott CL, Liu S, Seidlitz J, Rodrigue AL, Nadig A, Gur RC, Gur RE, Roalf D, Moore TM, Glahn D, Satterthwaite TD, Bullmore ET, Raznahan A.","J Neurosci. 2021 Jul 9:JN-RM-1193-21. doi: 10.1523/JNEUROSCI.1193-21.2021. Online ahead of print.","Warling A","J Neurosci","2021","2021/07/10","","","10.1523/JNEUROSCI.1193-21.2021"
"34242055","Visual Remapping","Golomb JD, Mazer JA.","Annu Rev Vis Sci. 2021 Jul 9. doi: 10.1146/annurev-vision-032321-100012. Online ahead of print.","Golomb JD","Annu Rev Vis Sci","2021","2021/07/09","","","10.1146/annurev-vision-032321-100012"
"34225960","Spatial topography of the basal forebrain cholinergic projections: Organization and vulnerability to degeneration","Schmitz TW, Zaborszky L.","Handb Clin Neurol. 2021;179:159-173. doi: 10.1016/B978-0-12-819975-6.00008-X.","Schmitz TW","Handb Clin Neurol","2021","2021/07/06","","","10.1016/B978-0-12-819975-6.00008-X"
"34222873","The role of the medial prefrontal cortex in cognition, ageing and dementia","Jobson DD, Hase Y, Clarkson AN, Kalaria RN.","Brain Commun. 2021 Jun 11;3(3):fcab125. doi: 10.1093/braincomms/fcab125. eCollection 2021 Jul.","Jobson DD","Brain Commun","2021","2021/07/05","PMC8249104","","10.1093/braincomms/fcab125"
"34174274","Translating biased agonists from molecules to medications: Serotonin 5-HT(1A) receptor functional selectivity for CNS disorders","Newman-Tancredi A, Depoortère RY, Kleven MS, Kołaczkowski M, Zimmer L.","Pharmacol Ther. 2021 Jun 24:107937. doi: 10.1016/j.pharmthera.2021.107937. Online ahead of print.","Newman-Tancredi A","Pharmacol Ther","2021","2021/06/26","","","10.1016/j.pharmthera.2021.107937"
"34148082","Structural Connectivity Gradients of the Temporal Lobe Serve as Multiscale Axes of Brain Organization and Cortical Evolution","Vos de Wael R, Royer J, Tavakol S, Wang Y, Paquola C, Benkarim O, Eichert N, Larivière S, Xu T, Misic B, Smallwood J, Valk SL, Bernhardt BC.","Cereb Cortex. 2021 Jun 19:bhaa021. doi: 10.1093/cercor/bhab149. Online ahead of print.","Vos de Wael R","Cereb Cortex","2021","2021/06/20","","","10.1093/cercor/bhab149"
"34022622","The baboon in epilepsy research: Revelations and challenges","Szabó CÁ, Salinas FS.","Epilepsy Behav. 2021 Aug;121(Pt A):108012. doi: 10.1016/j.yebeh.2021.108012. Epub 2021 May 19.","Szabó CÁ","Epilepsy Behav","2021","2021/05/22","PMC8238811","NIHMS1697317","10.1016/j.yebeh.2021.108012"
"33967711","Functional Connectivity of the Human Paraventricular Thalamic Nucleus: Insights From High Field Functional MRI","Kark SM, Birnie MT, Baram TZ, Yassa MA.","Front Integr Neurosci. 2021 Apr 21;15:662293. doi: 10.3389/fnint.2021.662293. eCollection 2021.","Kark SM","Front Integr Neurosci","2021","2021/05/10","PMC8096909","","10.3389/fnint.2021.662293"
"33882349","Minimal specifications for non-human primate MRI: Challenges in standardizing and harmonizing data collection","Autio JA, Zhu Q, Li X, Glasser MF, Schwiedrzik CM, Fair DA, Zimmermann J, Yacoub E, Menon RS, Van Essen DC, Hayashi T, Russ B, Vanduffel W.","Neuroimage. 2021 Aug 1;236:118082. doi: 10.1016/j.neuroimage.2021.118082. Epub 2021 Apr 18.","Autio JA","Neuroimage","2021","2021/04/21","","","10.1016/j.neuroimage.2021.118082"
"33880672","Effect of ethanol and cocaine on [(11)C]MPC-6827 uptake in SH-SY5Y cells","Damuka N, Orr M, Czoty PW, Weiner JL, Martin TJ, Nader MA, Bansode AH, Liyana Pathirannahel BS, Mintz A, Macauley SL, Craft S, Solingapuram Sai KK.","Mol Biol Rep. 2021 Apr;48(4):3871-3876. doi: 10.1007/s11033-021-06336-7. Epub 2021 Apr 20.","Damuka N","Mol Biol Rep","2021","2021/04/21","PMC8172511","","10.1007/s11033-021-06336-7"
"33848299","Neurocognitive processing efficiency for discriminating human non-alarm rather than alarm scream calls","Frühholz S, Dietziker J, Staib M, Trost W.","PLoS Biol. 2021 Apr 13;19(4):e3000751. doi: 10.1371/journal.pbio.3000751. eCollection 2021 Apr.","Frühholz S","PLoS Biol","2021","2021/04/13","PMC8043411","","10.1371/journal.pbio.3000751"
"33840834","Radiofluorination of oxazole-carboxamides for preclinical PET neuroimaging of GSK-3","Varlow C, Mossine AV, Bernard-Gauthier V, Scott PJH, Vasdev N.","J Fluor Chem. 2021 May;245:109760. doi: 10.1016/j.jfluchem.2021.109760. Epub 2021 Feb 21.","Varlow C","J Fluor Chem","2021","2021/04/12","PMC8034590","NIHMS1680899","10.1016/j.jfluchem.2021.109760"
"33794361","Strengths and challenges of longitudinal non-human primate neuroimaging","Song X, García-Saldivar P, Kindred N, Wang Y, Merchant H, Meguerditchian A, Yang Y, Stein EA, Bradberry CW, Ben Hamed S, Jedema HP, Poirier C.","Neuroimage. 2021 Aug 1;236:118009. doi: 10.1016/j.neuroimage.2021.118009. Epub 2021 Mar 29.","Song X","Neuroimage","2021","2021/04/01","PMC8270888","","10.1016/j.neuroimage.2021.118009"
"33794355","Combining brain perturbation and neuroimaging in non-human primates","Klink PC, Aubry JF, Ferrera VP, Fox AS, Froudist-Walsh S, Jarraya B, Konofagou EE, Krauzlis RJ, Messinger A, Mitchell AS, Ortiz-Rios M, Oya H, Roberts AC, Roe AW, Rushworth MFS, Sallet J, Schmid MC, Schroeder CE, Tasserie J, Tsao DY, Uhrig L, Vanduffel W, Wilke M, Kagan I, Petkov CI.","Neuroimage. 2021 Jul 15;235:118017. doi: 10.1016/j.neuroimage.2021.118017. Epub 2021 Mar 29.","Klink PC","Neuroimage","2021","2021/04/01","","","10.1016/j.neuroimage.2021.118017"
"33789138","A comprehensive macaque fMRI pipeline and hierarchical atlas","Jung B, Taylor PA, Seidlitz J, Sponheim C, Perkins P, Ungerleider LG, Glen D, Messinger A.","Neuroimage. 2021 Jul 15;235:117997. doi: 10.1016/j.neuroimage.2021.117997. Epub 2021 Mar 28.","Jung B","Neuroimage","2021","2021/03/31","","","10.1016/j.neuroimage.2021.117997"
"33789137","U-net model for brain extraction: Trained on humans for transfer to non-human primates","Wang X, Li XH, Cho JW, Russ BE, Rajamani N, Omelchenko A, Ai L, Korchmaros A, Sawiak S, Benn RA, Garcia-Saldivar P, Wang Z, Kalin NH, Schroeder CE, Craddock RC, Fox AS, Evans AC, Messinger A, Milham MP, Xu T.","Neuroimage. 2021 Jul 15;235:118001. doi: 10.1016/j.neuroimage.2021.118001. Epub 2021 Mar 28.","Wang X","Neuroimage","2021","2021/03/31","","","10.1016/j.neuroimage.2021.118001"
"33756399","Neural mechanisms necessary for empathy-related phenomena across species","Paradiso E, Gazzola V, Keysers C.","Curr Opin Neurobiol. 2021 Jun;68:107-115. doi: 10.1016/j.conb.2021.02.005. Epub 2021 Mar 20.","Paradiso E","Curr Opin Neurobiol","2021","2021/03/23","","","10.1016/j.conb.2021.02.005"
"33756104","Single-trial decoding of movement intentions using functional ultrasound neuroimaging","Norman SL, Maresca D, Christopoulos VN, Griggs WS, Demene C, Tanter M, Shapiro MG, Andersen RA.","Neuron. 2021 May 5;109(9):1554-1566.e4. doi: 10.1016/j.neuron.2021.03.003. Epub 2021 Mar 22.","Norman SL","Neuron","2021","2021/03/23","PMC8105283","NIHMS1683074","10.1016/j.neuron.2021.03.003"
"33716694","Infantile Iron Deficiency Affects Brain Development in Monkeys Even After Treatment of Anemia","Vlasova RM, Wang Q, Willette A, Styner MA, Lubach GR, Kling PJ, Georgieff MK, Rao RB, Coe CL.","Front Hum Neurosci. 2021 Feb 24;15:624107. doi: 10.3389/fnhum.2021.624107. eCollection 2021.","Vlasova RM","Front Hum Neurosci","2021","2021/03/15","PMC7947927","","10.3389/fnhum.2021.624107"
"33640412","Human hippocampal connectivity is stronger in olfaction than other sensory systems","Zhou G, Olofsson JK, Koubeissi MZ, Menelaou G, Rosenow J, Schuele SU, Xu P, Voss JL, Lane G, Zelano C.","Prog Neurobiol. 2021 Jun;201:102027. doi: 10.1016/j.pneurobio.2021.102027. Epub 2021 Feb 25.","Zhou G","Prog Neurobiol","2021","2021/02/28","PMC8096712","NIHMS1681625","10.1016/j.pneurobio.2021.102027"
"33549320","General anaesthesia during infancy reduces white matter micro-organisation in developing rhesus monkeys","Young JT, Vlasova RM, Howell BR, Knickmeyer RC, Morin E, Kuitchoua KI, Lubach GR, Noel J, Hu X, Shi Y, Caudill G, Alexander AL, Niethammer M, Paule MG, Coe CL, Sanchez M, Styner M.","Br J Anaesth. 2021 Apr;126(4):845-853. doi: 10.1016/j.bja.2020.12.029. Epub 2021 Feb 3.","Young JT","Br J Anaesth","2021","2021/02/07","PMC8132881","","10.1016/j.bja.2020.12.029"
"33489261","'Not only faces': specialized visual representation of human hands revealed by adaptation","Conson M, Polito F, Di Rosa A, Trojano L, Cordasco G, Esposito A, Turi M.","R Soc Open Sci. 2020 Dec 16;7(12):200948. doi: 10.1098/rsos.200948. eCollection 2020 Dec.","Conson M","R Soc Open Sci","2020","2021/01/25","PMC7813241","","10.1098/rsos.200948"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33418072","International primate neuroscience research regulation, public engagement and transparency opportunities","Mitchell AS, Hartig R, Basso MA, Jarrett W, Kastner S, Poirier C.","Neuroimage. 2021 Apr 1;229:117700. doi: 10.1016/j.neuroimage.2020.117700. Epub 2021 Jan 6.","Mitchell AS","Neuroimage","2021","2021/01/08","PMC7994292","","10.1016/j.neuroimage.2020.117700"
"33359631","In-vivo diffusion MRI protocol optimization for the chimpanzee brain and examination of aging effects on the primate optic nerve at 3T","Zhang X, Li CX, Yan Y, Nair G, Rilling JK, Herndon JG, Preuss TM, Hu X, Li L.","Magn Reson Imaging. 2021 Apr;77:194-203. doi: 10.1016/j.mri.2020.12.015. Epub 2020 Dec 23.","Zhang X","Magn Reson Imaging","2021","2020/12/28","PMC7878399","NIHMS1657502","10.1016/j.mri.2020.12.015"
"33359344","Imaging evolution of the primate brain: the next frontier?","Friedrich P, Forkel SJ, Amiez C, Balsters JH, Coulon O, Fan L, Goulas A, Hadj-Bouziane F, Hecht EE, Heuer K, Jiang T, Latzman RD, Liu X, Loh KK, Patil KR, Lopez-Persem A, Procyk E, Sallet J, Toro R, Vickery S, Weis S, Wilson CRE, Xu T, Zerbi V, Eickoff SB, Margulies DS, Mars RB, Thiebaut de Schotten M.","Neuroimage. 2021 Mar;228:117685. doi: 10.1016/j.neuroimage.2020.117685. Epub 2021 Jan 5.","Friedrich P","Neuroimage","2021","2020/12/28","PMC7116589","EMS109947","10.1016/j.neuroimage.2020.117685"
"33359343","Beyond MRI: on the scientific value of combining non-human primate neuroimaging with metadata","Poirier C, Hamed SB, Garcia-Saldivar P, Kwok SC, Meguerditchian A, Merchant H, Rogers J, Wells S, Fox AS.","Neuroimage. 2021 Mar;228:117679. doi: 10.1016/j.neuroimage.2020.117679. Epub 2021 Jan 6.","Poirier C","Neuroimage","2021","2020/12/28","PMC7903159","","10.1016/j.neuroimage.2020.117679"
"33314443","Extended-amygdala intrinsic functional connectivity networks: A population study","Berry SC, Wise RG, Lawrence AD, Lancaster TM.","Hum Brain Mapp. 2021 Apr 15;42(6):1594-1616. doi: 10.1002/hbm.25314. Epub 2020 Dec 12.","Berry SC","Hum Brain Mapp","2021","2020/12/14","PMC7978137","","10.1002/hbm.25314"
"33307380","Socially relative reward valuation in the primate brain","Isoda M.","Curr Opin Neurobiol. 2021 Jun;68:15-22. doi: 10.1016/j.conb.2020.11.008. Epub 2020 Dec 8.","Isoda M","Curr Opin Neurobiol","2021","2020/12/11","","","10.1016/j.conb.2020.11.008"
