PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28539914","Functional Connectivity Mapping in the Animal Model: Principles and Applications of Resting-State fMRI","Gorges M, Roselli F, Müller HP, Ludolph AC, Rasche V, Kassubek J.","Front Neurol. 2017 May 10;8:200. doi: 10.3389/fneur.2017.00200. eCollection 2017.","Gorges M","Front Neurol","2017","2017/05/26","PMC5423907","","10.3389/fneur.2017.00200"
"29038239","Correlated Disruption of Resting-State fMRI, LFP, and Spike Connectivity between Area 3b and S2 following Spinal Cord Injury in Monkeys","Wu R, Yang PF, Chen LM.","J Neurosci. 2017 Nov 15;37(46):11192-11203. doi: 10.1523/JNEUROSCI.2318-17.2017. Epub 2017 Oct 16.","Wu R","J Neurosci","2017","2017/10/18","PMC5688527","","10.1523/JNEUROSCI.2318-17.2017"
"30802514","Functional specialization of macaque premotor F5 subfields with respect to hand and mouth movements: A comparison of task and resting-state fMRI","Sharma S, Mantini D, Vanduffel W, Nelissen K.","Neuroimage. 2019 May 1;191:441-456. doi: 10.1016/j.neuroimage.2019.02.045. Epub 2019 Feb 23.","Sharma S","Neuroimage","2019","2019/02/26","","","10.1016/j.neuroimage.2019.02.045"
"33338618","Intrinsic functional clustering of ventral premotor F5 in the macaque brain","Sharma S, Schaeffer DJ, Vinken K, Everling S, Nelissen K.","Neuroimage. 2021 Feb 15;227:117647. doi: 10.1016/j.neuroimage.2020.117647. Epub 2020 Dec 15.","Sharma S","Neuroimage","2021","2020/12/18","","","10.1016/j.neuroimage.2020.117647"
"30059694","Exploring the neuromechanism of chronic ephedrine addiction in rhesus monkeys: A behavioural and brain resting-state fMRI study","Xie L, Ma Y, Huang J, Guo R, Wang J, Sun Z, Duan S, Wu B, Lin Z, Xiao Y, Ma S.","Behav Brain Res. 2019 Feb 1;359:807-813. doi: 10.1016/j.bbr.2018.07.024. Epub 2018 Jul 27.","Xie L","Behav Brain Res","2019","2018/07/31","","","10.1016/j.bbr.2018.07.024"
"22298826","Functional connectivity of the frontal eye fields in humans and macaque monkeys investigated with resting-state fMRI","Hutchison RM, Gallivan JP, Culham JC, Gati JS, Menon RS, Everling S.","J Neurophysiol. 2012 May;107(9):2463-74. doi: 10.1152/jn.00891.2011. Epub 2012 Feb 1.","Hutchison RM","J Neurophysiol","2012","2012/02/03","","","10.1152/jn.00891.2011"
"27706916","Anatomical and functional neuroimaging in awake, behaving marmosets","Silva AC.","Dev Neurobiol. 2017 Mar;77(3):373-389. doi: 10.1002/dneu.22456. Epub 2016 Oct 21.","Silva AC","Dev Neurobiol","2017","2016/10/06","PMC5318267","NIHMS821773","10.1002/dneu.22456"
"20439733","Neural basis of global resting-state fMRI activity","Schölvinck ML, Maier A, Ye FQ, Duyn JH, Leopold DA.","Proc Natl Acad Sci U S A. 2010 Jun 1;107(22):10238-43. doi: 10.1073/pnas.0913110107. Epub 2010 May 3.","Schölvinck ML","Proc Natl Acad Sci U S A","2010","2010/05/05","PMC2890438","","10.1073/pnas.0913110107"
"32539526","Diagnostic Classification for Human Autism and Obsessive-Compulsive Disorder Based on Machine Learning From a Primate Genetic Model","Zhan Y, Wei J, Liang J, Xu X, He R, Robbins TW, Wang Z.","Am J Psychiatry. 2021 Jan 1;178(1):65-76. doi: 10.1176/appi.ajp.2020.19101091. Epub 2020 Jun 16.","Zhan Y","Am J Psychiatry","2021","2020/06/17","","","10.1176/appi.ajp.2020.19101091"
"27075850","DPABI: Data Processing & Analysis for (Resting-State) Brain Imaging","Yan CG, Wang XD, Zuo XN, Zang YF.","Neuroinformatics. 2016 Jul;14(3):339-51. doi: 10.1007/s12021-016-9299-4.","Yan CG","Neuroinformatics","2016","2016/04/15","","","10.1007/s12021-016-9299-4"
"22855672","Monkey in the middle: why non-human primates are needed to bridge the gap in resting-state investigations","Hutchison RM, Everling S.","Front Neuroanat. 2012 Jul 26;6:29. doi: 10.3389/fnana.2012.00029. eCollection 2012.","Hutchison RM","Front Neuroanat","2012","2012/08/03","PMC3405297","","10.3389/fnana.2012.00029"
"24121168","The helmet head restraint system: a viable solution for resting state fMRI in awake monkeys","Hadj-Bouziane F, Monfardini E, Guedj C, Gardechaux G, Hynaux C, Farnè A, Meunier M.","Neuroimage. 2014 Feb 1;86:536-43. doi: 10.1016/j.neuroimage.2013.09.068. Epub 2013 Oct 8.","Hadj-Bouziane F","Neuroimage","2014","2013/10/15","","","10.1016/j.neuroimage.2013.09.068"
"31031580","Isoflurane-Induced Burst Suppression Increases Intrinsic Functional Connectivity of the Monkey Brain","Zhang Z, Cai DC, Wang Z, Zeljic K, Wang Z, Wang Y.","Front Neurosci. 2019 Apr 11;13:296. doi: 10.3389/fnins.2019.00296. eCollection 2019.","Zhang Z","Front Neurosci","2019","2019/04/30","PMC6470287","","10.3389/fnins.2019.00296"
"29335352","Discrete Modules and Mesoscale Functional Circuits for Thermal Nociception within Primate S1 Cortex","Yang PF, Wu R, Wu TL, Shi Z, Chen LM.","J Neurosci. 2018 Feb 14;38(7):1774-1787. doi: 10.1523/JNEUROSCI.2795-17.2017. Epub 2018 Jan 15.","Yang PF","J Neurosci","2018","2018/01/17","PMC5815457","","10.1523/JNEUROSCI.2795-17.2017"
"29299382","An interspecies comparative study of invasive electrophysiological functional connectivity","Casimo K, Levinson LH, Zanos S, Gkogkidis CA, Ball T, Fetz E, Weaver KE, Ojemann JG.","Brain Behav. 2017 Nov 22;7(12):e00863. doi: 10.1002/brb3.863. eCollection 2017 Dec.","Casimo K","Brain Behav","2017","2018/01/05","PMC5745242","","10.1002/brb3.863"
"26415043","Partial Correlation-Based Retinotopically Organized Resting-State Functional Connectivity Within and Between Areas of the Visual Cortex Reflects More Than Cortical Distance","Dawson DA, Lam J, Lewis LB, Carbonell F, Mendola JD, Shmuel A.","Brain Connect. 2016 Feb;6(1):57-75. doi: 10.1089/brain.2014.0331.","Dawson DA","Brain Connect","2016","2015/09/29","PMC4744894","","10.1089/brain.2014.0331"
"30873000","Brain Map of Intrinsic Functional Flexibility in Anesthetized Monkeys and Awake Humans","Yin D, Zhang Z, Wang Z, Zeljic K, Lv Q, Cai D, Wang Y, Wang Z.","Front Neurosci. 2019 Feb 28;13:174. doi: 10.3389/fnins.2019.00174. eCollection 2019.","Yin D","Front Neurosci","2019","2019/03/16","PMC6403192","","10.3389/fnins.2019.00174"
