PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30059694","Exploring the neuromechanism of chronic ephedrine addiction in rhesus monkeys: A behavioural and brain resting-state fMRI study","Xie L, Ma Y, Huang J, Guo R, Wang J, Sun Z, Duan S, Wu B, Lin Z, Xiao Y, Ma S.","Behav Brain Res. 2019 Feb 1;359:807-813. doi: 10.1016/j.bbr.2018.07.024. Epub 2018 Jul 27.","Xie L","Behav Brain Res","2019","2018/07/31","","","10.1016/j.bbr.2018.07.024"
"29038239","Correlated Disruption of Resting-State fMRI, LFP, and Spike Connectivity between Area 3b and S2 following Spinal Cord Injury in Monkeys","Wu R, Yang PF, Chen LM.","J Neurosci. 2017 Nov 15;37(46):11192-11203. doi: 10.1523/JNEUROSCI.2318-17.2017. Epub 2017 Oct 16.","Wu R","J Neurosci","2017","2017/10/18","PMC5688527","","10.1523/JNEUROSCI.2318-17.2017"
"30802514","Functional specialization of macaque premotor F5 subfields with respect to hand and mouth movements: A comparison of task and resting-state fMRI","Sharma S, Mantini D, Vanduffel W, Nelissen K.","Neuroimage. 2019 May 1;191:441-456. doi: 10.1016/j.neuroimage.2019.02.045. Epub 2019 Feb 23.","Sharma S","Neuroimage","2019","2019/02/26","","","10.1016/j.neuroimage.2019.02.045"
"30251760","Functional connectivity with cortical depth assessed by resting state fMRI of subregions of S1 in squirrel monkeys","Mishra A, Majumdar S, Wang F, Wilson GH 3rd, Gore JC, Chen LM.","Hum Brain Mapp. 2019 Jan;40(1):329-339. doi: 10.1002/hbm.24375. Epub 2018 Sep 25.","Mishra A","Hum Brain Mapp","2019","2018/09/26","PMC6289644","NIHMS992431","10.1002/hbm.24375"
"28032008","Effects of isoflurane anesthesia on resting-state fMRI signals and functional connectivity within primary somatosensory cortex of monkeys","Wu TL, Mishra A, Wang F, Yang PF, Gore JC, Chen LM.","Brain Behav. 2016 Oct 11;6(12):e00591. doi: 10.1002/brb3.591. eCollection 2016 Dec.","Wu TL","Brain Behav","2016","2016/12/30","PMC5167001","","10.1002/brb3.591"
"24629510","Fractional amplitude of low-frequency fluctuation changes in monkeys with spinal cord injury: a resting-state fMRI study","Rao JS, Ma M, Zhao C, Zhang AF, Yang ZY, Liu Z, Li XG.","Magn Reson Imaging. 2014 Jun;32(5):482-6. doi: 10.1016/j.mri.2014.02.001. Epub 2014 Feb 10.","Rao JS","Magn Reson Imaging","2014","2014/03/18","","","10.1016/j.mri.2014.02.001"
"22298826","Functional connectivity of the frontal eye fields in humans and macaque monkeys investigated with resting-state fMRI","Hutchison RM, Gallivan JP, Culham JC, Gati JS, Menon RS, Everling S.","J Neurophysiol. 2012 May;107(9):2463-74. doi: 10.1152/jn.00891.2011. Epub 2012 Feb 1.","Hutchison RM","J Neurophysiol","2012","2012/02/03","","","10.1152/jn.00891.2011"
"24121168","The helmet head restraint system: a viable solution for resting state fMRI in awake monkeys","Hadj-Bouziane F, Monfardini E, Guedj C, Gardechaux G, Hynaux C, Farnè A, Meunier M.","Neuroimage. 2014 Feb 1;86:536-43. doi: 10.1016/j.neuroimage.2013.09.068. Epub 2013 Oct 8.","Hadj-Bouziane F","Neuroimage","2014","2013/10/15","","","10.1016/j.neuroimage.2013.09.068"
"29548849","Template-based prediction of vigilance fluctuations in resting-state fMRI","Falahpour M, Chang C, Wong CW, Liu TT.","Neuroimage. 2018 Jul 1;174:317-327. doi: 10.1016/j.neuroimage.2018.03.012. Epub 2018 Mar 13.","Falahpour M","Neuroimage","2018","2018/03/18","PMC8328148","NIHMS955711","10.1016/j.neuroimage.2018.03.012"
"25970649","Functional subdivisions of medial parieto-occipital cortex in humans and nonhuman primates using resting-state fMRI","Hutchison RM, Culham JC, Flanagan JR, Everling S, Gallivan JP.","Neuroimage. 2015 Aug 1;116:10-29. doi: 10.1016/j.neuroimage.2015.04.068. Epub 2015 May 10.","Hutchison RM","Neuroimage","2015","2015/05/14","","","10.1016/j.neuroimage.2015.04.068"
"27091582","Correlated inter-regional variations in low frequency local field potentials and resting state BOLD signals within S1 cortex of monkeys","Wilson GH 3rd, Yang PF, Gore JC, Chen LM.","Hum Brain Mapp. 2016 Aug;37(8):2755-66. doi: 10.1002/hbm.23207. Epub 2016 Apr 19.","Wilson GH 3rd","Hum Brain Mapp","2016","2016/04/20","PMC4945372","NIHMS773165","10.1002/hbm.23207"
"26633103","Dose-dependent effects of isoflurane on regional activity and neural network function: A resting-state fMRI study of 14 rhesus monkeys: An observational study","Lv P, Xiao Y, Liu B, Wang Y, Zhang X, Sun H, Li F, Yao L, Zhang W, Liu L, Gao X, Wu M, Tang Y, Chen Q, Gong Q, Lui S.","Neurosci Lett. 2016 Jan 12;611:116-22. doi: 10.1016/j.neulet.2015.11.037. Epub 2015 Nov 26.","Lv P","Neurosci Lett","2016","2015/12/04","","","10.1016/j.neulet.2015.11.037"
"33338613","Altered hippocampal-prefrontal functional network integrity in adult macaque monkeys with neonatal hippocampal lesions","Li CX, Li Z, Hu X, Zhang X, Bachevalier J.","Neuroimage. 2021 Feb 15;227:117645. doi: 10.1016/j.neuroimage.2020.117645. Epub 2020 Dec 15.","Li CX","Neuroimage","2021","2020/12/18","","","10.1016/j.neuroimage.2020.117645"
"20439733","Neural basis of global resting-state fMRI activity","Schölvinck ML, Maier A, Ye FQ, Duyn JH, Leopold DA.","Proc Natl Acad Sci U S A. 2010 Jun 1;107(22):10238-43. doi: 10.1073/pnas.0913110107. Epub 2010 May 3.","Schölvinck ML","Proc Natl Acad Sci U S A","2010","2010/05/05","PMC2890438","","10.1073/pnas.0913110107"
"26631813","Can sliding-window correlations reveal dynamic functional connectivity in resting-state fMRI?","Hindriks R, Adhikari MH, Murayama Y, Ganzetti M, Mantini D, Logothetis NK, Deco G.","Neuroimage. 2016 Feb 15;127:242-256. doi: 10.1016/j.neuroimage.2015.11.055. Epub 2015 Nov 26.","Hindriks R","Neuroimage","2016","2015/12/04","PMC4758830","","10.1016/j.neuroimage.2015.11.055"
"31031580","Isoflurane-Induced Burst Suppression Increases Intrinsic Functional Connectivity of the Monkey Brain","Zhang Z, Cai DC, Wang Z, Zeljic K, Wang Z, Wang Y.","Front Neurosci. 2019 Apr 11;13:296. doi: 10.3389/fnins.2019.00296. eCollection 2019.","Zhang Z","Front Neurosci","2019","2019/04/30","PMC6470287","","10.3389/fnins.2019.00296"
"29299382","An interspecies comparative study of invasive electrophysiological functional connectivity","Casimo K, Levinson LH, Zanos S, Gkogkidis CA, Ball T, Fetz E, Weaver KE, Ojemann JG.","Brain Behav. 2017 Nov 22;7(12):e00863. doi: 10.1002/brb3.863. eCollection 2017 Dec.","Casimo K","Brain Behav","2017","2018/01/05","PMC5745242","","10.1002/brb3.863"
