PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"22855672","Monkey in the middle: why non-human primates are needed to bridge the gap in resting-state investigations","Hutchison RM, Everling S.","Front Neuroanat. 2012 Jul 26;6:29. doi: 10.3389/fnana.2012.00029. eCollection 2012.","Hutchison RM","Front Neuroanat","2012","2012/08/03","PMC3405297","","10.3389/fnana.2012.00029"
"32298231","Primate homologs of mouse cortico-striatal circuits","Balsters JH, Zerbi V, Sallet J, Wenderoth N, Mars RB.","Elife. 2020 Apr 16;9:e53680. doi: 10.7554/eLife.53680.","Balsters JH","Elife","2020","2020/04/17","PMC7162658","","10.7554/eLife.53680"
"25970649","Functional subdivisions of medial parieto-occipital cortex in humans and nonhuman primates using resting-state fMRI","Hutchison RM, Culham JC, Flanagan JR, Everling S, Gallivan JP.","Neuroimage. 2015 Aug 1;116:10-29. doi: 10.1016/j.neuroimage.2015.04.068. Epub 2015 May 10.","Hutchison RM","Neuroimage","2015","2015/05/14","","","10.1016/j.neuroimage.2015.04.068"
"33878384","Mapping functional gradients of the striatal circuit using simultaneous microelectric stimulation and ultrahigh-field fMRI in non-human primates","Han MJ, Park CU, Kang S, Kim B, Nikolaidis A, Milham MP, Hong SJ, Kim SG, Baeg E.","Neuroimage. 2021 Aug 1;236:118077. doi: 10.1016/j.neuroimage.2021.118077. Epub 2021 Apr 18.","Han MJ","Neuroimage","2021","2021/04/20","","","10.1016/j.neuroimage.2021.118077"
"30315909","Model testing for distinctive functional connectivity gradients with resting-state fMRI data","O'Rawe JF, Ide JS, Leung HC.","Neuroimage. 2019 Jan 15;185:102-110. doi: 10.1016/j.neuroimage.2018.10.022. Epub 2018 Oct 10.","O'Rawe JF","Neuroimage","2019","2018/10/14","","","10.1016/j.neuroimage.2018.10.022"
"24531049","Resting-state fMRI reveals functional connectivity between face-selective perirhinal cortex and the fusiform face area related to face inversion","O'Neil EB, Hutchison RM, McLean DA, Köhler S.","Neuroimage. 2014 May 15;92:349-55. doi: 10.1016/j.neuroimage.2014.02.005. Epub 2014 Feb 12.","O'Neil EB","Neuroimage","2014","2014/02/18","","","10.1016/j.neuroimage.2014.02.005"
"19072897","Two systems of resting state connectivity between the insula and cingulate cortex","Taylor KS, Seminowicz DA, Davis KD.","Hum Brain Mapp. 2009 Sep;30(9):2731-45. doi: 10.1002/hbm.20705.","Taylor KS","Hum Brain Mapp","2009","2008/12/17","PMC6871122","","10.1002/hbm.20705"
"31031580","Isoflurane-Induced Burst Suppression Increases Intrinsic Functional Connectivity of the Monkey Brain","Zhang Z, Cai DC, Wang Z, Zeljic K, Wang Z, Wang Y.","Front Neurosci. 2019 Apr 11;13:296. doi: 10.3389/fnins.2019.00296. eCollection 2019.","Zhang Z","Front Neurosci","2019","2019/04/30","PMC6470287","","10.3389/fnins.2019.00296"
"28027960","Investigating resting-state functional connectivity in the cervical spinal cord at 3T","Eippert F, Kong Y, Winkler AM, Andersson JL, Finsterbusch J, Büchel C, Brooks JCW, Tracey I.","Neuroimage. 2017 Feb 15;147:589-601. doi: 10.1016/j.neuroimage.2016.12.072. Epub 2016 Dec 24.","Eippert F","Neuroimage","2017","2016/12/29","PMC5315056","","10.1016/j.neuroimage.2016.12.072"
"24629510","Fractional amplitude of low-frequency fluctuation changes in monkeys with spinal cord injury: a resting-state fMRI study","Rao JS, Ma M, Zhao C, Zhang AF, Yang ZY, Liu Z, Li XG.","Magn Reson Imaging. 2014 Jun;32(5):482-6. doi: 10.1016/j.mri.2014.02.001. Epub 2014 Feb 10.","Rao JS","Magn Reson Imaging","2014","2014/03/18","","","10.1016/j.mri.2014.02.001"
"30873000","Brain Map of Intrinsic Functional Flexibility in Anesthetized Monkeys and Awake Humans","Yin D, Zhang Z, Wang Z, Zeljic K, Lv Q, Cai D, Wang Y, Wang Z.","Front Neurosci. 2019 Feb 28;13:174. doi: 10.3389/fnins.2019.00174. eCollection 2019.","Yin D","Front Neurosci","2019","2019/03/16","PMC6403192","","10.3389/fnins.2019.00174"
"28032008","Effects of isoflurane anesthesia on resting-state fMRI signals and functional connectivity within primary somatosensory cortex of monkeys","Wu TL, Mishra A, Wang F, Yang PF, Gore JC, Chen LM.","Brain Behav. 2016 Oct 11;6(12):e00591. doi: 10.1002/brb3.591. eCollection 2016 Dec.","Wu TL","Brain Behav","2016","2016/12/30","PMC5167001","","10.1002/brb3.591"
"27859903","Corticostriatal connectivity fingerprints: Probability maps based on resting-state functional connectivity","Jaspers E, Balsters JH, Kassraian Fard P, Mantini D, Wenderoth N.","Hum Brain Mapp. 2017 Mar;38(3):1478-1491. doi: 10.1002/hbm.23466. Epub 2016 Nov 12.","Jaspers E","Hum Brain Mapp","2017","2016/11/19","PMC6866797","","10.1002/hbm.23466"
"28804783","Functional corticostriatal connection topographies predict goal directed behaviour in humans","Marquand AF, Haak KV, Beckmann CF.","Nat Hum Behav. 2017 Aug;1(8):0146. doi: 10.1038/s41562-017-0146. Epub 2017 Jul 24.","Marquand AF","Nat Hum Behav","2017","2017/08/15","PMC5549843","EMS73107","10.1038/s41562-017-0146"
"28457575","Objective analysis of the topological organization of the human cortical visual connectome suggests three visual pathways","Haak KV, Beckmann CF.","Cortex. 2018 Jan;98:73-83. doi: 10.1016/j.cortex.2017.03.020. Epub 2017 Apr 7.","Haak KV","Cortex","2018","2017/05/02","PMC5780302","","10.1016/j.cortex.2017.03.020"
"31557544","Large scale networks for human hand-object interaction: Functionally distinct roles for two premotor regions identified intraoperatively","Simone L, Fornia L, Viganò L, Sambataro F, Rossi M, Leonetti A, Puglisi G, Howells H, Bellacicca A, Bello L, Cerri G.","Neuroimage. 2020 Jan 1;204:116215. doi: 10.1016/j.neuroimage.2019.116215. Epub 2019 Sep 24.","Simone L","Neuroimage","2020","2019/09/27","","","10.1016/j.neuroimage.2019.116215"
"24530271","Parkinson׳s disease-related modulation of functional connectivity associated with the striatum in the resting state in a nonhuman primate model","Li J, Luo C, Chen Y, Chen Q, Huang R, Sun J, Gong Q, Wu X, Qi Z, Liang Z, Li L, Li H, Li P, Wang W, Shang HF.","Brain Res. 2014 Mar 25;1555:10-9. doi: 10.1016/j.brainres.2014.01.054. Epub 2014 Feb 13.","Li J","Brain Res","2014","2014/02/18","","","10.1016/j.brainres.2014.01.054"
