PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33268770","Effects of long-term cocaine self-administration on brain resting-state functional connectivity in nonhuman primates","Kohut SJ, Mintzopoulos D, Kangas BD, Shields H, Brown K, Gillis TE, Rohan ML, Bergman J, Kaufman MJ.","Transl Psychiatry. 2020 Dec 2;10(1):420. doi: 10.1038/s41398-020-01101-z.","Kohut SJ","Transl Psychiatry","2020","2020/12/03","PMC7710734","","10.1038/s41398-020-01101-z"
"25970649","Functional subdivisions of medial parieto-occipital cortex in humans and nonhuman primates using resting-state fMRI","Hutchison RM, Culham JC, Flanagan JR, Everling S, Gallivan JP.","Neuroimage. 2015 Aug 1;116:10-29. doi: 10.1016/j.neuroimage.2015.04.068. Epub 2015 May 10.","Hutchison RM","Neuroimage","2015","2015/05/14","","","10.1016/j.neuroimage.2015.04.068"
"28461461","High spatial correspondence at a columnar level between activation and resting state fMRI signals and local field potentials","Shi Z, Wu R, Yang PF, Wang F, Wu TL, Mishra A, Chen LM, Gore JC.","Proc Natl Acad Sci U S A. 2017 May 16;114(20):5253-5258. doi: 10.1073/pnas.1620520114. Epub 2017 May 1.","Shi Z","Proc Natl Acad Sci U S A","2017","2017/05/03","PMC5441782","","10.1073/pnas.1620520114"
"32981657","Converging Structural and Functional Evidence for a Rat Salience Network","Tsai PJ, Keeley RJ, Carmack SA, Vendruscolo JCM, Lu H, Gu H, Vendruscolo LF, Koob GF, Lin CP, Stein EA, Yang Y.","Biol Psychiatry. 2020 Dec 1;88(11):867-878. doi: 10.1016/j.biopsych.2020.06.023. Epub 2020 Jul 2.","Tsai PJ","Biol Psychiatry","2020","2020/09/28","","","10.1016/j.biopsych.2020.06.023"
"28716961","Structural Basis of Large-Scale Functional Connectivity in the Mouse","Grandjean J, Zerbi V, Balsters JH, Wenderoth N, Rudin M.","J Neurosci. 2017 Aug 23;37(34):8092-8101. doi: 10.1523/JNEUROSCI.0438-17.2017. Epub 2017 Jul 17.","Grandjean J","J Neurosci","2017","2017/07/19","PMC6596781","","10.1523/JNEUROSCI.0438-17.2017"
"26290449","Resting-state functional connectivity in the baboon model of genetic generalized epilepsy","Salinas FS, Szabó CÁ.","Epilepsia. 2015 Oct;56(10):1580-9. doi: 10.1111/epi.13115. Epub 2015 Aug 20.","Salinas FS","Epilepsia","2015","2015/08/21","PMC4593742","NIHMS708606","10.1111/epi.13115"
"31262949","Sex Differences in Cognitive Flexibility and Resting Brain Networks in Middle-Aged Marmosets","LaClair M, Febo M, Nephew B, Gervais NJ, Poirier G, Workman K, Chumachenko S, Payne L, Moore MC, King JA, Lacreuse A.","eNeuro. 2019 Jul 25;6(4):ENEURO.0154-19.2019. doi: 10.1523/ENEURO.0154-19.2019. Print 2019 Jul/Aug.","LaClair M","eNeuro","2019","2019/07/03","PMC6658914","","10.1523/ENEURO.0154-19.2019"
"32539526","Diagnostic Classification for Human Autism and Obsessive-Compulsive Disorder Based on Machine Learning From a Primate Genetic Model","Zhan Y, Wei J, Liang J, Xu X, He R, Robbins TW, Wang Z.","Am J Psychiatry. 2021 Jan 1;178(1):65-76. doi: 10.1176/appi.ajp.2020.19101091. Epub 2020 Jun 16.","Zhan Y","Am J Psychiatry","2021","2020/06/17","","","10.1176/appi.ajp.2020.19101091"
"23513045","Dissociable functional networks of the human dentate nucleus","Bernard JA, Peltier SJ, Benson BL, Wiggins JL, Jaeggi SM, Buschkuehl M, Jonides J, Monk CS, Seidler RD.","Cereb Cortex. 2014 Aug;24(8):2151-9. doi: 10.1093/cercor/bht065. Epub 2013 Mar 19.","Bernard JA","Cereb Cortex","2014","2013/03/21","PMC4089384","","10.1093/cercor/bht065"
"26973476","Functional Connectivity Hubs and Networks in the Awake Marmoset Brain","Belcher AM, Yen CC, Notardonato L, Ross TJ, Volkow ND, Yang Y, Stein EA, Silva AC, Tomasi D.","Front Integr Neurosci. 2016 Mar 4;10:9. doi: 10.3389/fnint.2016.00009. eCollection 2016.","Belcher AM","Front Integr Neurosci","2016","2016/03/15","PMC4777715","","10.3389/fnint.2016.00009"
"23928747","Multi-region hemispheric specialization differentiates human from nonhuman primate brain function","Wey HY, Phillips KA, McKay DR, Laird AR, Kochunov P, Davis MD, Glahn DC, Blangero J, Duong TQ, Fox PT.","Brain Struct Funct. 2014 Nov;219(6):2187-94. doi: 10.1007/s00429-013-0620-9. Epub 2013 Aug 9.","Wey HY","Brain Struct Funct","2014","2013/08/10","PMC4219928","NIHMS638709","10.1007/s00429-013-0620-9"
"30530859","Changes in Endogenous Dopamine Induced by Methylphenidate Predict Functional Connectivity in Nonhuman Primates","Birn RM, Converse AK, Rajala AZ, Alexander AL, Block WF, McMillan AB, Christian BT, Filla CN, Murali D, Hurley SA, Jenison RL, Populin LC.","J Neurosci. 2019 Feb 20;39(8):1436-1444. doi: 10.1523/JNEUROSCI.2513-18.2018. Epub 2018 Dec 10.","Birn RM","J Neurosci","2019","2018/12/12","PMC6381257","","10.1523/JNEUROSCI.2513-18.2018"
"22836258","Unravelling the intrinsic functional organization of the human lateral frontal cortex: a parcellation scheme based on resting state fMRI","Goulas A, Uylings HB, Stiers P.","J Neurosci. 2012 Jul 25;32(30):10238-52. doi: 10.1523/JNEUROSCI.5852-11.2012.","Goulas A","J Neurosci","2012","2012/07/28","PMC6703746","","10.1523/JNEUROSCI.5852-11.2012"
"25224997","Understanding human original actions directed at real-world goals: the role of the lateral prefrontal cortex","Sitnikova T, Rosen BR, Lord LD, West WC.","Neuroimage. 2014 Dec;103:91-105. doi: 10.1016/j.neuroimage.2014.09.012. Epub 2014 Sep 16.","Sitnikova T","Neuroimage","2014","2014/09/17","PMC4312188","NIHMS628219","10.1016/j.neuroimage.2014.09.012"
"23905720","The effects of alcohol on the nonhuman primate brain: a network science approach to neuroimaging","Telesford QK, Laurienti PJ, Friedman DP, Kraft RA, Daunais JB.","Alcohol Clin Exp Res. 2013 Nov;37(11):1891-900. doi: 10.1111/acer.12181. Epub 2013 Jul 26.","Telesford QK","Alcohol Clin Exp Res","2013","2013/08/03","PMC3812370","NIHMS471410","10.1111/acer.12181"
"18701759","Intrinsic functional relations between human cerebral cortex and thalamus","Zhang D, Snyder AZ, Fox MD, Sansbury MW, Shimony JS, Raichle ME.","J Neurophysiol. 2008 Oct;100(4):1740-8. doi: 10.1152/jn.90463.2008. Epub 2008 Aug 13.","Zhang D","J Neurophysiol","2008","2008/08/15","PMC2576214","","10.1152/jn.90463.2008"
"30267074","Human V2A: A map of the peripheral visual hemifield with functional connections to scene-selective cortex","Elshout JA, van den Berg AV, Haak KV.","J Vis. 2018 Sep 4;18(9):22. doi: 10.1167/18.9.22.","Elshout JA","J Vis","2018","2018/09/30","PMC6159387","","10.1167/18.9.22"
"24068551","Large-scale brain networks of the human left temporal pole: a functional connectivity MRI study","Pascual B, Masdeu JC, Hollenbeck M, Makris N, Insausti R, Ding SL, Dickerson BC.","Cereb Cortex. 2015 Mar;25(3):680-702. doi: 10.1093/cercor/bht260. Epub 2013 Sep 24.","Pascual B","Cereb Cortex","2015","2013/09/27","PMC4318532","","10.1093/cercor/bht260"
