PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29038239","Correlated Disruption of Resting-State fMRI, LFP, and Spike Connectivity between Area 3b and S2 following Spinal Cord Injury in Monkeys","Wu R, Yang PF, Chen LM.","J Neurosci. 2017 Nov 15;37(46):11192-11203. doi: 10.1523/JNEUROSCI.2318-17.2017. Epub 2017 Oct 16.","Wu R","J Neurosci","2017","2017/10/18","PMC5688527","","10.1523/JNEUROSCI.2318-17.2017"
"33097633","Cortico-Subcortical Functional Connectivity Profiles of Resting-State Networks in Marmosets and Humans","Hori Y, Schaeffer DJ, Yoshida A, Cléry JC, Hayrynen LK, Gati JS, Menon RS, Everling S.","J Neurosci. 2020 Nov 25;40(48):9236-9249. doi: 10.1523/JNEUROSCI.1984-20.2020. Epub 2020 Oct 23.","Hori Y","J Neurosci","2020","2020/10/24","PMC7687060","","10.1523/JNEUROSCI.1984-20.2020"
"32298231","Primate homologs of mouse cortico-striatal circuits","Balsters JH, Zerbi V, Sallet J, Wenderoth N, Mars RB.","Elife. 2020 Apr 16;9:e53680. doi: 10.7554/eLife.53680.","Balsters JH","Elife","2020","2020/04/17","PMC7162658","","10.7554/eLife.53680"
"25970649","Functional subdivisions of medial parieto-occipital cortex in humans and nonhuman primates using resting-state fMRI","Hutchison RM, Culham JC, Flanagan JR, Everling S, Gallivan JP.","Neuroimage. 2015 Aug 1;116:10-29. doi: 10.1016/j.neuroimage.2015.04.068. Epub 2015 May 10.","Hutchison RM","Neuroimage","2015","2015/05/14","","","10.1016/j.neuroimage.2015.04.068"
"32038217","Animal Functional Magnetic Resonance Imaging: Trends and Path Toward Standardization","Mandino F, Cerri DH, Garin CM, Straathof M, van Tilborg GAF, Chakravarty MM, Dhenain M, Dijkhuizen RM, Gozzi A, Hess A, Keilholz SD, Lerch JP, Shih YI, Grandjean J.","Front Neuroinform. 2020 Jan 22;13:78. doi: 10.3389/fninf.2019.00078. eCollection 2019.","Mandino F","Front Neuroinform","2020","2020/02/11","PMC6987455","","10.3389/fninf.2019.00078"
"32882388","Toward a connectivity gradient-based framework for reproducible biomarker discovery","Hong SJ, Xu T, Nikolaidis A, Smallwood J, Margulies DS, Bernhardt B, Vogelstein J, Milham MP.","Neuroimage. 2020 Dec;223:117322. doi: 10.1016/j.neuroimage.2020.117322. Epub 2020 Sep 1.","Hong SJ","Neuroimage","2020","2020/09/04","","","10.1016/j.neuroimage.2020.117322"
"33338618","Intrinsic functional clustering of ventral premotor F5 in the macaque brain","Sharma S, Schaeffer DJ, Vinken K, Everling S, Nelissen K.","Neuroimage. 2021 Feb 15;227:117647. doi: 10.1016/j.neuroimage.2020.117647. Epub 2020 Dec 15.","Sharma S","Neuroimage","2021","2020/12/18","","","10.1016/j.neuroimage.2020.117647"
"31031580","Isoflurane-Induced Burst Suppression Increases Intrinsic Functional Connectivity of the Monkey Brain","Zhang Z, Cai DC, Wang Z, Zeljic K, Wang Z, Wang Y.","Front Neurosci. 2019 Apr 11;13:296. doi: 10.3389/fnins.2019.00296. eCollection 2019.","Zhang Z","Front Neurosci","2019","2019/04/30","PMC6470287","","10.3389/fnins.2019.00296"
"29335352","Discrete Modules and Mesoscale Functional Circuits for Thermal Nociception within Primate S1 Cortex","Yang PF, Wu R, Wu TL, Shi Z, Chen LM.","J Neurosci. 2018 Feb 14;38(7):1774-1787. doi: 10.1523/JNEUROSCI.2795-17.2017. Epub 2018 Jan 15.","Yang PF","J Neurosci","2018","2018/01/17","PMC5815457","","10.1523/JNEUROSCI.2795-17.2017"
"24121168","The helmet head restraint system: a viable solution for resting state fMRI in awake monkeys","Hadj-Bouziane F, Monfardini E, Guedj C, Gardechaux G, Hynaux C, Farnè A, Meunier M.","Neuroimage. 2014 Feb 1;86:536-43. doi: 10.1016/j.neuroimage.2013.09.068. Epub 2013 Oct 8.","Hadj-Bouziane F","Neuroimage","2014","2013/10/15","","","10.1016/j.neuroimage.2013.09.068"
