PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32898683","Ultra-high field (10.5 T) resting state fMRI in the macaque","Yacoub E, Grier MD, Auerbach EJ, Lagore RL, Harel N, Adriany G, Zilverstand A, Hayden BY, Heilbronner SR, Uğurbil K, Zimmermann J.","Neuroimage. 2020 Dec;223:117349. doi: 10.1016/j.neuroimage.2020.117349. Epub 2020 Sep 6.","Yacoub E","Neuroimage","2020","2020/09/08","PMC7745777","NIHMS1651795","10.1016/j.neuroimage.2020.117349"
"27207489","Multimodal analysis of cortical chemoarchitecture and macroscale fMRI resting-state functional connectivity","van den Heuvel MP, Scholtens LH, Turk E, Mantini D, Vanduffel W, Feldman Barrett L.","Hum Brain Mapp. 2016 Sep;37(9):3103-13. doi: 10.1002/hbm.23229. Epub 2016 May 21.","van den Heuvel MP","Hum Brain Mapp","2016","2016/05/22","PMC5111767","","10.1002/hbm.23229"
"30802514","Functional specialization of macaque premotor F5 subfields with respect to hand and mouth movements: A comparison of task and resting-state fMRI","Sharma S, Mantini D, Vanduffel W, Nelissen K.","Neuroimage. 2019 May 1;191:441-456. doi: 10.1016/j.neuroimage.2019.02.045. Epub 2019 Feb 23.","Sharma S","Neuroimage","2019","2019/02/26","","","10.1016/j.neuroimage.2019.02.045"
"32298231","Primate homologs of mouse cortico-striatal circuits","Balsters JH, Zerbi V, Sallet J, Wenderoth N, Mars RB.","Elife. 2020 Apr 16;9:e53680. doi: 10.7554/eLife.53680.","Balsters JH","Elife","2020","2020/04/17","PMC7162658","","10.7554/eLife.53680"
"24531049","Resting-state fMRI reveals functional connectivity between face-selective perirhinal cortex and the fusiform face area related to face inversion","O'Neil EB, Hutchison RM, McLean DA, Köhler S.","Neuroimage. 2014 May 15;92:349-55. doi: 10.1016/j.neuroimage.2014.02.005. Epub 2014 Feb 12.","O'Neil EB","Neuroimage","2014","2014/02/18","","","10.1016/j.neuroimage.2014.02.005"
"25970649","Functional subdivisions of medial parieto-occipital cortex in humans and nonhuman primates using resting-state fMRI","Hutchison RM, Culham JC, Flanagan JR, Everling S, Gallivan JP.","Neuroimage. 2015 Aug 1;116:10-29. doi: 10.1016/j.neuroimage.2015.04.068. Epub 2015 May 10.","Hutchison RM","Neuroimage","2015","2015/05/14","","","10.1016/j.neuroimage.2015.04.068"
"29548849","Template-based prediction of vigilance fluctuations in resting-state fMRI","Falahpour M, Chang C, Wong CW, Liu TT.","Neuroimage. 2018 Jul 1;174:317-327. doi: 10.1016/j.neuroimage.2018.03.012. Epub 2018 Mar 13.","Falahpour M","Neuroimage","2018","2018/03/18","PMC8328148","NIHMS955711","10.1016/j.neuroimage.2018.03.012"
"22298826","Functional connectivity of the frontal eye fields in humans and macaque monkeys investigated with resting-state fMRI","Hutchison RM, Gallivan JP, Culham JC, Gati JS, Menon RS, Everling S.","J Neurophysiol. 2012 May;107(9):2463-74. doi: 10.1152/jn.00891.2011. Epub 2012 Feb 1.","Hutchison RM","J Neurophysiol","2012","2012/02/03","","","10.1152/jn.00891.2011"
"27251624","Broadband Electrophysiological Dynamics Contribute to Global Resting-State fMRI Signal","Wen H, Liu Z.","J Neurosci. 2016 Jun 1;36(22):6030-40. doi: 10.1523/JNEUROSCI.0187-16.2016.","Wen H","J Neurosci","2016","2016/06/03","PMC4887567","","10.1523/JNEUROSCI.0187-16.2016"
"29398365","The Basal Forebrain Regulates Global Resting-State fMRI Fluctuations","Turchi J, Chang C, Ye FQ, Russ BE, Yu DK, Cortes CR, Monosov IE, Duyn JH, Leopold DA.","Neuron. 2018 Feb 21;97(4):940-952.e4. doi: 10.1016/j.neuron.2018.01.032. Epub 2018 Feb 1.","Turchi J","Neuron","2018","2018/02/06","PMC5823771","NIHMS935143","10.1016/j.neuron.2018.01.032"
