PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32898683","Ultra-high field (10.5 T) resting state fMRI in the macaque","Yacoub E, Grier MD, Auerbach EJ, Lagore RL, Harel N, Adriany G, Zilverstand A, Hayden BY, Heilbronner SR, Uğurbil K, Zimmermann J.","Neuroimage. 2020 Dec;223:117349. doi: 10.1016/j.neuroimage.2020.117349. Epub 2020 Sep 6.","Yacoub E","Neuroimage","2020","2020/09/08","PMC7745777","NIHMS1651795","10.1016/j.neuroimage.2020.117349"
"30478797","Low-frequency fluctuation characteristics in rhesus macaques with SIV infection: a resting-state fMRI study","Zhao J, Chen F, Ren M, Li L, Li A, Jing B, Li H.","J Neurovirol. 2019 Apr;25(2):141-149. doi: 10.1007/s13365-018-0694-5. Epub 2018 Nov 26.","Zhao J","J Neurovirol","2019","2018/11/28","","","10.1007/s13365-018-0694-5"
"29548849","Template-based prediction of vigilance fluctuations in resting-state fMRI","Falahpour M, Chang C, Wong CW, Liu TT.","Neuroimage. 2018 Jul 1;174:317-327. doi: 10.1016/j.neuroimage.2018.03.012. Epub 2018 Mar 13.","Falahpour M","Neuroimage","2018","2018/03/18","PMC8328148","NIHMS955711","10.1016/j.neuroimage.2018.03.012"
"29398365","The Basal Forebrain Regulates Global Resting-State fMRI Fluctuations","Turchi J, Chang C, Ye FQ, Russ BE, Yu DK, Cortes CR, Monosov IE, Duyn JH, Leopold DA.","Neuron. 2018 Feb 21;97(4):940-952.e4. doi: 10.1016/j.neuron.2018.01.032. Epub 2018 Feb 1.","Turchi J","Neuron","2018","2018/02/06","PMC5823771","NIHMS935143","10.1016/j.neuron.2018.01.032"
"30668705","Biological Characteristics of Connection-Wise Resting-State Functional Connectivity Strength","Pijnenburg R, Scholtens LH, Mantini D, Vanduffel W, Barrett LF, van den Heuvel MP.","Cereb Cortex. 2019 Dec 17;29(11):4646-4653. doi: 10.1093/cercor/bhy342.","Pijnenburg R","Cereb Cortex","2019","2019/01/23","PMC7049309","","10.1093/cercor/bhy342"
"33122655","Shared functional connectivity between the dorso-medial and dorso-ventral streams in macaques","Greulich RS, Adam R, Everling S, Scherberger H.","Sci Rep. 2020 Oct 29;10(1):18610. doi: 10.1038/s41598-020-75219-x.","Greulich RS","Sci Rep","2020","2020/10/30","PMC7596572","","10.1038/s41598-020-75219-x"
"33075046","Adults vs. neonates: Differentiation of functional connectivity between the basolateral amygdala and occipitotemporal cortex","Hansen HA, Li J, Saygin ZM.","PLoS One. 2020 Oct 19;15(10):e0237204. doi: 10.1371/journal.pone.0237204. eCollection 2020.","Hansen HA","PLoS One","2020","2020/10/19","PMC7571669","","10.1371/journal.pone.0237204"
"33307225","Hierarchical disruption in the cortex of anesthetized monkeys as a new signature of consciousness loss","Signorelli CM, Uhrig L, Kringelbach M, Jarraya B, Deco G.","Neuroimage. 2021 Feb 15;227:117618. doi: 10.1016/j.neuroimage.2020.117618. Epub 2020 Dec 8.","Signorelli CM","Neuroimage","2021","2020/12/11","","","10.1016/j.neuroimage.2020.117618"
"29299382","An interspecies comparative study of invasive electrophysiological functional connectivity","Casimo K, Levinson LH, Zanos S, Gkogkidis CA, Ball T, Fetz E, Weaver KE, Ojemann JG.","Brain Behav. 2017 Nov 22;7(12):e00863. doi: 10.1002/brb3.863. eCollection 2017 Dec.","Casimo K","Brain Behav","2017","2018/01/05","PMC5745242","","10.1002/brb3.863"
"33112698","Whole brain mapping of somatosensory responses in awake marmosets investigated with ultra-high-field fMRI","Cléry JC, Hori Y, Schaeffer DJ, Gati JS, Pruszynski JA, Everling S.","J Neurophysiol. 2020 Dec 1;124(6):1900-1913. doi: 10.1152/jn.00480.2020. Epub 2020 Oct 28.","Cléry JC","J Neurophysiol","2020","2020/10/28","","","10.1152/jn.00480.2020"
