PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32556184","Altered Resting-State Functional Connectivity Between Awake and Isoflurane Anesthetized Marmosets","Hori Y, Schaeffer DJ, Gilbert KM, Hayrynen LK, Cléry JC, Gati JS, Menon RS, Everling S.","Cereb Cortex. 2020 Oct 1;30(11):5943-5959. doi: 10.1093/cercor/bhaa168.","Hori Y","Cereb Cortex","2020","2020/06/20","PMC7899065","","10.1093/cercor/bhaa168"
"32817555","Divergence of rodent and primate medial frontal cortex functional connectivity","Schaeffer DJ, Hori Y, Gilbert KM, Gati JS, Menon RS, Everling S.","Proc Natl Acad Sci U S A. 2020 Sep 1;117(35):21681-21689. doi: 10.1073/pnas.2003181117. Epub 2020 Aug 17.","Schaeffer DJ","Proc Natl Acad Sci U S A","2020","2020/08/21","PMC7474619","","10.1073/pnas.2003181117"
"25970649","Functional subdivisions of medial parieto-occipital cortex in humans and nonhuman primates using resting-state fMRI","Hutchison RM, Culham JC, Flanagan JR, Everling S, Gallivan JP.","Neuroimage. 2015 Aug 1;116:10-29. doi: 10.1016/j.neuroimage.2015.04.068. Epub 2015 May 10.","Hutchison RM","Neuroimage","2015","2015/05/14","","","10.1016/j.neuroimage.2015.04.068"
"29530816","Structural and functional brain network of human retrosplenial cortex","Li P, Shan H, Liang S, Nie B, Duan S, Huang Q, Zhang T, Sun X, Feng T, Ma L, Shan B, Li D, Liu H.","Neurosci Lett. 2018 May 1;674:24-29. doi: 10.1016/j.neulet.2018.03.016. Epub 2018 Mar 9.","Li P","Neurosci Lett","2018","2018/03/14","","","10.1016/j.neulet.2018.03.016"
"33338613","Altered hippocampal-prefrontal functional network integrity in adult macaque monkeys with neonatal hippocampal lesions","Li CX, Li Z, Hu X, Zhang X, Bachevalier J.","Neuroimage. 2021 Feb 15;227:117645. doi: 10.1016/j.neuroimage.2020.117645. Epub 2020 Dec 15.","Li CX","Neuroimage","2021","2020/12/18","","","10.1016/j.neuroimage.2020.117645"
"30926817","Intrinsic functional architecture of the non-human primate spinal cord derived from fMRI and electrophysiology","Wu TL, Yang PF, Wang F, Shi Z, Mishra A, Wu R, Chen LM, Gore JC.","Nat Commun. 2019 Mar 29;10(1):1416. doi: 10.1038/s41467-019-09485-3.","Wu TL","Nat Commun","2019","2019/03/31","PMC6440970","","10.1038/s41467-019-09485-3"
"33067998","Connectivity of the Cingulate Sulcus Visual Area (CSv) in Macaque Monkeys","De Castro V, Smith AT, Beer AL, Leguen C, Vayssière N, Héjja-Brichard Y, Audurier P, Cottereau BR, Durand JB.","Cereb Cortex. 2021 Jan 5;31(2):1347-1364. doi: 10.1093/cercor/bhaa301.","De Castro V","Cereb Cortex","2021","2020/10/17","PMC7786354","","10.1093/cercor/bhaa301"
"24979343","Resting state networks distinguish human ventral tegmental area from substantia nigra","Murty VP, Shermohammed M, Smith DV, Carter RM, Huettel SA, Adcock RA.","Neuroimage. 2014 Oct 15;100:580-9. doi: 10.1016/j.neuroimage.2014.06.047. Epub 2014 Jun 27.","Murty VP","Neuroimage","2014","2014/07/01","PMC4370842","NIHMS611065","10.1016/j.neuroimage.2014.06.047"
"24133280","Large-scale brain networks in the awake, truly resting marmoset monkey","Belcher AM, Yen CC, Stepp H, Gu H, Lu H, Yang Y, Silva AC, Stein EA.","J Neurosci. 2013 Oct 16;33(42):16796-804. doi: 10.1523/JNEUROSCI.3146-13.2013.","Belcher AM","J Neurosci","2013","2013/10/18","PMC3797383","","10.1523/JNEUROSCI.3146-13.2013"
"34222873","The role of the medial prefrontal cortex in cognition, ageing and dementia","Jobson DD, Hase Y, Clarkson AN, Kalaria RN.","Brain Commun. 2021 Jun 11;3(3):fcab125. doi: 10.1093/braincomms/fcab125. eCollection 2021 Jul.","Jobson DD","Brain Commun","2021","2021/07/05","PMC8249104","","10.1093/braincomms/fcab125"
"25044934","Isoflurane induces dose-dependent alterations in the cortical connectivity profiles and dynamic properties of the brain's functional architecture","Hutchison RM, Hutchison M, Manning KY, Menon RS, Everling S.","Hum Brain Mapp. 2014 Dec;35(12):5754-75. doi: 10.1002/hbm.22583. Epub 2014 Jul 12.","Hutchison RM","Hum Brain Mapp","2014","2014/07/22","PMC6869297","","10.1002/hbm.22583"
"23446697","Functional connectivity patterns of medial and lateral macaque frontal eye fields reveal distinct visuomotor networks","Babapoor-Farrokhran S, Hutchison RM, Gati JS, Menon RS, Everling S.","J Neurophysiol. 2013 May;109(10):2560-70. doi: 10.1152/jn.01000.2012. Epub 2013 Feb 27.","Babapoor-Farrokhran S","J Neurophysiol","2013","2013/03/01","","","10.1152/jn.01000.2012"
"26515902","A cross-modal, cross-species comparison of connectivity measures in the primate brain","Reid AT, Lewis J, Bezgin G, Khundrakpam B, Eickhoff SB, McIntosh AR, Bellec P, Evans AC.","Neuroimage. 2016 Jan 15;125:311-331. doi: 10.1016/j.neuroimage.2015.10.057. Epub 2015 Oct 26.","Reid AT","Neuroimage","2016","2015/10/31","","","10.1016/j.neuroimage.2015.10.057"
"29055725","Evaluation of prolonged administration of isoflurane on cerebral blood flow and default mode network in macaque monkeys anesthetized with different maintenance doses","Li CX, Zhang X.","Neurosci Lett. 2018 Jan 1;662:402-408. doi: 10.1016/j.neulet.2017.10.034. Epub 2017 Oct 18.","Li CX","Neurosci Lett","2018","2017/10/23","PMC5722273","NIHMS919129","10.1016/j.neulet.2017.10.034"
