PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34271158","Functional networks in non-human primate spinal cord and the effects of injury","Sengupta A, Mishra A, Wang F, Li M, Yang PF, Chen LM, Gore JC.","Neuroimage. 2021 Jul 14;240:118391. doi: 10.1016/j.neuroimage.2021.118391. Online ahead of print.","Sengupta A","Neuroimage","2021","2021/07/16","","","10.1016/j.neuroimage.2021.118391"
"33408615","Dynamic Interhemispheric Desynchronization in Marmosets and Humans With Disorders of the Corpus Callosum","Szczupak D, Yen CC, Liu C, Tian X, Lent R, Tovar-Moll F, Silva AC; IRC5 Consortium.","Front Neural Circuits. 2020 Dec 21;14:612595. doi: 10.3389/fncir.2020.612595. eCollection 2020.","Szczupak D","Front Neural Circuits","2020","2021/01/07","PMC7779638","","10.3389/fncir.2020.612595"
"32659353","Functional connectivity fingerprints of the human pulvinar: Decoding its role in cognition","Guedj C, Vuilleumier P.","Neuroimage. 2020 Nov 1;221:117162. doi: 10.1016/j.neuroimage.2020.117162. Epub 2020 Jul 11.","Guedj C","Neuroimage","2020","2020/07/14","","","10.1016/j.neuroimage.2020.117162"
"28161319","Biophysical and neural basis of resting state functional connectivity: Evidence from non-human primates","Chen LM, Yang PF, Wang F, Mishra A, Shi Z, Wu R, Wu TL, Wilson GH 3rd, Ding Z, Gore JC.","Magn Reson Imaging. 2017 Jun;39:71-81. doi: 10.1016/j.mri.2017.01.020. Epub 2017 Feb 2.","Chen LM","Magn Reson Imaging","2017","2017/02/06","PMC5410395","NIHMS852391","10.1016/j.mri.2017.01.020"
"28040671","Decisional impulsivity and the associative-limbic subthalamic nucleus in obsessive-compulsive disorder: stimulation and connectivity","Voon V, Droux F, Morris L, Chabardes S, Bougerol T, David O, Krack P, Polosan M.","Brain. 2017 Feb;140(2):442-456. doi: 10.1093/brain/aww309. Epub 2016 Dec 31.","Voon V","Brain","2017","2017/01/02","PMC5278307","","10.1093/brain/aww309"
"28027960","Investigating resting-state functional connectivity in the cervical spinal cord at 3T","Eippert F, Kong Y, Winkler AM, Andersson JL, Finsterbusch J, Büchel C, Brooks JCW, Tracey I.","Neuroimage. 2017 Feb 15;147:589-601. doi: 10.1016/j.neuroimage.2016.12.072. Epub 2016 Dec 24.","Eippert F","Neuroimage","2017","2016/12/29","PMC5315056","","10.1016/j.neuroimage.2016.12.072"
"27859903","Corticostriatal connectivity fingerprints: Probability maps based on resting-state functional connectivity","Jaspers E, Balsters JH, Kassraian Fard P, Mantini D, Wenderoth N.","Hum Brain Mapp. 2017 Mar;38(3):1478-1491. doi: 10.1002/hbm.23466. Epub 2016 Nov 12.","Jaspers E","Hum Brain Mapp","2017","2016/11/19","PMC6866797","","10.1002/hbm.23466"
"27596024","Resting state network topology of the ferret brain","Zhou ZC, Salzwedel AP, Radtke-Schuller S, Li Y, Sellers KK, Gilmore JH, Shih YY, Fröhlich F, Gao W.","Neuroimage. 2016 Dec;143:70-81. doi: 10.1016/j.neuroimage.2016.09.003. Epub 2016 Sep 2.","Zhou ZC","Neuroimage","2016","2016/09/07","PMC5124532","NIHMS817278","10.1016/j.neuroimage.2016.09.003"
"25386919","Connectotyping: model based fingerprinting of the functional connectome","Miranda-Dominguez O, Mills BD, Carpenter SD, Grant KA, Kroenke CD, Nigg JT, Fair DA.","PLoS One. 2014 Nov 11;9(11):e111048. doi: 10.1371/journal.pone.0111048. eCollection 2014.","Miranda-Dominguez O","PLoS One","2014","2014/11/12","PMC4227655","","10.1371/journal.pone.0111048"
"20662902","Broca's region: linking human brain functional connectivity data and non-human primate tracing anatomy studies","Kelly C, Uddin LQ, Shehzad Z, Margulies DS, Castellanos FX, Milham MP, Petrides M.","Eur J Neurosci. 2010 Aug;32(3):383-98. doi: 10.1111/j.1460-9568.2010.07279.x. Epub 2010 Jul 21.","Kelly C","Eur J Neurosci","2010","2010/07/29","PMC3111969","NIHMS294225","10.1111/j.1460-9568.2010.07279.x"
"20589235","Identifying Basal Ganglia divisions in individuals using resting-state functional connectivity MRI","Barnes KA, Cohen AL, Power JD, Nelson SM, Dosenbach YB, Miezin FM, Petersen SE, Schlaggar BL.","Front Syst Neurosci. 2010 Jun 10;4:18. doi: 10.3389/fnsys.2010.00018. eCollection 2010.","Barnes KA","Front Syst Neurosci","2010","2010/07/01","PMC2892946","","10.3389/fnsys.2010.00018"
"19072897","Two systems of resting state connectivity between the insula and cingulate cortex","Taylor KS, Seminowicz DA, Davis KD.","Hum Brain Mapp. 2009 Sep;30(9):2731-45. doi: 10.1002/hbm.20705.","Taylor KS","Hum Brain Mapp","2009","2008/12/17","PMC6871122","","10.1002/hbm.20705"
"17604651","Mapping the functional connectivity of anterior cingulate cortex","Margulies DS, Kelly AM, Uddin LQ, Biswal BB, Castellanos FX, Milham MP.","Neuroimage. 2007 Aug 15;37(2):579-88. doi: 10.1016/j.neuroimage.2007.05.019. Epub 2007 May 24.","Margulies DS","Neuroimage","2007","2007/07/03","","","10.1016/j.neuroimage.2007.05.019"
