PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33819611","Functional parcellation of human and macaque striatum reveals human-specific connectivity in the dorsal caudate","Liu X, Eickhoff SB, Caspers S, Wu J, Genon S, Hoffstaedter F, Mars RB, Sommer IE, Eickhoff CR, Chen J, Jardri R, Reetz K, Dogan I, Aleman A, Kogler L, Gruber O, Caspers J, Mathys C, Patil KR.","Neuroimage. 2021 Jul 15;235:118006. doi: 10.1016/j.neuroimage.2021.118006. Epub 2021 Apr 2.","Liu X","Neuroimage","2021","2021/04/05","PMC8214073","","10.1016/j.neuroimage.2021.118006"
"33385552","Resting-State functional networks of different topographic representations in the somatosensory cortex of macaque monkeys and humans","Thomas J, Sharma D, Mohanta S, Jain N.","Neuroimage. 2021 Mar;228:117694. doi: 10.1016/j.neuroimage.2020.117694. Epub 2020 Dec 30.","Thomas J","Neuroimage","2021","2021/01/01","","","10.1016/j.neuroimage.2020.117694"
"32936342","Reproducing macaque lateral grasping and oculomotor networks using resting state functional connectivity and diffusion tractography","Howells H, Simone L, Borra E, Fornia L, Cerri G, Luppino G.","Brain Struct Funct. 2020 Nov;225(8):2533-2551. doi: 10.1007/s00429-020-02142-2. Epub 2020 Sep 16.","Howells H","Brain Struct Funct","2020","2020/09/16","PMC7544728","","10.1007/s00429-020-02142-2"
"32898683","Ultra-high field (10.5 T) resting state fMRI in the macaque","Yacoub E, Grier MD, Auerbach EJ, Lagore RL, Harel N, Adriany G, Zilverstand A, Hayden BY, Heilbronner SR, Uğurbil K, Zimmermann J.","Neuroimage. 2020 Dec;223:117349. doi: 10.1016/j.neuroimage.2020.117349. Epub 2020 Sep 6.","Yacoub E","Neuroimage","2020","2020/09/08","PMC7745777","NIHMS1651795","10.1016/j.neuroimage.2020.117349"
"31408715","A putative human homologue of the macaque area PEc","Pitzalis S, Serra C, Sulpizio V, Di Marco S, Fattori P, Galati G, Galletti C.","Neuroimage. 2019 Nov 15;202:116092. doi: 10.1016/j.neuroimage.2019.116092. Epub 2019 Aug 10.","Pitzalis S","Neuroimage","2019","2019/08/14","","","10.1016/j.neuroimage.2019.116092"
"30668705","Biological Characteristics of Connection-Wise Resting-State Functional Connectivity Strength","Pijnenburg R, Scholtens LH, Mantini D, Vanduffel W, Barrett LF, van den Heuvel MP.","Cereb Cortex. 2019 Dec 17;29(11):4646-4653. doi: 10.1093/cercor/bhy342.","Pijnenburg R","Cereb Cortex","2019","2019/01/23","PMC7049309","","10.1093/cercor/bhy342"
"30547311","Gradients of connectivity distance in the cerebral cortex of the macaque monkey","Oligschläger S, Xu T, Baczkowski BM, Falkiewicz M, Falchier A, Linn G, Margulies DS.","Brain Struct Funct. 2019 Mar;224(2):925-935. doi: 10.1007/s00429-018-1811-1. Epub 2018 Dec 13.","Oligschläger S","Brain Struct Funct","2019","2018/12/15","PMC6420469","","10.1007/s00429-018-1811-1"
"30470895","Mapping multiple principles of parietal-frontal cortical organization using functional connectivity","Vijayakumar S, Sallet J, Verhagen L, Folloni D, Medendorp WP, Mars RB.","Brain Struct Funct. 2019 Mar;224(2):681-697. doi: 10.1007/s00429-018-1791-1. Epub 2018 Nov 23.","Vijayakumar S","Brain Struct Funct","2019","2018/11/25","PMC6420483","","10.1007/s00429-018-1791-1"
"29437980","Temporal-prefrontal cortical network for discrimination of valuable objects in long-term memory","Ghazizadeh A, Griggs W, Leopold DA, Hikosaka O.","Proc Natl Acad Sci U S A. 2018 Feb 27;115(9):E2135-E2144. doi: 10.1073/pnas.1707695115. Epub 2018 Feb 1.","Ghazizadeh A","Proc Natl Acad Sci U S A","2018","2018/02/14","PMC5834664","","10.1073/pnas.1707695115"
"28184415","A Systematic Relationship Between Functional Connectivity and Intracortical Myelin in the Human Cerebral Cortex","Huntenburg JM, Bazin PL, Goulas A, Tardif CL, Villringer A, Margulies DS.","Cereb Cortex. 2017 Feb 1;27(2):981-997. doi: 10.1093/cercor/bhx030.","Huntenburg JM","Cereb Cortex","2017","2017/02/11","PMC5390400","","10.1093/cercor/bhx030"
"27207489","Multimodal analysis of cortical chemoarchitecture and macroscale fMRI resting-state functional connectivity","van den Heuvel MP, Scholtens LH, Turk E, Mantini D, Vanduffel W, Feldman Barrett L.","Hum Brain Mapp. 2016 Sep;37(9):3103-13. doi: 10.1002/hbm.23229. Epub 2016 May 21.","van den Heuvel MP","Hum Brain Mapp","2016","2016/05/22","PMC5111767","","10.1002/hbm.23229"
"28590676","Parcellations and Connectivity Patterns in Human and Macaque Cerebral Cortex","Van Essen DC, Donahue C, Dierker DL, Glasser MF.","2016 Mar 11. In: Kennedy H, Van Essen DC, Christen Y, editors. Micro-, Meso- and Macro-Connectomics of the Brain [Internet]. Cham (CH): Springer; 2016.","Van Essen DC","Micro-, Meso- and Macro-Connectomics of the Brain","2016","2016/03/11","","","10.1007/978-3-319-27777-6_7"
"26613367","Subdivision of Broca's region based on individual-level functional connectivity","Jakobsen E, Böttger J, Bellec P, Geyer S, Rübsamen R, Petrides M, Margulies DS.","Eur J Neurosci. 2016 Feb;43(4):561-71. doi: 10.1111/ejn.13140.","Jakobsen E","Eur J Neurosci","2016","2015/11/28","","","10.1111/ejn.13140"
