PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32539526","Diagnostic Classification for Human Autism and Obsessive-Compulsive Disorder Based on Machine Learning From a Primate Genetic Model","Zhan Y, Wei J, Liang J, Xu X, He R, Robbins TW, Wang Z.","Am J Psychiatry. 2021 Jan 1;178(1):65-76. doi: 10.1176/appi.ajp.2020.19101091. Epub 2020 Jun 16.","Zhan Y","Am J Psychiatry","2021","2020/06/17","","","10.1176/appi.ajp.2020.19101091"
"30924264","Egomotion-related visual areas respond to active leg movements","Serra C, Galletti C, Di Marco S, Fattori P, Galati G, Sulpizio V, Pitzalis S.","Hum Brain Mapp. 2019 Aug 1;40(11):3174-3191. doi: 10.1002/hbm.24589. Epub 2019 Mar 28.","Serra C","Hum Brain Mapp","2019","2019/03/30","PMC6865514","","10.1002/hbm.24589"
"30547311","Gradients of connectivity distance in the cerebral cortex of the macaque monkey","Oligschläger S, Xu T, Baczkowski BM, Falkiewicz M, Falchier A, Linn G, Margulies DS.","Brain Struct Funct. 2019 Mar;224(2):925-935. doi: 10.1007/s00429-018-1811-1. Epub 2018 Dec 13.","Oligschläger S","Brain Struct Funct","2019","2018/12/15","PMC6420469","","10.1007/s00429-018-1811-1"
"29437980","Temporal-prefrontal cortical network for discrimination of valuable objects in long-term memory","Ghazizadeh A, Griggs W, Leopold DA, Hikosaka O.","Proc Natl Acad Sci U S A. 2018 Feb 27;115(9):E2135-E2144. doi: 10.1073/pnas.1707695115. Epub 2018 Feb 1.","Ghazizadeh A","Proc Natl Acad Sci U S A","2018","2018/02/14","PMC5834664","","10.1073/pnas.1707695115"
"29308987","Evidence for a Functional Hierarchy of Association Networks","Choi EY, Drayna GK, Badre D.","J Cogn Neurosci. 2018 May;30(5):722-736. doi: 10.1162/jocn_a_01229. Epub 2018 Jan 8.","Choi EY","J Cogn Neurosci","2018","2018/01/09","","","10.1162/jocn_a_01229"
"28539914","Functional Connectivity Mapping in the Animal Model: Principles and Applications of Resting-State fMRI","Gorges M, Roselli F, Müller HP, Ludolph AC, Rasche V, Kassubek J.","Front Neurol. 2017 May 10;8:200. doi: 10.3389/fneur.2017.00200. eCollection 2017.","Gorges M","Front Neurol","2017","2017/05/26","PMC5423907","","10.3389/fneur.2017.00200"
"28461059","High-resolution functional MRI identified distinct global intrinsic functional networks of nociceptive posterior insula and S2 regions in squirrel monkey brain","Wu R, Wang F, Yang PF, Chen LM.","Neuroimage. 2017 Jul 15;155:147-158. doi: 10.1016/j.neuroimage.2017.04.067. Epub 2017 Apr 28.","Wu R","Neuroimage","2017","2017/05/03","PMC6104393","NIHMS983774","10.1016/j.neuroimage.2017.04.067"
"28255676","Human orbital and anterior medial prefrontal cortex: Intrinsic connectivity parcellation and functional organization","Samara Z, Evers EAT, Goulas A, Uylings HBM, Rajkowska G, Ramaekers JG, Stiers P.","Brain Struct Funct. 2017 Sep;222(7):2941-2960. doi: 10.1007/s00429-017-1378-2. Epub 2017 Mar 2.","Samara Z","Brain Struct Funct","2017","2017/03/04","PMC5581738","NIHMS864697","10.1007/s00429-017-1378-2"
"28184415","A Systematic Relationship Between Functional Connectivity and Intracortical Myelin in the Human Cerebral Cortex","Huntenburg JM, Bazin PL, Goulas A, Tardif CL, Villringer A, Margulies DS.","Cereb Cortex. 2017 Feb 1;27(2):981-997. doi: 10.1093/cercor/bhx030.","Huntenburg JM","Cereb Cortex","2017","2017/02/11","PMC5390400","","10.1093/cercor/bhx030"
"28161319","Biophysical and neural basis of resting state functional connectivity: Evidence from non-human primates","Chen LM, Yang PF, Wang F, Mishra A, Shi Z, Wu R, Wu TL, Wilson GH 3rd, Ding Z, Gore JC.","Magn Reson Imaging. 2017 Jun;39:71-81. doi: 10.1016/j.mri.2017.01.020. Epub 2017 Feb 2.","Chen LM","Magn Reson Imaging","2017","2017/02/06","PMC5410395","NIHMS852391","10.1016/j.mri.2017.01.020"
