PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26117702","Alteration of brain regional homogeneity of monkeys with spinal cord injury: A longitudinal resting-state functional magnetic resonance imaging study","Rao JS, Ma M, Zhao C, Liu Z, Yang ZY, Li XG.","Magn Reson Imaging. 2015 Nov;33(9):1156-1162. doi: 10.1016/j.mri.2015.06.011. Epub 2015 Jun 25.","Rao JS","Magn Reson Imaging","2015","2015/06/29","","","10.1016/j.mri.2015.06.011"
"31731911","Cingulate role in Tourette syndrome","O'Neill J, Piacentini JC, Peterson BS.","Handb Clin Neurol. 2019;166:165-221. doi: 10.1016/B978-0-444-64196-0.00011-X.","O'Neill J","Handb Clin Neurol","2019","2019/11/17","","","10.1016/B978-0-444-64196-0.00011-X"
"28755862","Ketamine changes the local resting-state functional properties of anesthetized-monkey brain","Rao JS, Liu Z, Zhao C, Wei RH, Zhao W, Tian PY, Zhou X, Yang ZY, Li XG.","Magn Reson Imaging. 2017 Nov;43:144-150. doi: 10.1016/j.mri.2017.07.025. Epub 2017 Jul 26.","Rao JS","Magn Reson Imaging","2017","2017/07/31","","","10.1016/j.mri.2017.07.025"
"30873000","Brain Map of Intrinsic Functional Flexibility in Anesthetized Monkeys and Awake Humans","Yin D, Zhang Z, Wang Z, Zeljic K, Lv Q, Cai D, Wang Y, Wang Z.","Front Neurosci. 2019 Feb 28;13:174. doi: 10.3389/fnins.2019.00174. eCollection 2019.","Yin D","Front Neurosci","2019","2019/03/16","PMC6403192","","10.3389/fnins.2019.00174"
"33427167","Developmental outcomes of early adverse care on amygdala functional connectivity in nonhuman primates","Morin EL, Howell BR, Feczko E, Earl E, Pincus M, Reding K, Kovacs-Balint ZA, Meyer JS, Styner M, Fair D, Sanchez MM.","Dev Psychopathol. 2020 Dec;32(5):1579-1596. doi: 10.1017/S0954579420001133.","Morin EL","Dev Psychopathol","2020","2021/01/11","","","10.1017/S0954579420001133"
"28842187","Connectome-scale functional intrinsic connectivity networks in macaques","Zhang W, Jiang X, Zhang S, Howell BR, Zhao Y, Zhang T, Guo L, Sanchez MM, Hu X, Liu T.","Neuroscience. 2017 Nov 19;364:1-14. doi: 10.1016/j.neuroscience.2017.08.022. Epub 2017 Aug 24.","Zhang W","Neuroscience","2017","2017/08/27","PMC5653451","NIHMS901360","10.1016/j.neuroscience.2017.08.022"
"23919836","Anti-correlated cortical networks of intrinsic connectivity in the rat brain","Schwarz AJ, Gass N, Sartorius A, Risterucci C, Spedding M, Schenker E, Meyer-Lindenberg A, Weber-Fahr W.","Brain Connect. 2013;3(5):503-11. doi: 10.1089/brain.2013.0168. Epub 2013 Sep 26.","Schwarz AJ","Brain Connect","2013","2013/08/08","PMC3796325","","10.1089/brain.2013.0168"
"28003408","Intrinsic functional architecture of the macaque dorsal and ventral lateral frontal cortex","Goulas A, Stiers P, Hutchison RM, Everling S, Petrides M, Margulies DS.","J Neurophysiol. 2017 Mar 1;117(3):1084-1099. doi: 10.1152/jn.00486.2016. Epub 2016 Dec 21.","Goulas A","J Neurophysiol","2017","2016/12/23","PMC5340881","","10.1152/jn.00486.2016"
"30530862","Intrinsic Functional Boundaries of Lateral Frontal Cortex in the Common Marmoset Monkey","Schaeffer DJ, Gilbert KM, Gati JS, Menon RS, Everling S.","J Neurosci. 2019 Feb 6;39(6):1020-1029. doi: 10.1523/JNEUROSCI.2595-18.2018. Epub 2018 Dec 10.","Schaeffer DJ","J Neurosci","2019","2018/12/12","PMC6363921","","10.1523/JNEUROSCI.2595-18.2018"
"27600848","Boosting Norepinephrine Transmission Triggers Flexible Reconfiguration of Brain Networks at Rest","Guedj C, Monfardini E, Reynaud AJ, Farnè A, Meunier M, Hadj-Bouziane F.","Cereb Cortex. 2017 Oct 1;27(10):4691-4700. doi: 10.1093/cercor/bhw262.","Guedj C","Cereb Cortex","2017","2016/09/08","","","10.1093/cercor/bhw262"
"26706280","Longitudinal evaluation of functional connectivity variation in the monkey sensorimotor network induced by spinal cord injury","Rao JS, Liu Z, Zhao C, Wei RH, Zhao W, Yang ZY, Li XG.","Acta Physiol (Oxf). 2016 Jun;217(2):164-73. doi: 10.1111/apha.12645. Epub 2016 Jan 13.","Rao JS","Acta Physiol (Oxf)","2016","2015/12/27","","","10.1111/apha.12645"
"33822908","Brain Activity Fluctuations Propagate as Waves Traversing the Cortical Hierarchy","Gu Y, Sainburg LE, Kuang S, Han F, Williams JW, Liu Y, Zhang N, Zhang X, Leopold DA, Liu X.","Cereb Cortex. 2021 Jul 29;31(9):3986-4005. doi: 10.1093/cercor/bhab064.","Gu Y","Cereb Cortex","2021","2021/04/06","","","10.1093/cercor/bhab064"
