PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31039559","Brain Connectivity in Ateles geoffroyi: Resting-State Functional Magnetic Resonance Imaging of Working Memory and Executive Control","Platas-Neri D, Hidalgo-Tobón S, Chico-Ponce de León F, Muñoz-Delgado J, Phillips KA, Téllez-Alanís B, Villanueva-Valle J, de Celis Alonso B.","Brain Behav Evol. 2019;93(1):19-33. doi: 10.1159/000499177. Epub 2019 Apr 30.","Platas-Neri D","Brain Behav Evol","2019","2019/05/01","","","10.1159/000499177"
"26117702","Alteration of brain regional homogeneity of monkeys with spinal cord injury: A longitudinal resting-state functional magnetic resonance imaging study","Rao JS, Ma M, Zhao C, Liu Z, Yang ZY, Li XG.","Magn Reson Imaging. 2015 Nov;33(9):1156-1162. doi: 10.1016/j.mri.2015.06.011. Epub 2015 Jun 25.","Rao JS","Magn Reson Imaging","2015","2015/06/29","","","10.1016/j.mri.2015.06.011"
"33420330","Chimpanzee histology and functional brain imaging show that the paracingulate sulcus is not human-specific","Amiez C, Sallet J, Novek J, Hadj-Bouziane F, Giacometti C, Andersson J, Hopkins WD, Petrides M.","Commun Biol. 2021 Jan 8;4(1):54. doi: 10.1038/s42003-020-01571-3.","Amiez C","Commun Biol","2021","2021/01/09","PMC7794552","","10.1038/s42003-020-01571-3"
"28069917","Dopamine Modulates the Functional Organization of the Orbitofrontal Cortex","Kahnt T, Tobler PN.","J Neurosci. 2017 Feb 8;37(6):1493-1504. doi: 10.1523/JNEUROSCI.2827-16.2016. Epub 2017 Jan 9.","Kahnt T","J Neurosci","2017","2017/01/11","PMC5299568","","10.1523/JNEUROSCI.2827-16.2016"
"24530271","Parkinson׳s disease-related modulation of functional connectivity associated with the striatum in the resting state in a nonhuman primate model","Li J, Luo C, Chen Y, Chen Q, Huang R, Sun J, Gong Q, Wu X, Qi Z, Liang Z, Li L, Li H, Li P, Wang W, Shang HF.","Brain Res. 2014 Mar 25;1555:10-9. doi: 10.1016/j.brainres.2014.01.054. Epub 2014 Feb 13.","Li J","Brain Res","2014","2014/02/18","","","10.1016/j.brainres.2014.01.054"
"24164166","Graphs of brain networks","Zahr NM.","Alcohol Clin Exp Res. 2013 Nov;37(11):1813-5. doi: 10.1111/acer.12293.","Zahr NM","Alcohol Clin Exp Res","2013","2013/10/30","PMC8146133","NIHMS1699229","10.1111/acer.12293"
"30530862","Intrinsic Functional Boundaries of Lateral Frontal Cortex in the Common Marmoset Monkey","Schaeffer DJ, Gilbert KM, Gati JS, Menon RS, Everling S.","J Neurosci. 2019 Feb 6;39(6):1020-1029. doi: 10.1523/JNEUROSCI.2595-18.2018. Epub 2018 Dec 10.","Schaeffer DJ","J Neurosci","2019","2018/12/12","PMC6363921","","10.1523/JNEUROSCI.2595-18.2018"
"21576110","Lesion evidence for the critical role of the intraparietal sulcus in spatial attention","Gillebert CR, Mantini D, Thijs V, Sunaert S, Dupont P, Vandenberghe R.","Brain. 2011 Jun;134(Pt 6):1694-709. doi: 10.1093/brain/awr085. Epub 2011 May 15.","Gillebert CR","Brain","2011","2011/05/18","","","10.1093/brain/awr085"
"25833027","The effects of chronic alcohol self-administration in nonhuman primate brain networks","Telesford QK, Laurienti PJ, Davenport AT, Friedman DP, Kraft RA, Daunais JB.","Alcohol Clin Exp Res. 2015 Apr;39(4):659-71. doi: 10.1111/acer.12688.","Telesford QK","Alcohol Clin Exp Res","2015","2015/04/03","PMC6724209","NIHMS659294","10.1111/acer.12688"
"26706280","Longitudinal evaluation of functional connectivity variation in the monkey sensorimotor network induced by spinal cord injury","Rao JS, Liu Z, Zhao C, Wei RH, Zhao W, Yang ZY, Li XG.","Acta Physiol (Oxf). 2016 Jun;217(2):164-73. doi: 10.1111/apha.12645. Epub 2016 Jan 13.","Rao JS","Acta Physiol (Oxf)","2016","2015/12/27","","","10.1111/apha.12645"
"33495547","Long-term effects of intermittent early life stress on primate prefrontal-subcortical functional connectivity","Yuan R, Nechvatal JM, Buckmaster CL, Ayash S, Parker KJ, Schatzberg AF, Lyons DM, Menon V.","Neuropsychopharmacology. 2021 Jun;46(7):1348-1356. doi: 10.1038/s41386-021-00956-0. Epub 2021 Jan 25.","Yuan R","Neuropsychopharmacology","2021","2021/01/26","PMC8134590","","10.1038/s41386-021-00956-0"
