PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31039559","Brain Connectivity in Ateles geoffroyi: Resting-State Functional Magnetic Resonance Imaging of Working Memory and Executive Control","Platas-Neri D, Hidalgo-Tobón S, Chico-Ponce de León F, Muñoz-Delgado J, Phillips KA, Téllez-Alanís B, Villanueva-Valle J, de Celis Alonso B.","Brain Behav Evol. 2019;93(1):19-33. doi: 10.1159/000499177. Epub 2019 Apr 30.","Platas-Neri D","Brain Behav Evol","2019","2019/05/01","","","10.1159/000499177"
"30879997","Integrated radiofrequency array and animal holder design for minimizing head motion during awake marmoset functional magnetic resonance imaging","Schaeffer DJ, Gilbert KM, Hori Y, Gati JS, Menon RS, Everling S.","Neuroimage. 2019 Jun;193:126-138. doi: 10.1016/j.neuroimage.2019.03.023. Epub 2019 Mar 15.","Schaeffer DJ","Neuroimage","2019","2019/03/19","","","10.1016/j.neuroimage.2019.03.023"
"32981657","Converging Structural and Functional Evidence for a Rat Salience Network","Tsai PJ, Keeley RJ, Carmack SA, Vendruscolo JCM, Lu H, Gu H, Vendruscolo LF, Koob GF, Lin CP, Stein EA, Yang Y.","Biol Psychiatry. 2020 Dec 1;88(11):867-878. doi: 10.1016/j.biopsych.2020.06.023. Epub 2020 Jul 2.","Tsai PJ","Biol Psychiatry","2020","2020/09/28","","","10.1016/j.biopsych.2020.06.023"
"28755862","Ketamine changes the local resting-state functional properties of anesthetized-monkey brain","Rao JS, Liu Z, Zhao C, Wei RH, Zhao W, Tian PY, Zhou X, Yang ZY, Li XG.","Magn Reson Imaging. 2017 Nov;43:144-150. doi: 10.1016/j.mri.2017.07.025. Epub 2017 Jul 26.","Rao JS","Magn Reson Imaging","2017","2017/07/31","","","10.1016/j.mri.2017.07.025"
"26290449","Resting-state functional connectivity in the baboon model of genetic generalized epilepsy","Salinas FS, Szabó CÁ.","Epilepsia. 2015 Oct;56(10):1580-9. doi: 10.1111/epi.13115. Epub 2015 Aug 20.","Salinas FS","Epilepsia","2015","2015/08/21","PMC4593742","NIHMS708606","10.1111/epi.13115"
"29352154","Resting state brain networks in the prairie vole","Ortiz JJ, Portillo W, Paredes RG, Young LJ, Alcauter S.","Sci Rep. 2018 Jan 19;8(1):1231. doi: 10.1038/s41598-017-17610-9.","Ortiz JJ","Sci Rep","2018","2018/01/21","PMC5775431","","10.1038/s41598-017-17610-9"
"29496614","Segregation of the human basal forebrain using resting state functional MRI","Markello RD, Spreng RN, Luh WM, Anderson AK, De Rosa E.","Neuroimage. 2018 Jun;173:287-297. doi: 10.1016/j.neuroimage.2018.02.042. Epub 2018 Feb 26.","Markello RD","Neuroimage","2018","2018/03/03","","","10.1016/j.neuroimage.2018.02.042"
"28032008","Effects of isoflurane anesthesia on resting-state fMRI signals and functional connectivity within primary somatosensory cortex of monkeys","Wu TL, Mishra A, Wang F, Yang PF, Gore JC, Chen LM.","Brain Behav. 2016 Oct 11;6(12):e00591. doi: 10.1002/brb3.591. eCollection 2016 Dec.","Wu TL","Brain Behav","2016","2016/12/30","PMC5167001","","10.1002/brb3.591"
"31649271","Resting-state fMRI data of awake dogs (Canis familiaris) via group-level independent component analysis reveal multiple, spatially distributed resting-state networks","Szabó D, Czeibert K, Kettinger Á, Gácsi M, Andics A, Miklósi Á, Kubinyi E.","Sci Rep. 2019 Oct 24;9(1):15270. doi: 10.1038/s41598-019-51752-2.","Szabó D","Sci Rep","2019","2019/10/26","PMC6813298","","10.1038/s41598-019-51752-2"
"31219563","From Synchrony to Asynchrony: Cerebellar-Basal Ganglia Functional Circuits in Young and Older Adults","Hausman HK, Jackson TB, Goen JRM, Bernard JA.","Cereb Cortex. 2020 Mar 21;30(2):718-729. doi: 10.1093/cercor/bhz121.","Hausman HK","Cereb Cortex","2020","2019/06/21","","","10.1093/cercor/bhz121"
