PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25970649","Functional subdivisions of medial parieto-occipital cortex in humans and nonhuman primates using resting-state fMRI","Hutchison RM, Culham JC, Flanagan JR, Everling S, Gallivan JP.","Neuroimage. 2015 Aug 1;116:10-29. doi: 10.1016/j.neuroimage.2015.04.068. Epub 2015 May 10.","Hutchison RM","Neuroimage","2015","2015/05/14","","","10.1016/j.neuroimage.2015.04.068"
"28716961","Structural Basis of Large-Scale Functional Connectivity in the Mouse","Grandjean J, Zerbi V, Balsters JH, Wenderoth N, Rudin M.","J Neurosci. 2017 Aug 23;37(34):8092-8101. doi: 10.1523/JNEUROSCI.0438-17.2017. Epub 2017 Jul 17.","Grandjean J","J Neurosci","2017","2017/07/19","PMC6596781","","10.1523/JNEUROSCI.0438-17.2017"
"31219563","From Synchrony to Asynchrony: Cerebellar-Basal Ganglia Functional Circuits in Young and Older Adults","Hausman HK, Jackson TB, Goen JRM, Bernard JA.","Cereb Cortex. 2020 Mar 21;30(2):718-729. doi: 10.1093/cercor/bhz121.","Hausman HK","Cereb Cortex","2020","2019/06/21","","","10.1093/cercor/bhz121"
"23831413","Ferumoxytol enhanced resting state fMRI and relative cerebral blood volume mapping in normal human brain","D'Arceuil H, Coimbra A, Triano P, Dougherty M, Mello J, Moseley M, Glover G, Lansberg M, Blankenberg F.","Neuroimage. 2013 Dec;83:200-9. doi: 10.1016/j.neuroimage.2013.06.066. Epub 2013 Jul 3.","D'Arceuil H","Neuroimage","2013","2013/07/09","PMC3815982","NIHMS502492","10.1016/j.neuroimage.2013.06.066"
"27587999","Off to a Good Start: The Early Development of the Neural Substrates Underlying Visual Working Memory","Fitch A, Smith H, Guillory SB, Kaldy Z.","Front Syst Neurosci. 2016 Aug 18;10:68. doi: 10.3389/fnsys.2016.00068. eCollection 2016.","Fitch A","Front Syst Neurosci","2016","2016/09/03","PMC4989029","","10.3389/fnsys.2016.00068"
"30419289","Intrinsic functional clustering of anterior cingulate cortex in the common marmoset","Schaeffer DJ, Gilbert KM, Ghahremani M, Gati JS, Menon RS, Everling S.","Neuroimage. 2019 Feb 1;186:301-307. doi: 10.1016/j.neuroimage.2018.11.005. Epub 2018 Nov 10.","Schaeffer DJ","Neuroimage","2019","2018/11/13","","","10.1016/j.neuroimage.2018.11.005"
"28755862","Ketamine changes the local resting-state functional properties of anesthetized-monkey brain","Rao JS, Liu Z, Zhao C, Wei RH, Zhao W, Tian PY, Zhou X, Yang ZY, Li XG.","Magn Reson Imaging. 2017 Nov;43:144-150. doi: 10.1016/j.mri.2017.07.025. Epub 2017 Jul 26.","Rao JS","Magn Reson Imaging","2017","2017/07/31","","","10.1016/j.mri.2017.07.025"
"26290449","Resting-state functional connectivity in the baboon model of genetic generalized epilepsy","Salinas FS, Szabó CÁ.","Epilepsia. 2015 Oct;56(10):1580-9. doi: 10.1111/epi.13115. Epub 2015 Aug 20.","Salinas FS","Epilepsia","2015","2015/08/21","PMC4593742","NIHMS708606","10.1111/epi.13115"
"29496614","Segregation of the human basal forebrain using resting state functional MRI","Markello RD, Spreng RN, Luh WM, Anderson AK, De Rosa E.","Neuroimage. 2018 Jun;173:287-297. doi: 10.1016/j.neuroimage.2018.02.042. Epub 2018 Feb 26.","Markello RD","Neuroimage","2018","2018/03/03","","","10.1016/j.neuroimage.2018.02.042"
"31649271","Resting-state fMRI data of awake dogs (Canis familiaris) via group-level independent component analysis reveal multiple, spatially distributed resting-state networks","Szabó D, Czeibert K, Kettinger Á, Gácsi M, Andics A, Miklósi Á, Kubinyi E.","Sci Rep. 2019 Oct 24;9(1):15270. doi: 10.1038/s41598-019-51752-2.","Szabó D","Sci Rep","2019","2019/10/26","PMC6813298","","10.1038/s41598-019-51752-2"
