PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34341967","Unveiling the neural underpinnings of optimism: a systematic review","Erthal F, Bastos A, Vilete L, Oliveira L, Pereira M, Mendlowicz M, Volchan E, Figueira I.","Cogn Affect Behav Neurosci. 2021 Aug 2. doi: 10.3758/s13415-021-00931-8. Online ahead of print.","Erthal F","Cogn Affect Behav Neurosci","2021","2021/08/03","","","10.3758/s13415-021-00931-8"
"34273134","Structure, function and connectivity fingerprints of the frontal eye field versus the inferior frontal junction: A comprehensive comparison","Bedini M, Baldauf D.","Eur J Neurosci. 2021 Jul 17. doi: 10.1111/ejn.15393. Online ahead of print.","Bedini M","Eur J Neurosci","2021","2021/07/17","","","10.1111/ejn.15393"
"34271158","Functional networks in non-human primate spinal cord and the effects of injury","Sengupta A, Mishra A, Wang F, Li M, Yang PF, Chen LM, Gore JC.","Neuroimage. 2021 Jul 14;240:118391. doi: 10.1016/j.neuroimage.2021.118391. Online ahead of print.","Sengupta A","Neuroimage","2021","2021/07/16","","","10.1016/j.neuroimage.2021.118391"
"34215969","Topography of Visual Features in the Human Ventral Visual Pathway","Fan S, Wang X, Wang X, Wei T, Bi Y.","Neurosci Bull. 2021 Jul 2. doi: 10.1007/s12264-021-00734-4. Online ahead of print.","Fan S","Neurosci Bull","2021","2021/07/03","","","10.1007/s12264-021-00734-4"
"34048898","Common functional localizers to enhance NHP & cross-species neuroscience imaging research","Russ BE, Petkov CI, Kwok SC, Zhu Q, Belin P, Vanduffel W, Hamed SB.","Neuroimage. 2021 Aug 15;237:118203. doi: 10.1016/j.neuroimage.2021.118203. Epub 2021 May 25.","Russ BE","Neuroimage","2021","2021/05/28","","","10.1016/j.neuroimage.2021.118203"
"34011626","Na(v)1.7 target modulation and efficacy can be measured in nonhuman primate assays","Kraus RL, Zhao F, Pall PS, Zhou D, Vardigan JD, Danziger A, Li Y, Daley C, Ballard JE, Clements MK, Klein RM, Holahan MA, Greshock TJ, Kim RM, Layton ME, Burgey CS, Serra J, Henze DA, Houghton AK.","Sci Transl Med. 2021 May 19;13(594):eaay1050. doi: 10.1126/scitranslmed.aay1050.","Kraus RL","Sci Transl Med","2021","2021/05/20","","","10.1126/scitranslmed.aay1050"
"33945242","A thermal nociceptive patch in S2 cortex of nonhuman primates: a combined fMRI and electrophysiology study","Ye X, Yang PF, Liu Q, Dillenburger BD, Friedman RM, Chen LM.","Pain. 2021 Feb 23. doi: 10.1097/j.pain.0000000000002247. Online ahead of print.","Ye X","Pain","2021","2021/05/04","","","10.1097/j.pain.0000000000002247"
"33878384","Mapping functional gradients of the striatal circuit using simultaneous microelectric stimulation and ultrahigh-field fMRI in non-human primates","Han MJ, Park CU, Kang S, Kim B, Nikolaidis A, Milham MP, Hong SJ, Kim SG, Baeg E.","Neuroimage. 2021 Aug 1;236:118077. doi: 10.1016/j.neuroimage.2021.118077. Epub 2021 Apr 18.","Han MJ","Neuroimage","2021","2021/04/20","","","10.1016/j.neuroimage.2021.118077"
"33853400","Pharmacological modulation of brain activation to non-noxious stimulation in a cynomolgus macaque model of peripheral nerve injury","Hama A, Yano M, Sotogawa W, Fujii R, Awaga Y, Natsume T, Hayashi I, Takamatsu H.","Mol Pain. 2021 Jan-Dec;17:17448069211008697. doi: 10.1177/17448069211008697.","Hama A","Mol Pain","2021","2021/04/15","PMC8053757","","10.1177/17448069211008697"
"33839768","The Brain Circuits and Dynamics of Curiosity-Driven Behavior in Naturally Curious Marmosets","Tian X, Silva AC, Liu C.","Cereb Cortex. 2021 Jul 29;31(9):4220-4232. doi: 10.1093/cercor/bhab080.","Tian X","Cereb Cortex","2021","2021/04/11","","","10.1093/cercor/bhab080"
