PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34215969","Topography of Visual Features in the Human Ventral Visual Pathway","Fan S, Wang X, Wang X, Wei T, Bi Y.","Neurosci Bull. 2021 Jul 2. doi: 10.1007/s12264-021-00734-4. Online ahead of print.","Fan S","Neurosci Bull","2021","2021/07/03","","","10.1007/s12264-021-00734-4"
"33945242","A thermal nociceptive patch in S2 cortex of nonhuman primates: a combined fMRI and electrophysiology study","Ye X, Yang PF, Liu Q, Dillenburger BD, Friedman RM, Chen LM.","Pain. 2021 Feb 23. doi: 10.1097/j.pain.0000000000002247. Online ahead of print.","Ye X","Pain","2021","2021/05/04","","","10.1097/j.pain.0000000000002247"
"33839768","The Brain Circuits and Dynamics of Curiosity-Driven Behavior in Naturally Curious Marmosets","Tian X, Silva AC, Liu C.","Cereb Cortex. 2021 Jul 29;31(9):4220-4232. doi: 10.1093/cercor/bhab080.","Tian X","Cereb Cortex","2021","2021/04/11","","","10.1093/cercor/bhab080"
"33770531","GABA levels in ventral visual cortex decline with age and are associated with neural distinctiveness","Chamberlain JD, Gagnon H, Lalwani P, Cassady KE, Simmonite M, Seidler RD, Taylor SF, Weissman DH, Park DC, Polk TA.","Neurobiol Aging. 2021 Jun;102:170-177. doi: 10.1016/j.neurobiolaging.2021.02.013. Epub 2021 Feb 26.","Chamberlain JD","Neurobiol Aging","2021","2021/03/26","PMC8205971","NIHMS1686882","10.1016/j.neurobiolaging.2021.02.013"
"33745141","The mouth matters most: A functional magnetic resonance imaging study of how dogs perceive inanimate objects","Prichard A, Chhibber R, Athanassiades K, Chiu V, Spivak M, Berns GS.","J Comp Neurol. 2021 Aug 1;529(11):2987-2994. doi: 10.1002/cne.25142. Epub 2021 Mar 25.","Prichard A","J Comp Neurol","2021","2021/03/21","","","10.1002/cne.25142"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33268770","Effects of long-term cocaine self-administration on brain resting-state functional connectivity in nonhuman primates","Kohut SJ, Mintzopoulos D, Kangas BD, Shields H, Brown K, Gillis TE, Rohan ML, Bergman J, Kaufman MJ.","Transl Psychiatry. 2020 Dec 2;10(1):420. doi: 10.1038/s41398-020-01101-z.","Kohut SJ","Transl Psychiatry","2020","2020/12/03","PMC7710734","","10.1038/s41398-020-01101-z"
"33240053","Segregated Co-activation Patterns in the Emergence of Decision Confidence During Visual Perception","Jaeger C, Glim S, Dimulescu C, Ries A, Sorg C, Wohlschläger A.","Front Syst Neurosci. 2020 Nov 10;14:557693. doi: 10.3389/fnsys.2020.557693. eCollection 2020.","Jaeger C","Front Syst Neurosci","2020","2020/11/26","PMC7683611","","10.3389/fnsys.2020.557693"
"33137475","The macaque brain ONPRC18 template with combined gray and white matter labelmap for multimodal neuroimaging studies of Nonhuman Primates","Weiss AR, Liu Z, Wang X, Liguore WA, Kroenke CD, McBride JL.","Neuroimage. 2021 Jan 15;225:117517. doi: 10.1016/j.neuroimage.2020.117517. Epub 2020 Nov 1.","Weiss AR","Neuroimage","2021","2020/11/02","PMC7833476","NIHMS1659147","10.1016/j.neuroimage.2020.117517"
"32981657","Converging Structural and Functional Evidence for a Rat Salience Network","Tsai PJ, Keeley RJ, Carmack SA, Vendruscolo JCM, Lu H, Gu H, Vendruscolo LF, Koob GF, Lin CP, Stein EA, Yang Y.","Biol Psychiatry. 2020 Dec 1;88(11):867-878. doi: 10.1016/j.biopsych.2020.06.023. Epub 2020 Jul 2.","Tsai PJ","Biol Psychiatry","2020","2020/09/28","","","10.1016/j.biopsych.2020.06.023"
"32817555","Divergence of rodent and primate medial frontal cortex functional connectivity","Schaeffer DJ, Hori Y, Gilbert KM, Gati JS, Menon RS, Everling S.","Proc Natl Acad Sci U S A. 2020 Sep 1;117(35):21681-21689. doi: 10.1073/pnas.2003181117. Epub 2020 Aug 17.","Schaeffer DJ","Proc Natl Acad Sci U S A","2020","2020/08/21","PMC7474619","","10.1073/pnas.2003181117"
"32720701","Evolution of the speech-ready brain: The voice/jaw connection in the human motor cortex","Brown S, Yuan Y, Belyk M.","J Comp Neurol. 2021 Apr 1;529(5):1018-1028. doi: 10.1002/cne.24997. Epub 2020 Sep 8.","Brown S","J Comp Neurol","2021","2020/07/29","","","10.1002/cne.24997"
"32539526","Diagnostic Classification for Human Autism and Obsessive-Compulsive Disorder Based on Machine Learning From a Primate Genetic Model","Zhan Y, Wei J, Liang J, Xu X, He R, Robbins TW, Wang Z.","Am J Psychiatry. 2021 Jan 1;178(1):65-76. doi: 10.1176/appi.ajp.2020.19101091. Epub 2020 Jun 16.","Zhan Y","Am J Psychiatry","2021","2020/06/17","","","10.1176/appi.ajp.2020.19101091"
"32469053","Dynamic Reconfiguration, Fragmentation, and Integration of Whole-Brain Modular Structure across Depths of Unconsciousness","Standage D, Areshenkoff CN, Nashed JY, Hutchison RM, Hutchison M, Heinke D, Menon RS, Everling S, Gallivan JP.","Cereb Cortex. 2020 Sep 3;30(10):5229-5241. doi: 10.1093/cercor/bhaa085.","Standage D","Cereb Cortex","2020","2020/05/30","PMC7472202","","10.1093/cercor/bhaa085"
"32315894","Fasting may increase incentive signaling for nonfood rewards","Zhang X, Melrose AJ, De Santis O, Luo S, Page KA, Hsu E, Monterosso JR.","Nutr Res. 2020 May;77:43-53. doi: 10.1016/j.nutres.2020.02.013. Epub 2020 Mar 2.","Zhang X","Nutr Res","2020","2020/04/22","PMC7295658","NIHMS1570362","10.1016/j.nutres.2020.02.013"
"32139585","Resolving the Spatial Profile of Figure Enhancement in Human V1 through Population Receptive Field Modeling","Poltoratski S, Tong F.","J Neurosci. 2020 Apr 15;40(16):3292-3303. doi: 10.1523/JNEUROSCI.2377-19.2020. Epub 2020 Mar 5.","Poltoratski S","J Neurosci","2020","2020/03/07","PMC7159895","","10.1523/JNEUROSCI.2377-19.2020"
"32094202","Ultra-high-resolution fMRI of Human Ventral Temporal Cortex Reveals Differential Representation of Categories and Domains","Margalit E, Jamison KW, Weiner KS, Vizioli L, Zhang RY, Kay KN, Grill-Spector K.","J Neurosci. 2020 Apr 8;40(15):3008-3024. doi: 10.1523/JNEUROSCI.2106-19.2020. Epub 2020 Feb 24.","Margalit E","J Neurosci","2020","2020/02/26","PMC7141875","","10.1523/JNEUROSCI.2106-19.2020"
"31862856","Categorical Biases in Human Occipitoparietal Cortex","Ester EF, Sprague TC, Serences JT.","J Neurosci. 2020 Jan 22;40(4):917-931. doi: 10.1523/JNEUROSCI.2700-19.2019. Epub 2019 Dec 20.","Ester EF","J Neurosci","2020","2019/12/22","PMC6975303","","10.1523/JNEUROSCI.2700-19.2019"
"31825706","Transcranial alternating current stimulation attenuates BOLD adaptation and increases functional connectivity","Kar K, Ito T, Cole MW, Krekelberg B.","J Neurophysiol. 2020 Jan 1;123(1):428-438. doi: 10.1152/jn.00376.2019. Epub 2019 Dec 11.","Kar K","J Neurophysiol","2020","2019/12/12","PMC6985864","","10.1152/jn.00376.2019"
"31692192","Top-down versus bottom-up attention differentially modulate frontal-parietal connectivity","Bowling JT, Friston KJ, Hopfinger JB.","Hum Brain Mapp. 2020 Mar;41(4):928-942. doi: 10.1002/hbm.24850. Epub 2019 Nov 6.","Bowling JT","Hum Brain Mapp","2020","2019/11/07","PMC7267915","","10.1002/hbm.24850"
"31672243","Approach-Avoidance Conflict in Major Depressive Disorder: Congruent Neural Findings in Humans and Nonhuman Primates","Ironside M, Amemori KI, McGrath CL, Pedersen ML, Kang MS, Amemori S, Frank MJ, Graybiel AM, Pizzagalli DA.","Biol Psychiatry. 2020 Mar 1;87(5):399-408. doi: 10.1016/j.biopsych.2019.08.022. Epub 2019 Sep 6.","Ironside M","Biol Psychiatry","2020","2019/11/02","PMC7007869","NIHMS1539267","10.1016/j.biopsych.2019.08.022"
"31262949","Sex Differences in Cognitive Flexibility and Resting Brain Networks in Middle-Aged Marmosets","LaClair M, Febo M, Nephew B, Gervais NJ, Poirier G, Workman K, Chumachenko S, Payne L, Moore MC, King JA, Lacreuse A.","eNeuro. 2019 Jul 25;6(4):ENEURO.0154-19.2019. doi: 10.1523/ENEURO.0154-19.2019. Print 2019 Jul/Aug.","LaClair M","eNeuro","2019","2019/07/03","PMC6658914","","10.1523/ENEURO.0154-19.2019"
"31219563","From Synchrony to Asynchrony: Cerebellar-Basal Ganglia Functional Circuits in Young and Older Adults","Hausman HK, Jackson TB, Goen JRM, Bernard JA.","Cereb Cortex. 2020 Mar 21;30(2):718-729. doi: 10.1093/cercor/bhz121.","Hausman HK","Cereb Cortex","2020","2019/06/21","","","10.1093/cercor/bhz121"
"30867291","Estimating average single-neuron visual receptive field sizes by fMRI","Keliris GA, Li Q, Papanikolaou A, Logothetis NK, Smirnakis SM.","Proc Natl Acad Sci U S A. 2019 Mar 26;116(13):6425-6434. doi: 10.1073/pnas.1809612116. Epub 2019 Mar 13.","Keliris GA","Proc Natl Acad Sci U S A","2019","2019/03/15","PMC6442598","","10.1073/pnas.1809612116"
"30796824","Neurofeedback Training of Gamma Oscillations in Monkey Primary Visual Cortex","Chauvière L, Singer W.","Cereb Cortex. 2019 Dec 17;29(11):4785-4802. doi: 10.1093/cercor/bhz013.","Chauvière L","Cereb Cortex","2019","2019/02/24","","","10.1093/cercor/bhz013"
"30601693","Functionally distinct language and Theory of Mind networks are synchronized at rest and during language comprehension","Paunov AM, Blank IA, Fedorenko E.","J Neurophysiol. 2019 Apr 1;121(4):1244-1265. doi: 10.1152/jn.00619.2018. Epub 2019 Jan 2.","Paunov AM","J Neurophysiol","2019","2019/01/03","PMC6485726","","10.1152/jn.00619.2018"
"30530859","Changes in Endogenous Dopamine Induced by Methylphenidate Predict Functional Connectivity in Nonhuman Primates","Birn RM, Converse AK, Rajala AZ, Alexander AL, Block WF, McMillan AB, Christian BT, Filla CN, Murali D, Hurley SA, Jenison RL, Populin LC.","J Neurosci. 2019 Feb 20;39(8):1436-1444. doi: 10.1523/JNEUROSCI.2513-18.2018. Epub 2018 Dec 10.","Birn RM","J Neurosci","2019","2018/12/12","PMC6381257","","10.1523/JNEUROSCI.2513-18.2018"
"30395192","Homology and Specificity of Natural Sound-Encoding in Human and Monkey Auditory Cortex","Erb J, Armendariz M, De Martino F, Goebel R, Vanduffel W, Formisano E.","Cereb Cortex. 2019 Aug 14;29(9):3636-3650. doi: 10.1093/cercor/bhy243.","Erb J","Cereb Cortex","2019","2018/11/06","","","10.1093/cercor/bhy243"
"30355629","Functional MRI in Macaque Monkeys during Task Switching","Premereur E, Janssen P, Vanduffel W.","J Neurosci. 2018 Dec 12;38(50):10619-10630. doi: 10.1523/JNEUROSCI.1539-18.2018. Epub 2018 Oct 24.","Premereur E","J Neurosci","2018","2018/10/26","PMC6580658","","10.1523/JNEUROSCI.1539-18.2018"
"30267074","Human V2A: A map of the peripheral visual hemifield with functional connections to scene-selective cortex","Elshout JA, van den Berg AV, Haak KV.","J Vis. 2018 Sep 4;18(9):22. doi: 10.1167/18.9.22.","Elshout JA","J Vis","2018","2018/09/30","PMC6159387","","10.1167/18.9.22"
