PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34296111","A Causal Role of Area hMST for Self-Motion Perception in Humans","Schmitt C, Baltaretu BR, Crawford JD, Bremmer F.","Cereb Cortex Commun. 2020 Jul 30;1(1):tgaa042. doi: 10.1093/texcom/tgaa042. eCollection 2020.","Schmitt C","Cereb Cortex Commun","2020","2021/07/23","PMC8152865","","10.1093/texcom/tgaa042"
"34147628","Effective connectivity and spatial selectivity-dependent fMRI changes elicited by microstimulation of pulvinar and LIP","Kagan I, Gibson L, Spanou E, Wilke M.","Neuroimage. 2021 Jun 17;240:118283. doi: 10.1016/j.neuroimage.2021.118283. Online ahead of print.","Kagan I","Neuroimage","2021","2021/06/20","","","10.1016/j.neuroimage.2021.118283"
"34131035","Moving a Shape behind a Slit: Partial Shape Representations in Inferior Temporal Cortex","Bognár A, Vogels R.","J Neurosci. 2021 Jul 28;41(30):6484-6501. doi: 10.1523/JNEUROSCI.0348-21.2021. Epub 2021 Jun 15.","Bognár A","J Neurosci","2021","2021/06/16","PMC8318075","","10.1523/JNEUROSCI.0348-21.2021"
"34120262","An egocentric straight-ahead bias in primate's vision","Cottereau BR, Trotter Y, Durand JB.","Brain Struct Funct. 2021 Jun 13. doi: 10.1007/s00429-021-02314-8. Online ahead of print.","Cottereau BR","Brain Struct Funct","2021","2021/06/13","","","10.1007/s00429-021-02314-8"
"34043075","Optic flow selectivity in the macaque parieto-occipital sulcus","Pitzalis S, Hadj-Bouziane F, Dal Bò G, Guedj C, Strappini F, Meunier M, Farnè A, Fattori P, Galletti C.","Brain Struct Funct. 2021 May 27. doi: 10.1007/s00429-021-02293-w. Online ahead of print.","Pitzalis S","Brain Struct Funct","2021","2021/05/27","","","10.1007/s00429-021-02293-w"
"34011626","Na(v)1.7 target modulation and efficacy can be measured in nonhuman primate assays","Kraus RL, Zhao F, Pall PS, Zhou D, Vardigan JD, Danziger A, Li Y, Daley C, Ballard JE, Clements MK, Klein RM, Holahan MA, Greshock TJ, Kim RM, Layton ME, Burgey CS, Serra J, Henze DA, Houghton AK.","Sci Transl Med. 2021 May 19;13(594):eaay1050. doi: 10.1126/scitranslmed.aay1050.","Kraus RL","Sci Transl Med","2021","2021/05/20","","","10.1126/scitranslmed.aay1050"
"33950555","Attention differentially modulates multiunit activity in the lateral geniculate nucleus and V1 of macaque monkeys","Shah S, Mancarella M, Hembrook-Short JR, Mock VL, Briggs F.","J Comp Neurol. 2021 May 5. doi: 10.1002/cne.25168. Online ahead of print.","Shah S","J Comp Neurol","2021","2021/05/05","","","10.1002/cne.25168"
"33853400","Pharmacological modulation of brain activation to non-noxious stimulation in a cynomolgus macaque model of peripheral nerve injury","Hama A, Yano M, Sotogawa W, Fujii R, Awaga Y, Natsume T, Hayashi I, Takamatsu H.","Mol Pain. 2021 Jan-Dec;17:17448069211008697. doi: 10.1177/17448069211008697.","Hama A","Mol Pain","2021","2021/04/15","PMC8053757","","10.1177/17448069211008697"
"33833228","Primate ventral striatum maintains neural representations of the value of previously rewarded objects for habitual seeking","Kang J, Kim H, Hwang SH, Han M, Lee SH, Kim HF.","Nat Commun. 2021 Apr 8;12(1):2100. doi: 10.1038/s41467-021-22335-5.","Kang J","Nat Commun","2021","2021/04/09","PMC8032767","","10.1038/s41467-021-22335-5"
"33794360","The Subcortical Atlas of the Rhesus Macaque (SARM) for neuroimaging","Hartig R, Glen D, Jung B, Logothetis NK, Paxinos G, Garza-Villarreal EA, Messinger A, Evrard HC.","Neuroimage. 2021 Jul 15;235:117996. doi: 10.1016/j.neuroimage.2021.117996. Epub 2021 Mar 29.","Hartig R","Neuroimage","2021","2021/04/01","","","10.1016/j.neuroimage.2021.117996"
"33789138","A comprehensive macaque fMRI pipeline and hierarchical atlas","Jung B, Taylor PA, Seidlitz J, Sponheim C, Perkins P, Ungerleider LG, Glen D, Messinger A.","Neuroimage. 2021 Jul 15;235:117997. doi: 10.1016/j.neuroimage.2021.117997. Epub 2021 Mar 28.","Jung B","Neuroimage","2021","2021/03/31","","","10.1016/j.neuroimage.2021.117997"
"33787492","Neural network of social interaction observation in marmosets","Cléry JC, Hori Y, Schaeffer DJ, Menon RS, Everling S.","Elife. 2021 Mar 31;10:e65012. doi: 10.7554/eLife.65012.","Cléry JC","Elife","2021","2021/03/31","PMC8024015","","10.7554/eLife.65012"
"33757907","Examining cross-modal fMRI adaptation for observed and executed actions in the monkey brain","Cui D, Nelissen K.","Neuroimage. 2021 Jun;233:117988. doi: 10.1016/j.neuroimage.2021.117988. Epub 2021 Mar 20.","Cui D","Neuroimage","2021","2021/03/24","","","10.1016/j.neuroimage.2021.117988"
"33667342","Electrical stimulation of the macaque ventral tegmental area drives category-selective learning without attention","Murris SR, Arsenault JT, Raman R, Vogels R, Vanduffel W.","Neuron. 2021 Apr 21;109(8):1381-1395.e7. doi: 10.1016/j.neuron.2021.02.013. Epub 2021 Mar 4.","Murris SR","Neuron","2021","2021/03/05","","","10.1016/j.neuron.2021.02.013"
"33654627","A Novel Case of Cerebral Diplopia Secondary to a Posterior Parietal Cortex Ischemic Infarct: Proposal of a Mechanism of Generation of Polyopia Due to Convergence Insufficiency","Kesserwani H.","Cureus. 2021 Jan 28;13(1):e12962. doi: 10.7759/cureus.12962.","Kesserwani H","Cureus","2021","2021/03/03","PMC7912157","","10.7759/cureus.12962"
"33636119","Audiovisual integration in macaque face patch neurons","Khandhadia AP, Murphy AP, Romanski LM, Bizley JK, Leopold DA.","Curr Biol. 2021 May 10;31(9):1826-1835.e3. doi: 10.1016/j.cub.2021.01.102. Epub 2021 Feb 25.","Khandhadia AP","Curr Biol","2021","2021/02/26","","","10.1016/j.cub.2021.01.102"
"33593730","MRI Compatible, Customizable, and 3D-Printable Microdrive for Neuroscience Research","Baeg E, Doudlah R, Swader R, Lee H, Han M, Kim SG, Rosenberg A, Kim B.","eNeuro. 2021 Mar 12;8(2):ENEURO.0495-20.2021. doi: 10.1523/ENEURO.0495-20.2021. Print 2021 Mar-Apr.","Baeg E","eNeuro","2021","2021/02/17","PMC7986532","","10.1523/ENEURO.0495-20.2021"
"33548458","Infrared neural stimulation with 7T fMRI: A rapid in vivo method for mapping cortical connections of primate amygdala","Shi S, Xu AG, Rui YY, Zhang X, Romanski LM, Gothard KM, Roe AW.","Neuroimage. 2021 May 1;231:117818. doi: 10.1016/j.neuroimage.2021.117818. Epub 2021 Feb 4.","Shi S","Neuroimage","2021","2021/02/06","","","10.1016/j.neuroimage.2021.117818"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33483325","A Whole-Cortex Probabilistic Diffusion Tractography Connectome","Rosen BQ, Halgren E.","eNeuro. 2021 Feb 23;8(1):ENEURO.0416-20.2020. doi: 10.1523/ENEURO.0416-20.2020. Print 2021 Jan-Feb.","Rosen BQ","eNeuro","2021","2021/01/23","PMC7920542","","10.1523/ENEURO.0416-20.2020"
"33483324","Color Tuning of Face-Selective Neurons in Macaque Inferior Temporal Cortex","Duyck M, Chang ALY, Gruen TJ, Tello LY, Eastman S, Fuller-Deets J, Conway BR.","eNeuro. 2021 Apr 12;8(2):ENEURO.0395-20.2020. doi: 10.1523/ENEURO.0395-20.2020. Print 2021 Mar-Apr.","Duyck M","eNeuro","2021","2021/01/23","PMC8174038","","10.1523/ENEURO.0395-20.2020"
"33385552","Resting-State functional networks of different topographic representations in the somatosensory cortex of macaque monkeys and humans","Thomas J, Sharma D, Mohanta S, Jain N.","Neuroimage. 2021 Mar;228:117694. doi: 10.1016/j.neuroimage.2020.117694. Epub 2020 Dec 30.","Thomas J","Neuroimage","2021","2021/01/01","","","10.1016/j.neuroimage.2020.117694"
