PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34271158","Functional networks in non-human primate spinal cord and the effects of injury","Sengupta A, Mishra A, Wang F, Li M, Yang PF, Chen LM, Gore JC.","Neuroimage. 2021 Jul 14;240:118391. doi: 10.1016/j.neuroimage.2021.118391. Online ahead of print.","Sengupta A","Neuroimage","2021","2021/07/16","","","10.1016/j.neuroimage.2021.118391"
"34231843","Macroscopic Quantities of Collective Brain Activity during Wakefulness and Anesthesia","Ponce-Alvarez A, Uhrig L, Deco N, Signorelli CM, Kringelbach ML, Jarraya B, Deco G.","Cereb Cortex. 2021 Jul 7:bhab209. doi: 10.1093/cercor/bhab209. Online ahead of print.","Ponce-Alvarez A","Cereb Cortex","2021","2021/07/07","","","10.1093/cercor/bhab209"
"34147628","Effective connectivity and spatial selectivity-dependent fMRI changes elicited by microstimulation of pulvinar and LIP","Kagan I, Gibson L, Spanou E, Wilke M.","Neuroimage. 2021 Jun 17;240:118283. doi: 10.1016/j.neuroimage.2021.118283. Online ahead of print.","Kagan I","Neuroimage","2021","2021/06/20","","","10.1016/j.neuroimage.2021.118283"
"34131035","Moving a Shape behind a Slit: Partial Shape Representations in Inferior Temporal Cortex","Bognár A, Vogels R.","J Neurosci. 2021 Jul 28;41(30):6484-6501. doi: 10.1523/JNEUROSCI.0348-21.2021. Epub 2021 Jun 15.","Bognár A","J Neurosci","2021","2021/06/16","PMC8318075","","10.1523/JNEUROSCI.0348-21.2021"
"34099508","Viewing ambiguous social interactions increases functional connectivity between frontal and temporal nodes of the social brain","Ainsworth M, Sallet J, Joly O, Kyriazis D, Kriegeskorte N, Duncan J, Schüffelgen U, Rushworth MF, Bell AH.","J Neurosci. 2021 Jun 4;41(28):6070-86. doi: 10.1523/JNEUROSCI.0870-20.2021. Online ahead of print.","Ainsworth M","J Neurosci","2021","2021/06/08","PMC8276745","","10.1523/JNEUROSCI.0870-20.2021"
"34043075","Optic flow selectivity in the macaque parieto-occipital sulcus","Pitzalis S, Hadj-Bouziane F, Dal Bò G, Guedj C, Strappini F, Meunier M, Farnè A, Fattori P, Galletti C.","Brain Struct Funct. 2021 May 27. doi: 10.1007/s00429-021-02293-w. Online ahead of print.","Pitzalis S","Brain Struct Funct","2021","2021/05/27","","","10.1007/s00429-021-02293-w"
"34011626","Na(v)1.7 target modulation and efficacy can be measured in nonhuman primate assays","Kraus RL, Zhao F, Pall PS, Zhou D, Vardigan JD, Danziger A, Li Y, Daley C, Ballard JE, Clements MK, Klein RM, Holahan MA, Greshock TJ, Kim RM, Layton ME, Burgey CS, Serra J, Henze DA, Houghton AK.","Sci Transl Med. 2021 May 19;13(594):eaay1050. doi: 10.1126/scitranslmed.aay1050.","Kraus RL","Sci Transl Med","2021","2021/05/20","","","10.1126/scitranslmed.aay1050"
"33950555","Attention differentially modulates multiunit activity in the lateral geniculate nucleus and V1 of macaque monkeys","Shah S, Mancarella M, Hembrook-Short JR, Mock VL, Briggs F.","J Comp Neurol. 2021 May 5. doi: 10.1002/cne.25168. Online ahead of print.","Shah S","J Comp Neurol","2021","2021/05/05","","","10.1002/cne.25168"
"33945242","A thermal nociceptive patch in S2 cortex of nonhuman primates: a combined fMRI and electrophysiology study","Ye X, Yang PF, Liu Q, Dillenburger BD, Friedman RM, Chen LM.","Pain. 2021 Feb 23. doi: 10.1097/j.pain.0000000000002247. Online ahead of print.","Ye X","Pain","2021","2021/05/04","","","10.1097/j.pain.0000000000002247"
"33930537","Longitudinal fMRI measures of cortical reactivation and hand use with and without training after sensory loss in primates","Qi HX, Reed JL, Wang F, Gross CL, Liu X, Chen LM, Kaas JH.","Neuroimage. 2021 Aug 1;236:118026. doi: 10.1016/j.neuroimage.2021.118026. Epub 2021 Apr 27.","Qi HX","Neuroimage","2021","2021/04/30","","","10.1016/j.neuroimage.2021.118026"
