PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34244809","A 7-Tesla MRI Study of the Periaqueductal Grey: Resting State and Task Activation Under Threat","Weis CN, Bennett KP, Huggins AA, Parisi EA, Gorka SM, Larson C.","Soc Cogn Affect Neurosci. 2021 Jul 9:nsab085. doi: 10.1093/scan/nsab085. Online ahead of print.","Weis CN","Soc Cogn Affect Neurosci","2021","2021/07/10","","","10.1093/scan/nsab085"
"34222873","The role of the medial prefrontal cortex in cognition, ageing and dementia","Jobson DD, Hase Y, Clarkson AN, Kalaria RN.","Brain Commun. 2021 Jun 11;3(3):fcab125. doi: 10.1093/braincomms/fcab125. eCollection 2021 Jul.","Jobson DD","Brain Commun","2021","2021/07/05","PMC8249104","","10.1093/braincomms/fcab125"
"33967711","Functional Connectivity of the Human Paraventricular Thalamic Nucleus: Insights From High Field Functional MRI","Kark SM, Birnie MT, Baram TZ, Yassa MA.","Front Integr Neurosci. 2021 Apr 21;15:662293. doi: 10.3389/fnint.2021.662293. eCollection 2021.","Kark SM","Front Integr Neurosci","2021","2021/05/10","PMC8096909","","10.3389/fnint.2021.662293"
"33770531","GABA levels in ventral visual cortex decline with age and are associated with neural distinctiveness","Chamberlain JD, Gagnon H, Lalwani P, Cassady KE, Simmonite M, Seidler RD, Taylor SF, Weissman DH, Park DC, Polk TA.","Neurobiol Aging. 2021 Jun;102:170-177. doi: 10.1016/j.neurobiolaging.2021.02.013. Epub 2021 Feb 26.","Chamberlain JD","Neurobiol Aging","2021","2021/03/26","PMC8205971","NIHMS1686882","10.1016/j.neurobiolaging.2021.02.013"
"33560448","Resting fMRI-guided TMS results in subcortical and brain network modulation indexed by interleaved TMS/fMRI","Oathes DJ, Zimmerman JP, Duprat R, Japp SS, Scully M, Rosenberg BM, Flounders MW, Long H, Deluisi JA, Elliott M, Shandler G, Shinohara RT, Linn KA.","Exp Brain Res. 2021 Apr;239(4):1165-1178. doi: 10.1007/s00221-021-06036-5. Epub 2021 Feb 9.","Oathes DJ","Exp Brain Res","2021","2021/02/09","","","10.1007/s00221-021-06036-5"
"33511726","An 8-dipole transceive and 24-loop receive array for non-human primate head imaging at 10.5 T","Lagore RL, Moeller S, Zimmermann J, DelaBarre L, Radder J, Grant A, Ugurbil K, Yacoub E, Harel N, Adriany G.","NMR Biomed. 2021 Apr;34(4):e4472. doi: 10.1002/nbm.4472. Epub 2021 Jan 29.","Lagore RL","NMR Biomed","2021","2021/01/29","PMC8103796","NIHMS1682364","10.1002/nbm.4472"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33460838","Bidirectional and state-dependent modulation of brain activity by transcranial focused ultrasound in non-human primates","Yang PF, Phipps MA, Jonathan S, Newton AT, Byun N, Gore JC, Grissom WA, Caskey CF, Chen LM.","Brain Stimul. 2021 Mar-Apr;14(2):261-272. doi: 10.1016/j.brs.2021.01.006. Epub 2021 Jan 15.","Yang PF","Brain Stimul","2021","2021/01/18","PMC7988301","NIHMS1663531","10.1016/j.brs.2021.01.006"
"33137475","The macaque brain ONPRC18 template with combined gray and white matter labelmap for multimodal neuroimaging studies of Nonhuman Primates","Weiss AR, Liu Z, Wang X, Liguore WA, Kroenke CD, McBride JL.","Neuroimage. 2021 Jan 15;225:117517. doi: 10.1016/j.neuroimage.2020.117517. Epub 2020 Nov 1.","Weiss AR","Neuroimage","2021","2020/11/02","PMC7833476","NIHMS1659147","10.1016/j.neuroimage.2020.117517"
"33122437","Differential functional connectivity underlying asymmetric reward-related activity in human and nonhuman primates","Lopez-Persem A, Roumazeilles L, Folloni D, Marche K, Fouragnan EF, Khalighinejad N, Rushworth MFS, Sallet J.","Proc Natl Acad Sci U S A. 2020 Nov 10;117(45):28452-28462. doi: 10.1073/pnas.2000759117. Epub 2020 Oct 29.","Lopez-Persem A","Proc Natl Acad Sci U S A","2020","2020/10/30","PMC7668182","","10.1073/pnas.2000759117"
"33067998","Connectivity of the Cingulate Sulcus Visual Area (CSv) in Macaque Monkeys","De Castro V, Smith AT, Beer AL, Leguen C, Vayssière N, Héjja-Brichard Y, Audurier P, Cottereau BR, Durand JB.","Cereb Cortex. 2021 Jan 5;31(2):1347-1364. doi: 10.1093/cercor/bhaa301.","De Castro V","Cereb Cortex","2021","2020/10/17","PMC7786354","","10.1093/cercor/bhaa301"
"32833632","A Magnetic Resonance-Guided Focused Ultrasound Neuromodulation System With a Whole Brain Coil Array for Nonhuman Primates at 3 T","Li Y, Lee J, Long X, Qiao Y, Ma T, He Q, Cao P, Zhang X, Zheng H.","IEEE Trans Med Imaging. 2020 Dec;39(12):4401-4412. doi: 10.1109/TMI.2020.3019087. Epub 2020 Nov 30.","Li Y","IEEE Trans Med Imaging","2020","2020/08/25","","","10.1109/TMI.2020.3019087"
"32822812","Hierarchical cortical gradients in somatosensory processing","Saadon-Grosman N, Arzy S, Loewenstein Y.","Neuroimage. 2020 Nov 15;222:117257. doi: 10.1016/j.neuroimage.2020.117257. Epub 2020 Aug 18.","Saadon-Grosman N","Neuroimage","2020","2020/08/22","","","10.1016/j.neuroimage.2020.117257"
"32822603","Having Infants in the Family Group Promotes Altruistic Behavior of Marmoset Monkeys","Huang J, Cheng X, Zhang S, Chang L, Li X, Liang Z, Gong N.","Curr Biol. 2020 Oct 19;30(20):4047-4055.e3. doi: 10.1016/j.cub.2020.07.045. Epub 2020 Aug 20.","Huang J","Curr Biol","2020","2020/08/22","","","10.1016/j.cub.2020.07.045"
"32817555","Divergence of rodent and primate medial frontal cortex functional connectivity","Schaeffer DJ, Hori Y, Gilbert KM, Gati JS, Menon RS, Everling S.","Proc Natl Acad Sci U S A. 2020 Sep 1;117(35):21681-21689. doi: 10.1073/pnas.2003181117. Epub 2020 Aug 17.","Schaeffer DJ","Proc Natl Acad Sci U S A","2020","2020/08/21","PMC7474619","","10.1073/pnas.2003181117"
"32720701","Evolution of the speech-ready brain: The voice/jaw connection in the human motor cortex","Brown S, Yuan Y, Belyk M.","J Comp Neurol. 2021 Apr 1;529(5):1018-1028. doi: 10.1002/cne.24997. Epub 2020 Sep 8.","Brown S","J Comp Neurol","2021","2020/07/29","","","10.1002/cne.24997"
"32541016","Auditory representation of learned sound sequences in motor regions of the macaque brain","Archakov D, DeWitt I, Kuśmierek P, Ortiz-Rios M, Cameron D, Cui D, Morin EL, VanMeter JW, Sams M, Jääskeläinen IP, Rauschecker JP.","Proc Natl Acad Sci U S A. 2020 Jun 30;117(26):15242-15252. doi: 10.1073/pnas.1915610117. Epub 2020 Jun 15.","Archakov D","Proc Natl Acad Sci U S A","2020","2020/06/17","PMC7334521","","10.1073/pnas.1915610117"
"32514083","Transcriptional and imaging-genetic association of cortical interneurons, brain function, and schizophrenia risk","Anderson KM, Collins MA, Chin R, Ge T, Rosenberg MD, Holmes AJ.","Nat Commun. 2020 Jun 8;11(1):2889. doi: 10.1038/s41467-020-16710-x.","Anderson KM","Nat Commun","2020","2020/06/10","PMC7280213","","10.1038/s41467-020-16710-x"
"32469053","Dynamic Reconfiguration, Fragmentation, and Integration of Whole-Brain Modular Structure across Depths of Unconsciousness","Standage D, Areshenkoff CN, Nashed JY, Hutchison RM, Hutchison M, Heinke D, Menon RS, Everling S, Gallivan JP.","Cereb Cortex. 2020 Sep 3;30(10):5229-5241. doi: 10.1093/cercor/bhaa085.","Standage D","Cereb Cortex","2020","2020/05/30","PMC7472202","","10.1093/cercor/bhaa085"
"32087231","Optimization of a transmit/receive surface coil for squirrel monkey spinal cord imaging","Lu M, Wang F, Chen LM, Gore JC, Yan X.","Magn Reson Imaging. 2020 May;68:197-202. doi: 10.1016/j.mri.2020.02.011. Epub 2020 Feb 19.","Lu M","Magn Reson Imaging","2020","2020/02/23","PMC7136156","NIHMS1566825","10.1016/j.mri.2020.02.011"
"31992744","Ultra High Field fMRI of Human Superior Colliculi Activity during Affective Visual Processing","Wang YC, Bianciardi M, Chanes L, Satpute AB.","Sci Rep. 2020 Jan 28;10(1):1331. doi: 10.1038/s41598-020-57653-z.","Wang YC","Sci Rep","2020","2020/01/30","PMC6987103","","10.1038/s41598-020-57653-z"
"31904490","In vivo functional localization of the temporal monocular crescent representation in human primary visual cortex","Nasr S, LaPierre C, Vaughn CE, Witzel T, Stockmann JP, Polimeni JR.","Neuroimage. 2020 Apr 1;209:116516. doi: 10.1016/j.neuroimage.2020.116516. Epub 2020 Jan 3.","Nasr S","Neuroimage","2020","2020/01/07","PMC7056564","NIHMS1548385","10.1016/j.neuroimage.2020.116516"
"31871175","Cerebral cortical folding, parcellation, and connectivity in humans, nonhuman primates, and mice","Van Essen DC, Donahue CJ, Coalson TS, Kennedy H, Hayashi T, Glasser MF.","Proc Natl Acad Sci U S A. 2019 Dec 23;116(52):26173-80. doi: 10.1073/pnas.1902299116. Online ahead of print.","Van Essen DC","Proc Natl Acad Sci U S A","2019","2019/12/25","PMC6936571","","10.1073/pnas.1902299116"
"31825706","Transcranial alternating current stimulation attenuates BOLD adaptation and increases functional connectivity","Kar K, Ito T, Cole MW, Krekelberg B.","J Neurophysiol. 2020 Jan 1;123(1):428-438. doi: 10.1152/jn.00376.2019. Epub 2019 Dec 11.","Kar K","J Neurophysiol","2020","2019/12/12","PMC6985864","","10.1152/jn.00376.2019"
"31743789","Pypreclin: An automatic pipeline for macaque functional MRI preprocessing","Tasserie J, Grigis A, Uhrig L, Dupont M, Amadon A, Jarraya B.","Neuroimage. 2020 Feb 15;207:116353. doi: 10.1016/j.neuroimage.2019.116353. Epub 2019 Nov 16.","Tasserie J","Neuroimage","2020","2019/11/20","","","10.1016/j.neuroimage.2019.116353"
"30943105","Saccadic suppression measured by steady-state visual evoked potentials","Chen J, Valsecchi M, Gegenfurtner KR.","J Neurophysiol. 2019 Jul 1;122(1):251-258. doi: 10.1152/jn.00712.2018. Epub 2019 Apr 3.","Chen J","J Neurophysiol","2019","2019/04/04","","","10.1152/jn.00712.2018"
"30926817","Intrinsic functional architecture of the non-human primate spinal cord derived from fMRI and electrophysiology","Wu TL, Yang PF, Wang F, Shi Z, Mishra A, Wu R, Chen LM, Gore JC.","Nat Commun. 2019 Mar 29;10(1):1416. doi: 10.1038/s41467-019-09485-3.","Wu TL","Nat Commun","2019","2019/03/31","PMC6440970","","10.1038/s41467-019-09485-3"
"30877735","Cerebellar pathology in Alzheimer's disease","Mavroudis I.","Hell J Nucl Med. 2019 Jan-Apr;22 Suppl:174-179.","Mavroudis I","Hell J Nucl Med","2019","2019/03/17","","",""
