PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33834704","The superior parietal lobule of primates: a sensory-motor hub for interaction with the environment","Passarelli L, Gamberini M, Fattori P.","J Integr Neurosci. 2021 Mar 30;20(1):157-171. doi: 10.31083/j.jin.2021.01.334.","Passarelli L","J Integr Neurosci","2021","2021/04/09","","","10.31083/j.jin.2021.01.334"
"33757907","Examining cross-modal fMRI adaptation for observed and executed actions in the monkey brain","Cui D, Nelissen K.","Neuroimage. 2021 Jun;233:117988. doi: 10.1016/j.neuroimage.2021.117988. Epub 2021 Mar 20.","Cui D","Neuroimage","2021","2021/03/24","","","10.1016/j.neuroimage.2021.117988"
"33067998","Connectivity of the Cingulate Sulcus Visual Area (CSv) in Macaque Monkeys","De Castro V, Smith AT, Beer AL, Leguen C, Vayssière N, Héjja-Brichard Y, Audurier P, Cottereau BR, Durand JB.","Cereb Cortex. 2021 Jan 5;31(2):1347-1364. doi: 10.1093/cercor/bhaa301.","De Castro V","Cereb Cortex","2021","2020/10/17","PMC7786354","","10.1093/cercor/bhaa301"
"32971263","Motor resonance in monkey parietal and premotor cortex during action observation: Influence of viewing perspective and effector identity","Fiave PA, Nelissen K.","Neuroimage. 2021 Jan 1;224:117398. doi: 10.1016/j.neuroimage.2020.117398. Epub 2020 Sep 22.","Fiave PA","Neuroimage","2021","2020/09/24","","","10.1016/j.neuroimage.2020.117398"
"32848562","Statistical Learning Signals for Complex Visual Images in Macaque Early Visual Cortex","Vergnieux V, Vogels R.","Front Neurosci. 2020 Jul 31;14:789. doi: 10.3389/fnins.2020.00789. eCollection 2020.","Vergnieux V","Front Neurosci","2020","2020/08/28","PMC7411161","","10.3389/fnins.2020.00789"
"32541016","Auditory representation of learned sound sequences in motor regions of the macaque brain","Archakov D, DeWitt I, Kuśmierek P, Ortiz-Rios M, Cameron D, Cui D, Morin EL, VanMeter JW, Sams M, Jääskeläinen IP, Rauschecker JP.","Proc Natl Acad Sci U S A. 2020 Jun 30;117(26):15242-15252. doi: 10.1073/pnas.1915610117. Epub 2020 Jun 15.","Archakov D","Proc Natl Acad Sci U S A","2020","2020/06/17","PMC7334521","","10.1073/pnas.1915610117"
"32278898","Looming and receding visual networks in awake marmosets investigated with fMRI","Cléry JC, Schaeffer DJ, Hori Y, Gilbert KM, Hayrynen LK, Gati JS, Menon RS, Everling S.","Neuroimage. 2020 Jul 15;215:116815. doi: 10.1016/j.neuroimage.2020.116815. Epub 2020 Apr 9.","Cléry JC","Neuroimage","2020","2020/04/13","","","10.1016/j.neuroimage.2020.116815"
"32087231","Optimization of a transmit/receive surface coil for squirrel monkey spinal cord imaging","Lu M, Wang F, Chen LM, Gore JC, Yan X.","Magn Reson Imaging. 2020 May;68:197-202. doi: 10.1016/j.mri.2020.02.011. Epub 2020 Feb 19.","Lu M","Magn Reson Imaging","2020","2020/02/23","PMC7136156","NIHMS1566825","10.1016/j.mri.2020.02.011"
"31743789","Pypreclin: An automatic pipeline for macaque functional MRI preprocessing","Tasserie J, Grigis A, Uhrig L, Dupont M, Amadon A, Jarraya B.","Neuroimage. 2020 Feb 15;207:116353. doi: 10.1016/j.neuroimage.2019.116353. Epub 2019 Nov 16.","Tasserie J","Neuroimage","2020","2019/11/20","","","10.1016/j.neuroimage.2019.116353"
"30926817","Intrinsic functional architecture of the non-human primate spinal cord derived from fMRI and electrophysiology","Wu TL, Yang PF, Wang F, Shi Z, Mishra A, Wu R, Chen LM, Gore JC.","Nat Commun. 2019 Mar 29;10(1):1416. doi: 10.1038/s41467-019-09485-3.","Wu TL","Nat Commun","2019","2019/03/31","PMC6440970","","10.1038/s41467-019-09485-3"
