PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34099508","Viewing ambiguous social interactions increases functional connectivity between frontal and temporal nodes of the social brain","Ainsworth M, Sallet J, Joly O, Kyriazis D, Kriegeskorte N, Duncan J, Schüffelgen U, Rushworth MF, Bell AH.","J Neurosci. 2021 Jun 4;41(28):6070-86. doi: 10.1523/JNEUROSCI.0870-20.2021. Online ahead of print.","Ainsworth M","J Neurosci","2021","2021/06/08","PMC8276745","","10.1523/JNEUROSCI.0870-20.2021"
"33654627","A Novel Case of Cerebral Diplopia Secondary to a Posterior Parietal Cortex Ischemic Infarct: Proposal of a Mechanism of Generation of Polyopia Due to Convergence Insufficiency","Kesserwani H.","Cureus. 2021 Jan 28;13(1):e12962. doi: 10.7759/cureus.12962.","Kesserwani H","Cureus","2021","2021/03/03","PMC7912157","","10.7759/cureus.12962"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33338613","Altered hippocampal-prefrontal functional network integrity in adult macaque monkeys with neonatal hippocampal lesions","Li CX, Li Z, Hu X, Zhang X, Bachevalier J.","Neuroimage. 2021 Feb 15;227:117645. doi: 10.1016/j.neuroimage.2020.117645. Epub 2020 Dec 15.","Li CX","Neuroimage","2021","2020/12/18","","","10.1016/j.neuroimage.2020.117645"
"33156829","Task-related activity in human visual cortex","Roth ZN, Ryoo M, Merriam EP.","PLoS Biol. 2020 Nov 6;18(11):e3000921. doi: 10.1371/journal.pbio.3000921. eCollection 2020 Nov.","Roth ZN","PLoS Biol","2020","2020/11/06","PMC7673548","","10.1371/journal.pbio.3000921"
"33112698","Whole brain mapping of somatosensory responses in awake marmosets investigated with ultra-high-field fMRI","Cléry JC, Hori Y, Schaeffer DJ, Gati JS, Pruszynski JA, Everling S.","J Neurophysiol. 2020 Dec 1;124(6):1900-1913. doi: 10.1152/jn.00480.2020. Epub 2020 Oct 28.","Cléry JC","J Neurophysiol","2020","2020/10/28","","","10.1152/jn.00480.2020"
"33067998","Connectivity of the Cingulate Sulcus Visual Area (CSv) in Macaque Monkeys","De Castro V, Smith AT, Beer AL, Leguen C, Vayssière N, Héjja-Brichard Y, Audurier P, Cottereau BR, Durand JB.","Cereb Cortex. 2021 Jan 5;31(2):1347-1364. doi: 10.1093/cercor/bhaa301.","De Castro V","Cereb Cortex","2021","2020/10/17","PMC7786354","","10.1093/cercor/bhaa301"
"32971263","Motor resonance in monkey parietal and premotor cortex during action observation: Influence of viewing perspective and effector identity","Fiave PA, Nelissen K.","Neuroimage. 2021 Jan 1;224:117398. doi: 10.1016/j.neuroimage.2020.117398. Epub 2020 Sep 22.","Fiave PA","Neuroimage","2021","2020/09/24","","","10.1016/j.neuroimage.2020.117398"
"32864267","The Zeitraffer Phenomenon: A Strategic Ischemic Infarct of the Banks of the Parieto-Occipital Sulcus - A Unique Case Report and a Side Note on the Neuroanatomy of Visual Perception","Kesserwani H.","Cureus. 2020 Jul 28;12(7):e9443. doi: 10.7759/cureus.9443.","Kesserwani H","Cureus","2020","2020/09/01","PMC7451087","","10.7759/cureus.9443"
"32848562","Statistical Learning Signals for Complex Visual Images in Macaque Early Visual Cortex","Vergnieux V, Vogels R.","Front Neurosci. 2020 Jul 31;14:789. doi: 10.3389/fnins.2020.00789. eCollection 2020.","Vergnieux V","Front Neurosci","2020","2020/08/28","PMC7411161","","10.3389/fnins.2020.00789"
"32822603","Having Infants in the Family Group Promotes Altruistic Behavior of Marmoset Monkeys","Huang J, Cheng X, Zhang S, Chang L, Li X, Liang Z, Gong N.","Curr Biol. 2020 Oct 19;30(20):4047-4055.e3. doi: 10.1016/j.cub.2020.07.045. Epub 2020 Aug 20.","Huang J","Curr Biol","2020","2020/08/22","","","10.1016/j.cub.2020.07.045"
"32541016","Auditory representation of learned sound sequences in motor regions of the macaque brain","Archakov D, DeWitt I, Kuśmierek P, Ortiz-Rios M, Cameron D, Cui D, Morin EL, VanMeter JW, Sams M, Jääskeläinen IP, Rauschecker JP.","Proc Natl Acad Sci U S A. 2020 Jun 30;117(26):15242-15252. doi: 10.1073/pnas.1915610117. Epub 2020 Jun 15.","Archakov D","Proc Natl Acad Sci U S A","2020","2020/06/17","PMC7334521","","10.1073/pnas.1915610117"
"32278898","Looming and receding visual networks in awake marmosets investigated with fMRI","Cléry JC, Schaeffer DJ, Hori Y, Gilbert KM, Hayrynen LK, Gati JS, Menon RS, Everling S.","Neuroimage. 2020 Jul 15;215:116815. doi: 10.1016/j.neuroimage.2020.116815. Epub 2020 Apr 9.","Cléry JC","Neuroimage","2020","2020/04/13","","","10.1016/j.neuroimage.2020.116815"
"32276072","Towards HCP-Style macaque connectomes: 24-Channel 3T multi-array coil, MRI sequences and preprocessing","Autio JA, Glasser MF, Ose T, Donahue CJ, Bastiani M, Ohno M, Kawabata Y, Urushibata Y, Murata K, Nishigori K, Yamaguchi M, Hori Y, Yoshida A, Go Y, Coalson TS, Jbabdi S, Sotiropoulos SN, Kennedy H, Smith S, Van Essen DC, Hayashi T.","Neuroimage. 2020 Jul 15;215:116800. doi: 10.1016/j.neuroimage.2020.116800. Epub 2020 Apr 8.","Autio JA","Neuroimage","2020","2020/04/11","PMC7116593","EMS109745","10.1016/j.neuroimage.2020.116800"
"31871175","Cerebral cortical folding, parcellation, and connectivity in humans, nonhuman primates, and mice","Van Essen DC, Donahue CJ, Coalson TS, Kennedy H, Hayashi T, Glasser MF.","Proc Natl Acad Sci U S A. 2019 Dec 23;116(52):26173-80. doi: 10.1073/pnas.1902299116. Online ahead of print.","Van Essen DC","Proc Natl Acad Sci U S A","2019","2019/12/25","PMC6936571","","10.1073/pnas.1902299116"
"31732670","Body map proto-organization in newborn macaques","Arcaro MJ, Schade PF, Livingstone MS.","Proc Natl Acad Sci U S A. 2019 Dec 3;116(49):24861-24871. doi: 10.1073/pnas.1912636116. Epub 2019 Nov 15.","Arcaro MJ","Proc Natl Acad Sci U S A","2019","2019/11/17","PMC6900594","","10.1073/pnas.1912636116"
"30926817","Intrinsic functional architecture of the non-human primate spinal cord derived from fMRI and electrophysiology","Wu TL, Yang PF, Wang F, Shi Z, Mishra A, Wu R, Chen LM, Gore JC.","Nat Commun. 2019 Mar 29;10(1):1416. doi: 10.1038/s41467-019-09485-3.","Wu TL","Nat Commun","2019","2019/03/31","PMC6440970","","10.1038/s41467-019-09485-3"
"30877735","Cerebellar pathology in Alzheimer's disease","Mavroudis I.","Hell J Nucl Med. 2019 Jan-Apr;22 Suppl:174-179.","Mavroudis I","Hell J Nucl Med","2019","2019/03/17","","",""
"30355629","Functional MRI in Macaque Monkeys during Task Switching","Premereur E, Janssen P, Vanduffel W.","J Neurosci. 2018 Dec 12;38(50):10619-10630. doi: 10.1523/JNEUROSCI.1539-18.2018. Epub 2018 Oct 24.","Premereur E","J Neurosci","2018","2018/10/26","PMC6580658","","10.1523/JNEUROSCI.1539-18.2018"
"30272135","Early Developmental Trajectories of Functional Connectivity Along the Visual Pathways in Rhesus Monkeys","Kovacs-Balint Z, Feczko E, Pincus M, Earl E, Miranda-Dominguez O, Howell B, Morin E, Maltbie E, Li L, Steele J, Styner M, Bachevalier J, Fair D, Sanchez M.","Cereb Cortex. 2019 Jul 22;29(8):3514-3526. doi: 10.1093/cercor/bhy222.","Kovacs-Balint Z","Cereb Cortex","2019","2018/10/02","PMC6644858","","10.1093/cercor/bhy222"
