PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33350445","Individual Variability in Functional Organization of the Human and Monkey Auditory Cortex","Ren J, Xu T, Wang D, Li M, Lin Y, Schoeppe F, Ramirez JSB, Han Y, Luan G, Li L, Liu H, Ahveninen J.","Cereb Cortex. 2021 Mar 31;31(5):2450-2465. doi: 10.1093/cercor/bhaa366.","Ren J","Cereb Cortex","2021","2020/12/22","PMC8023837","","10.1093/cercor/bhaa366"
"33263778","Mapping the neural circuitry of predator fear in the nonhuman primate","Montardy Q, Kwan WC, Mundinano IC, Fox DM, Wang L, Gross CT, Bourne JA.","Brain Struct Funct. 2021 Jan;226(1):195-205. doi: 10.1007/s00429-020-02176-6. Epub 2020 Dec 2.","Montardy Q","Brain Struct Funct","2021","2020/12/02","PMC7817595","","10.1007/s00429-020-02176-6"
"33097633","Cortico-Subcortical Functional Connectivity Profiles of Resting-State Networks in Marmosets and Humans","Hori Y, Schaeffer DJ, Yoshida A, Cléry JC, Hayrynen LK, Gati JS, Menon RS, Everling S.","J Neurosci. 2020 Nov 25;40(48):9236-9249. doi: 10.1523/JNEUROSCI.1984-20.2020. Epub 2020 Oct 23.","Hori Y","J Neurosci","2020","2020/10/24","PMC7687060","","10.1523/JNEUROSCI.1984-20.2020"
"33067998","Connectivity of the Cingulate Sulcus Visual Area (CSv) in Macaque Monkeys","De Castro V, Smith AT, Beer AL, Leguen C, Vayssière N, Héjja-Brichard Y, Audurier P, Cottereau BR, Durand JB.","Cereb Cortex. 2021 Jan 5;31(2):1347-1364. doi: 10.1093/cercor/bhaa301.","De Castro V","Cereb Cortex","2021","2020/10/17","PMC7786354","","10.1093/cercor/bhaa301"
"32885886","Dynamic frontostriatal functional peak connectivity (in alcohol use disorder)","Gerchen MF, Weiss F, Kirsch M, Rentsch A, Halli P, Kiefer F, Kirsch P.","Hum Brain Mapp. 2021 Jan;42(1):36-46. doi: 10.1002/hbm.25201. Epub 2020 Sep 4.","Gerchen MF","Hum Brain Mapp","2021","2020/09/05","PMC7721230","","10.1002/hbm.25201"
"32610296","Hippocampal CA1 and CA3 neural recording in the human brain: validation of depth electrode placement through high-resolution imaging and electrophysiology","Wicks RT, Witcher MR, Couture DE, Laxton AW, Popli G, Whitlow CT, Fetterhoff D, Dakos AS, Roeder BM, Deadwyler SA, Hampson RE.","Neurosurg Focus. 2020 Jul;49(1):E5. doi: 10.3171/2020.4.FOCUS20164.","Wicks RT","Neurosurg Focus","2020","2020/07/02","","","10.3171/2020.4.FOCUS20164"
"31990749","Magnetic resonance imaging of neuroinflammation in chronic pain: a role for astrogliosis?","Jung C, Ichesco E, Ratai EM, Gonzalez RG, Burdo T, Loggia ML, Harris RE, Napadow V.","Pain. 2020 Jul;161(7):1555-1564. doi: 10.1097/j.pain.0000000000001815.","Jung C","Pain","2020","2020/01/29","PMC7305954","NIHMS1551744","10.1097/j.pain.0000000000001815"
"31946284","Sparse, Predictive, and Interpretable Functional Connectomics with UoI(Lasso)","Sachdeva PS, Bhattacharyya S, Bouchard KE.","Annu Int Conf IEEE Eng Med Biol Soc. 2019 Jul;2019:1965-1968. doi: 10.1109/EMBC.2019.8856316.","Sachdeva PS","Annu Int Conf IEEE Eng Med Biol Soc","2019","2020/01/18","","","10.1109/EMBC.2019.8856316"
"31813974","The Ventral Striatum is a Key Node for Functional Recovery of Finger Dexterity After Spinal Cord Injury in Monkeys","Suzuki M, Onoe K, Sawada M, Takahashi N, Higo N, Murata Y, Tsukada H, Isa T, Onoe H, Nishimura Y.","Cereb Cortex. 2020 May 14;30(5):3259-3270. doi: 10.1093/cercor/bhz307.","Suzuki M","Cereb Cortex","2020","2019/12/10","PMC7197201","","10.1093/cercor/bhz307"
