PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34118393","High-resolution in vivo imaging of rhesus cerebral cortex with ultrafast portable photoacoustic microscopy","Qin W, Gan Q, Yang L, Wang Y, Qi W, Ke B, Xi L.","Neuroimage. 2021 Sep;238:118260. doi: 10.1016/j.neuroimage.2021.118260. Epub 2021 Jun 9.","Qin W","Neuroimage","2021","2021/06/12","","","10.1016/j.neuroimage.2021.118260"
"33822908","Brain Activity Fluctuations Propagate as Waves Traversing the Cortical Hierarchy","Gu Y, Sainburg LE, Kuang S, Han F, Williams JW, Liu Y, Zhang N, Zhang X, Leopold DA, Liu X.","Cereb Cortex. 2021 Jul 29;31(9):3986-4005. doi: 10.1093/cercor/bhab064.","Gu Y","Cereb Cortex","2021","2021/04/06","","","10.1093/cercor/bhab064"
"33427167","Developmental outcomes of early adverse care on amygdala functional connectivity in nonhuman primates","Morin EL, Howell BR, Feczko E, Earl E, Pincus M, Reding K, Kovacs-Balint ZA, Meyer JS, Styner M, Fair D, Sanchez MM.","Dev Psychopathol. 2020 Dec;32(5):1579-1596. doi: 10.1017/S0954579420001133.","Morin EL","Dev Psychopathol","2020","2021/01/11","","","10.1017/S0954579420001133"
"33350445","Individual Variability in Functional Organization of the Human and Monkey Auditory Cortex","Ren J, Xu T, Wang D, Li M, Lin Y, Schoeppe F, Ramirez JSB, Han Y, Luan G, Li L, Liu H, Ahveninen J.","Cereb Cortex. 2021 Mar 31;31(5):2450-2465. doi: 10.1093/cercor/bhaa366.","Ren J","Cereb Cortex","2021","2020/12/22","PMC8023837","","10.1093/cercor/bhaa366"
"33338618","Intrinsic functional clustering of ventral premotor F5 in the macaque brain","Sharma S, Schaeffer DJ, Vinken K, Everling S, Nelissen K.","Neuroimage. 2021 Feb 15;227:117647. doi: 10.1016/j.neuroimage.2020.117647. Epub 2020 Dec 15.","Sharma S","Neuroimage","2021","2020/12/18","","","10.1016/j.neuroimage.2020.117647"
"33263778","Mapping the neural circuitry of predator fear in the nonhuman primate","Montardy Q, Kwan WC, Mundinano IC, Fox DM, Wang L, Gross CT, Bourne JA.","Brain Struct Funct. 2021 Jan;226(1):195-205. doi: 10.1007/s00429-020-02176-6. Epub 2020 Dec 2.","Montardy Q","Brain Struct Funct","2021","2020/12/02","PMC7817595","","10.1007/s00429-020-02176-6"
"33221453","Multimodal 3D atlas of the macaque monkey motor and premotor cortex","Rapan L, Froudist-Walsh S, Niu M, Xu T, Funck T, Zilles K, Palomero-Gallagher N.","Neuroimage. 2021 Feb 1;226:117574. doi: 10.1016/j.neuroimage.2020.117574. Epub 2020 Nov 20.","Rapan L","Neuroimage","2021","2020/11/22","PMC8168280","NIHMS1702877","10.1016/j.neuroimage.2020.117574"
"33137478","Signature of consciousness in brain-wide synchronization patterns of monkey and human fMRI signals","Hahn G, Zamora-López G, Uhrig L, Tagliazucchi E, Laufs H, Mantini D, Kringelbach ML, Jarraya B, Deco G.","Neuroimage. 2021 Feb 1;226:117470. doi: 10.1016/j.neuroimage.2020.117470. Epub 2020 Nov 1.","Hahn G","Neuroimage","2021","2020/11/02","","","10.1016/j.neuroimage.2020.117470"
"33127411","Effects of alfaxalone on cerebral blood flow and intrinsic neural activity of rhesus monkeys: A comparison study with ketamine","Li CX, Kempf D, Howell L, Zhang X.","Magn Reson Imaging. 2021 Jan;75:134-140. doi: 10.1016/j.mri.2020.10.011. Epub 2020 Oct 27.","Li CX","Magn Reson Imaging","2021","2020/10/31","PMC7733545","NIHMS1643371","10.1016/j.mri.2020.10.011"
"33067998","Connectivity of the Cingulate Sulcus Visual Area (CSv) in Macaque Monkeys","De Castro V, Smith AT, Beer AL, Leguen C, Vayssière N, Héjja-Brichard Y, Audurier P, Cottereau BR, Durand JB.","Cereb Cortex. 2021 Jan 5;31(2):1347-1364. doi: 10.1093/cercor/bhaa301.","De Castro V","Cereb Cortex","2021","2020/10/17","PMC7786354","","10.1093/cercor/bhaa301"
"32539526","Diagnostic Classification for Human Autism and Obsessive-Compulsive Disorder Based on Machine Learning From a Primate Genetic Model","Zhan Y, Wei J, Liang J, Xu X, He R, Robbins TW, Wang Z.","Am J Psychiatry. 2021 Jan 1;178(1):65-76. doi: 10.1176/appi.ajp.2020.19101091. Epub 2020 Jun 16.","Zhan Y","Am J Psychiatry","2021","2020/06/17","","","10.1176/appi.ajp.2020.19101091"
"32269107","MECP2 Duplication Causes Aberrant GABA Pathways, Circuits and Behaviors in Transgenic Monkeys: Neural Mappings to Patients with Autism","Cai DC, Wang Z, Bo T, Yan S, Liu Y, Liu Z, Zeljic K, Chen X, Zhan Y, Xu X, Du Y, Wang Y, Cang J, Wang GZ, Zhang J, Sun Q, Qiu Z, Ge S, Ye Z, Wang Z.","J Neurosci. 2020 May 6;40(19):3799-3814. doi: 10.1523/JNEUROSCI.2727-19.2020. Epub 2020 Apr 8.","Cai DC","J Neurosci","2020","2020/04/10","PMC7204082","","10.1523/JNEUROSCI.2727-19.2020"
"32255200","Mapping mesoscale cortical connectivity in monkey sensorimotor cortex with optical imaging and microstimulation","Friedman RM, Morone KA, Gharbawie OA, Roe AW.","J Comp Neurol. 2020 Dec 1;528(17):3095-3107. doi: 10.1002/cne.24918. Epub 2020 May 4.","Friedman RM","J Comp Neurol","2020","2020/04/08","PMC7541397","NIHMS1581307","10.1002/cne.24918"
"32158386","Memory Function and Brain Functional Connectivity Adaptations Following Multiple-Modality Exercise and Mind-Motor Training in Older Adults at Risk of Dementia: An Exploratory Sub-Study","Boa Sorte Silva NC, Nagamatsu LS, Gill DP, Owen AM, Petrella RJ.","Front Aging Neurosci. 2020 Feb 25;12:22. doi: 10.3389/fnagi.2020.00022. eCollection 2020.","Boa Sorte Silva NC","Front Aging Neurosci","2020","2020/03/12","PMC7052336","","10.3389/fnagi.2020.00022"
"31858422","Effects of Chronic Ephedrine Toxicity on Functional Connections, Cell Apoptosis, and CREB-Related Proteins in the Prefrontal Cortex of Rhesus Monkeys","Duan S, Ma Y, Xie L, Zheng L, Huang J, Guo R, Sun Z, Xie Y, Lv J, Lin Z, Ma S.","Neurotox Res. 2020 Mar;37(3):602-615. doi: 10.1007/s12640-019-00146-3. Epub 2019 Dec 20.","Duan S","Neurotox Res","2020","2019/12/21","","","10.1007/s12640-019-00146-3"
"31846515","Effects of social subordination and oestradiol on resting-state amygdala functional connectivity in adult female rhesus monkeys","Reding KM, Grayson DS, Miranda-Dominguez O, Ray S, Wilson ME, Toufexis D, Fair DA, Sanchez MM.","J Neuroendocrinol. 2020 Feb;32(2):e12822. doi: 10.1111/jne.12822. Epub 2020 Feb 11.","Reding KM","J Neuroendocrinol","2020","2019/12/18","PMC7066536","NIHMS1064649","10.1111/jne.12822"
"31731911","Cingulate role in Tourette syndrome","O'Neill J, Piacentini JC, Peterson BS.","Handb Clin Neurol. 2019;166:165-221. doi: 10.1016/B978-0-444-64196-0.00011-X.","O'Neill J","Handb Clin Neurol","2019","2019/11/17","","","10.1016/B978-0-444-64196-0.00011-X"
"31649516","Brainstem Modulation of Large-Scale Intrinsic Cortical Activity Correlations","van den Brink RL, Pfeffer T, Donner TH.","Front Hum Neurosci. 2019 Oct 9;13:340. doi: 10.3389/fnhum.2019.00340. eCollection 2019.","van den Brink RL","Front Hum Neurosci","2019","2019/10/26","PMC6794422","","10.3389/fnhum.2019.00340"
"31120417","Preserved extrastriate visual network in a monkey with substantial, naturally occurring damage to primary visual cortex","Bridge H, Bell AH, Ainsworth M, Sallet J, Premereur E, Ahmed B, Mitchell AS, Schüffelgen U, Buckley M, Tendler BC, Miller KL, Mars RB, Parker AJ, Krug K.","Elife. 2019 May 23;8:e42325. doi: 10.7554/eLife.42325.","Bridge H","Elife","2019","2019/05/24","PMC6533062","","10.7554/eLife.42325"
"31031580","Isoflurane-Induced Burst Suppression Increases Intrinsic Functional Connectivity of the Monkey Brain","Zhang Z, Cai DC, Wang Z, Zeljic K, Wang Z, Wang Y.","Front Neurosci. 2019 Apr 11;13:296. doi: 10.3389/fnins.2019.00296. eCollection 2019.","Zhang Z","Front Neurosci","2019","2019/04/30","PMC6470287","","10.3389/fnins.2019.00296"
"30926817","Intrinsic functional architecture of the non-human primate spinal cord derived from fMRI and electrophysiology","Wu TL, Yang PF, Wang F, Shi Z, Mishra A, Wu R, Chen LM, Gore JC.","Nat Commun. 2019 Mar 29;10(1):1416. doi: 10.1038/s41467-019-09485-3.","Wu TL","Nat Commun","2019","2019/03/31","PMC6440970","","10.1038/s41467-019-09485-3"
"30924264","Egomotion-related visual areas respond to active leg movements","Serra C, Galletti C, Di Marco S, Fattori P, Galati G, Sulpizio V, Pitzalis S.","Hum Brain Mapp. 2019 Aug 1;40(11):3174-3191. doi: 10.1002/hbm.24589. Epub 2019 Mar 28.","Serra C","Hum Brain Mapp","2019","2019/03/30","PMC6865514","","10.1002/hbm.24589"
"30888415","Thalamic Inputs to Posterior Parietal Cortical Areas Involved in Skilled Forelimb Movement and Tool Use in the Capuchin Monkey","Mayer A, Lewenfus G, Bittencourt-Navarrete RE, Clasca F, Franca JGD.","Cereb Cortex. 2019 Dec 17;29(12):5098-5115. doi: 10.1093/cercor/bhz051.","Mayer A","Cereb Cortex","2019","2019/03/20","","","10.1093/cercor/bhz051"
"30873000","Brain Map of Intrinsic Functional Flexibility in Anesthetized Monkeys and Awake Humans","Yin D, Zhang Z, Wang Z, Zeljic K, Lv Q, Cai D, Wang Y, Wang Z.","Front Neurosci. 2019 Feb 28;13:174. doi: 10.3389/fnins.2019.00174. eCollection 2019.","Yin D","Front Neurosci","2019","2019/03/16","PMC6403192","","10.3389/fnins.2019.00174"
"30807382","Propofol Anesthesia Increases Long-range Frontoparietal Corticocortical Interaction in the Oculomotor Circuit in Macaque Monkeys","Ma L, Liu W, Hudson AE.","Anesthesiology. 2019 Apr;130(4):560-571. doi: 10.1097/ALN.0000000000002637.","Ma L","Anesthesiology","2019","2019/02/27","PMC6417961","NIHMS1518660","10.1097/ALN.0000000000002637"
"30802514","Functional specialization of macaque premotor F5 subfields with respect to hand and mouth movements: A comparison of task and resting-state fMRI","Sharma S, Mantini D, Vanduffel W, Nelissen K.","Neuroimage. 2019 May 1;191:441-456. doi: 10.1016/j.neuroimage.2019.02.045. Epub 2019 Feb 23.","Sharma S","Neuroimage","2019","2019/02/26","","","10.1016/j.neuroimage.2019.02.045"
"30765166","Manipulation of Subcortical and Deep Cortical Activity in the Primate Brain Using Transcranial Focused Ultrasound Stimulation","Folloni D, Verhagen L, Mars RB, Fouragnan E, Constans C, Aubry JF, Rushworth MFS, Sallet J.","Neuron. 2019 Mar 20;101(6):1109-1116.e5. doi: 10.1016/j.neuron.2019.01.019. Epub 2019 Feb 11.","Folloni D","Neuron","2019","2019/02/16","PMC6520498","","10.1016/j.neuron.2019.01.019"
"30575525","Estimation of Vector Autoregressive Parameters and Granger Causality From Noisy Multichannel Data","Rangarajan P, Rao RPN.","IEEE Trans Biomed Eng. 2019 Aug;66(8):2231-2240. doi: 10.1109/TBME.2018.2885812. Epub 2018 Dec 18.","Rangarajan P","IEEE Trans Biomed Eng","2019","2018/12/22","PMC6859843","NIHMS1535203","10.1109/TBME.2018.2885812"
"30547311","Gradients of connectivity distance in the cerebral cortex of the macaque monkey","Oligschläger S, Xu T, Baczkowski BM, Falkiewicz M, Falchier A, Linn G, Margulies DS.","Brain Struct Funct. 2019 Mar;224(2):925-935. doi: 10.1007/s00429-018-1811-1. Epub 2018 Dec 13.","Oligschläger S","Brain Struct Funct","2019","2018/12/15","PMC6420469","","10.1007/s00429-018-1811-1"
"30530862","Intrinsic Functional Boundaries of Lateral Frontal Cortex in the Common Marmoset Monkey","Schaeffer DJ, Gilbert KM, Gati JS, Menon RS, Everling S.","J Neurosci. 2019 Feb 6;39(6):1020-1029. doi: 10.1523/JNEUROSCI.2595-18.2018. Epub 2018 Dec 10.","Schaeffer DJ","J Neurosci","2019","2018/12/12","PMC6363921","","10.1523/JNEUROSCI.2595-18.2018"
"30528965","Mapping Structure-Function Relationships in the Brain","Snyder AZ, Bauer AQ.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2019 Jun;4(6):510-521. doi: 10.1016/j.bpsc.2018.10.005. Epub 2018 Oct 29.","Snyder AZ","Biol Psychiatry Cogn Neurosci Neuroimaging","2019","2018/12/12","PMC6488459","NIHMS1511011","10.1016/j.bpsc.2018.10.005"
