PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34312496","Neuromodulation of prefrontal cortex cognitive function in primates: the powerful roles of monoamines and acetylcholine","Cools R, Arnsten AFT.","Neuropsychopharmacology. 2021 Jul 26. doi: 10.1038/s41386-021-01100-8. Online ahead of print.","Cools R","Neuropsychopharmacology","2021","2021/07/27","","","10.1038/s41386-021-01100-8"
"34271158","Functional networks in non-human primate spinal cord and the effects of injury","Sengupta A, Mishra A, Wang F, Li M, Yang PF, Chen LM, Gore JC.","Neuroimage. 2021 Jul 14;240:118391. doi: 10.1016/j.neuroimage.2021.118391. Online ahead of print.","Sengupta A","Neuroimage","2021","2021/07/16","","","10.1016/j.neuroimage.2021.118391"
"34222873","The role of the medial prefrontal cortex in cognition, ageing and dementia","Jobson DD, Hase Y, Clarkson AN, Kalaria RN.","Brain Commun. 2021 Jun 11;3(3):fcab125. doi: 10.1093/braincomms/fcab125. eCollection 2021 Jul.","Jobson DD","Brain Commun","2021","2021/07/05","PMC8249104","","10.1093/braincomms/fcab125"
"34013540","A causal role for the pulvinar in coordinating task-independent cortico-cortical interactions","Eradath MK, Pinsk MA, Kastner S.","J Comp Neurol. 2021 May 19. doi: 10.1002/cne.25193. Online ahead of print.","Eradath MK","J Comp Neurol","2021","2021/05/20","","","10.1002/cne.25193"
"33967711","Functional Connectivity of the Human Paraventricular Thalamic Nucleus: Insights From High Field Functional MRI","Kark SM, Birnie MT, Baram TZ, Yassa MA.","Front Integr Neurosci. 2021 Apr 21;15:662293. doi: 10.3389/fnint.2021.662293. eCollection 2021.","Kark SM","Front Integr Neurosci","2021","2021/05/10","PMC8096909","","10.3389/fnint.2021.662293"
"33819611","Functional parcellation of human and macaque striatum reveals human-specific connectivity in the dorsal caudate","Liu X, Eickhoff SB, Caspers S, Wu J, Genon S, Hoffstaedter F, Mars RB, Sommer IE, Eickhoff CR, Chen J, Jardri R, Reetz K, Dogan I, Aleman A, Kogler L, Gruber O, Caspers J, Mathys C, Patil KR.","Neuroimage. 2021 Jul 15;235:118006. doi: 10.1016/j.neuroimage.2021.118006. Epub 2021 Apr 2.","Liu X","Neuroimage","2021","2021/04/05","PMC8214073","","10.1016/j.neuroimage.2021.118006"
"33640412","Human hippocampal connectivity is stronger in olfaction than other sensory systems","Zhou G, Olofsson JK, Koubeissi MZ, Menelaou G, Rosenow J, Schuele SU, Xu P, Voss JL, Lane G, Zelano C.","Prog Neurobiol. 2021 Jun;201:102027. doi: 10.1016/j.pneurobio.2021.102027. Epub 2021 Feb 25.","Zhou G","Prog Neurobiol","2021","2021/02/28","PMC8096712","NIHMS1681625","10.1016/j.pneurobio.2021.102027"
"33495547","Long-term effects of intermittent early life stress on primate prefrontal-subcortical functional connectivity","Yuan R, Nechvatal JM, Buckmaster CL, Ayash S, Parker KJ, Schatzberg AF, Lyons DM, Menon V.","Neuropsychopharmacology. 2021 Jun;46(7):1348-1356. doi: 10.1038/s41386-021-00956-0. Epub 2021 Jan 25.","Yuan R","Neuropsychopharmacology","2021","2021/01/26","PMC8134590","","10.1038/s41386-021-00956-0"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33420330","Chimpanzee histology and functional brain imaging show that the paracingulate sulcus is not human-specific","Amiez C, Sallet J, Novek J, Hadj-Bouziane F, Giacometti C, Andersson J, Hopkins WD, Petrides M.","Commun Biol. 2021 Jan 8;4(1):54. doi: 10.1038/s42003-020-01571-3.","Amiez C","Commun Biol","2021","2021/01/09","PMC7794552","","10.1038/s42003-020-01571-3"
"33350445","Individual Variability in Functional Organization of the Human and Monkey Auditory Cortex","Ren J, Xu T, Wang D, Li M, Lin Y, Schoeppe F, Ramirez JSB, Han Y, Luan G, Li L, Liu H, Ahveninen J.","Cereb Cortex. 2021 Mar 31;31(5):2450-2465. doi: 10.1093/cercor/bhaa366.","Ren J","Cereb Cortex","2021","2020/12/22","PMC8023837","","10.1093/cercor/bhaa366"
