PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34375416","Using Tertiary Sulci to Map the ""Cognitive Globe"" of Prefrontal Cortex","Miller JA, D'Esposito M, Weiner KS.","J Cogn Neurosci. 2021 Aug 1;33(9):1698-1715. doi: 10.1162/jocn_a_01696.","Miller JA","J Cogn Neurosci","2021","2021/08/10","","","10.1162/jocn_a_01696"
"34312496","Neuromodulation of prefrontal cortex cognitive function in primates: the powerful roles of monoamines and acetylcholine","Cools R, Arnsten AFT.","Neuropsychopharmacology. 2021 Jul 26. doi: 10.1038/s41386-021-01100-8. Online ahead of print.","Cools R","Neuropsychopharmacology","2021","2021/07/27","","","10.1038/s41386-021-01100-8"
"34273134","Structure, function and connectivity fingerprints of the frontal eye field versus the inferior frontal junction: A comprehensive comparison","Bedini M, Baldauf D.","Eur J Neurosci. 2021 Jul 17. doi: 10.1111/ejn.15393. Online ahead of print.","Bedini M","Eur J Neurosci","2021","2021/07/17","","","10.1111/ejn.15393"
"34271158","Functional networks in non-human primate spinal cord and the effects of injury","Sengupta A, Mishra A, Wang F, Li M, Yang PF, Chen LM, Gore JC.","Neuroimage. 2021 Jul 14;240:118391. doi: 10.1016/j.neuroimage.2021.118391. Online ahead of print.","Sengupta A","Neuroimage","2021","2021/07/16","","","10.1016/j.neuroimage.2021.118391"
"34225933","Central and peripheral release of oxytocin: Relevance of neuroendocrine and neurotransmitter actions for physiology and behavior","Althammer F, Eliava M, Grinevich V.","Handb Clin Neurol. 2021;180:25-44. doi: 10.1016/B978-0-12-820107-7.00003-3.","Althammer F","Handb Clin Neurol","2021","2021/07/06","","","10.1016/B978-0-12-820107-7.00003-3"
"34222873","The role of the medial prefrontal cortex in cognition, ageing and dementia","Jobson DD, Hase Y, Clarkson AN, Kalaria RN.","Brain Commun. 2021 Jun 11;3(3):fcab125. doi: 10.1093/braincomms/fcab125. eCollection 2021 Jul.","Jobson DD","Brain Commun","2021","2021/07/05","PMC8249104","","10.1093/braincomms/fcab125"
"33839768","The Brain Circuits and Dynamics of Curiosity-Driven Behavior in Naturally Curious Marmosets","Tian X, Silva AC, Liu C.","Cereb Cortex. 2021 Jul 29;31(9):4220-4232. doi: 10.1093/cercor/bhab080.","Tian X","Cereb Cortex","2021","2021/04/11","","","10.1093/cercor/bhab080"
"33830272","The Orbitofrontal Cortex, Food Reward, Body Weight, and Obesity","Rolls ET.","Soc Cogn Affect Neurosci. 2021 Apr 8:nsab044. doi: 10.1093/scan/nsab044. Online ahead of print.","Rolls ET","Soc Cogn Affect Neurosci","2021","2021/04/08","","","10.1093/scan/nsab044"
"33827936","Distinct Functional and Structural Connectivity of the Human Hand-Knob Supported by Intraoperative Findings","Simone L, Viganò L, Fornia L, Howells H, Leonetti A, Puglisi G, Bellacicca A, Bello L, Cerri G.","J Neurosci. 2021 May 12;41(19):4223-4233. doi: 10.1523/JNEUROSCI.1574-20.2021. Epub 2021 Apr 7.","Simone L","J Neurosci","2021","2021/04/08","PMC8143196","","10.1523/JNEUROSCI.1574-20.2021"
"33656398","Using Tertiary Sulci to Map the ""Cognitive Globe"" of Prefrontal Cortex","Miller JA, D'Esposito M, Weiner KS.","J Cogn Neurosci. 2021 Mar 3:1-18. doi: 10.1162/jocn_a_01696. Online ahead of print.","Miller JA","J Cogn Neurosci","2021","2021/03/03","","","10.1162/jocn_a_01696"
"33647571","Chronic psychosocial stress and experimental pubertal delay affect socioemotional behavior and amygdala functional connectivity in adolescent female rhesus macaques","Pincus M, Godfrey JR, Feczko E, Earl E, Miranda-Dominguez O, Fair D, Wilson ME, Sanchez MM, Kelly C.","Psychoneuroendocrinology. 2021 May;127:105154. doi: 10.1016/j.psyneuen.2021.105154. Epub 2021 Feb 11.","Pincus M","Psychoneuroendocrinology","2021","2021/03/01","","","10.1016/j.psyneuen.2021.105154"
"33549746","Muting, not fragmentation, of functional brain networks under general anesthesia","Areshenkoff CN, Nashed JY, Hutchison RM, Hutchison M, Levy R, Cook DJ, Menon RS, Everling S, Gallivan JP.","Neuroimage. 2021 May 1;231:117830. doi: 10.1016/j.neuroimage.2021.117830. Epub 2021 Feb 4.","Areshenkoff CN","Neuroimage","2021","2021/02/07","","","10.1016/j.neuroimage.2021.117830"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33427167","Developmental outcomes of early adverse care on amygdala functional connectivity in nonhuman primates","Morin EL, Howell BR, Feczko E, Earl E, Pincus M, Reding K, Kovacs-Balint ZA, Meyer JS, Styner M, Fair D, Sanchez MM.","Dev Psychopathol. 2020 Dec;32(5):1579-1596. doi: 10.1017/S0954579420001133.","Morin EL","Dev Psychopathol","2020","2021/01/11","","","10.1017/S0954579420001133"
"33408615","Dynamic Interhemispheric Desynchronization in Marmosets and Humans With Disorders of the Corpus Callosum","Szczupak D, Yen CC, Liu C, Tian X, Lent R, Tovar-Moll F, Silva AC; IRC5 Consortium.","Front Neural Circuits. 2020 Dec 21;14:612595. doi: 10.3389/fncir.2020.612595. eCollection 2020.","Szczupak D","Front Neural Circuits","2020","2021/01/07","PMC7779638","","10.3389/fncir.2020.612595"
"33364600","The orbitofrontal cortex: reward, emotion and depression","Rolls ET, Cheng W, Feng J.","Brain Commun. 2020 Nov 16;2(2):fcaa196. doi: 10.1093/braincomms/fcaa196. eCollection 2020.","Rolls ET","Brain Commun","2020","2020/12/28","PMC7749795","","10.1093/braincomms/fcaa196"
"33350445","Individual Variability in Functional Organization of the Human and Monkey Auditory Cortex","Ren J, Xu T, Wang D, Li M, Lin Y, Schoeppe F, Ramirez JSB, Han Y, Luan G, Li L, Liu H, Ahveninen J.","Cereb Cortex. 2021 Mar 31;31(5):2450-2465. doi: 10.1093/cercor/bhaa366.","Ren J","Cereb Cortex","2021","2020/12/22","PMC8023837","","10.1093/cercor/bhaa366"
"33268770","Effects of long-term cocaine self-administration on brain resting-state functional connectivity in nonhuman primates","Kohut SJ, Mintzopoulos D, Kangas BD, Shields H, Brown K, Gillis TE, Rohan ML, Bergman J, Kaufman MJ.","Transl Psychiatry. 2020 Dec 2;10(1):420. doi: 10.1038/s41398-020-01101-z.","Kohut SJ","Transl Psychiatry","2020","2020/12/03","PMC7710734","","10.1038/s41398-020-01101-z"
"33263778","Mapping the neural circuitry of predator fear in the nonhuman primate","Montardy Q, Kwan WC, Mundinano IC, Fox DM, Wang L, Gross CT, Bourne JA.","Brain Struct Funct. 2021 Jan;226(1):195-205. doi: 10.1007/s00429-020-02176-6. Epub 2020 Dec 2.","Montardy Q","Brain Struct Funct","2021","2020/12/02","PMC7817595","","10.1007/s00429-020-02176-6"
"33248260","Resting state functional atlas and cerebral networks in mouse lemur primates at 11.7 Tesla","Garin CM, Nadkarni NA, Landeau B, Chételat G, Picq JL, Bougacha S, Dhenain M.","Neuroimage. 2021 Feb 1;226:117589. doi: 10.1016/j.neuroimage.2020.117589. Epub 2020 Nov 26.","Garin CM","Neuroimage","2021","2020/11/28","","","10.1016/j.neuroimage.2020.117589"
