PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28461475","Limitations of ex vivo measurements for in vivo neuroscience","Opitz A, Falchier A, Linn GS, Milham MP, Schroeder CE.","Proc Natl Acad Sci U S A. 2017 May 16;114(20):5243-5246. doi: 10.1073/pnas.1617024114. Epub 2017 May 1.","Opitz A","Proc Natl Acad Sci U S A","2017","2017/05/03","PMC5441777","","10.1073/pnas.1617024114"
"26599502","Functional imaging of the nonhuman primate Placenta with endogenous blood oxygen level-dependent contrast","Schabel MC, Roberts VHJ, Lo JO, Platt S, Grant KA, Frias AE, Kroenke CD.","Magn Reson Med. 2016 Nov;76(5):1551-1562. doi: 10.1002/mrm.26052. Epub 2015 Nov 24.","Schabel MC","Magn Reson Med","2016","2015/11/25","PMC4879634","NIHMS734169","10.1002/mrm.26052"
"25453739","Responses of monkey prefrontal neurons during the execution of transverse patterning","Nejime M, Inoue M, Saruwatari M, Mikami A, Nakamura K, Miyachi S.","Behav Brain Res. 2015 Feb 1;278:293-302. doi: 10.1016/j.bbr.2014.10.015. Epub 2014 Oct 22.","Nejime M","Behav Brain Res","2015","2014/12/03","","","10.1016/j.bbr.2014.10.015"
"25102559","Monkey cortex through fMRI glasses","Vanduffel W, Zhu Q, Orban GA.","Neuron. 2014 Aug 6;83(3):533-50. doi: 10.1016/j.neuron.2014.07.015.","Vanduffel W","Neuron","2014","2014/08/08","PMC4698430","NIHMS614180","10.1016/j.neuron.2014.07.015"
"24315566","A nonhuman primate model of human radiation-induced venocclusive liver disease and hepatocyte injury","Yannam GR, Han B, Setoyama K, Yamamoto T, Ito R, Brooks JM, Guzman-Lepe J, Galambos C, Fong JV, Deutsch M, Quader MA, Yamanouchi K, Kabarriti R, Mehta K, Soto-Gutierrez A, Roy-Chowdhury J, Locker J, Abe M, Enke CA, Baranowska-Kortylewicz J, Solberg TD, Guha C, Fox IJ.","Int J Radiat Oncol Biol Phys. 2014 Feb 1;88(2):404-411. doi: 10.1016/j.ijrobp.2013.10.037. Epub 2013 Dec 5.","Yannam GR","Int J Radiat Oncol Biol Phys","2014","2013/12/10","PMC3905315","NIHMS547945","10.1016/j.ijrobp.2013.10.037"
"22715879","Primary visual cortex: awareness and blindsight","Leopold DA.","Annu Rev Neurosci. 2012;35:91-109. doi: 10.1146/annurev-neuro-062111-150356.","Leopold DA","Annu Rev Neurosci","2012","2012/06/22","PMC3476047","NIHMS413122","10.1146/annurev-neuro-062111-150356"
"22308358","Phoneme and word recognition in the auditory ventral stream","DeWitt I, Rauschecker JP.","Proc Natl Acad Sci U S A. 2012 Feb 21;109(8):E505-14. doi: 10.1073/pnas.1113427109. Epub 2012 Feb 1.","DeWitt I","Proc Natl Acad Sci U S A","2012","2012/02/07","PMC3286918","","10.1073/pnas.1113427109"
"19471271","Maps and streams in the auditory cortex: nonhuman primates illuminate human speech processing","Rauschecker JP, Scott SK.","Nat Neurosci. 2009 Jun;12(6):718-24. doi: 10.1038/nn.2331. Epub 2009 May 26.","Rauschecker JP","Nat Neurosci","2009","2009/05/28","PMC2846110","NIHMS147975","10.1038/nn.2331"
"19084909","A unique case of cortical myoclonus sensitive to visual stimuli in the peripersonal space","Parasivam S, Cowey M, Day B, Thyagarajan D.","Mov Disord. 2009 Feb 15;24(3):422-5. doi: 10.1002/mds.21931.","Parasivam S","Mov Disord","2009","2008/12/17","","","10.1002/mds.21931"
"17537970","A labeled-line code for small and large numerosities in the monkey prefrontal cortex","Nieder A, Merten K.","J Neurosci. 2007 May 30;27(22):5986-93. doi: 10.1523/JNEUROSCI.1056-07.2007.","Nieder A","J Neurosci","2007","2007/06/01","PMC6672244","","10.1523/JNEUROSCI.1056-07.2007"
"14561612","Model of reversible cerebral ischemia in a monkey model","Jungreis CA, Nemoto E, Boada F, Horowitz MB.","AJNR Am J Neuroradiol. 2003 Oct;24(9):1834-6.","Jungreis CA","AJNR Am J Neuroradiol","2003","2003/10/17","PMC7976288","",""
"11530838","Medial temporal and prefrontal contributions to working memory tasks with novel and familiar stimuli","Stern CE, Sherman SJ, Kirchhoff BA, Hasselmo ME.","Hippocampus. 2001;11(4):337-46. doi: 10.1002/hipo.1048.","Stern CE","Hippocampus","2001","2001/09/04","","","10.1002/hipo.1048"
"11506546","Template images for nonhuman primate neuroimaging: 2. Macaque","Black KJ, Koller JM, Snyder AZ, Perlmutter JS.","Neuroimage. 2001 Sep;14(3):744-8. doi: 10.1006/nimg.2001.0871.","Black KJ","Neuroimage","2001","2001/08/17","","","10.1006/nimg.2001.0871"
"10899226","Dopamine D(1) agonist activates temporal lobe structures in primates","Black KJ, Hershey T, Gado MH, Perlmutter JS.","J Neurophysiol. 2000 Jul;84(1):549-57. doi: 10.1152/jn.2000.84.1.549.","Black KJ","J Neurophysiol","2000","2000/07/19","","","10.1152/jn.2000.84.1.549"
