PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33482086","Common fronto-temporal effective connectivity in humans and monkeys","Rocchi F, Oya H, Balezeau F, Billig AJ, Kocsis Z, Jenison RL, Nourski KV, Kovach CK, Steinschneider M, Kikuchi Y, Rhone AE, Dlouhy BJ, Kawasaki H, Adolphs R, Greenlee JDW, Griffiths TD, Howard MA 3rd, Petkov CI.","Neuron. 2021 Mar 3;109(5):852-868.e8. doi: 10.1016/j.neuron.2020.12.026. Epub 2021 Jan 21.","Rocchi F","Neuron","2021","2021/01/22","PMC7927917","NIHMS1670759","10.1016/j.neuron.2020.12.026"
"30048613","Primate Social Communication Goes Interactive","Nieder A.","Neuron. 2018 Jul 25;99(2):250-253. doi: 10.1016/j.neuron.2018.07.014.","Nieder A","Neuron","2018","2018/07/27","","","10.1016/j.neuron.2018.07.014"
"28258716","Functional interactions between the macaque dorsal and ventral visual pathways during three-dimensional object vision","Janssen P, Verhoef BE, Premereur E.","Cortex. 2018 Jan;98:218-227. doi: 10.1016/j.cortex.2017.01.021. Epub 2017 Feb 3.","Janssen P","Cortex","2018","2017/03/05","","","10.1016/j.cortex.2017.01.021"
"27530989","Ketamine-induced changes in connectivity of functional brain networks in awake female nonhuman primates: a translational functional imaging model","Gopinath K, Maltbie E, Urushino N, Kempf D, Howell L.","Psychopharmacology (Berl). 2016 Oct;233(21-22):3673-3684. doi: 10.1007/s00213-016-4401-z. Epub 2016 Aug 16.","Gopinath K","Psychopharmacology (Berl)","2016","2016/08/18","","","10.1007/s00213-016-4401-z"
"27196333","Neural mechanisms of face perception, their emergence over development, and their breakdown","Behrmann M, Scherf KS, Avidan G.","Wiley Interdiscip Rev Cogn Sci. 2016 Jul;7(4):247-63. doi: 10.1002/wcs.1388. Epub 2016 May 19.","Behrmann M","Wiley Interdiscip Rev Cogn Sci","2016","2016/05/20","","","10.1002/wcs.1388"
"26660447","Ketamine-induced brain activation in awake female nonhuman primates: a translational functional imaging model","Maltbie E, Gopinath K, Urushino N, Kempf D, Howell L.","Psychopharmacology (Berl). 2016 Mar;233(6):961-72. doi: 10.1007/s00213-015-4175-8. Epub 2015 Dec 10.","Maltbie E","Psychopharmacology (Berl)","2016","2015/12/15","PMC4761287","NIHMS744228","10.1007/s00213-015-4175-8"
"26305737","Differences in perceptual learning transfer as a function of training task","Green CS, Kattner F, Siegel MH, Kersten D, Schrater PR.","J Vis. 2015;15(10):5. doi: 10.1167/15.10.5.","Green CS","J Vis","2015","2015/08/26","","","10.1167/15.10.5"
"26041830","Activity in the human superior colliculus relating to endogenous saccade preparation and execution","Furlan M, Smith AT, Walker R.","J Neurophysiol. 2015 Aug;114(2):1048-58. doi: 10.1152/jn.00825.2014. Epub 2015 Jun 3.","Furlan M","J Neurophysiol","2015","2015/06/05","PMC4725108","","10.1152/jn.00825.2014"
"25390202","Tolerance of macaque middle STS body patch neurons to shape-preserving stimulus transformations","Popivanov ID, Jastorff J, Vanduffel W, Vogels R.","J Cogn Neurosci. 2015 May;27(5):1001-16. doi: 10.1162/jocn_a_00762. Epub 2014 Nov 12.","Popivanov ID","J Cogn Neurosci","2015","2014/11/13","","","10.1162/jocn_a_00762"
"24285866","Effects of unilateral deactivations of dorsolateral prefrontal cortex and anterior cingulate cortex on saccadic eye movements","Koval MJ, Hutchison RM, Lomber SG, Everling S.","J Neurophysiol. 2014 Feb;111(4):787-803. doi: 10.1152/jn.00626.2013. Epub 2013 Nov 27.","Koval MJ","J Neurophysiol","2014","2013/11/29","","","10.1152/jn.00626.2013"
"23077051","Dynamic reorganization of digit representations in somatosensory cortex of nonhuman primates after spinal cord injury","Chen LM, Qi HX, Kaas JH.","J Neurosci. 2012 Oct 17;32(42):14649-63. doi: 10.1523/JNEUROSCI.1841-12.2012.","Chen LM","J Neurosci","2012","2012/10/19","PMC3498942","NIHMS416090","10.1523/JNEUROSCI.1841-12.2012"
"22521814","Revisiting the hippocampal-amygdala pathway in primates: association with immature-appearing neurons","Fudge JL, deCampo DM, Becoats KT.","Neuroscience. 2012 Jun 14;212:104-19. doi: 10.1016/j.neuroscience.2012.03.040. Epub 2012 Apr 19.","Fudge JL","Neuroscience","2012","2012/04/24","PMC3367117","NIHMS371590","10.1016/j.neuroscience.2012.03.040"
"22253658","Methods for fine scale functional imaging of tactile motion in human and nonhuman primates","Friedman RM, Dillenburger BC, Wang F, Avison MJ, Gore JC, Roe AW, Chen LM.","Open Neuroimag J. 2011;5:160-71. doi: 10.2174/1874440001105010160. Epub 2011 Nov 18.","Friedman RM","Open Neuroimag J","2011","2012/01/19","PMC3257843","","10.2174/1874440001105010160"
"21993979","Occipital sulci of the human brain: variability and morphometry","Malikovic A, Vucetic B, Milisavljevic M, Tosevski J, Sazdanovic P, Milojevic B, Malobabic S.","Anat Sci Int. 2012 Jun;87(2):61-70. doi: 10.1007/s12565-011-0118-6. Epub 2011 Oct 13.","Malikovic A","Anat Sci Int","2012","2011/10/14","","","10.1007/s12565-011-0118-6"
"20809106","Visuomotor cerebellum in human and nonhuman primates","Voogd J, Schraa-Tam CK, van der Geest JN, De Zeeuw CI.","Cerebellum. 2012 Jun;11(2):392-410. doi: 10.1007/s12311-010-0204-7.","Voogd J","Cerebellum","2012","2010/09/03","PMC3359447","","10.1007/s12311-010-0204-7"
"20445067","Anatomical and functional connectivity of cytoarchitectonic areas within the human parietal operculum","Eickhoff SB, Jbabdi S, Caspers S, Laird AR, Fox PT, Zilles K, Behrens TE.","J Neurosci. 2010 May 5;30(18):6409-21. doi: 10.1523/JNEUROSCI.5664-09.2010.","Eickhoff SB","J Neurosci","2010","2010/05/07","PMC4791040","NIHMS765795","10.1523/JNEUROSCI.5664-09.2010"
"19931563","Characterization of trial-to-trial fluctuations in local field potentials recorded in cerebral cortex of awake behaving macaque","Menzer DL, Bokil H, Ryou JW, Schiff ND, Purpura KP, Mitra PP.","J Neurosci Methods. 2010 Feb 15;186(2):250-61. doi: 10.1016/j.jneumeth.2009.11.012. Epub 2009 Dec 1.","Menzer DL","J Neurosci Methods","2010","2009/11/26","PMC2815007","NIHMS164785","10.1016/j.jneumeth.2009.11.012"
"19633556","Functional imaging of human auditory cortex","Woods DL, Alain C.","Curr Opin Otolaryngol Head Neck Surg. 2009 Oct;17(5):407-11. doi: 10.1097/MOO.0b013e3283303330.","Woods DL","Curr Opin Otolaryngol Head Neck Surg","2009","2009/07/28","","","10.1097/MOO.0b013e3283303330"
"19471271","Maps and streams in the auditory cortex: nonhuman primates illuminate human speech processing","Rauschecker JP, Scott SK.","Nat Neurosci. 2009 Jun;12(6):718-24. doi: 10.1038/nn.2331. Epub 2009 May 26.","Rauschecker JP","Nat Neurosci","2009","2009/05/28","PMC2846110","NIHMS147975","10.1038/nn.2331"
"19358457","Anatomical organization of the auditory cortex","Hackett TA.","J Am Acad Audiol. 2008 Nov-Dec;19(10):774-9. doi: 10.3766/jaaa.19.10.5.","Hackett TA","J Am Acad Audiol","2008","2009/04/11","","","10.3766/jaaa.19.10.5"
"18308569","Communicative signaling activates 'Broca's' homolog in chimpanzees","Taglialatela JP, Russell JL, Schaeffer JA, Hopkins WD.","Curr Biol. 2008 Mar 11;18(5):343-8. doi: 10.1016/j.cub.2008.01.049. Epub 2008 Feb 28.","Taglialatela JP","Curr Biol","2008","2008/03/01","PMC2665181","NIHMS96059","10.1016/j.cub.2008.01.049"
"17715585","Recognizing emotion from facial expressions: psychological and neurological mechanisms","Adolphs R.","Behav Cogn Neurosci Rev. 2002 Mar;1(1):21-62. doi: 10.1177/1534582302001001003.","Adolphs R","Behav Cogn Neurosci Rev","2002","2007/08/25","","","10.1177/1534582302001001003"
"17678445","The biological basis of audition","Recanzone GH, Sutter ML.","Annu Rev Psychol. 2008;59:119-42. doi: 10.1146/annurev.psych.59.103006.093544.","Recanzone GH","Annu Rev Psychol","2008","2007/08/07","PMC3856181","NIHMS89153","10.1146/annurev.psych.59.103006.093544"
"17314280","Functional imaging reveals visual modulation of specific fields in auditory cortex","Kayser C, Petkov CI, Augath M, Logothetis NK.","J Neurosci. 2007 Feb 21;27(8):1824-35. doi: 10.1523/JNEUROSCI.4737-06.2007.","Kayser C","J Neurosci","2007","2007/02/23","PMC6673538","","10.1523/JNEUROSCI.4737-06.2007"
"17172632","Receptive fields in human visual cortex mapped with surface electrodes","Yoshor D, Bosking WH, Ghose GM, Maunsell JH.","Cereb Cortex. 2007 Oct;17(10):2293-302. doi: 10.1093/cercor/bhl138. Epub 2006 Dec 16.","Yoshor D","Cereb Cortex","2007","2006/12/19","","","10.1093/cercor/bhl138"
"16717257","Schizophrenia in translation: the presence of absence: habenular regulation of dopamine neurons and the encoding of negative outcomes","Shepard PD, Holcomb HH, Gold JM.","Schizophr Bull. 2006 Jul;32(3):417-21. doi: 10.1093/schbul/sbj083. Epub 2006 May 22.","Shepard PD","Schizophr Bull","2006","2006/05/24","PMC2632249","","10.1093/schbul/sbj083"
