PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34140486","Dendritic calcium signals in rhesus macaque motor cortex drive an optical brain-computer interface","Trautmann EM, O'Shea DJ, Sun X, Marshel JH, Crow A, Hsueh B, Vesuna S, Cofer L, Bohner G, Allen W, Kauvar I, Quirin S, MacDougall M, Chen Y, Whitmire MP, Ramakrishnan C, Sahani M, Seidemann E, Ryu SI, Deisseroth K, Shenoy KV.","Nat Commun. 2021 Jun 17;12(1):3689. doi: 10.1038/s41467-021-23884-5.","Trautmann EM","Nat Commun","2021","2021/06/18","PMC8211867","","10.1038/s41467-021-23884-5"
"33967709","Comparison of Scalp ERP to Faces in Macaques and Humans","Orczyk J, Schroeder CE, Abeles IY, Gomez-Ramirez M, Butler PD, Kajikawa Y.","Front Syst Neurosci. 2021 Apr 16;15:667611. doi: 10.3389/fnsys.2021.667611. eCollection 2021.","Orczyk J","Front Syst Neurosci","2021","2021/05/10","PMC8101630","","10.3389/fnsys.2021.667611"
"33577936","Organization of the macaque monkey inferior parietal lobule based on multimodal receptor architectonics","Niu M, Rapan L, Funck T, Froudist-Walsh S, Zhao L, Zilles K, Palomero-Gallagher N.","Neuroimage. 2021 May 1;231:117843. doi: 10.1016/j.neuroimage.2021.117843. Epub 2021 Feb 10.","Niu M","Neuroimage","2021","2021/02/12","PMC8188735","NIHMS1702873","10.1016/j.neuroimage.2021.117843"
"33511726","An 8-dipole transceive and 24-loop receive array for non-human primate head imaging at 10.5 T","Lagore RL, Moeller S, Zimmermann J, DelaBarre L, Radder J, Grant A, Ugurbil K, Yacoub E, Harel N, Adriany G.","NMR Biomed. 2021 Apr;34(4):e4472. doi: 10.1002/nbm.4472. Epub 2021 Jan 29.","Lagore RL","NMR Biomed","2021","2021/01/29","PMC8103796","NIHMS1682364","10.1002/nbm.4472"
"33482086","Common fronto-temporal effective connectivity in humans and monkeys","Rocchi F, Oya H, Balezeau F, Billig AJ, Kocsis Z, Jenison RL, Nourski KV, Kovach CK, Steinschneider M, Kikuchi Y, Rhone AE, Dlouhy BJ, Kawasaki H, Adolphs R, Greenlee JDW, Griffiths TD, Howard MA 3rd, Petkov CI.","Neuron. 2021 Mar 3;109(5):852-868.e8. doi: 10.1016/j.neuron.2020.12.026. Epub 2021 Jan 21.","Rocchi F","Neuron","2021","2021/01/22","PMC7927917","NIHMS1670759","10.1016/j.neuron.2020.12.026"
"33028641","Effective Connectivity Reveals an Interconnected Inferotemporal Network for Three-Dimensional Structure Processing","Premereur E, Janssen P.","J Neurosci. 2020 Oct 28;40(44):8501-8512. doi: 10.1523/JNEUROSCI.3024-19.2020. Epub 2020 Oct 7.","Premereur E","J Neurosci","2020","2020/10/08","PMC7605415","","10.1523/JNEUROSCI.3024-19.2020"
"32875354","Wide-field retinotopy reveals a new visuotopic cluster in macaque posterior parietal cortex","Rima S, Cottereau BR, Héjja-Brichard Y, Trotter Y, Durand JB.","Brain Struct Funct. 2020 Nov;225(8):2447-2461. doi: 10.1007/s00429-020-02134-2. Epub 2020 Sep 2.","Rima S","Brain Struct Funct","2020","2020/09/03","PMC7544618","","10.1007/s00429-020-02134-2"
"32745675","Mapping subcomponents of numerical cognition in relation to functional and anatomical landmarks of human parietal cortex","Castaldi E, Vignaud A, Eger E.","Neuroimage. 2020 Nov 1;221:117210. doi: 10.1016/j.neuroimage.2020.117210. Epub 2020 Aug 1.","Castaldi E","Neuroimage","2020","2020/08/04","","","10.1016/j.neuroimage.2020.117210"
"32226552","NIR-II fluorescence microscopic imaging of cortical vasculature in non-human primates","Cai Z, Zhu L, Wang M, Roe AW, Xi W, Qian J.","Theranostics. 2020 Mar 4;10(9):4265-4276. doi: 10.7150/thno.43533. eCollection 2020.","Cai Z","Theranostics","2020","2020/04/01","PMC7086344","","10.7150/thno.43533"
"32081631","A 16-channel loop array for in vivo macaque whole-brain imaging at 3 T","Quan Z, Gao Y, Qu S, Wang X, Friedman RM, Chernov MM, Kroenke CD, Roe AW, Zhang X.","Magn Reson Imaging. 2020 May;68:167-172. doi: 10.1016/j.mri.2020.02.008. Epub 2020 Feb 17.","Quan Z","Magn Reson Imaging","2020","2020/02/22","PMC7784245","NIHMS1655088","10.1016/j.mri.2020.02.008"
