PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34140486","Dendritic calcium signals in rhesus macaque motor cortex drive an optical brain-computer interface","Trautmann EM, O'Shea DJ, Sun X, Marshel JH, Crow A, Hsueh B, Vesuna S, Cofer L, Bohner G, Allen W, Kauvar I, Quirin S, MacDougall M, Chen Y, Whitmire MP, Ramakrishnan C, Sahani M, Seidemann E, Ryu SI, Deisseroth K, Shenoy KV.","Nat Commun. 2021 Jun 17;12(1):3689. doi: 10.1038/s41467-021-23884-5.","Trautmann EM","Nat Commun","2021","2021/06/18","PMC8211867","","10.1038/s41467-021-23884-5"
"33967709","Comparison of Scalp ERP to Faces in Macaques and Humans","Orczyk J, Schroeder CE, Abeles IY, Gomez-Ramirez M, Butler PD, Kajikawa Y.","Front Syst Neurosci. 2021 Apr 16;15:667611. doi: 10.3389/fnsys.2021.667611. eCollection 2021.","Orczyk J","Front Syst Neurosci","2021","2021/05/10","PMC8101630","","10.3389/fnsys.2021.667611"
"32081631","A 16-channel loop array for in vivo macaque whole-brain imaging at 3 T","Quan Z, Gao Y, Qu S, Wang X, Friedman RM, Chernov MM, Kroenke CD, Roe AW, Zhang X.","Magn Reson Imaging. 2020 May;68:167-172. doi: 10.1016/j.mri.2020.02.008. Epub 2020 Feb 17.","Quan Z","Magn Reson Imaging","2020","2020/02/22","PMC7784245","NIHMS1655088","10.1016/j.mri.2020.02.008"
"31461747","Orbitofrontal cortex is selectively activated in a primate model of attentional bias to cocaine cues","Baeg E, Jedema HP, Bradberry CW.","Neuropsychopharmacology. 2020 Mar;45(4):675-682. doi: 10.1038/s41386-019-0499-0. Epub 2019 Aug 28.","Baeg E","Neuropsychopharmacology","2020","2019/08/29","PMC7021823","","10.1038/s41386-019-0499-0"
"28257839","Visual cortex and auditory cortex activation in early binocularly blind macaques: A BOLD-fMRI study using auditory stimuli","Wang R, Wu L, Tang Z, Sun X, Feng X, Tang W, Qian W, Wang J, Jin L, Zhong Y, Xiao Z.","Biochem Biophys Res Commun. 2017 Apr 15;485(4):796-801. doi: 10.1016/j.bbrc.2017.02.133. Epub 2017 Feb 28.","Wang R","Biochem Biophys Res Commun","2017","2017/03/05","","","10.1016/j.bbrc.2017.02.133"
"27379816","PET CT Identifies Reactivation Risk in Cynomolgus Macaques with Latent M. tuberculosis","Lin PL, Maiello P, Gideon HP, Coleman MT, Cadena AM, Rodgers MA, Gregg R, O'Malley M, Tomko J, Fillmore D, Frye LJ, Rutledge T, DiFazio RM, Janssen C, Klein E, Andersen PL, Fortune SM, Flynn JL.","PLoS Pathog. 2016 Jul 5;12(7):e1005739. doi: 10.1371/journal.ppat.1005739. eCollection 2016 Jul.","Lin PL","PLoS Pathog","2016","2016/07/06","PMC4933353","","10.1371/journal.ppat.1005739"
"26599502","Functional imaging of the nonhuman primate Placenta with endogenous blood oxygen level-dependent contrast","Schabel MC, Roberts VHJ, Lo JO, Platt S, Grant KA, Frias AE, Kroenke CD.","Magn Reson Med. 2016 Nov;76(5):1551-1562. doi: 10.1002/mrm.26052. Epub 2015 Nov 24.","Schabel MC","Magn Reson Med","2016","2015/11/25","PMC4879634","NIHMS734169","10.1002/mrm.26052"
"22796995","Stimulus representations in body-selective regions of the macaque cortex assessed with event-related fMRI","Popivanov ID, Jastorff J, Vanduffel W, Vogels R.","Neuroimage. 2012 Nov 1;63(2):723-41. doi: 10.1016/j.neuroimage.2012.07.013. Epub 2012 Jul 14.","Popivanov ID","Neuroimage","2012","2012/07/17","","","10.1016/j.neuroimage.2012.07.013"
"22230769","High resolution 3T fMRI in anesthetized monkeys","Pró-Sistiaga P, Lamberton F, Boraud T, Saulnier R, Young AR, Bioulac B, Gross C, Mazoyer B.","J Neurosci Methods. 2012 Mar 30;205(1):86-95. doi: 10.1016/j.jneumeth.2011.12.023. Epub 2012 Jan 2.","Pró-Sistiaga P","J Neurosci Methods","2012","2012/01/11","","","10.1016/j.jneumeth.2011.12.023"
"21653870","Prefrontal cortex deactivation in macaques alters activity in the superior colliculus and impairs voluntary control of saccades","Koval MJ, Lomber SG, Everling S.","J Neurosci. 2011 Jun 8;31(23):8659-68. doi: 10.1523/JNEUROSCI.1258-11.2011.","Koval MJ","J Neurosci","2011","2011/06/10","PMC6623349","","10.1523/JNEUROSCI.1258-11.2011"
"21273409","Vascularization of cytochrome oxidase-rich blobs in the primary visual cortex of squirrel and macaque monkeys","Keller AL, Schüz A, Logothetis NK, Weber B.","J Neurosci. 2011 Jan 26;31(4):1246-53. doi: 10.1523/JNEUROSCI.2765-10.2011.","Keller AL","J Neurosci","2011","2011/01/29","PMC6623626","","10.1523/JNEUROSCI.2765-10.2011"
"20727941","Cortical activation during color discrimination task in macaques as revealed by positron emission tomography","Katsuyama N, Imamura K, Onoe H, Tanaka HK, Onoe K, Tsukada H, Watanabe Y.","Neurosci Lett. 2010 Nov 5;484(3):168-73. doi: 10.1016/j.neulet.2010.08.040. Epub 2010 Aug 19.","Katsuyama N","Neurosci Lett","2010","2010/08/24","","","10.1016/j.neulet.2010.08.040"
"17689268","Human cortical representations for reaching: mirror neurons for execution, observation, and imagery","Filimon F, Nelson JD, Hagler DJ, Sereno MI.","Neuroimage. 2007 Oct 1;37(4):1315-28. doi: 10.1016/j.neuroimage.2007.06.008. Epub 2007 Jun 18.","Filimon F","Neuroimage","2007","2007/08/11","PMC2045689","NIHMS31092","10.1016/j.neuroimage.2007.06.008"
