PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34296183","On the Complexity of Resting State Spiking Activity in Monkey Motor Cortex","Dąbrowska PA, Voges N, von Papen M, Ito J, Dahmen D, Riehle A, Brochier T, Grün S.","Cereb Cortex Commun. 2021 May 18;2(3):tgab033. doi: 10.1093/texcom/tgab033. eCollection 2021.","Dąbrowska PA","Cereb Cortex Commun","2021","2021/07/23","PMC8271144","","10.1093/texcom/tgab033"
"34296111","A Causal Role of Area hMST for Self-Motion Perception in Humans","Schmitt C, Baltaretu BR, Crawford JD, Bremmer F.","Cereb Cortex Commun. 2020 Jul 30;1(1):tgaa042. doi: 10.1093/texcom/tgaa042. eCollection 2020.","Schmitt C","Cereb Cortex Commun","2020","2021/07/23","PMC8152865","","10.1093/texcom/tgaa042"
"34210891","A fast link between face perception and memory in the temporal pole","Landi SM, Viswanathan P, Serene S, Freiwald WA.","Science. 2021 Jul 30;373(6554):581-585. doi: 10.1126/science.abi6671. Epub 2021 Jul 1.","Landi SM","Science","2021","2021/07/02","","","10.1126/science.abi6671"
"34011626","Na(v)1.7 target modulation and efficacy can be measured in nonhuman primate assays","Kraus RL, Zhao F, Pall PS, Zhou D, Vardigan JD, Danziger A, Li Y, Daley C, Ballard JE, Clements MK, Klein RM, Holahan MA, Greshock TJ, Kim RM, Layton ME, Burgey CS, Serra J, Henze DA, Houghton AK.","Sci Transl Med. 2021 May 19;13(594):eaay1050. doi: 10.1126/scitranslmed.aay1050.","Kraus RL","Sci Transl Med","2021","2021/05/20","","","10.1126/scitranslmed.aay1050"
"33866360","The Causal Role of Three Frontal Cortical Areas in Grasping","Caprara I, Janssen P.","Cereb Cortex. 2021 Jul 29;31(9):4274-4288. doi: 10.1093/cercor/bhab085.","Caprara I","Cereb Cortex","2021","2021/04/18","","","10.1093/cercor/bhab085"
"33853400","Pharmacological modulation of brain activation to non-noxious stimulation in a cynomolgus macaque model of peripheral nerve injury","Hama A, Yano M, Sotogawa W, Fujii R, Awaga Y, Natsume T, Hayashi I, Takamatsu H.","Mol Pain. 2021 Jan-Dec;17:17448069211008697. doi: 10.1177/17448069211008697.","Hama A","Mol Pain","2021","2021/04/15","PMC8053757","","10.1177/17448069211008697"
"33787492","Neural network of social interaction observation in marmosets","Cléry JC, Hori Y, Schaeffer DJ, Menon RS, Everling S.","Elife. 2021 Mar 31;10:e65012. doi: 10.7554/eLife.65012.","Cléry JC","Elife","2021","2021/03/31","PMC8024015","","10.7554/eLife.65012"
"33593730","MRI Compatible, Customizable, and 3D-Printable Microdrive for Neuroscience Research","Baeg E, Doudlah R, Swader R, Lee H, Han M, Kim SG, Rosenberg A, Kim B.","eNeuro. 2021 Mar 12;8(2):ENEURO.0495-20.2021. doi: 10.1523/ENEURO.0495-20.2021. Print 2021 Mar-Apr.","Baeg E","eNeuro","2021","2021/02/17","PMC7986532","","10.1523/ENEURO.0495-20.2021"
"33427167","Developmental outcomes of early adverse care on amygdala functional connectivity in nonhuman primates","Morin EL, Howell BR, Feczko E, Earl E, Pincus M, Reding K, Kovacs-Balint ZA, Meyer JS, Styner M, Fair D, Sanchez MM.","Dev Psychopathol. 2020 Dec;32(5):1579-1596. doi: 10.1017/S0954579420001133.","Morin EL","Dev Psychopathol","2020","2021/01/11","","","10.1017/S0954579420001133"
"33112698","Whole brain mapping of somatosensory responses in awake marmosets investigated with ultra-high-field fMRI","Cléry JC, Hori Y, Schaeffer DJ, Gati JS, Pruszynski JA, Everling S.","J Neurophysiol. 2020 Dec 1;124(6):1900-1913. doi: 10.1152/jn.00480.2020. Epub 2020 Oct 28.","Cléry JC","J Neurophysiol","2020","2020/10/28","","","10.1152/jn.00480.2020"
"32960419","MRI-based Parcellation and Morphometry of the Individual Rhesus Monkey Brain: the macaque Harvard-Oxford Atlas (mHOA), a translational system referencing a standardized ontology","Rushmore RJ, Bouix S, Kubicki M, Rathi Y, Rosene DL, Yeterian EH, Makris N.","Brain Imaging Behav. 2021 Jun;15(3):1589-1621. doi: 10.1007/s11682-020-00357-9.","Rushmore RJ","Brain Imaging Behav","2021","2020/09/22","","","10.1007/s11682-020-00357-9"
"32954410","Sulcal Depth in the Medial Ventral Temporal Cortex Predicts the Location of a Place-Selective Region in Macaques, Children, and Adults","Natu VS, Arcaro MJ, Barnett MA, Gomez J, Livingstone M, Grill-Spector K, Weiner KS.","Cereb Cortex. 2021 Jan 1;31(1):48-61. doi: 10.1093/cercor/bhaa203.","Natu VS","Cereb Cortex","2021","2020/09/21","PMC7727388","","10.1093/cercor/bhaa203"
"32898683","Ultra-high field (10.5 T) resting state fMRI in the macaque","Yacoub E, Grier MD, Auerbach EJ, Lagore RL, Harel N, Adriany G, Zilverstand A, Hayden BY, Heilbronner SR, Uğurbil K, Zimmermann J.","Neuroimage. 2020 Dec;223:117349. doi: 10.1016/j.neuroimage.2020.117349. Epub 2020 Sep 6.","Yacoub E","Neuroimage","2020","2020/09/08","PMC7745777","NIHMS1651795","10.1016/j.neuroimage.2020.117349"
"32366956","Rapid event-related, BOLD fMRI, non-human primates (NHP): choose two out of three","Pelekanos V, Mok RM, Joly O, Ainsworth M, Kyriazis D, Kelly MG, Bell AH, Kriegeskorte N.","Sci Rep. 2020 May 4;10(1):7485. doi: 10.1038/s41598-020-64376-8.","Pelekanos V","Sci Rep","2020","2020/05/06","PMC7198564","","10.1038/s41598-020-64376-8"
"32227117","Stereomotion Processing in the Nonhuman Primate Brain","Héjja-Brichard Y, Rima S, Rapha E, Durand JB, Cottereau BR.","Cereb Cortex. 2020 Jun 30;30(8):4528-4543. doi: 10.1093/cercor/bhaa055.","Héjja-Brichard Y","Cereb Cortex","2020","2020/04/01","","","10.1093/cercor/bhaa055"
"32142704","A Network of Topographic Maps in Human Association Cortex Hierarchically Transforms Visual Timing-Selective Responses","Harvey BM, Dumoulin SO, Fracasso A, Paul JM.","Curr Biol. 2020 Apr 20;30(8):1424-1434.e6. doi: 10.1016/j.cub.2020.01.090. Epub 2020 Mar 5.","Harvey BM","Curr Biol","2020","2020/03/07","PMC7181178","","10.1016/j.cub.2020.01.090"
"31830589","Dynamic causal modelling of phase-amplitude interactions","Fagerholm ED, Moran RJ, Violante IR, Leech R, Friston KJ.","Neuroimage. 2020 Mar;208:116452. doi: 10.1016/j.neuroimage.2019.116452. Epub 2019 Dec 9.","Fagerholm ED","Neuroimage","2020","2019/12/13","","","10.1016/j.neuroimage.2019.116452"
"31768458","Brain Activation in a Cynomolgus Macaque Model of Chymopapain-Induced Discogenic Low Back Pain: A Preliminary Study","Ushirozako H, Yoshida G, Togawa D, Omura T, Hasegawa T, Yamato Y, Banno T, Arima H, Oe S, Mihara Y, Yamada T, Natsume T, Ogawa S, Awaga Y, Takamatsu H, Matsuyama Y.","Spine Surg Relat Res. 2019 Apr 5;3(4):368-376. doi: 10.22603/ssrr.2018-0110. eCollection 2019.","Ushirozako H","Spine Surg Relat Res","2019","2019/11/27","PMC6834467","","10.22603/ssrr.2018-0110"
"31682802","Brain activity changes in a monkey model of central post-stroke pain","Nagasaka K, Takashima I, Matsuda K, Higo N.","Exp Neurol. 2020 Jan;323:113096. doi: 10.1016/j.expneurol.2019.113096. Epub 2019 Nov 1.","Nagasaka K","Exp Neurol","2020","2019/11/05","","","10.1016/j.expneurol.2019.113096"
"31479755","Task-based fMRI of a free-viewing visuo-saccadic network in the marmoset monkey","Schaeffer DJ, Gilbert KM, Hori Y, Hayrynen LK, Johnston KD, Gati JS, Menon RS, Everling S.","Neuroimage. 2019 Nov 15;202:116147. doi: 10.1016/j.neuroimage.2019.116147. Epub 2019 Aug 31.","Schaeffer DJ","Neuroimage","2019","2019/09/04","","","10.1016/j.neuroimage.2019.116147"
"31072758","Interindividual Variability of Functional Connectivity in Awake and Anesthetized Rhesus Macaque Monkeys","Xu T, Sturgeon D, Ramirez JSB, Froudist-Walsh S, Margulies DS, Schroeder CE, Fair DA, Milham MP.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2019 Jun;4(6):543-553. doi: 10.1016/j.bpsc.2019.02.005. Epub 2019 Mar 11.","Xu T","Biol Psychiatry Cogn Neurosci Neuroimaging","2019","2019/05/11","PMC7063583","NIHMS1564519","10.1016/j.bpsc.2019.02.005"
