PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34290088","Global waves synchronize the brain's functional systems with fluctuating arousal","Raut RV, Snyder AZ, Mitra A, Yellin D, Fujii N, Malach R, Raichle ME.","Sci Adv. 2021 Jul 21;7(30):eabf2709. doi: 10.1126/sciadv.abf2709. Print 2021 Jul.","Raut RV","Sci Adv","2021","2021/07/22","PMC8294763","","10.1126/sciadv.abf2709"
"34011626","Na(v)1.7 target modulation and efficacy can be measured in nonhuman primate assays","Kraus RL, Zhao F, Pall PS, Zhou D, Vardigan JD, Danziger A, Li Y, Daley C, Ballard JE, Clements MK, Klein RM, Holahan MA, Greshock TJ, Kim RM, Layton ME, Burgey CS, Serra J, Henze DA, Houghton AK.","Sci Transl Med. 2021 May 19;13(594):eaay1050. doi: 10.1126/scitranslmed.aay1050.","Kraus RL","Sci Transl Med","2021","2021/05/20","","","10.1126/scitranslmed.aay1050"
"33408410","Activation and disruption of a neural mechanism for novel choice in monkeys","Bongioanni A, Folloni D, Verhagen L, Sallet J, Klein-Flügge MC, Rushworth MFS.","Nature. 2021 Mar;591(7849):270-274. doi: 10.1038/s41586-020-03115-5. Epub 2021 Jan 6.","Bongioanni A","Nature","2021","2021/01/07","PMC7116896","EMS115990","10.1038/s41586-020-03115-5"
"33350445","Individual Variability in Functional Organization of the Human and Monkey Auditory Cortex","Ren J, Xu T, Wang D, Li M, Lin Y, Schoeppe F, Ramirez JSB, Han Y, Luan G, Li L, Liu H, Ahveninen J.","Cereb Cortex. 2021 Mar 31;31(5):2450-2465. doi: 10.1093/cercor/bhaa366.","Ren J","Cereb Cortex","2021","2020/12/22","PMC8023837","","10.1093/cercor/bhaa366"
"33125367","Multiple systems in macaques for tracking prediction errors and other types of surprise","Grohn J, Schüffelgen U, Neubert FX, Bongioanni A, Verhagen L, Sallet J, Kolling N, Rushworth MFS.","PLoS Biol. 2020 Oct 30;18(10):e3000899. doi: 10.1371/journal.pbio.3000899. eCollection 2020 Oct.","Grohn J","PLoS Biol","2020","2020/10/30","PMC7657565","","10.1371/journal.pbio.3000899"
"33112698","Whole brain mapping of somatosensory responses in awake marmosets investigated with ultra-high-field fMRI","Cléry JC, Hori Y, Schaeffer DJ, Gati JS, Pruszynski JA, Everling S.","J Neurophysiol. 2020 Dec 1;124(6):1900-1913. doi: 10.1152/jn.00480.2020. Epub 2020 Oct 28.","Cléry JC","J Neurophysiol","2020","2020/10/28","","","10.1152/jn.00480.2020"
"32954410","Sulcal Depth in the Medial Ventral Temporal Cortex Predicts the Location of a Place-Selective Region in Macaques, Children, and Adults","Natu VS, Arcaro MJ, Barnett MA, Gomez J, Livingstone M, Grill-Spector K, Weiner KS.","Cereb Cortex. 2021 Jan 1;31(1):48-61. doi: 10.1093/cercor/bhaa203.","Natu VS","Cereb Cortex","2021","2020/09/21","PMC7727388","","10.1093/cercor/bhaa203"
"32898683","Ultra-high field (10.5 T) resting state fMRI in the macaque","Yacoub E, Grier MD, Auerbach EJ, Lagore RL, Harel N, Adriany G, Zilverstand A, Hayden BY, Heilbronner SR, Uğurbil K, Zimmermann J.","Neuroimage. 2020 Dec;223:117349. doi: 10.1016/j.neuroimage.2020.117349. Epub 2020 Sep 6.","Yacoub E","Neuroimage","2020","2020/09/08","PMC7745777","NIHMS1651795","10.1016/j.neuroimage.2020.117349"
"32724052","Global reward state affects learning and activity in raphe nucleus and anterior insula in monkeys","Wittmann MK, Fouragnan E, Folloni D, Klein-Flügge MC, Chau BKH, Khamassi M, Rushworth MFS.","Nat Commun. 2020 Jul 28;11(1):3771. doi: 10.1038/s41467-020-17343-w.","Wittmann MK","Nat Commun","2020","2020/07/30","PMC7387352","","10.1038/s41467-020-17343-w"
"32366956","Rapid event-related, BOLD fMRI, non-human primates (NHP): choose two out of three","Pelekanos V, Mok RM, Joly O, Ainsworth M, Kyriazis D, Kelly MG, Bell AH, Kriegeskorte N.","Sci Rep. 2020 May 4;10(1):7485. doi: 10.1038/s41598-020-64376-8.","Pelekanos V","Sci Rep","2020","2020/05/06","PMC7198564","","10.1038/s41598-020-64376-8"
"32279076","Frequency- and State-Dependent Network Effects of Electrical Stimulation Targeting the Ventral Tegmental Area in Macaques","Murris SR, Arsenault JT, Vanduffel W.","Cereb Cortex. 2020 Jun 30;30(8):4281-4296. doi: 10.1093/cercor/bhaa007.","Murris SR","Cereb Cortex","2020","2020/04/13","PMC7325806","","10.1093/cercor/bhaa007"
"32227117","Stereomotion Processing in the Nonhuman Primate Brain","Héjja-Brichard Y, Rima S, Rapha E, Durand JB, Cottereau BR.","Cereb Cortex. 2020 Jun 30;30(8):4528-4543. doi: 10.1093/cercor/bhaa055.","Héjja-Brichard Y","Cereb Cortex","2020","2020/04/01","","","10.1093/cercor/bhaa055"
