PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34296183","On the Complexity of Resting State Spiking Activity in Monkey Motor Cortex","Dąbrowska PA, Voges N, von Papen M, Ito J, Dahmen D, Riehle A, Brochier T, Grün S.","Cereb Cortex Commun. 2021 May 18;2(3):tgab033. doi: 10.1093/texcom/tgab033. eCollection 2021.","Dąbrowska PA","Cereb Cortex Commun","2021","2021/07/23","PMC8271144","","10.1093/texcom/tgab033"
"34296111","A Causal Role of Area hMST for Self-Motion Perception in Humans","Schmitt C, Baltaretu BR, Crawford JD, Bremmer F.","Cereb Cortex Commun. 2020 Jul 30;1(1):tgaa042. doi: 10.1093/texcom/tgaa042. eCollection 2020.","Schmitt C","Cereb Cortex Commun","2020","2021/07/23","PMC8152865","","10.1093/texcom/tgaa042"
"33822908","Brain Activity Fluctuations Propagate as Waves Traversing the Cortical Hierarchy","Gu Y, Sainburg LE, Kuang S, Han F, Williams JW, Liu Y, Zhang N, Zhang X, Leopold DA, Liu X.","Cereb Cortex. 2021 Jul 29;31(9):3986-4005. doi: 10.1093/cercor/bhab064.","Gu Y","Cereb Cortex","2021","2021/04/06","","","10.1093/cercor/bhab064"
"33593730","MRI Compatible, Customizable, and 3D-Printable Microdrive for Neuroscience Research","Baeg E, Doudlah R, Swader R, Lee H, Han M, Kim SG, Rosenberg A, Kim B.","eNeuro. 2021 Mar 12;8(2):ENEURO.0495-20.2021. doi: 10.1523/ENEURO.0495-20.2021. Print 2021 Mar-Apr.","Baeg E","eNeuro","2021","2021/02/17","PMC7986532","","10.1523/ENEURO.0495-20.2021"
"33427167","Developmental outcomes of early adverse care on amygdala functional connectivity in nonhuman primates","Morin EL, Howell BR, Feczko E, Earl E, Pincus M, Reding K, Kovacs-Balint ZA, Meyer JS, Styner M, Fair D, Sanchez MM.","Dev Psychopathol. 2020 Dec;32(5):1579-1596. doi: 10.1017/S0954579420001133.","Morin EL","Dev Psychopathol","2020","2021/01/11","","","10.1017/S0954579420001133"
"33350445","Individual Variability in Functional Organization of the Human and Monkey Auditory Cortex","Ren J, Xu T, Wang D, Li M, Lin Y, Schoeppe F, Ramirez JSB, Han Y, Luan G, Li L, Liu H, Ahveninen J.","Cereb Cortex. 2021 Mar 31;31(5):2450-2465. doi: 10.1093/cercor/bhaa366.","Ren J","Cereb Cortex","2021","2020/12/22","PMC8023837","","10.1093/cercor/bhaa366"
"33087474","Structure of Population Activity in Primary Motor Cortex for Single Finger Flexion and Extension","Arbuckle SA, Weiler J, Kirk EA, Rice CL, Schieber M, Pruszynski JA, Ejaz N, Diedrichsen J.","J Neurosci. 2020 Nov 25;40(48):9210-9223. doi: 10.1523/JNEUROSCI.0999-20.2020. Epub 2020 Oct 21.","Arbuckle SA","J Neurosci","2020","2020/10/22","PMC7687056","","10.1523/JNEUROSCI.0999-20.2020"
"33072887","Disrupted Eye Gaze Perception as a Biobehavioral Marker of Social Dysfunction: An RDoC Investigation","Tso IF, Lasagna CA, Fitzgerald KD, Colombi C, Sripada C, Peltier SJ, Johnson TD, Thakkar KN.","J Psychiatr Brain Sci. 2020;5:e200021. Epub 2020 Sep 10.","Tso IF","J Psychiatr Brain Sci","2020","2020/10/19","PMC7566880","NIHMS1629039",""
"32960419","MRI-based Parcellation and Morphometry of the Individual Rhesus Monkey Brain: the macaque Harvard-Oxford Atlas (mHOA), a translational system referencing a standardized ontology","Rushmore RJ, Bouix S, Kubicki M, Rathi Y, Rosene DL, Yeterian EH, Makris N.","Brain Imaging Behav. 2021 Jun;15(3):1589-1621. doi: 10.1007/s11682-020-00357-9.","Rushmore RJ","Brain Imaging Behav","2021","2020/09/22","","","10.1007/s11682-020-00357-9"
"32284605","Four core properties of the human brain valuation system demonstrated in intracranial signals","Lopez-Persem A, Bastin J, Petton M, Abitbol R, Lehongre K, Adam C, Navarro V, Rheims S, Kahane P, Domenech P, Pessiglione M.","Nat Neurosci. 2020 May;23(5):664-675. doi: 10.1038/s41593-020-0615-9. Epub 2020 Apr 13.","Lopez-Persem A","Nat Neurosci","2020","2020/04/15","","","10.1038/s41593-020-0615-9"
"32158386","Memory Function and Brain Functional Connectivity Adaptations Following Multiple-Modality Exercise and Mind-Motor Training in Older Adults at Risk of Dementia: An Exploratory Sub-Study","Boa Sorte Silva NC, Nagamatsu LS, Gill DP, Owen AM, Petrella RJ.","Front Aging Neurosci. 2020 Feb 25;12:22. doi: 10.3389/fnagi.2020.00022. eCollection 2020.","Boa Sorte Silva NC","Front Aging Neurosci","2020","2020/03/12","PMC7052336","","10.3389/fnagi.2020.00022"
"31778818","A 16-channel AC/DC array coil for anesthetized monkey whole-brain imaging at 7T","Gao Y, Mareyam A, Sun Y, Witzel T, Arango N, Kuang I, White J, Roe AW, Wald L, Stockmann J, Zhang X.","Neuroimage. 2020 Feb 15;207:116396. doi: 10.1016/j.neuroimage.2019.116396. Epub 2019 Nov 25.","Gao Y","Neuroimage","2020","2019/11/29","PMC7309650","NIHMS1595681","10.1016/j.neuroimage.2019.116396"
"31731911","Cingulate role in Tourette syndrome","O'Neill J, Piacentini JC, Peterson BS.","Handb Clin Neurol. 2019;166:165-221. doi: 10.1016/B978-0-444-64196-0.00011-X.","O'Neill J","Handb Clin Neurol","2019","2019/11/17","","","10.1016/B978-0-444-64196-0.00011-X"
"31682802","Brain activity changes in a monkey model of central post-stroke pain","Nagasaka K, Takashima I, Matsuda K, Higo N.","Exp Neurol. 2020 Jan;323:113096. doi: 10.1016/j.expneurol.2019.113096. Epub 2019 Nov 1.","Nagasaka K","Exp Neurol","2020","2019/11/05","","","10.1016/j.expneurol.2019.113096"
"31479755","Task-based fMRI of a free-viewing visuo-saccadic network in the marmoset monkey","Schaeffer DJ, Gilbert KM, Hori Y, Hayrynen LK, Johnston KD, Gati JS, Menon RS, Everling S.","Neuroimage. 2019 Nov 15;202:116147. doi: 10.1016/j.neuroimage.2019.116147. Epub 2019 Aug 31.","Schaeffer DJ","Neuroimage","2019","2019/09/04","","","10.1016/j.neuroimage.2019.116147"
"31031580","Isoflurane-Induced Burst Suppression Increases Intrinsic Functional Connectivity of the Monkey Brain","Zhang Z, Cai DC, Wang Z, Zeljic K, Wang Z, Wang Y.","Front Neurosci. 2019 Apr 11;13:296. doi: 10.3389/fnins.2019.00296. eCollection 2019.","Zhang Z","Front Neurosci","2019","2019/04/30","PMC6470287","","10.3389/fnins.2019.00296"
"30873000","Brain Map of Intrinsic Functional Flexibility in Anesthetized Monkeys and Awake Humans","Yin D, Zhang Z, Wang Z, Zeljic K, Lv Q, Cai D, Wang Y, Wang Z.","Front Neurosci. 2019 Feb 28;13:174. doi: 10.3389/fnins.2019.00174. eCollection 2019.","Yin D","Front Neurosci","2019","2019/03/16","PMC6403192","","10.3389/fnins.2019.00174"
"30765166","Manipulation of Subcortical and Deep Cortical Activity in the Primate Brain Using Transcranial Focused Ultrasound Stimulation","Folloni D, Verhagen L, Mars RB, Fouragnan E, Constans C, Aubry JF, Rushworth MFS, Sallet J.","Neuron. 2019 Mar 20;101(6):1109-1116.e5. doi: 10.1016/j.neuron.2019.01.019. Epub 2019 Feb 11.","Folloni D","Neuron","2019","2019/02/16","PMC6520498","","10.1016/j.neuron.2019.01.019"
"30530862","Intrinsic Functional Boundaries of Lateral Frontal Cortex in the Common Marmoset Monkey","Schaeffer DJ, Gilbert KM, Gati JS, Menon RS, Everling S.","J Neurosci. 2019 Feb 6;39(6):1020-1029. doi: 10.1523/JNEUROSCI.2595-18.2018. Epub 2018 Dec 10.","Schaeffer DJ","J Neurosci","2019","2018/12/12","PMC6363921","","10.1523/JNEUROSCI.2595-18.2018"
"30528965","Mapping Structure-Function Relationships in the Brain","Snyder AZ, Bauer AQ.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2019 Jun;4(6):510-521. doi: 10.1016/j.bpsc.2018.10.005. Epub 2018 Oct 29.","Snyder AZ","Biol Psychiatry Cogn Neurosci Neuroimaging","2019","2018/12/12","PMC6488459","NIHMS1511011","10.1016/j.bpsc.2018.10.005"
"30416440","Existence of Initial Dip for BCI: An Illusion or Reality","Hong KS, Zafar A.","Front Neurorobot. 2018 Oct 26;12:69. doi: 10.3389/fnbot.2018.00069. eCollection 2018.","Hong KS","Front Neurorobot","2018","2018/11/13","PMC6212489","","10.3389/fnbot.2018.00069"
"30355629","Functional MRI in Macaque Monkeys during Task Switching","Premereur E, Janssen P, Vanduffel W.","J Neurosci. 2018 Dec 12;38(50):10619-10630. doi: 10.1523/JNEUROSCI.1539-18.2018. Epub 2018 Oct 24.","Premereur E","J Neurosci","2018","2018/10/26","PMC6580658","","10.1523/JNEUROSCI.1539-18.2018"
