PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34011626","Na(v)1.7 target modulation and efficacy can be measured in nonhuman primate assays","Kraus RL, Zhao F, Pall PS, Zhou D, Vardigan JD, Danziger A, Li Y, Daley C, Ballard JE, Clements MK, Klein RM, Holahan MA, Greshock TJ, Kim RM, Layton ME, Burgey CS, Serra J, Henze DA, Houghton AK.","Sci Transl Med. 2021 May 19;13(594):eaay1050. doi: 10.1126/scitranslmed.aay1050.","Kraus RL","Sci Transl Med","2021","2021/05/20","","","10.1126/scitranslmed.aay1050"
"33930537","Longitudinal fMRI measures of cortical reactivation and hand use with and without training after sensory loss in primates","Qi HX, Reed JL, Wang F, Gross CL, Liu X, Chen LM, Kaas JH.","Neuroimage. 2021 Aug 1;236:118026. doi: 10.1016/j.neuroimage.2021.118026. Epub 2021 Apr 27.","Qi HX","Neuroimage","2021","2021/04/30","","","10.1016/j.neuroimage.2021.118026"
"33866360","The Causal Role of Three Frontal Cortical Areas in Grasping","Caprara I, Janssen P.","Cereb Cortex. 2021 Jul 29;31(9):4274-4288. doi: 10.1093/cercor/bhab085.","Caprara I","Cereb Cortex","2021","2021/04/18","","","10.1093/cercor/bhab085"
"33787492","Neural network of social interaction observation in marmosets","Cléry JC, Hori Y, Schaeffer DJ, Menon RS, Everling S.","Elife. 2021 Mar 31;10:e65012. doi: 10.7554/eLife.65012.","Cléry JC","Elife","2021","2021/03/31","PMC8024015","","10.7554/eLife.65012"
"33731766","Repetitive transcranial magnetic stimulation restores altered functional connectivity of central poststroke pain model monkeys","Kadono Y, Koguchi K, Okada KI, Hosomi K, Hiraishi M, Ueguchi T, Kida I, Shah A, Liu G, Saitoh Y.","Sci Rep. 2021 Mar 17;11(1):6126. doi: 10.1038/s41598-021-85409-w.","Kadono Y","Sci Rep","2021","2021/03/18","PMC7969937","","10.1038/s41598-021-85409-w"
"33495547","Long-term effects of intermittent early life stress on primate prefrontal-subcortical functional connectivity","Yuan R, Nechvatal JM, Buckmaster CL, Ayash S, Parker KJ, Schatzberg AF, Lyons DM, Menon V.","Neuropsychopharmacology. 2021 Jun;46(7):1348-1356. doi: 10.1038/s41386-021-00956-0. Epub 2021 Jan 25.","Yuan R","Neuropsychopharmacology","2021","2021/01/26","PMC8134590","","10.1038/s41386-021-00956-0"
"33408410","Activation and disruption of a neural mechanism for novel choice in monkeys","Bongioanni A, Folloni D, Verhagen L, Sallet J, Klein-Flügge MC, Rushworth MFS.","Nature. 2021 Mar;591(7849):270-274. doi: 10.1038/s41586-020-03115-5. Epub 2021 Jan 6.","Bongioanni A","Nature","2021","2021/01/07","PMC7116896","EMS115990","10.1038/s41586-020-03115-5"
"33112698","Whole brain mapping of somatosensory responses in awake marmosets investigated with ultra-high-field fMRI","Cléry JC, Hori Y, Schaeffer DJ, Gati JS, Pruszynski JA, Everling S.","J Neurophysiol. 2020 Dec 1;124(6):1900-1913. doi: 10.1152/jn.00480.2020. Epub 2020 Oct 28.","Cléry JC","J Neurophysiol","2020","2020/10/28","","","10.1152/jn.00480.2020"
"33087474","Structure of Population Activity in Primary Motor Cortex for Single Finger Flexion and Extension","Arbuckle SA, Weiler J, Kirk EA, Rice CL, Schieber M, Pruszynski JA, Ejaz N, Diedrichsen J.","J Neurosci. 2020 Nov 25;40(48):9210-9223. doi: 10.1523/JNEUROSCI.0999-20.2020. Epub 2020 Oct 21.","Arbuckle SA","J Neurosci","2020","2020/10/22","PMC7687056","","10.1523/JNEUROSCI.0999-20.2020"
"32724052","Global reward state affects learning and activity in raphe nucleus and anterior insula in monkeys","Wittmann MK, Fouragnan E, Folloni D, Klein-Flügge MC, Chau BKH, Khamassi M, Rushworth MFS.","Nat Commun. 2020 Jul 28;11(1):3771. doi: 10.1038/s41467-020-17343-w.","Wittmann MK","Nat Commun","2020","2020/07/30","PMC7387352","","10.1038/s41467-020-17343-w"
"32366956","Rapid event-related, BOLD fMRI, non-human primates (NHP): choose two out of three","Pelekanos V, Mok RM, Joly O, Ainsworth M, Kyriazis D, Kelly MG, Bell AH, Kriegeskorte N.","Sci Rep. 2020 May 4;10(1):7485. doi: 10.1038/s41598-020-64376-8.","Pelekanos V","Sci Rep","2020","2020/05/06","PMC7198564","","10.1038/s41598-020-64376-8"
"32279076","Frequency- and State-Dependent Network Effects of Electrical Stimulation Targeting the Ventral Tegmental Area in Macaques","Murris SR, Arsenault JT, Vanduffel W.","Cereb Cortex. 2020 Jun 30;30(8):4281-4296. doi: 10.1093/cercor/bhaa007.","Murris SR","Cereb Cortex","2020","2020/04/13","PMC7325806","","10.1093/cercor/bhaa007"
"31836661","Taste Quality Representation in the Human Brain","Avery JA, Liu AG, Ingeholm JE, Riddell CD, Gotts SJ, Martin A.","J Neurosci. 2020 Jan 29;40(5):1042-1052. doi: 10.1523/JNEUROSCI.1751-19.2019. Epub 2019 Dec 13.","Avery JA","J Neurosci","2020","2019/12/15","PMC6989007","","10.1523/JNEUROSCI.1751-19.2019"
"31830589","Dynamic causal modelling of phase-amplitude interactions","Fagerholm ED, Moran RJ, Violante IR, Leech R, Friston KJ.","Neuroimage. 2020 Mar;208:116452. doi: 10.1016/j.neuroimage.2019.116452. Epub 2019 Dec 9.","Fagerholm ED","Neuroimage","2020","2019/12/13","","","10.1016/j.neuroimage.2019.116452"
